1-1|DE KLEINE JOHANNES
32-2|Noem mij Windekind ! '
33-1|En Windekind lachte en staarde Johannes [ @alt zo zoo ] vertrouwelijk in de [ @alt ogen oogen ] , dat het hem wonderbaar zalig te moede werd .
33-2|' Het is vandaag mijn verjaardag , ' [ @alt zei zeide ] Windekind , ' ik ben hier in [ @alt ~de~den den ] omtrek geboren , uit de eerste stralen der maan en de laatste der zon .
33-3|Men zegt wel dat de zon vrouwelijk is .
33-4|Dat is niet waar .
33-5|Hij is mijn vader . '
34-1|Johannes nam zich voor , morgen op school van [ @alt ~de~den den ] zon te spreken .
34-2|' En kijk ! daar komt het ronde , blanke gezicht van [ @alt ~mijn~mijne mijne ] moeder al te voorschijn .
34-3|Dag moeder !
34-4|O , o , wat kijkt zij weer goedig en bedrukt ! '
35-1|Hij wees naar de Oosterkimmen .
35-2|Groot en glanzig rees daar de maan aan [ @alt de den ] [ @alt grauwe grauwen ] hemel , achter het kantwerk der wilgen , dat zwart tegen de lichte schijf afstak .
35-3|Zij zette werkelijk een zeer pijnlijk gezicht .
36-1|' Kom ! kom ! moeder ! het is niets .
36-2|Ik kan hem immers vertrouwen ! '
37-1|Het [ @alt schone schoone ] wezen trilde [ @alt vrolijk vroolijk ] met de gazen vleugels en tikte Johannes met de Irisbloem , die hij in de hand had , op de wang .
37-2|' Zij vindt het niet goed dat ik bij u gekomen ben .
37-3|Gij zijt de eerste .
37-4|Maar ik vertrouw u , Johannes .
37-5|Gij [ @alt mag moogt ] nooit , nooit aan een [ @alt mens mensch ] mijn naam noemen of over mij spreken .
37-6|Belooft gij dat ? '
38-1|' Ja , Windekind , ' zei Johannes .
38-2|Het was hem nog [ @alt zo zoo ] vreemd .
38-3|Hij voelde zich onuitsprekelijk gelukkig maar vreesde zijn geluk te verliezen .
38-4|Droomde hij ?
38-5|Naast hem op de bank lag Presto kalm te slapen .
38-6|De warme adem van zijn hondje stelde hem gerust .
38-7|De muggen krioelden op het watervlak en dansten in de zoele lucht , evenals gewoonlijk .
38-8|Het was alles [ @alt zo zoo ] klaar en duidelijk om hem heen .
38-9|Het moest waarheid zijn .
38-10|En altijd voelde hij dat Windekinds vertrouwelijke blik op hem rustte .
39-1|Daar klonk weer de zoet-ruischende stem :
40-1|' Ik heb u vaak hier gezien , Johannes .
40-2|Weet ge waar ik was ?
40-3|Soms zat ik op [ @alt ~de~den den ] zandgrond van [ @alt ~de~den den ] vijver [ @alt tussen tusschen ] de dichte waterplanten en zag naar u op , als ge over het water heenboogt , om te drinken of om de watertorren en salamanders te bekijken .
40-4|Maar mij [ @alt zelf zelven ] zaagt gij nooit .
40-5|Dikwijls ook keek ik naar u uit het dichte riet .
40-6|Daar ben ik heel veel .
40-7|Daar slaap ik meestal , als het warm is .
40-8|In een leeg karkietennest .
40-9|Ja ! dat is heel zacht . '
41-1|Windekind wiegde vergenoegd op [ @alt ~de~den den ] rand van de boot en sloeg met zijn bloem naar de muggen .
42-1|' Nu kom ik u wat gezelschap houden .
42-2|Het is anders [ @alt zo zoo ] eentonig , uw leven .
42-3|Wij zullen goede vrienden zijn en ik zal u veel vertellen .
42-4|Veel beter dingen dan de schoolmeesters u wijs maken .
42-5|Die weten er volstrekt niets van .
42-6|En als gij mij niet gelooft , zal ik u [ @alt zelf zelven ] laten zien en [ @alt horen hooren ] .
42-7|Ik zal u meenemen . '
43-1|' O , Windekind ! lieve Windekind ! kunt gij mij daarheen medenemen ? ' riep Johannes , en wees naar [ @alt ~de~den den ] kant , waar [ @alt zoëven zooeven ] het purper licht van de ondergaande zon uit de gouden wolkenpoort gestraald had .
43-2|Reeds ging het heerlijk gevaarte in grijze nevelen vervloeien .
43-3|Toch drong de bleekroode glans nog uit de verste diepte te voorschijn .
43-4|Windekind staarde in het licht , dat zijn fijn gezichtje en zijn blonde haren verguldde , en schudde [ @alt zachtjes zachtkens ] het hoofd .
43-5|' Nu niet ! nu niet !
43-6|Johannes .
43-7|Ge moet niet dadelijk te veel vragen .
43-8|Ik [ @alt zelf zelve ] ben nooit nog bij Vader geweest . '
44-1|' Ik ben altijd bij mijn vader , ' [ @alt zei zeide ] Johannes .
45-1|' Neen ! dat is uw vader niet .
45-2|Wij zijn broeders , mijn Vader is ook de uwe .
45-3|Maar uw moeder is de aarde en daarom verschillen wij veel .
45-4|Ook zijt ge in een huis bij [ @alt mensen menschen ] geboren en ik in een windekelk .
45-5|Dat laatste is stellig beter .
45-6|Maar wij zullen het toch goed samen vinden ! '
46-1|Toen sprong Windekind luchtig op de zijde van de boot , die niet bewoog onder [ @alt ~die~dien dien ] last , en kuste Johannes op het voorhoofd .
47-1|Wat was dat een vreemde gewaarwording voor Johannes !
47-2|Het was of alles om hem heen veranderde .
48-1|Hij zag alles nu veel beter en juister , dacht hij .
48-2|Hij zag hoe de maan nu veel vriendelijker keek , en hij zag , dat de waterlelies gezichten hadden , waarmede zij hem verwonderd en peinzend aanstaarden .
49-1|Hij begreep nu op eens , waarom de muggen [ @alt zo zoo ] [ @alt vrolijk vroolijk ] op en neer dansten , altijd om elkaar heen , op en neer , tot ze met hun lange [ @alt benen beenen ] het water raakten .
49-2|Hij had er wel eens aan gedacht , maar nu begreep hij het van zelf .
50-1|Hij hoorde ook wat het riet fluisterde en hoe de [ @alt bomen boomen ] aan [ @alt ~de~den den ] oever zachtjes klaagden , dat de zon was ondergegaan .
51-1|' O , Windekind ! ik dank u , dat is heerlijk .
51-2|Ja , wij zullen het wel goed samen vinden ! '
52-1|' Geef mij een hand , ' zei Windekind , en sloeg de veelkleurige vleugels uit .
52-2|Toen trok hij Johannes in de boot voort over het water , door de plompebladen , die in het maanlicht glinsterden .
53-1|Hier en daar zat een [ @alt kikvors kikvorsch ] op een blad .
53-2|Maar nu sprong hij niet in 't water als Johannes kwam .
53-3|Hij maakte alleen een kleine buiging en [ @alt zei zeide ] : ' Kwak ! '
53-4|Johannes boog beleefd terug , hij wilde zich vooral niet ingebeeld [ @alt tonen toonen ] .
54-1|Daar kwamen zij aan het riet , dat was breed en de [ @alt gehele geheele ] boot verdween er in , zonder dat zij het land bereikten .
54-2|Maar Johannes vatte zijn geleider stevig vast en toen klauterden zij [ @alt tussen tusschen ] de [ @alt hoge hooge ] halmen aan land .
55-1|Johannes meende wel , dat hij kleiner en lichter was geworden , maar dat was misschien verbeelding .
55-2|Toch herinnerde hij zich niet dat hij ooit tegen een riethalm had kunnen opklimmen .
56-1|' Let nu goed op , ' zei Windekind , ' nu zult ge iets aardigs zien . '
57-1|Zij wandelden [ @alt tussen tusschen ] het [ @alt hoge hooge ] gras onder donker kreupelhout , dat hier en daar een smal , glanzig straaltje van het maanlicht doorliet .
58-1|' Hebt ge 's avonds de krekels wel eens gehoord , Johannes , in de duinen ?
58-2|Het lijkt of zij een concert maken niet waar ? en ge kunt nooit [ @alt horen hooren ] , waar het geluid vandaan komt .
58-3|Nu , zij zingen nooit voor hun [ @alt plezier pleizier ] , maar dat geluid komt van de krekelschool , waar honderd krekeltjes hun lessen van buiten [ @alt leren leeren ] .
58-4|Wees nu stil , want wij zijn er haast . '
59-1|Shrrr !
59-2|Shrrr !
60-1|Het kreupelhout werd minder dicht , en toen Windekind met zijn bloem de grashalmen uiteen schoof , zag Johannes een helder verlicht open plekje , waar de krekeltjes bezig waren [ @alt tussen tusschen ] het dunne , spichtige duingras hun lessen te [ @alt leren leeren ] .
61-1|Shrrr !
61-2|Shrrr !
62-1|Een [ @alt grote groote ] , dikke krekel was meester en overhoorde .
62-2|Eén voor één sprongen de leerlingen naar hem toe , altijd met één sprong heen en één sprong weer naar hun plaats terug .
62-3|Wie mis sprong moest op een paddestoel te pronk staan .
63-1|' Luister goed Johannes ! dan kunt ge misschien óók wat [ @alt leren leeren ] , ' zei
64-1|Windekind .
65-1|Johannes verstond zeer goed wat de krekeltjes antwoordden .
65-2|Maar het leek niets op wat de meester op zijn school vertelde .
65-3|Eerst kwam [ @alt geografie geographie ] .
65-4|Van de [ @alt werelddelen werelddeelen ] wisten zij niets .
65-5|Zij moesten alleen 26 duinen kennen en twee vijvers .
65-6|Van hetgeen verder was kon niemand iets weten , zei de meester , en wat er van verteld werd , was ijdele fantasie .
66-1|Toen kwam de botanie aan de beurt .
66-2|Daarin waren ze allen erg knap en werden veel prijzen uitgedeeld , uitgezochte jonge en [ @alt malse malsche ] grashalmpjes van verschillende lengte .
67-1|Maar de zoölogie verbaasde Johannes het meest .
67-2|De dieren werden verdeeld in springende , vliegende en kruipende .
67-3|De krekels konden springen en vliegen en stonden dus bovenaan , dan volgden de [ @alt kikvorsen kikvorschen ] .
67-4|Vogels werden met alle [ @alt tekenen teekenen ] van afschuw hoogst schadelijk en gevaarlijk genoemd .
67-5|Eindelijk werd ook de [ @alt mens mensch ] besproken .
67-6|Het was een groot , nutteloos en schadelijk dier , dat zeer laag stond , daar het vliegen noch springen kon , maar dat gelukkig zeldzaam was .
67-7|Een klein krekeltje , dat nog nooit een [ @alt mens mensch ] gezien had , kreeg drie slagen met een rietje , omdat hij [ @alt ~de~den den ] [ @alt mens mensch ] bij vergissing onder de onschadelijke dieren telde .
68-1|[ @alt Zo Zoo ] iets had Johannes nog nooit gehoord .
69-1|Toen riep de meester op eens : ' Stilte ! springoefening ! '
69-2|Dadelijk hielden alle krekeltjes op met lessen [ @alt leren leeren ] en begonnen op heel kunstige en bedrijvige wijze haasje-over te spelen .
69-3|De dikke meester het eerst .
70-1|Dat was zulk een [ @alt vrolijk vroolijk ] gezicht , dat Johannes in de handen klapte van pret .
70-2|Op dat geluid stoof de [ @alt hele heele ] school in een [ @alt ogenblik oogenblik ] het duin in en werd het doodstil op het grasveldje .
71-1|' Ja , dat komt er van , Johannes .
71-2|Ge moet u niet [ @alt zo zoo ] lomp gedragen !
71-3|Men kan toch wel merken , dat gij bij [ @alt mensen menschen ] geboren zijt ! '
72-1|' Het spijt mij , ik zal mijn best doen .
72-2|Maar het was ook [ @alt zo zoo ] aardig ! '
73-1|' Het wordt nog veel aardiger , ' zei Windekind .
74-1|Zij staken het grasveldje over en bestegen de duin aan de andere zijde .
75-1|Oef ! dat was zwoegen in het dikke zand ; maar toen Johannes Windekind bij
76-1|het lichte blauwe kleedje greep , vloog hij er vlug en luchtig tegen op .
77-1|Halverwege [ @alt ~de~den den ] top was een konijnenhol .
78-1|Het konijntje , dat er thuis hoorde , lag met kop en [ @alt voorpoten voorpooten ] uit [ @alt ~de~den den ] ingang .
78-2|De duinrozen bloeiden nog en haar fijne , zachte geur mengde zich met [ @alt ~die~dien dien ] van het thijmkruid , dat op [ @alt ~de~den den ] duintop groeide .
79-1|Johannes had dikwijls konijntjes in hun hol zien verdwijnen en dan gedacht : hoe zou het daarbinnen uitzien ?
79-2|Hoeveel zouden er daar wel bij elkaar zitten en zouden zij het niet benauwd hebben ?
80-1|Hij was dan ook zeer verheugd , toen hij zijn metgezel aan het konijntje hoorde vragen of zij het hol eens mochten bezien .
80-2|' Wat mij betreft , wel ! ' [ @alt zei zeide ] het konijntje .
80-3|' Maar het treft ongelukkig , dat ik van avond juist mijn hol heb afgestaan voor het geven van een weldadigheidsfeest , en dus eigenlijk geen baas ben in mijn huis . '
81-1|' Ei !
81-2|Ei ! is er een ongeluk gebeurd ? '
82-1|' Ach ja ! ' zei het konijntje weemoedig : ' Een [ @alt grote groote ] ramp !
82-2|Wij komen het in geen jaren te boven .
82-3|Een duizend sprongen hier vandaan is een menschenhuis gebouwd , [ @alt zo zoo ] groot ! [ @alt zo zoo ] groot !
82-4|- En er zijn [ @alt mensen menschen ] komen wonen met honden .
82-5|Er zijn wel zeven leden van mijn familie bij omgekomen en nog driemaal [ @alt zoveel zooveel ] van hol beroofd .
82-6|En het is met het geslacht Muis en de familie Mol nog erger gegaan .
82-7|Ook de Padden hebben zwaar geleden .
82-8|Nu hebben wij een feest op touw gezet voor de nagelaten betrekkingen .
82-9|Ieder doet het [ @alt ~zijn~zijne zijne ] , ik geef mijn hol .
82-10|Men moet wat over hebben voor [ @alt ~zijn~zijne zijne ] medeschepselen . '
83-1|Het meewarige konijntje zuchtte en haalde met [ @alt ~de~den den ] rechter voorpoot het lange oor over zijn kopje , om er een traan mede uit het oog te [ @alt wissen wisschen ] .
83-2|Dat was [ @alt zo zoo ] zijn zakdoek .
84-1|Daar ritselde iets in het helm en een dikke , logge gedaante kwam op het hol toe scharrelen .
85-1|' Kijk ! ' riep Windekind , ' daar komt vader Pad ook al aangehuppeld .
85-2|Wel ! wel ! durft ge nog [ @alt zo zoo ] laat op 't pad , Pad ! '
86-1|De Pad nam geen notitie van de scherts .
86-2|Aardigheden op zijn naam verveelden hem al lang .
86-3|Bedaard legde hij een volle korenaar , netjes in een droog blad gewikkeld , bij [ @alt ~de~den den ] ingang neer en klom behendig over [ @alt ~de~den den ] rug van het konijntje in het hol .
86-4|' Mogen wij binnengaan ? ' [ @alt zei zeide ] Johannes , die erg nieuwsgierig was .
86-5|' Ik zal ook wat geven . '
87-1|Hij herinnerde zich dat hij in zijn zak nog een beschuitje had .
87-2|Een rond beschuitje van Huntley en Palmers .
87-3|Toen hij het te voorschijn haalde , bemerkte hij eerst hoe klein hij geworden was .
87-4|Hij kon het nauwelijks met twee handen tillen en begreep niet hoe het nog in zijn broekzak gezeten had .
87-5|' Dat is zeer kostbaar en zeldzaam ! ' riep het konijntje .
87-6|' Dat is een kostbaar geschenk ! '
88-1|Eerbiedig liet het aan beiden [ @alt ~de~den den ] toegang vrij .
88-2|Het was donker in het hol en Johannes liet Windekind maar vóórgaan .
88-3|Spoedig zagen zij een bleekgroen lichtje naderen .
88-4|Het was een glimworm , die welwillend aanbood hen voor te lichten .
89-1|' Het belooft een genoeglijke avond te worden , ' [ @alt zei zeide ] de glimworm onder 't voortgaan .
89-2|' Er zijn al veel gasten .
89-3|Gij zijt elfen , naar mij toeschijnt , niet waar ? '
89-4|De glimworm keek daarbij [ @alt enigszins eenigszins ] wantrouwend naar Johannes .
90-1|' Gij kunt ons als elfen aandienen , ' antwoordde Windekind .
91-1|' Weet ge dat uw koning van de partij is ? ' ging de glimworm voort .
92-1|' Is Oberon hier ?
92-2|Wel dat doet mij recht veel genoegen , ' riep Windekind , ' ik ken hem persoonlijk . '
93-1|' O ? ' [ @alt zei zeide ] de glimworm , ' ik wist niet dat ik de eer had ... ' en zijn lichtje ging bijna uit van schrik .
93-2|' Ja Z.M. houdt gewoonlijk meer van de buitenlucht , maar voor een liefdadig doel is hij altijd te vinden .
93-3|Het zal wel een luisterrijk feest zijn . '
94-1|Dat was het inderdaad .
94-2|De [ @alt grote groote ] zaal in het konijnenhol was prachtig versierd .
94-3|De vloer was platgetreden en met geurig thijm bestrooid ; dwars voor [ @alt ~de~den den ] ingang hing een vleermuis aan de [ @alt achterpoten achterpooten ] .
94-4|Deze riep de namen der gasten af en diende tevens als gordijn , dat was een zuinigheidsmaatregel .
94-5|De wanden der zaal waren smaakvol gedecoreerd met dorre bladen , spinnewebben en kleine hangende vleermuisjes .
94-6|[ @alt Talloze Tallooze ] glimwormen kropen [ @alt daartussen daartusschen ] en over de zoldering rond , en vormden een alleraardigste beweeglijke verlichting .
94-7|Er was aan 't eind der zaal een troon gebouwd van stukjes vermolmd hout , die licht gaven .
