1-1|( Inhoud )
44-3|Ik heb met geen koopman ter wereld iets uitstaande , als gij [ @alt ~de~den den ] makelaar , die [ @alt ~mijn~mijne mijne ] weinige effecten , rara folia , beheert , en [ @alt ~de~den den ] Amsterdamschen tabakskooper , die mij maandelijks mijn varinas zendt , uitzondert .
45-1|Omdat ik een brief van teederen aard te gemoet zie ?
45-2|- Nog minder .
45-3|Ik ben een oud vrijer , en heb in die soort van correspondentie niets meer te verwachten , sedert ik het kleine bundeltje , dat ik vroeger op mijn hart droeg , met een rozerood lint omwonden en met een hieroglyphisch cachet verzegeld , in een verborgen lade van mijn secretaire sloot .
46-1|Omdat ik naar een brief met zwarte randen uitkijk , die mij de testamentaire dispositie van een [ @alt rijke rijken ] oudoom berichten moet ?
46-2|- Gelukkig niet .
46-3|Ik heb het voorrecht , [ @alt ~de~den den ] laatsten , wiens overlijden mij voordeel kon aanbrengen , te hebben zien sterven .
46-4|Nu ben ik verlost van dat onaangenaam gevoel van kwade begeerlijkheid , dat het gezicht van een gegoeden en ongehuwden bloedverwant altijd in mij opwekte ; een gevoel , niet ongelijk aan [ @alt ~de~den den ] zelfstrijd van [ @alt ~de~den den ] arme , die er niet buiten kan , zijn gemest ooilam met beluste [ @alt ogen oogen ] aan te zien .
47-1|Ik zie wel , ge zult het niet raden .
47-2|Welnu ! die vraag ontstaat uit ongeduldig verlangen naar de [ @alt Haarlemse Haarlemsche ] Courant .
48-1|Naar de [ @alt Haarlemse Haarlemsche ] Courant ?
49-1|Ja , lezer ! maar niet geheel om dezelfde reden , waarom gij er denkelijk naar verlangt .
49-2|Mij dunkt , ik zie u , [ @alt zo zoo ] als gij haar vrij onverschillig in de hand neemt , eerst de advertentiën doorloopt , en tot de tegen u
50-1|( 2 ) overzittende dame het woord richt : " Mevrouw A. heeft [ @alt ene eene ] dochter .
50-2|Jack is ridder geworden .
50-3|De advokaat B. is dood , " enz.
50-4|De advertentiën doorgelezen hebbende , gaat gij , achterwaarts opklimmende , tot het staatkundige nieuws over , zoekt bij voorkeur de opgave van brand , stormen en landziekten op , en eindigt met een vluchtigen blik op de verschillende aankondigingen te werpen .
50-5|Eindelijk legt ge geeuwende het blad uit de handen , en reikt het uwe vrouw of zuster toe , met het vonnis :
51-1|" Heden niets nieuws . "
52-1|Geheel anders gaat het bij mij toe .
52-2|Als mijn getrouwe huiszorg mij verzekerd heeft , dat het blad van Enschedé met [ @alt ~de~den den ] post is aangekomen , treed ik met een [ @alt genoeglijk genoegelijk ] gezicht in de ontbijtkamer .
52-3|De courant , [ @alt zo zoo ] als zij , nog nat van de pers , en door [ @alt gene geene ] ongewijde aanraking gekreukt , naast mijn bord op tafel ligt , lacht mij reeds bij het binnenkomen toe .
52-4|Ik sla er echter geen hand aan , voordat ik eerst de thee gezet heb ; zelfs ligt in dat uitstel voor mij een soort van weelde , [ @alt zodat zoodat ] ik mij wel wacht , mij bij dit werk te overhaasten .
52-5|Eindelijk ben ik met mijn toestel gereed .
52-6|Na mijn eerste geurige kopje met langzame teugen te hebben opgeslurpt , vat ik met eerbiedige vingers de belangrijke bladen aan .
52-7|Strauss zegt ergens , dat er iets karakteristieks lag in de wijze , waarop zijn vader [ @alt ~de~den den ] Bijbel na het lezen toesloeg ; mij dunkt , die mij de [ @alt Haarlemse Haarlemsche ] Courant ziet openvouwen , moet insgelijks iets bemerken van de [ @alt hoge hooge ] ingenomenheid , die ik voor haar gevoel .
52-8|Daar ligt nu de [ @alt brede breede ] vlakte wellustig voor mij uitgespreid .
52-9|Ik begin - met het begin .
52-10|Zelfs het opschrift trekt [ @alt soms somwijlen ] [ @alt ~mijn~mijne mijne ] aandacht .
53-1|Opregte * * * dagsche [ @alt Haarlemse Haarlemsche ] Courant .
53-2|Welk een oude , deftige naam !
53-3|Het blad krijgt er het voorkomen van een klassiek gedenkstuk door , als ware het een nieuwe livraison van [ @alt ene eene ] altijd doorloopende historische en statistische encyclopedie .
53-4|Dan denk ik er aan , hoe vele jaren het nieuws van [ @alt ~de~den den ] dag zich onder [ @alt ~dezen~deze dezen ] vorm bij onze voorouders heeft aangemeld , en ik heb eerbied voor [ @alt ~die~dien dien ] trek van gehechtheid aan het oude , [ @alt zo zoo ] hemelsbreed verschillende van de veranderziekte der overige natiën , bij wie het [ @alt ene eene ] journaal het andere verdringt , naarmate de verschillende partijen rijzen of dalen .
53-5|Niet aldus bij ons .
53-6|In de [ @alt Haarlemse Haarlemsche ] Courant is reeds de dood mijns vaders en van [ @alt ~de~den den ] vader mijns vaders op gelijke wijze aangekondigd geworden .
53-7|Zij bevat de [ @alt ganse gansche ] geschiedenis van mijn geslacht ; zij zou voor mij het eerste blad uit mijn folio Statenbijbel kunnen vervangen , waarin wij van ouder tot ouder gewoon zijn onze donkere en heldere dagen aan te [ @alt tekenen teekenen ] .
53-8|Waarlijk , er is iets plechtigs in de onafgewisselde eentoonigheid van dit nieuwspapier .
53-9|Ieder dag levert daaraan zijn vast contingent van bulletins , geboortecedels en sterflijsten .
53-10|Een louter staatkundig blad moge [ @alt soms somtijds ] gebrek aan stoffe hebben , de [ @alt Haarlemse Haarlemsche ] Courant nooit .
53-11|Zij vervolgt altijd even zeker , even kort en treffend de geschiedenis , door de hand van [ @alt ~de~den den ] eersten Historiograaf aangevangen : " Ende Adam gewan Seth , ende hy stierf ; ende Seth gewan Enos , ende hy stierf . "
53-12|En als ik aan de geslachten denk , welke deze bode des doods ,
54-1|( 3 ) even koel als de dood zelf , heeft zien voorbijgaan , dan zoekt mijn oog naar het plaatsje , dat ik welhaast in het zwart register zal innemen ; dan vraag ik [ @alt mijzelf mijzelven ] af , wie bij mijn overlijden de lijkklacht zal aanheffen ; met welk gevoel [ @alt ~mijn~mijne mijne ] bekenden het blad uit de hand zullen leggen , waarin mijn naam voor de jongste maal voorkomt , en welke geschiedenis de Courant - of , dat hetzelfde is , de hand Gods van mijn geslacht zal schrijven , tot [ @alt ~de~den den ] dag toe , dat er niemand meer over is , om het doodsbericht van mijnen laatsten naneef te [ @alt ondertekenen onderteekenen ] , dan de onverschillige executeur .
54-2|Zie , zulke gedachten verwekt [ @alt soms somwijlen ] bij mij het gezicht van dat onveranderlijk opschrift : Opregte [ @alt Haarlemse Haarlemsche ] Courant .
55-1|Ik ga voort , en neem kennis van de historische en politieke berichten , die mij worden medegedeeld : even als ieder ander , heb ik hier [ @alt ~mijn~mijne mijne ] artikelen , waarop bij voorkeur mijn oog valt .
55-2|Curiositeiten liggen geheel buiten [ @alt ~de~den den ] kring van mijnen smaak .
55-3|Ook sla ik altijd de eeuwigdurende twisten der wetgevende kamers over .
55-4|Om er rond voor uit te komen , die nietigheden zijn mij te nietig .
55-5|Ik houd mij liever bij [ @alt groter grooter ] gebeurtenissen en personen op ; daaronder voel ik mijn hart opgeheven ; daarbij denk ik : " [ @alt Waarom Waerom ] woeden de Heydenen , ende bedencken de volckeren ydelheyt ?
55-6|De koninghen der [ @alt aarde aerde ] stellen sich op , ende de vorsten beraetslaghen te samen teghen [ @alt ~de~den den ] [ @alt Here Heere ] ende teghen sijnen Gesalfden , seggende : [ @alt Laat Laet ] ons [ @alt ~haar~hare hare ] banden verscheuren ende [ @alt ~haar~hare hare ] touwen van ons werpen .
55-7|Die in [ @alt ~de~den den ] Hemel woont , [ @alt zal sal ] lachen ; de [ @alt Here Heere ] [ @alt zal sal ] ze bespotten . "
55-8|- O , wie met een vroom oog leest , kan in de [ @alt Haarlemse Haarlemsche ] Courant een vervolg op de boeken der heilige Profeten vinden .
55-9|Of schrijft zij niet , even als de oirkonden des O. T. , de geschiedenis der Voorzienigheid ?
55-10|Leert zij niet tastbaar : " De volckeren sijn geacht als een druppel van [ @alt enen eenen ] eemer en als een stofken van de weeghschale .
55-11|Des Konincx herte is in de hant des [ @alt Heren Heeren ] als waterbeken : hy neyght het tot al dat hy wil . "
55-12|- En als gij hier [ @alt tussen tusschen ] de [ @alt puinhopen puinhoopen ] van vervallen grootheid , en daar in de schaduw van nieuwgebouwde muren wandelt , herkent gij daar [ @alt ~de~den den ] vinger Gods niet in , die , sedert de tijden van Babels torenbouw , niet opgehouden heeft [ @alt trotse trotsche ] hoogten te vernederen en lage vlakten te verheffen ?
55-13|Ja , al zoudt gij mij van zonderlingheid verdenken , ik moet er voor uitkomen , dat die onedele en platte stijl , waarin de courantier [ @alt ~zijn~zijne zijne ] berichten schrijft , en die zulk een treffend contrast vormt met het indrukwekkende en leerzame van [ @alt ~de~den den ] inhoud , voor mij [ @alt ~zijn~zijne zijne ] grillige bekoorlijkheid heeft .
55-14|Dit is ook een soort van schat in aarden vaten : een profetie , gepredikt door een , die zwaar van mond en zwaar van tong is ; een pijl , door [ @alt ~de~den den ] Syriër in [ @alt ~zijn~zijne zijne ] eenvoudigheid geschoten .
55-15|In [ @alt alle allen ] [ @alt gevallen gevalle ] verkies ik de verzwegen lessen van de Haarlemmer nieuwsberichten verre boven menige verhandeling " over de wegen der Voorzienigheid in deze of gene omwenteling . "
55-16|Hier hebt gij de waarheid in [ @alt ~haar~hare hare ] eenvoudige gedaante , zonder dat zij de moeite neemt te zeggen : " Hier ben ik ! "
55-17|Hier hebt ge een prediker van Gods Voorzienigheid , even ongedwongen , en daarom even onwedersprekelijk , als de gebanvloekte steen van Babels [ @alt puinhopen puinhoopen ] ,
56-1|( 4 ) waarop gij in geheimzinnige letteren leest : ‏חיה יהוה‎ ( Jehovah leeft ) .
57-1|Ik kan u niet alles [ @alt mededelen mededeelen ] , wat ik al bij die politieke berichten denk en gevoel .
57-2|Dit evenwel zal ik u niet behoeven te zeggen , dat mijn oog , moede van het dwalen over de wereldkaart , altijd weder met liefde op dat kleine plekje valt , waarop beide , de [ @alt Haarlemse Haarlemsche ] Courant en haar lezer , geboren werden .
57-3|Het is waar , op dit punt zijn de berichten altijd het karigst en onbelangrijkst .
57-4|Maar weet ik dan niet , dat juist dit een zegen op [ @alt zichzelf zichzelven ] is , daar het met de natiën gaat als met bijzondere personen , die er te beter om varen , hoe minder men van hen spreekt .
57-5|Felix qui bene latuit .
57-6|O mijn lievelingsplekje in mijn lievelings-dagblad ! blijf nog lang [ @alt zo zoo ] klein van omvang , [ @alt zo zoo ] arm van inhoud ; des te beter zult gij een eigen hoekje in de nieuwspapieren bewaren , dat men u eens [ @alt zo zoo ] wreed ontnomen heeft .
58-1|[ @alt Zo Zoo ] nader ik tot de huwelijksberichten .
58-2|Een [ @alt lelijk leelijk ] artikel voor een oud vrijer .
58-3|Het is of mijn gezicht altijd [ @alt enigszins eenigszins ] betrekt , als ik dat tergende getrouwd - getrouwd - getrouwd - onder de [ @alt ogen oogen ] krijg .
58-4|Ach , daar was eens een vooruitzicht , lezer , dat gij er ook [ @alt ene eene ] advertentie zoudt hebben aangetroffen :
59-1|Getrouwd :
60-1|Jonathan * * *
61-1|en
62-1|Betsy * * *
63-1|Maar nu heeft schrijver dezes al zijn hoop gevestigd op [ @alt een eenen ] [ @alt andere anderen ] staat , waar geen register van [ @alt de den ] [ @alt burgerlijke burgerlijken ] stand en [ @alt gene geene ] [ @alt Haarlemse Haarlemsche ] Courant meer zijn , waarvan hij gelooft : " In de opstandinghe en nemen sy niet ten houwelicke , noch en worden niet ten houwelicke uytgegheven , [ @alt maar maer ] sy sijn als Engelen Godts in [ @alt ~de~den den ] hemel . "
63-2|Vraag mij niet hoe die advertentie mislukte ; het zij u genoeg , dat ik [ @alt zo zoo ] ver gekomen ben , om nimmer met tegenzin in de geboorteberichten te lezen :
64-1|Heden beviel van [ @alt ene eene ] dochter Betsy * * * , geliefde [ @alt echtgenote echtgenoote ] van - van - een ander dan Jonathan .
65-1|Integendeel , de dag , als het nieuwspapier zulk een bericht inhoudt , is voor mij een feestdag .
65-2|Dan laat ik [ @alt ~mijn~mijne mijne ] oude dienstmaagd , hoe vreemd zij mij ook aanzie , altijd een kopje kandeel voor mij gereed maken , en 's avonds gedenk ik een [ @alt mens mensch ] meer in mijn gebed .
66-1|Overigens ben ik echter altijd een weinig gevoelig , als ik aan dat hatelijke punt van voltrokken huwelijken kom , en de drommel weet hoe het komt , dat ik dan meermalen de Courant moet neêrleggen , om mijn brilleglas af te vegen .
66-2|Dan denk ik soms bij mij [ @alt zelf zelven ] : " Wat staat dat hier kort en koel : getrouwd , en dat van [ @alt ene eene ] plechtigheid , waarbij [ @alt zovele zoovele ] hartstochten in het spel zijn !
66-3|Hoe menig heeft hier in dat woord [ @alt ~zijn~zijne zijne ] [ @alt aardse aardsche ] zaligheid uitgesproken ! maar ook van hoe vele jammervolle geschiedenissen staan hier de eerste letteren . "
66-4|Dan
67-1|( 5 ) hecht ik in [ @alt ~mijn~mijne mijne ] gedachten aan [ @alt die dien ] [ @alt enkele enkelen ] draad een lang zwart weefsel van ongeluk en lijden , tot ik , met een lach over [ @alt ~mijn~mijne mijne ] [ @alt onnozelheid onnoozelheid ] , de hand in het rag mijner verbeelding sla .
67-2|[ @alt Soms Somtijds ] roep ik mij ook het liefelijke beeld der bruiden voor [ @alt ~de~den den ] geest ; dan zie ik ze , die aanvallige schepselen , die alle schoon zijn door de schoonheid des genoegens , en alle rijk door [ @alt ~de~den den ] rijkdom des geluks .
67-3|Evenwel vergeet ik nooit haar onderling lot te vergelijken , dat zich vooral in [ @alt ~de~den den ] tijd [ @alt ener eener ] feestviering [ @alt zo zoo ] scherp [ @alt aftekent afteekent ] .
67-4|Hier zie ik er [ @alt ene eene ] in een wit neteldoeksch kleedje , met een bloemtakje op de borst , door weinige hartelijke vrienden omgeven .
67-5|Maar ginds verplaats ik mij in een vergulde zaal ,
68-1|Met gouden luchters aan de wanden ,
69-1|Waarop de bijen offers branden ,
70-1|alles schitterende van pracht , weelde en genot .
70-2|Daar zie ik de bruid , opgetooid als een Madonnabeeld , met [ @alt klederen kleederen ] , stijfstaande van goud en [ @alt juwelen juweelen ] , als [ @alt ene eene ] vorstin gevierd en gehuldigd , door een stoet van hovelingen omringd .
70-3|Daar zingen geen gasten een [ @alt vrolijk vroolijk ] bruiloftslied , maar schimpende muzikanten blazen met onwillige lippen de fanfare der zegenwensching .
70-4|Daar straalt op geen enkel gelaat ingenomenheid met het geluk der bruid : men legt er [ @alt ~zijn~zijne zijne ] belangstelling aan [ @alt ~de~den den ] dag door dansen .
70-5|Dansen - altijd dansen .
70-6|Foei ! in spijt van natuurlijke traagheid en gezond verstand , in spijt van Byron's Waltz en Hugo's Fantômes , zich [ @alt ~de~den den ] Vampyr des bals in de armen te werpen !
70-7|Een vrouw , die danst , is [ @alt lelijk leelijk ] .
70-8|De gratie van houding en standen betwist ik niet ; maar op het gelaat verwekt die gelijkmatige trippeling der voeten [ @alt ene eene ] [ @alt onnozele onnoozele ] of [ @alt ene eene ] wellustige uitdrukking .
70-9|[ @alt Ene Eene ] bruid vooral moet niet dansen .
70-10|Zij is [ @alt ene eene ] vorstin ; zij poseert in de dagen harer feestvreugde ; zij moet zich niet overgeven , zij moet [ @alt kies kiesch ] zijn .
70-11|In [ @alt ~de~den den ] dans verzuimt de bruid ( waarover zij anders [ @alt zo zoo ] wel te waken weet ) [ @alt ~haar~hare hare ] hartstochten te verbergen .
70-12|Zij heet de gesluierde , nupta , en zal zij zich nu door de woestheid harer bewegingen half naakt dansen ?
70-13|Foei , dat dwarrelende stof op [ @alt ~de~den den ] blanken oranjebloesem !
70-14|Foei , die wellustige kreuken in het gewijde bruidskleed !
70-15|Foei , die gevierde Heilige in de armen eens vreemden !
70-16|Tot de vrouwen toe , die niet dansen , zijn van [ @alt ~de~den den ] trippelduivel bezeten .
70-17|Haar oog volgt de rijen ; haar hoofd huppelt de maat der muziek na , en de voeten bewegen zich krampachtig naar [ @alt ~de~den den ] klank der luchtige walsnoten .
70-18|Bij andere volken behandelde men [ @alt ~de~den den ] eerdienst als een dans ; bij ons [ @alt ~de~den den ] dans als een eerdienst .
70-19|l'Alternative ne nous flatte guère .
71-1|Maar als ik bemerk dat ik bitter word , stap ik dadelijk over op de geboorteberichten .
71-2|Gij zoudt u vergissen , als gij meent , dat een oud vrijer die overslaat .
71-3|Neen , ik heb zoogoed als iemand vader-ingewanden , ofschoon de dooplijst er mij niet voor heeft te boek staan .
71-4|Vooreerst heb ik [ @alt ene eene ] [ @alt algemene algemeene ] kinderliefde ; maar daarenboven zijn er , die een bijzonder recht op mijn hart hebben ; kinderkens , die vader en
72-1|( 6 ) moeder zeggen tot hen , die mijn hart broeder en zuster noemt ; kinderkens , van wie ik weet dat ze in de [ @alt vrees vreeze ] des [ @alt Heren Heeren ] zullen worden opgevoed , en [ @alt alzo alzoo ] , indien God er zijn zegen toe geeft , kinderen blijven zullen .
72-2|O , en als ik dan bedenk , dat een Engel een wederpaar houdt van dat register van namen , dat ik voor mij heb , en dat ik het begin lees van [ @alt ene eene ] geschiedenis , die [ @alt gene geene ] eeuwen zullen zien eindigen , dan mijmer ik : " Wat is de mensche , dat ghy zijner gedenckt ; ende hebt een weynigh hem minder gemaackt als de Engelen , ende hem met [ @alt ere eere ] ende heerlyckheyt gekroont . "
73-1|Wij zijn tot de [ @alt doden dooden ] genaderd .
73-2|Daar gekomen , overvalt mij altijd [ @alt ene eene ] kleine huivering ; het is alsof ik een kerkhof binnentreed ; hetwelk ik nooit doen kan , zonder onwillekeurig [ @alt ~de~den den ] hoed af te nemen .
73-3|En is het dan geen kerkhof , die doodenlijst der [ @alt Haarlemse Haarlemsche ] Courant ?
73-4|Immers wandelen wij er als [ @alt tussen tusschen ] graven ; de onderlinge [ @alt afdelingen afdeelingen ] zijn even [ @alt zo zoo ] vele wijspalen , de berichten even [ @alt zo zoo ] vele opschriften .
