id	start	end	type	head	neclass	person	quote	gender	human	number	cluster	text
249	1039	1039	noun	1039	-	-	I	n	0	pl	249	oorzaken
250	1041	1041	noun	1041	-	-	I	fm	1	pl	250	gevolgen
251	1045	1045	pronoun	1045	-	1	I	fm	1	sg	251	mij
252	1047	1048	noun	1048	-	-	I	n	0	sg	252	het kluwen
253	1055	1055	pronoun	1055	-	1	O	fm	1	sg	33	mij
254	1056	1057	noun	1057	-	-	O	n	0	sg	87	een werk
255	1058	1058	pronoun	1058	-	3	O	n	0	sg	87	dat
256	1059	1059	pronoun	1059	-	1	O	fm	1	sg	33	ik
257	1064	1065	noun	1065	-	-	O	n	0	sg	257	het doel
258	1067	1067	pronoun	1067	-	3	O	m	1	sg	247	hem
259	1068	1068	noun	1068	-	-	O	n	0	sg	128	genoegen
260	1074	1074	pronoun	1074	-	3	O	m	1	sg	247	hem
261	1081	1081	pronoun	1081	-	1	O	fm	1	sg	33	ik
262	1084	1084	pronoun	1084	-	1	O	fm	1	sg	33	ik
263	1088	1089	noun	1089	-	-	O	n	0	sg	263	zijn egoïsme
264	1088	1088	pronoun	1088	-	3	O	n	0	sg	128	zijn
265	1092	1092	pronoun	1092	-	3	O	m	1	sg	247	hij
266	1101	1102	noun	1102	-	-	O	n	0	sg	266	mijn vlugschrift
267	1101	1101	pronoun	1101	-	1	O	fm	1	sg	33	mijn
268	1104	1106	noun	1106	-	-	O	n	0	pl	268	zijne bizondere werkzaamheden
269	1104	1104	pronoun	1104	-	3	O	m	1	sg	247	zijne
270	1112	1112	pronoun	1112	-	1	O	fm	1	sg	33	Ik
271	1118	1118	pronoun	1118	-	1	O	fm	1	sg	33	ik
272	1120	1120	pronoun	1120	-	3	O	m	1	sg	247	hem
273	1122	1122	name	1122	LOC	-	O	n	0	both	273	Baker-Street
274	1132	1139	noun	1136	-	-	O	n	0	sg	274	het kalm en meesterachtig uiterlijk van mijn metgezel
275	1138	1139	noun	1139	-	-	O	fm	1	sg	53	mijn metgezel
276	1138	1138	pronoun	1138	-	1	O	fm	1	sg	33	mijn
277	1147	1147	pronoun	1147	-	1	O	fm	1	sg	33	Ik
278	1156	1158	noun	1158	-	-	O	n	0	sg	278	mijn gewond been
279	1156	1156	pronoun	1156	-	1	O	fm	1	sg	33	mijn
280	1162	1162	pronoun	1162	-	1	O	fm	1	sg	33	Ik
281	1164	1164	noun	1164	-	-	O	-	-	sg	18	eenigen
282	1168	1169	noun	1169	-	-	O	n	0	sg	282	een kogel
283	1175	1175	pronoun	1175	-	1	O	fm	1	sg	33	ik
284	1185	1186	noun	1186	-	-	O	n	0	sg	284	pijnlijke wijze
285	1195	1196	noun	1196	-	-	I	n	0	sg	285	mijn practijk
286	1195	1195	pronoun	1195	-	1	I	m	1	sg	3	mijn
287	1197	1197	pronoun	1197	-	3	I	n	0	sg	285	zich
288	1201	1202	noun	1202	-	-	I	n	0	sg	288	het Vasteland
289	1206	1206	name	1206	PER	-	O	m	1	sg	3	Holmes
290	1212	1212	pronoun	1212	-	3	O	m	1	sg	3	hij
291	1213	1217	noun	1215	-	-	O	n	0	sg	291	zijn oude pijp van rozeboomenhout
292	1213	1213	pronoun	1213	-	3	O	m	1	sg	3	zijn
293	1217	1217	noun	1217	-	-	O	-	-	sg	293	rozeboomenhout
294	1221	1221	pronoun	1221	-	1	I	m	1	sg	3	ik
295	1230	1232	name	1232	PER	-	I	m	1	sg	295	François le Villard
296	1234	1234	pronoun	1234	-	-	I	m	1	sg	296	die
297	1236	1236	pronoun	1236	-	2	I	fm	1	sg	297	je
298	1242	1242	noun	1242	-	-	I	n	0	sg	21	den
299	1246	1247	noun	1247	-	-	I	n	0	sg	299	den voorgrond
300	1251	1255	noun	1251	-	-	I	f	1	sg	300	dienst van de Fransche detectiven
301	1253	1255	name	1255	MISC	-	I	n	0	both	301	de Fransche detectiven
302	1257	1257	pronoun	1257	-	3	I	m	1	sg	296	Hij
303	1260	1265	noun	1262	-	-	I	n	0	sg	303	de Celtische kracht van snelle waarneming
304	1264	1265	noun	1265	-	-	I	-	-	sg	304	snelle waarneming
305	1268	1268	pronoun	1268	-	3	I	m	1	sg	296	hij
306	1273	1281	noun	1275	-	-	I	-	-	sg	306	de juiste beoordeeling der feiten en de algemeene kennis
307	1276	1277	noun	1277	-	-	I	n	0	pl	244	der feiten
308	1279	1281	noun	1281	-	-	I	f	1	sg	1	de algemeene kennis
309	1282	1282	pronoun	1282	-	-	I	-	-	sg	306	die
310	1286	1291	noun	1288	-	-	I	n	0	sg	310	de hoogere ontwikkeling van zijn kunst
311	1290	1291	noun	1291	-	-	I	n	0	sg	311	zijn kunst
312	1290	1290	pronoun	1290	-	3	I	m	1	sg	296	zijn
313	1293	1294	noun	1294	-	-	I	n	0	sg	213	Het geval
314	1299	1300	noun	1300	-	-	I	n	0	sg	314	een testament
315	1306	1306	pronoun	1306	-	1	I	fm	1	sg	3	Ik
316	1310	1310	pronoun	1310	-	3	I	m	1	sg	296	hem
317	1317	1319	noun	1319	-	-	I	n	0	pl	317	twee gelijksoortige gevallen
318	1321	1326	noun	1322	-	-	I	n	0	sg	318	het een te Riga in 1857
319	1324	1326	name	1324	LOC	-	I	n	0	sg	319	Riga in 1857
320	1328	1332	noun	1329	-	-	I	n	0	sg	320	het ander te St. Louis
321	1331	1332	name	1332	LOC	-	I	m	1	sg	321	St. Louis
322	1337	1337	pronoun	1337	-	3	I	m	1	sg	296	hij
323	1339	1341	noun	1341	-	-	I	-	-	sg	323	de juiste oplossing
324	1347	1353	noun	1348	-	-	I	n	0	sg	324	de brief van dankbetuiging voor mijne hulp
325	1350	1353	noun	1350	-	-	I	n	0	sg	325	dankbetuiging voor mijne hulp
326	1352	1353	noun	1353	-	-	I	m	1	sg	326	mijne hulp
327	1352	1352	pronoun	1352	-	1	I	fm	1	sg	3	mijne
328	1356	1356	pronoun	1356	-	1	I	fm	1	sg	3	ik
329	1362	1362	pronoun	1362	-	3	O	m	1	sg	326	hij
330	1363	1363	pronoun	1363	-	3	O	n	0	sg	324	dit
331	1367	1367	pronoun	1367	-	3	O	m	1	sg	326	hij
332	1368	1368	pronoun	1368	-	1	O	fm	1	sg	33	mij
333	1369	1373	noun	1371	-	-	O	n	0	sg	333	een verfrommeld vel buitenlandsch papier
334	1376	1376	pronoun	1376	-	1	O	fm	1	sg	33	Ik
335	1381	1381	noun	1381	-	-	O	n	0	sg	335	blik
336	1385	1385	pronoun	1385	-	1	O	fm	1	sg	33	ik
337	1388	1394	noun	1388	-	-	O	n	0	pl	337	betuigingen van bewondering van den Franschman voor
338	1390	1394	noun	1390	-	-	O	n	0	sg	338	bewondering van den Franschman voor
339	1391	1393	name	1393	PER	-	O	fm	1	sg	339	van den Franschman
340	1396	1399	name	1399	PER	-	I	m	1	sg	3	den eenigen Sherlock Holmes
341	1404	1404	pronoun	1404	-	3	I	m	1	sg	3	Hij
342	1407	1408	noun	1408	-	-	I	fm	1	sg	342	een leerling
343	1410	1411	noun	1411	-	-	I	m	1	sg	343	zijn meester
344	1410	1410	pronoun	1410	-	3	I	m	1	sg	3	zijn
345	1415	1415	pronoun	1415	-	1	O	fm	1	sg	33	ik
346	1420	1420	pronoun	1420	-	3	I	m	1	sg	343	hij
347	1422	1423	noun	1423	-	-	I	n	0	sg	347	mijn hulp
348	1422	1422	pronoun	1422	-	1	I	m	1	sg	3	mijn
349	1429	1430	name	1430	PER	-	O	m	1	sg	3	Sherlock Holmes
350	1433	1433	pronoun	1433	-	3	I	m	1	sg	343	hij
351	1436	1436	noun	1436	-	-	I	mn	1	both	130	groote
352	1439	1439	pronoun	1439	-	3	I	m	1	sg	343	Hij
353	1441	1445	noun	1441	-	-	I	n	0	-	353	twee van de drie eigenschappen
354	1443	1445	noun	1445	-	-	I	n	0	pl	64	de drie eigenschappen
355	1446	1446	pronoun	1446	-	-	I	fm	1	pl	355	die
356	1448	1448	noun	1448	-	-	I	n	0	sg	21	den
357	1454	1454	pronoun	1454	-	3	I	m	1	sg	343	Hij
358	1457	1457	noun	1457	-	-	I	-	-	sg	358	opmerkingsen
359	1458	1458	noun	1458	-	-	I	n	0	sg	359	onthullings-vermogen
360	1462	1462	pronoun	1462	-	3	I	m	1	sg	343	hem
361	1465	1465	noun	1465	-	-	I	f	1	sg	1	kennis
362	1467	1467	pronoun	1467	-	3	I	f	1	sg	1	die
363	1469	1469	pronoun	1469	-	3	I	m	1	sg	343	hij
364	1473	1473	pronoun	1473	-	3	I	m	1	sg	343	Hij
365	1477	1482	noun	1479	-	-	I	n	0	pl	365	mijne kleine werken in het Fransch
366	1477	1477	pronoun	1477	-	1	I	m	1	sg	3	mijne
367	1481	1482	name	1482	LOC	-	I	n	0	sg	367	het Fransch
368	1488	1489	noun	1489	-	-	I	n	0	pl	368	Uwe werken
369	1488	1488	pronoun	1488	-	2	I	fm	1	both	369	Uwe
370	1496	1496	pronoun	1496	-	2	I	fm	1	sg	370	gij
371	1502	1502	pronoun	1502	-	3	O	m	1	sg	343	hij
372	1508	1508	pronoun	1508	-	1	I	m	1	sg	343	ik
373	1510	1510	pronoun	1510	-	1	I	fm	1	sg	343	mij
374	1512	1513	noun	1513	-	-	I	n	0	pl	374	verscheiden handschriften
375	1517	1517	pronoun	1517	-	3	I	fm	1	pl	355	Zij
376	1521	1522	noun	1522	-	-	I	n	0	pl	376	technische onderwerpen
377	1533	1541	noun	1534	-	-	O	n	0	sg	377	het onderscheid tusschen de asch van verschillende soorten tabak
378	1535	1537	name	1537	ORG	-	O	mn	-	sg	378	tusschen de asch
379	1539	1541	noun	1540	-	-	O	n	0	pl	379	verschillende soorten tabak
380	1546	1546	pronoun	1546	-	1	I	fm	1	sg	380	ik
381	1547	1560	noun	1550	-	-	I	n	0	pl	381	een honderd veertig soorten van sigaren , cigaretten- en pijp-tabak , met gekleurde platen
382	1552	1552	noun	1552	-	-	I	n	0	pl	382	sigaren
383	1554	1554	name	1554	-	-	I	-	-	-	383	cigaretten-
384	1556	1556	noun	1556	-	-	I	n	0	sg	384	pijp-tabak
385	1559	1560	noun	1560	-	-	I	n	0	pl	385	gekleurde platen
386	1561	1561	pronoun	1561	-	-	I	-	-	both	386	die
387	1562	1566	noun	1563	-	-	I	n	0	sg	387	het verschil van asch ervan
388	1565	1565	name	1565	LOC	-	I	n	0	sg	378	asch
389	1569	1569	pronoun	1569	-	3	I	n	0	sg	378	Het
390	1571	1572	noun	1572	-	-	I	n	0	sg	28	een punt
391	1573	1573	pronoun	1573	-	3	I	n	0	sg	391	dat
392	1576	1576	noun	1576	-	-	I	n	0	pl	392	straf-processen
393	1579	1579	pronoun	1579	-	3	I	n	0	sg	393	dat
394	1583	1583	noun	1583	-	-	O	n	0	sg	394	sleutel
395	1586	1588	noun	1588	-	-	I	n	0	sg	395	het grootste belang
396	1592	1592	pronoun	1592	-	2	I	fm	1	sg	396	gij
