id	start	end	sentno	parno	sentbounds	mentions	speakermention	addresseemention	speakercluster	addresseecluster	text
17	4838	5067	259	48	1	1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,1152,1153,1154,1155,1156,1157,1158,1159,1160,1161,1162,1163,1164,1165,1166,1167,1168,1169,1170,1171,1172,1173,1174,1175,1176,1177,1178,1179,1180,1181,1182,1183,1184,1185,1186,1187,1188,1189,1190,1191,1192,1193,1194,1195,1196,1197,1198,1199,1200,1201	-	-	-	-	- Meenin aeide thea , en ... dat Egijpte een geschenk van den Nijl was . Ik ben overtuigd dat ik in de kennismaking zou geslaagd zijn , indien niet op dat oogenblik een mijner makkers uit kinderachtige baldadigheid mij een zoo harden stoot in den rug had gegeven , dat ik heel onzacht tegen de uitstalkast aanvloog , die op halvemanshoogte de voorzij van de kraam afsloot . Ik voelde een greep in mijn nek ... een tweeden greep veel lager ... ik zweefde een oogenblik ... en vóór ik recht begreep hoe de zaken stonden , was ik in de kraam van den Griek , die in verstaanbaar fransch zei dat ik een gamin was , en dat hij de policie roepen zou . Nu was ik wel dicht bij het meisje , maar genoegen deed het me niet . Ik schreide , en bad om genade , want ik zat vreeselijk in angst . Maar het baatte niet . De Griek hield me bij den arm , en schopte mij . Ik zocht naar mijn makkers - we hadden juist dien morgen veel over Scaevola te doen gehad , die zijn hand in 't vuur stak , en in hun latijnsche opstellen hadden ze dit zoo heel mooi gevonden - jawel ! Niemand was daar gebleven om voor mij een hand in 't vuur te steken ...
18	5617	5647	293	54	1	1332,1333,1334,1335,1336	-	-	-	-	- Het was me bijzonder aangenaam u weer te zien , m'nheer ... r ... r ! En ... èn ... èn ... ik rekommandeer me ! Ik moet hierin .
19	5668	5681	299	56	1	1342,1343,1344,1345	-	-	-	-	- Beste Droogstoppel , zeide hij , ik heb u iets te vragen .
20	6858	6883	371	84	1	1629,1630,1631,1632,1633	1628	1629	113	1629	" Ja , ja , Louise , riep Betsij Rosemeijer , geschreid heb je ! Papa , Frits heeft Louise aan 't schreien gemaakt . "
21	6932	6950	375	86	1	1646,1647,1648	-	-	-	-	- Neen , neen , Frits is heel lief geweest ! Ik wou dat hij 't nogeens deed !
22	7104	7106	383	87	0		1694	-	113	-	" brillekiek "
23	7135	7149	386	88	1	1694,1695,1696	-	1694	-	113	" Toe , Frits ! Och ja , Frits ! Kom , Frits ! "
24	8519	8527	540	219	1	2048,2049	-	-	-	-	" Vader ! schenk me bij de dooden ,
25	8528	8535	541	220	1	2050	-	-	-	-	" Wat het leven mij niet schonk !
26	8536	8544	542	221	1	2051,2052	-	-	-	-	" Vader ! geef me aan gene zijde ,
27	8545	8553	543	222	1	2053,2054,2055	-	-	-	-	" Als de mond des doods mij kust ,
28	8554	8561	544	223	1	2056,2057	-	-	-	-	" Vader ! geef me aan gene zijde
29	8562	8571	545	224	1	2058	-	-	-	-	" Wat ik hier niet smaakte ... Rust ! "
30	8607	8613	551	229	1	2069	-	2069	-	781	" nog niet , o Heer !
31	8614	8622	552	230	1	2070,2071,2072	2069	-	781	-	" Geef mij eerst mijn moeder weer ! "
32	8920	8929	570	233	0	2153,2154	2156	-	1	-	" dat ter-nauwer-nood aan den moederlijken schoot onttogen is "
33	9006	9009	573	233	0		2175	-	93	-	" uitwendig wist "
34	9111	9121	576	233	0	2199,2200,2201	-	-	-	-	" Verslag over de Koffikultuur in de Residentie Menado . "
