mention1	mention2	sieve
257	265	strictheadmatch:7
258	266	stringmatch
91	269	stringmatch:relaxed
268	270	resolvepronouns
258	271	stringmatch
272	273	resolvepronouns
239	276	strictheadmatch:7
280	284	resolvepronouns
283	285	resolvepronouns
284	287	resolvepronouns
1	290	resolvepronouns
249	291	stringmatch
1	292	resolvepronouns
25	293	strictheadmatch:7
291	295	resolvepronouns
1	296	resolvepronouns
291	298	resolvepronouns
1	299	resolvepronouns
1	300	resolvepronouns
298	301	resolvepronouns
1	302	resolvepronouns
1	304	resolvepronouns
301	305	resolvepronouns
303	306	resolvepronouns
282	307	strictheadmatch:7
310	311	resolvepronouns
49	312	strictheadmatch:5
312	313	resolvepronouns
1	314	resolvepronouns
307	317	stringmatch
1	318	resolvepronouns
316	319	resolvepronouns
83	320	stringmatch
1	321	resolvepronouns
1	323	resolvepronouns
1	325	resolvepronouns
1	327	resolvepronouns
1	328	resolvepronouns
1	330	resolvepronouns
403	332	strictheadmatch:5
7	333	strictheadmatch:5
668	334	strictheadmatch:5
1	337	resolvepronouns
65	338	stringmatch
338	339	precise:relpronoun
341	344	resolvepronouns
345	347	resolvepronouns
348	349	precise:relpronoun
347	350	resolvepronouns
350	352	resolvepronouns
352	353	resolvepronouns
353	354	resolvepronouns
354	356	resolvepronouns
346	357	stringmatch
357	358	precise:relpronoun
1091	360	strictheadmatch:5
360	361	precise:predicative
360	362	resolvepronouns
362	364	resolvepronouns
364	366	resolvepronouns
365	367	stringmatch
366	368	resolvepronouns
369	370	strictheadmatch:5
370	371	precise:relpronoun
1498	373	strictheadmatch:5
369	375	strictheadmatch:5
373	380	resolvepronouns
379	381	precise:relpronoun
382	384	resolvepronouns
13	388	resolvepronouns
386	389	resolvepronouns
309	390	stringmatch
88	391	strictheadmatch:5
1	393	resolvepronouns
387	394	resolvepronouns
83	396	stringmatch
397	398	precise:relpronoun
88	399	strictheadmatch:5
92	400	strictheadmatch:7
394	401	resolvepronouns
309	403	stringmatch
219	406	stringmatch
1	407	resolvepronouns
197	408	resolvepronouns
1	411	resolvepronouns
193	412	stringmatch
197	414	resolvepronouns
309	415	stringmatch
280	416	stringmatch:relaxed
416	418	resolvepronouns
322	421	strictheadmatch:5
421	422	precise:relpronoun
424	425	resolvepronouns
427	430	resolvepronouns
428	431	resolvepronouns
431	432	resolvepronouns
431	434	resolvepronouns
434	436	resolvepronouns
436	437	resolvepronouns
272	438	strictheadmatch:5
426	439	strictheadmatch:5
427	441	stringmatch:relaxed
428	442	stringmatch
442	443	resolvepronouns
315	446	stringmatch
1	448	resolvepronouns
3	449	stringmatch
768	450	strictheadmatch:5
1	451	resolvepronouns
1	452	resolvepronouns
549	453	strictheadmatch:5
369	455	stringmatch
219	457	stringmatch
369	459	stringmatch
197	463	resolvepronouns
462	464	precise:relpronoun
1099	465	strictheadmatch:5
193	466	stringmatch
1723	467	strictheadmatch:5
1098	470	strictheadmatch:5
462	471	resolvepronouns
471	473	resolvepronouns
410	474	stringmatch:relaxed
1	475	resolvepronouns
474	477	resolvepronouns
387	478	strictheadmatch:5
477	480	resolvepronouns
203	482	strictheadmatch:7
480	483	resolvepronouns
468	484	resolvepronouns
483	485	resolvepronouns
485	486	resolvepronouns
197	487	resolvepronouns
197	488	resolvepronouns
1	490	resolvepronouns
461	491	strictheadmatch:7
491	492	resolvepronouns
493	494	precise:relpronoun
492	495	resolvepronouns
498	499	resolvepronouns
499	500	resolvepronouns
489	501	resolvepronouns
1	502	resolvepronouns
500	503	resolvepronouns
197	504	resolvepronouns
489	505	stringmatch
197	506	resolvepronouns
1	507	resolvepronouns
1519	508	strictheadmatch:5
505	509	resolvepronouns
503	510	resolvepronouns
510	511	resolvepronouns
403	514	strictheadmatch:5
513	515	resolvepronouns
1	516	resolvepronouns
1	517	resolvepronouns
1	520	resolvepronouns
518	521	resolvepronouns
519	522	resolvepronouns
189	523	stringmatch
1	524	resolvepronouns
336	525	strictheadmatch:5
1	526	resolvepronouns
1	529	resolvepronouns
249	532	stringmatch
1	534	resolvepronouns
1	535	resolvepronouns
476	536	stringmatch
1	537	resolvepronouns
373	538	stringmatch
538	539	precise:predicative
1	541	resolvepronouns
1	544	resolvepronouns
1	545	resolvepronouns
1	546	resolvepronouns
1	548	resolvepronouns
320	549	strictheadmatch:5
1	551	resolvepronouns
173	552	strictheadmatch:5
1	554	resolvepronouns
1	555	resolvepronouns
13	556	resolvepronouns
14	557	strictheadmatch:5
561	562	precise:relpronoun
1	563	resolvepronouns
561	565	precise:predicative
37	566	stringmatch
1	567	resolvepronouns
569	568	precise:predicative
2	569	stringmatch
3	570	stringmatch
42	571	stringmatch
1	573	resolvepronouns
549	574	stringmatch
1	576	resolvepronouns
542	577	stringmatch:relaxed
13	578	resolvepronouns
1	580	resolvepronouns
13	581	resolvepronouns
575	582	resolvepronouns
1	583	resolvepronouns
13	585	resolvepronouns
1	586	resolvepronouns
69	587	stringmatch
1	588	resolvepronouns
13	589	resolvepronouns
13	593	resolvepronouns
193	596	strictheadmatch:5
1	597	resolvepronouns
469	598	stringmatch
600	599	precise:predicative
410	600	stringmatch
1	601	resolvepronouns
193	602	stringmatch
56	603	stringmatch
3	604	stringmatch
4	605	strictheadmatch:5
450	606	stringmatch
69	608	stringmatch
197	610	resolvepronouns
55	611	stringmatch
1251	612	strictheadmatch:7
609	613	resolvepronouns
613	614	resolvepronouns
69	615	stringmatch
13	616	resolvepronouns
611	617	resolvepronouns
55	618	stringmatch
1	619	resolvepronouns
1	620	resolvepronouns
1	622	resolvepronouns
13	623	resolvepronouns
69	624	stringmatch
1	625	resolvepronouns
13	626	resolvepronouns
627	628	precise:predicative
3	629	stringmatch:relaxed
630	631	precise:relpronoun
193	632	stringmatch
1	633	resolvepronouns
1	634	resolvepronouns
55	636	stringmatch
603	637	resolvepronouns
1	640	resolvepronouns
661	642	strictheadmatch:7
533	643	stringmatch
1	644	resolvepronouns
387	645	strictheadmatch:7
645	646	resolvepronouns
646	647	resolvepronouns
193	650	stringmatch
1	651	resolvepronouns
467	652	stringmatch
627	654	stringmatch
197	657	resolvepronouns
424	661	strictheadmatch:7
1	663	resolvepronouns
1	664	resolvepronouns
1	666	resolvepronouns
11	668	strictheadmatch:5
669	670	precise:relpronoun
197	672	resolvepronouns
669	676	strictheadmatch:5
197	678	resolvepronouns
549	679	stringmatch
409	681	stringmatch:relaxed
680	683	resolvepronouns
680	684	resolvepronouns
387	692	strictheadmatch:5
692	693	precise:relpronoun
690	694	resolvepronouns
675	695	stringmatch
700	703	stringmatch:relaxed
2091	705	strictheadmatch:7
675	707	stringmatch
757	708	strictheadmatch:6
1	709	resolvepronouns
193	710	stringmatch
56	711	stringmatch
3	712	stringmatch
605	713	stringmatch
450	715	stringmatch
1688	716	strictheadmatch:5
373	718	stringmatch
718	719	precise:predicative
13	720	resolvepronouns
721	722	precise:relpronoun
69	723	stringmatch:relaxed
192	724	strictheadmatch:7
55	725	stringmatch
197	727	resolvepronouns
726	728	precise:predicative
1	730	resolvepronouns
732	733	strictheadmatch:5
627	734	stringmatch
652	736	strictheadmatch:7
645	737	strictheadmatch:6
93	739	strictheadmatch:7
387	740	strictheadmatch:7
739	741	precise:relpronoun
757	744	strictheadmatch:6
1	745	resolvepronouns
1	746	resolvepronouns
192	748	strictheadmatch:7
55	749	stringmatch
1	750	resolvepronouns
749	751	resolvepronouns
1	752	resolvepronouns
1	753	resolvepronouns
739	755	stringmatch
2288	756	strictheadmatch:5
387	757	strictheadmatch:6
197	758	resolvepronouns
1	760	resolvepronouns
1	763	resolvepronouns
739	764	strictheadmatch:5
1	767	resolvepronouns
42	768	stringmatch
189	769	stringmatch
1	770	resolvepronouns
764	771	resolvepronouns
365	772	strictheadmatch:5
764	773	resolvepronouns
764	775	resolvepronouns
692	776	strictheadmatch:5
778	777	precise:predicative
675	778	stringmatch
726	779	strictheadmatch:5
197	780	resolvepronouns
779	782	resolvepronouns
781	783	resolvepronouns
783	785	resolvepronouns
1	787	resolvepronouns
1	789	resolvepronouns
13	790	resolvepronouns
755	791	properheadmatch
55	792	stringmatch
197	794	resolvepronouns
681	795	stringmatch
1	796	resolvepronouns
1	799	resolvepronouns
1	800	resolvepronouns
803	804	precise:relpronoun
802	805	resolvepronouns
809	810	precise:relpronoun
1	811	resolvepronouns
1	812	resolvepronouns
1	813	resolvepronouns
739	814	strictheadmatch:7
814	815	precise:relpronoun
1	817	resolvepronouns
814	818	resolvepronouns
1	819	resolvepronouns
197	821	resolvepronouns
1	823	resolvepronouns
1	824	resolvepronouns
809	825	strictheadmatch:7
1	826	resolvepronouns
818	827	resolvepronouns
1	829	resolvepronouns
174	830	stringmatch
1	831	resolvepronouns
827	833	resolvepronouns
833	834	precise:predicative
1654	835	strictheadmatch:7
834	836	precise:relpronoun
833	838	resolvepronouns
721	839	strictheadmatch:5
834	840	strictheadmatch:7
838	841	resolvepronouns
1132	842	strictheadmatch:5
843	846	precise:relpronoun
841	850	resolvepronouns
249	854	stringmatch
848	856	resolvepronouns
1	857	resolvepronouns
854	858	resolvepronouns
1	859	resolvepronouns
860	861	resolvepronouns
595	862	stringmatch
193	863	stringmatch
56	864	stringmatch
3	865	stringmatch
42	866	stringmatch
860	867	resolvepronouns
891	870	resolvepronouns
869	871	resolvepronouns
869	872	resolvepronouns
869	873	resolvepronouns
869	876	resolvepronouns
875	877	resolvepronouns
877	878	precise:predicative
891	879	resolvepronouns
879	880	resolvepronouns
879	881	resolvepronouns
881	882	precise:predicative
869	884	resolvepronouns
599	885	strictheadmatch:5
193	886	strictheadmatch:5
467	887	stringmatch
56	888	stringmatch
3	889	stringmatch
883	891	stringmatch
891	892	resolvepronouns
884	893	resolvepronouns
893	894	resolvepronouns
893	895	resolvepronouns
890	896	resolvepronouns
893	897	resolvepronouns
893	898	resolvepronouns
896	899	resolvepronouns
900	902	resolvepronouns
893	903	resolvepronouns
893	905	resolvepronouns
892	907	resolvepronouns
904	908	resolvepronouns
893	909	resolvepronouns
900	910	resolvepronouns
910	911	precise:reflexive
893	912	resolvepronouns
893	913	resolvepronouns
893	914	resolvepronouns
884	915	resolvepronouns
915	916	precise:predicative
891	917	resolvepronouns
917	919	resolvepronouns
920	921	resolvepronouns
917	922	resolvepronouns
915	923	resolvepronouns
1	924	resolvepronouns
197	925	resolvepronouns
413	926	stringmatch
197	927	resolvepronouns
681	928	stringmatch
197	929	resolvepronouns
1	930	resolvepronouns
921	931	resolvepronouns
1	932	resolvepronouns
931	933	resolvepronouns
1	935	resolvepronouns
781	938	stringmatch
938	940	resolvepronouns
1	941	resolvepronouns
413	943	stringmatch
942	944	resolvepronouns
1	945	resolvepronouns
938	946	resolvepronouns
249	949	stringmatch
937	950	resolvepronouns
1	951	resolvepronouns
949	952	resolvepronouns
1	954	resolvepronouns
13	955	resolvepronouns
560	956	stringmatch
1	959	resolvepronouns
65	961	stringmatch
961	962	precise:relpronoun
1	963	resolvepronouns
957	964	resolvepronouns
960	965	resolvepronouns
1	967	resolvepronouns
920	969	stringmatch
1	970	resolvepronouns
1	972	resolvepronouns
1	975	resolvepronouns
13	976	resolvepronouns
1	977	resolvepronouns
1	978	resolvepronouns
189	979	stringmatch
1	980	resolvepronouns
212	981	stringmatch
197	982	resolvepronouns
214	984	stringmatch
984	985	resolvepronouns
985	986	precise:predicative
986	987	precise:relpronoun
577	988	stringmatch
1	989	resolvepronouns
197	990	resolvepronouns
690	991	stringmatch:relaxed
964	992	resolvepronouns
1168	993	strictheadmatch:5
104	994	strictheadmatch:7
992	995	resolvepronouns
995	996	precise:reflexive
1618	997	strictheadmatch:5
997	998	precise:relpronoun
995	999	resolvepronouns
1	1000	resolvepronouns
729	1001	stringmatch
690	1003	stringmatch
1	1005	resolvepronouns
1	1008	resolvepronouns
1	1009	resolvepronouns
1	1011	resolvepronouns
1	1012	resolvepronouns
1007	1013	resolvepronouns
1010	1014	stringmatch
1	1016	resolvepronouns
1004	1018	resolvepronouns
1002	1020	stringmatch:relaxed
690	1021	stringmatch
1	1022	resolvepronouns
13	1025	resolvepronouns
1025	1026	precise:predicative
1	1028	resolvepronouns
13	1029	resolvepronouns
13	1030	resolvepronouns
1031	1032	precise:relpronoun
1132	1033	strictheadmatch:5
345	1035	stringmatch
1035	1036	precise:relpronoun
1040	1038	precise:predicative
1037	1039	resolvepronouns
993	1040	stringmatch
1038	1041	resolvepronouns
993	1042	stringmatch
1034	1043	resolvepronouns
1	1045	resolvepronouns
345	1046	strictheadmatch:5
1046	1048	resolvepronouns
1047	1049	resolvepronouns
1	1050	resolvepronouns
111	1053	strictheadmatch:5
1051	1054	resolvepronouns
197	1055	resolvepronouns
1055	1056	precise:appositive
1023	1058	stringmatch
1892	1059	strictheadmatch:5
1057	1060	resolvepronouns
1	1062	resolvepronouns
1382	1063	strictheadmatch:5
1061	1064	resolvepronouns
1061	1065	resolvepronouns
1037	1067	strictheadmatch:5
1065	1068	resolvepronouns
1068	1069	precise:predicative
197	1071	resolvepronouns
1068	1072	resolvepronouns
1070	1073	resolvepronouns
1	1074	resolvepronouns
1072	1075	resolvepronouns
1075	1076	resolvepronouns
197	1077	resolvepronouns
197	1078	resolvepronouns
197	1079	resolvepronouns
197	1081	resolvepronouns
1067	1083	strictheadmatch:5
197	1084	resolvepronouns
743	1085	strictheadmatch:7
1083	1086	resolvepronouns
386	1087	stringmatch
1157	1088	strictheadmatch:5
176	1091	strictheadmatch:5
1	1093	resolvepronouns
1	1094	resolvepronouns
1	1095	resolvepronouns
1	1097	resolvepronouns
1768	1098	strictheadmatch:5
134	1099	strictheadmatch:5
86	1102	stringmatch
1	1103	resolvepronouns
1	1104	resolvepronouns
1	1105	resolvepronouns
1	1107	resolvepronouns
1101	1108	strictheadmatch:5
8	1109	stringmatch
1	1110	resolvepronouns
1	1112	resolvepronouns
1082	1113	stringmatch:relaxed
920	1114	stringmatch
1115	1116	precise:relpronoun
197	1117	resolvepronouns
15	1118	stringmatch
1	1120	resolvepronouns
1	1121	resolvepronouns
1	1122	resolvepronouns
1	1124	resolvepronouns
1	1125	resolvepronouns
1	1126	resolvepronouns
1082	1127	stringmatch
1046	1128	stringmatch
1	1129	resolvepronouns
1	1130	resolvepronouns
1	1131	resolvepronouns
99	1132	strictheadmatch:5
1	1133	resolvepronouns
1069	1134	strictheadmatch:7
1	1135	resolvepronouns
1136	1137	resolvepronouns
1	1138	resolvepronouns
1	1139	resolvepronouns
1141	1142	precise:predicative
1144	1145	resolvepronouns
1144	1150	resolvepronouns
1144	1152	resolvepronouns
1153	1154	precise:relpronoun
1082	1157	stringmatch
1144	1158	resolvepronouns
1144	1161	resolvepronouns
1144	1163	resolvepronouns
1144	1164	resolvepronouns
577	1165	stringmatch
1144	1166	resolvepronouns
1113	1167	stringmatch
920	1168	stringmatch
1168	1169	precise:relpronoun
1144	1171	resolvepronouns
1171	1172	precise:predicative
1170	1173	resolvepronouns
1144	1175	resolvepronouns
1046	1176	stringmatch
874	1177	strictheadmatch:5
1144	1178	resolvepronouns
1144	1179	resolvepronouns
1144	1181	resolvepronouns
1216	1183	strictheadmatch:5
1144	1184	resolvepronouns
1144	1186	resolvepronouns
1144	1187	resolvepronouns
1123	1188	stringmatch
1144	1189	resolvepronouns
1191	1192	precise:relpronoun
1201	1193	strictheadmatch:5
1192	1194	resolvepronouns
1188	1197	resolvepronouns
1196	1198	resolvepronouns
1193	1199	resolvepronouns
1144	1200	resolvepronouns
1118	1201	strictheadmatch:5
1	1202	resolvepronouns
1	1204	resolvepronouns
420	1205	strictheadmatch:5
1082	1206	stringmatch
1203	1207	resolvepronouns
728	1208	stringmatch:relaxed
1207	1209	resolvepronouns
1209	1210	precise:predicative
1	1211	resolvepronouns
1209	1213	resolvepronouns
1212	1214	resolvepronouns
1209	1215	resolvepronouns
920	1216	stringmatch
1	1218	resolvepronouns
1	1219	resolvepronouns
1183	1220	stringmatch
1215	1221	resolvepronouns
1	1222	resolvepronouns
1	1224	resolvepronouns
997	1225	stringmatch
1225	1226	precise:relpronoun
1	1227	resolvepronouns
1	1228	resolvepronouns
1	1229	resolvepronouns
1230	1232	resolvepronouns
1	1233	resolvepronouns
1220	1235	resolvepronouns
690	1236	stringmatch
973	1237	stringmatch
993	1238	stringmatch
293	1240	strictheadmatch:5
1240	1242	resolvepronouns
1023	1243	stringmatch
1	1244	resolvepronouns
1	1245	resolvepronouns
1	1246	resolvepronouns
1	1248	resolvepronouns
13	1249	resolvepronouns
542	1250	stringmatch:relaxed
1264	1251	strictheadmatch:7
1188	1252	resolvepronouns
1132	1253	stringmatch:relaxed
1059	1254	stringmatch
1254	1255	resolvepronouns
1255	1257	resolvepronouns
1	1258	resolvepronouns
13	1260	resolvepronouns
560	1261	stringmatch
1261	1262	resolvepronouns
1	1263	resolvepronouns
219	1264	stringmatch
65	1265	stringmatch
1265	1266	precise:relpronoun
1265	1267	precise:predicative
1	1268	resolvepronouns
13	1269	resolvepronouns
55	1270	stringmatch
1	1271	resolvepronouns
798	1272	stringmatch
1	1273	resolvepronouns
609	1274	stringmatch
1	1275	resolvepronouns
549	1276	stringmatch
1	1277	resolvepronouns
322	1279	strictheadmatch:7
1	1280	resolvepronouns
1279	1281	resolvepronouns
1	1282	resolvepronouns
1281	1283	resolvepronouns
1281	1284	resolvepronouns
1286	1285	precise:predicative
997	1286	stringmatch
445	1287	strictheadmatch:5
1287	1288	precise:relpronoun
69	1289	stringmatch
1	1290	resolvepronouns
1	1291	resolvepronouns
1287	1292	resolvepronouns
1	1293	resolvepronouns
1292	1294	resolvepronouns
1	1295	resolvepronouns
1	1297	resolvepronouns
1294	1298	resolvepronouns
1298	1300	resolvepronouns
1	1304	resolvepronouns
197	1307	resolvepronouns
1298	1308	resolvepronouns
1	1309	resolvepronouns
1308	1310	resolvepronouns
1311	1312	precise:relpronoun
1310	1313	resolvepronouns
1313	1314	resolvepronouns
1442	1315	strictheadmatch:5
1	1316	resolvepronouns
1	1318	resolvepronouns
1585	1320	strictheadmatch:5
1	1321	resolvepronouns
1	1322	resolvepronouns
1317	1323	stringmatch
1	1324	resolvepronouns
197	1325	resolvepronouns
1326	1327	resolvepronouns
1	1328	resolvepronouns
1	1329	resolvepronouns
1323	1330	resolvepronouns
1330	1331	resolvepronouns
1332	1334	resolvepronouns
1332	1335	resolvepronouns
1332	1336	resolvepronouns
1331	1337	resolvepronouns
1	1338	resolvepronouns
1	1341	resolvepronouns
1395	1342	strictheadmatch:7
1342	1343	resolvepronouns
1	1346	resolvepronouns
1343	1349	resolvepronouns
1	1350	resolvepronouns
1	1351	resolvepronouns
1	1352	resolvepronouns
69	1353	stringmatch
1320	1354	resolvepronouns
69	1355	stringmatch
13	1356	resolvepronouns
1	1357	resolvepronouns
1339	1358	strictheadmatch:5
1	1359	resolvepronouns
1	1360	resolvepronouns
1317	1361	stringmatch
1	1362	resolvepronouns
1	1364	resolvepronouns
1	1365	resolvepronouns
1	1367	resolvepronouns
69	1368	stringmatch
249	1369	stringmatch
1	1370	resolvepronouns
1203	1372	strictheadmatch:5
1371	1373	resolvepronouns
1	1374	resolvepronouns
595	1375	strictheadmatch:7
1	1376	resolvepronouns
1442	1377	strictheadmatch:5
1	1378	resolvepronouns
1017	1379	strictheadmatch:5
852	1382	strictheadmatch:5
1340	1383	strictheadmatch:5
1	1385	resolvepronouns
249	1386	stringmatch
1023	1387	stringmatch
1	1389	resolvepronouns
1394	1390	strictheadmatch:7
1	1392	resolvepronouns
13	1393	resolvepronouns
2251	1394	strictheadmatch:7
891	1395	strictheadmatch:7
1	1396	resolvepronouns
1395	1397	resolvepronouns
883	1398	properheadmatch
1	1399	resolvepronouns
1	1400	resolvepronouns
13	1403	resolvepronouns
1	1405	resolvepronouns
13	1406	resolvepronouns
934	1407	stringmatch
1404	1408	resolvepronouns
197	1409	resolvepronouns
413	1410	stringmatch
197	1411	resolvepronouns
681	1412	stringmatch
1	1413	resolvepronouns
830	1417	strictheadmatch:5
1418	1419	precise:relpronoun
1	1420	resolvepronouns
1418	1422	resolvepronouns
609	1424	stringmatch
1	1426	resolvepronouns
386	1427	stringmatch
1422	1428	resolvepronouns
1428	1429	resolvepronouns
1	1430	resolvepronouns
1	1432	resolvepronouns
147	1435	stringmatch:relaxed
1442	1436	strictheadmatch:5
1	1438	resolvepronouns
1433	1439	stringmatch
1434	1440	stringmatch
336	1442	strictheadmatch:5
13	1443	resolvepronouns
1439	1444	resolvepronouns
1444	1446	resolvepronouns
1444	1450	resolvepronouns
1444	1453	resolvepronouns
1195	1455	strictheadmatch:5
1	1456	resolvepronouns
1394	1457	strictheadmatch:7
1	1458	resolvepronouns
1457	1459	resolvepronouns
1	1460	resolvepronouns
1453	1461	resolvepronouns
1	1462	resolvepronouns
1459	1465	resolvepronouns
1461	1466	resolvepronouns
1459	1467	resolvepronouns
1466	1470	resolvepronouns
1	1471	resolvepronouns
1470	1472	resolvepronouns
174	1474	stringmatch
1	1475	resolvepronouns
1	1480	resolvepronouns
1481	1482	precise:relpronoun
1	1483	resolvepronouns
1	1484	resolvepronouns
1	1485	resolvepronouns
13	1486	resolvepronouns
1	1487	resolvepronouns
1	1489	resolvepronouns
1	1490	resolvepronouns
1	1492	resolvepronouns
1	1494	resolvepronouns
1	1496	resolvepronouns
1	1497	resolvepronouns
335	1498	stringmatch
1	1501	resolvepronouns
1502	1503	resolvepronouns
1503	1504	precise:predicative
310	1505	stringmatch
1	1506	resolvepronouns
376	1508	strictheadmatch:5
197	1512	resolvepronouns
1	1516	resolvepronouns
1	1518	resolvepronouns
458	1519	strictheadmatch:5
1521	1524	resolvepronouns
1	1526	resolvepronouns
1525	1527	resolvepronouns
1	1528	resolvepronouns
1	1530	resolvepronouns
1	1533	resolvepronouns
1	1534	resolvepronouns
197	1536	resolvepronouns
1513	1537	resolvepronouns
13	1539	resolvepronouns
13	1540	resolvepronouns
1	1541	resolvepronouns
1531	1543	stringmatch:relaxed
1	1546	resolvepronouns
13	1549	resolvepronouns
1391	1550	strictheadmatch:5
1550	1551	precise:relpronoun
13	1553	resolvepronouns
1	1554	resolvepronouns
1	1555	resolvepronouns
1552	1556	resolvepronouns
1	1557	resolvepronouns
1	1561	resolvepronouns
1	1565	resolvepronouns
1564	1566	precise:predicative
1566	1569	resolvepronouns
1568	1570	resolvepronouns
1	1571	resolvepronouns
1	1572	resolvepronouns
13	1575	resolvepronouns
1	1576	resolvepronouns
1574	1577	resolvepronouns
1	1578	resolvepronouns
2	1579	stringmatch:relaxed
1	1581	resolvepronouns
1203	1582	strictheadmatch:5
1	1583	resolvepronouns
1582	1584	resolvepronouns
293	1585	strictheadmatch:5
1	1586	resolvepronouns
1582	1587	precise:reflexive
1404	1588	strictheadmatch:7
1	1589	resolvepronouns
1363	1591	stringmatch
1591	1592	precise:reflexive
1	1593	resolvepronouns
1	1594	resolvepronouns
1	1595	resolvepronouns
1802	1596	strictheadmatch:5
1	1597	resolvepronouns
1550	1598	stringmatch
249	1599	stringmatch
1	1600	resolvepronouns
1598	1602	resolvepronouns
1599	1603	resolvepronouns
1603	1604	precise:reflexive
1	1605	resolvepronouns
1603	1606	resolvepronouns
1608	1609	precise:relpronoun
249	1611	stringmatch
1611	1612	resolvepronouns
1	1613	resolvepronouns
219	1615	stringmatch
1614	1616	resolvepronouns
1023	1617	stringmatch
8	1618	stringmatch
1051	1619	strictheadmatch:5
1619	1622	resolvepronouns
197	1626	resolvepronouns
249	1628	stringmatch
1629	1631	resolvepronouns
249	1632	stringmatch
1629	1633	stringmatch
189	1634	stringmatch
1	1635	resolvepronouns
249	1636	stringmatch
1607	1637	strictheadmatch:7
1634	1638	resolvepronouns
1636	1639	resolvepronouns
1629	1640	stringmatch
1	1642	resolvepronouns
1	1643	resolvepronouns
1629	1645	stringmatch
249	1646	stringmatch
1646	1648	resolvepronouns
1648	1649	resolvepronouns
1645	1650	resolvepronouns
1649	1651	resolvepronouns
13	1652	resolvepronouns
387	1654	strictheadmatch:7
1621	1655	strictheadmatch:5
1630	1657	strictheadmatch:6
1608	1658	stringmatch
1658	1659	precise:reflexive
1659	1660	resolvepronouns
1610	1661	stringmatch
1657	1664	stringmatch
1629	1665	stringmatch
197	1666	resolvepronouns
249	1668	stringmatch
1667	1669	precise:relpronoun
1	1671	resolvepronouns
219	1672	stringmatch
1668	1673	resolvepronouns
1	1674	resolvepronouns
1673	1676	resolvepronouns
