1-1|Multatuli
14-1|Een zeer eigenaardig sprookje is de geschiedenis van Woutertje Pieterse : geen zweverig sprookje , dat buiten het alledaagsche leven omgaat , maar het wonderverhaal van een ontwakende dichterziel temidden der meest stuitende alledaagschheid en van zijn streven naar goedheid , waarheid en schoonheid in een wereld , waar platheid , zelfzucht en eigengerechtigheid hoogtij vieren .
14-2|Het is de strijd van Multatuli's eigen kinderjaren , [ @alt ~die~dien dien ] hij eerst onbewust , later bewust gestreden heeft .
15-1|Toch moet de Woutergeschiedenis niet opgevat worden als M.'s autobiographie .
15-2|In dieperen zin is dit wel het geval : het leed , de droomen , de innerlijke strijd en ontwikkeling zijner kinderjaren zijn er in geteekend .
15-3|Maar niet zijn ouderlijk huis , niet zijn moeder vooral .
15-4|Alleen de schepping van Stoffel staat [ @alt enigszins eenigszins ] in verband ( 2)met herinneringen aan een niet zeer beminden broeder en Leentje is historisch .
15-5|Episoden als het romanlezen , de pepermenthandel met de Hallemannetjes , de kantoorcarrière bij de firma Kopperlith , en het twijfelachtig genot van de uitnoodigingen op hun " buiten " , Femke en Pastoor Jansen ( voor wien een braaf dorpsdominee tot model diende ) , - dat alles is min of meer historisch .
16-1|De groei van een kinderziel in een gezin en een maatschappij , die door conventie verwrongen zijn , en die door de kracht van [ @alt ~die~dien dien ] zuiveren , innerlijken groei bestemd is om eenmaal de knellende vormen te verbreken , maar voorloopig moeite heeft zich te schikken in de grootemenschenwereld , die hij niet verstaat : dat is de Woutergeschiedenis .
17-1|Voor het eerst heeft Multatuli in ons land [ @alt ~de~den den ] ontwikkelingsgang van het kind in een kunstwerk geschetst .
17-2|Wat Rousseau met zijn Emile , Bernardin de St. Pierre met Paul et Virginie , von Sallet in Contraste und Paradoxe hebben gedaan , dat deed Multatuli op zeer oorspronkelijke wijze in zijn Woutergeschiedenis .
17-3|De [ @alt Franse Fransche ] schrijvers plaatsen hun kinderen buiten de werkelijkheid .
17-4|Maar Multatuli plaatst Wouter midden in het leven .
17-5|Hij laat Wouter opgroeien in een uiterst-bekrompen , kleinburgerlijke omgeving .
17-6|Deze omgeving schetst hij met scherpe humor ; hij laat zien hoe bekrompenheid van woning samenhangt met die van lichaam en ziel : " begrippen van deugd , zedelijkheid , godsdienst zijn veelal geschoeid op de leest van de ruimte waarin men zich bewoog " , en " er bestaat 'n zeer innige verwantschap tusschen de benauwde tweede-achter-verdiepingsche denkbeelden , en de bekatechiseerde stofferigheid van [ @alt zo'n zoo'n ] omnibus-bedstede .
17-7|Alles is in alles . "
17-8|( I. 401 . )
18-1|Wouter nu doorbreekt [ @alt ~die~dien dien ] samenhang tusschen uiterlijke en innerlijke bekrompenheid .
18-2|Hij ontwikkelt zich juist in sterke tegenstelling tot zijn omgeving .
18-3|Bij deze heerscht harmonie tusschen uiterlijke omstandigheden en innerlijk leven .
18-4|Maar Wouter groeit innerlijk tegen de verdrukking in door [ @alt ~de~den den ] adel van zijn aanleg .
18-5|Telkens ontvlucht hij het ouderlijk huis om te droomen bij slooten en molens en bruggetjes .
18-6|Daar gaat de romantische boekenwereld voor hem open , daar vindt hij Femke en de liefde en uit al die sensaties wordt Fancy geboren .
19-1|De tegenstelling tusschen Wouter en zijn familie vinden we terug in de tegenstellingen in de omgeving , waarin hij opgroeit : 't huis Pieterse en consorten staat tegenover Vrouw Claus en Femke , huisdominee en Pennewip tegenover Pastoor Jansen , de holle deftigheid der Kopperliths tegenover de wezenlijke superioriteit der Holsma's .
20-1|In het tweede gedeelte der Woutergeschiedenis krijgt Wouter een lotgenoot : tegenover Wouter , die aan kleinburgerlijke bekrompenheid tracht te ontkomen , verschijnt Prinses Erica , die zich tegen vorstelijke geesteloosheid en vormelijkheid verzet .
21-1|Wouter ziet in Erica de ware verschijning zijner Fancy , door wie de liefelijke Femke wordt verdrongen .
21-2|Erica waant in de ruwheid van het volksleven , in [ @alt de den ] [ @alt degelijke degelijken ] eenvoud
22-1|( 3)van Vrouw Claus de ware menschelijkheid te hebben gevonden .
23-1|En onbewust spreekt ze waarheid , als ze bij vergissing in de donkere kroeg Wouter Mein Bruder noemt : want als zusterzielen zoeken beiden naar poëzie en ware menschelijkheid in de sfeer tegengesteld aan de [ @alt ~eigen~eigene eigene ] .
24-1|Het verzoenende beeld , dat deze uitersten moet opheffen , is geteekend in het gezin van dokter Holsma : niet in hoogheid van rang of eenvoud van leven , maar in zuiverheid van gemoed , in innerlijken rijkdom schuilt de ware menschelijkheid .
24-2|In de uitspraken van Dr. Holsma , Zielearts en Opvoeder in [ @alt de den ] [ @alt ware waren ] zin des woords , vinden we Multatuli's eigen denkbeelden terug .
25-1|Wouters ontwikkeling wordt zeer uitvoerig geschetst : zijn kleeding , zijn leeren , zijn omgang met kameraden en vriendinnetjes , zijn reageeren op moederlijke en Pennewipsche paedagogie , zijn tobben over de z.g.n. levenswijsheid der groote menschen en dan het ontwaken in zijn gemoed van liefde en begeerte naar macht om het goede te doen zegevieren , zijn tobben , waarom een almachtig God zooveel onrecht duldt , de botsingen van zijn ontwakend idealisme met het bestaande thuis , op school , in [ @alt ~de~den den ] handel . - dat alles wordt in fijn gevoelde , humoristische tafreeltjes geschetst .
26-1|De Woutergeschiedenis is onvoltooid gebleven .
26-2|Wel is het Multatuli's plan geweest Wouter tot diens dood toe te volgen , daarom liet hij hem dan ook omstreeks 1800 geboren worden .
26-3|Maar de bittere stemming over kritiek op zijn werk en persoon , over het uitblijven der [ @alt zo zoo ] vurig bepleite hervormingen , verduisterden voorgoed de Fancy-verschijning in zijn gemoed .
27-1|En [ @alt zo zoo ] verliezen we Wouter uit het oog als een jongen , die op het punt staat het groote leven in te gaan .
27-2|Hij is bezield met goede voornemens - maar de weg naar de hel is ermee geplaveid , voegt Multatuli er aan toe .
28-1|En zijn de eerste daad als hij met Pastoor Jansen op pad gaat om eigen domheid te herstellen , is een poging twee meisjes van [ @alt ~haar~hare hare ] domheid te redden : en dit stemt sceptisch of Wouter zijn goede voornemens inderdaad ten uitvoer zal leggen .
29-1|Multatuli beperkt zich niet tot het schetsen van Wouters wederwaardigheden : hij wijst telkens op fouten in opvoeding en onderwijs , op bekrompenheid , op maatschappelijk onrecht .
29-2|Hij trekt telkens een parallel tusschen de ontwikkeling der kinderziel en die der menschheid : hij vindt hierin aanleiding opmerkingen over taalontwikkeling , mythologie , folklore en geschiedenis te plaatsen .
30-1|De grens tusschen deze uitweidingen en de Woutergeschiedenis is vaak moeilijk te trekken : soms zijn het korte kernachtige spreuken , soms dijen ze uit tot lange vertoogen .
31-1|[ @alt Zo Zoo ] vinden we hoofdstukken mèt en hoofdstukken zònder ideen , ook wel eens Ideen zonder hoofdstuk , herhaaldelijk hoofdstukken met zijsprongen op 't gebied van kunst , geschiedenis , zedelijkheid , politiek of literaire kritiek .
32-1|( 4 )
33-1|[ @alt Zo Zoo ] is de Woutergeschiedenis in en door de Ideen heengewerkt , maar toch als een bewuste tegenstelling tot die Ideen .
33-2|In de Woutergeschiedenis geeft Multatuli de idee op de wijze van het sprookje , de idee gekleurd door het schoone licht der fantasie .
33-3|Maar telkens weer wekten de beelden door Fancy hem voorgetooverd [ @alt ~de~den den ] beschouwenden , kritischen geest van [ @alt ~de~den den ] schrijver ; dan onderbreekt hij Fancy om redeneerend , afbrekend en opbouwend aan [ @alt ~haar~hare hare ] beelden [ @alt ~zijn~zijne zijne ] ideen te demonstreeren .
33-4|En dan gebeurt het niet zelden , dat hij van idee tot idee voortredeneerend , Fancy laat glippen .
34-1|[ @alt Zo Zoo ] is de Woutergeschiedenis zeer nauw , ja haast onverbrekelijk met de Ideen verbonden : en tòch , wie de bekoring van Fancy's sprookje ten volle wil genieten , zal bij voorkeur achter elkaar die stukken van de Ideen opslaan , waarin de Woutergeschiedenis wordt voortgezet , en de betoogen , die deze onderbreken , zooveel mogelijk overslaan .
34-2|Want ondanks alle uitweidingen is ze in [ @alt zichzelf zichzelven ] een eenheid van groote schoonheid .
34-3|Dit nu komt beter tot zijn recht in een afzonderlijke uitgave , dan in de Ideen [ @alt zelf zelve ] .
35-1|Wegens [ @alt de den ] [ @alt innige innigen ] samenhang met de Ideen echter is Multatuli nooit overgegaan tot het bewerken [ @alt ener eener ] afzonderlijke uitgave en heeft [ @alt ~zijn~zijne zijne ] weduwe sterk geaarzeld , eer ze er toe kon besluiten .
36-1|In deze nieuwe afzonderlijke uitgave zijn weer meer stukken weggelaten , dan in die van Multatuli's weduwe .
36-2|De eenheid en samenhang dezer kunstschepping zuiver te doen uitkomen is hierbij richtsnoer geweest , doch allerminst was het de bedoeling [ @alt ~de~den den ] samenhang met de Ideen weg te doezelen ; wie de Woutergeschiedenis volkomen wil leeren kennen , leze deze zoowel in de afzonderlijke uitgave , als in de Ideen .
37-1|Daar vele der weggelaten betoogen in zeer nauw verband staan tot de Woutergeschiedenis , is in noten met enkele woorden naar deze Ideen verwezen ; minder belangrijke coupures zijn echter niet aangegeven .
38-1|Dat thans eene geïllustreerde uitgave verschijnt is geheel in [ @alt ~de~den den ] geest van [ @alt ~de~den den ] schrijver ; dat vaderlandsche kunstenaars zich niet geroepen voelden Wouter in zijn pittoresk milieu uit te beelden , was hem steeds een grievende teleurstelling.1
39-1|Door besprekingen met [ @alt ~de~den den ] Heer Van der Valk over de keuze der illustraties en met ondergeteekende over het al dan niet weglaten van sommige stukken heeft Mevrouw de Weduwe Douwes Dekker - Hamminck Schepel ook aan deze uitgave [ @alt ~haar~hare hare ] vriendelijke medewerking verleend .
40-1|Dat een en ander [ @alt ~haar~hare hare ] goedkeuring verwierf , moge gelden als waarborg , dat de bewerking dezer uitgave het werk van Multatuli tot zijn recht doet komen .
41-1|J. van [ @alt ~de~den den ] Bergh van Eijsinga-Elias .
42-1|1 Zie de noot van 1872 bij Idee 512 .
43-1|N.B. Alle noten zijn van de hand van ondergeteekende , behalve die noten , welke ( M. ) geteekend zijn : deze voegde Multatuli zelf aan zijn werk toe .
44-1|( 5 )
44-2|Wat poëzie , myn God , [ @alt gij gy ] die in poëzie alleen bestaat .
45-1|Wat poëzie , myn God , opdat ik niet verga van walging over zooveel walg'lyks òm my .
46-1|............................
47-1|Lieve Fancy , wilt ge my een sprookje voorzeggen?1
48-1|Chronologisch-archaeologisch onderzoek naar [ @alt ~de~den den ] oorsprong dezer geschiedenis , en van [ @alt ~de~den den ] naam der hartenstraat .
48-2|Over Poëzie in 'n stad wier naam op dam uitgaat .
48-3|Ongeneeslyke liefde , en vlechten van valsch haar .
48-4|De held van deze historie verdedigd tegen 't vermoeden van misdaad .
48-5|Apothéose van Glorioso .
48-6|'t Gevaar van [ @alt ~de~den den ] roem , en de veiligheid van 't bovenste plankje .
48-7|De geduldige Kat van vader Van Alphen , die nooit zooveel geduld noodig had - ik meen de Kat - als de kinderen die z'n versjes moesten leeren - de versjes van Van Alphen , meen ik - en als de martelaars van de ouderlyke ydelheid , die ze moesten aanhooren .
49-1|Het jaar weet ik niet .
49-2|Daar ge er belang in stelt , lezer , het tydstip te weten , waarop de geschiedenis die ik u verhalen wil aanvangt , zal ik 'n paar punten opgeven als jalons .
50-1|M'n moeder klaagde over duurte van levensmiddelen en brandstof .
50-2|'t Moet dus geweest zyn vóór de ontdekking der staathuishoudkunde .
50-3|Onze meid was getrouwd met [ @alt ~de~den den ] barbiersknecht die maar één been had .
50-4|" Dat was [ @alt zo zoo ] zuinig , meende de ziel , om 't schoeisel . "
50-5|Daaruit zou men nu weer besluiten dat de staathuishoudkunde wèl uitgevonden was .
51-1|Hoe dit zy , 't is lang geleden .
51-2|Men [ @alt zei zeide ] nog niet : ik heb bepaald pyn in 't hoofd , Amsterdam had nog geen trottoirs , de inkomende Rechten bestonden nog , men gebruikte in zekere beschaafde landen nog galgen , en stierf niet [ @alt zo zoo ] dagelyks aan anevrismen .
51-3|Ja , 't is lang geleden .
52-1|Ik heb nooit begrepen waarom de hartenstraat hartenstraat genoemd wordt .
52-2|Of moet men hartéstraat schryven , of hèrtenstraat ?
52-3|Nooit heb ik in die buurt meer hartelykheid opgemerkt dan elders , en ook hertebeesten waren er niet menigvuldig , schoon er iemand woonde die kippen verkocht , en dus poelier genoemd werd , dat kachelmaker beteekent .
53-1|Ik ben daar in-lang niet geweest ; en herinner me alleen dat het 'n straat is die twee hoofdgrachten aan elkaar verbindt , hoofdgrachten die ik zal laten dempen zoodra ik de macht heb Amsterdam te maken tot een der schoonste hoofdsteden van Europa .
53-2|Wat een myner vele plannen is .
54-1|Die ingenomenheid met de toekomst onzer hoofdstad , maakt me niet blind voor haar gebreken .
54-2|Daaronder reken ik in de eerste plaats haar volslagen ongeschiktheid tot [ @alt toneel tooneel ] van romantische voorvallen .
54-3|Men ontmoet daar geen gemaskerde dominoos op de straten ... de burgerlyke stand wordt geregeld bygehouden ... er is geen Ghetto geen Templebar , geen " Chinesche kamp " , geen Cour des miracles ... wie er 'n moord doet , wordt gestraft ... en de meisjes heeten Mietjen of Jansjen .
54-4|Alles proza .
55-1|( 6 )
56-1|Er is moed noodig om 'n verhaal te doen aanvangen in 'n plaats die op " dam " uitgaat , en waar men dus moeielyk Emérence's of Héloïzes kan laten wonen .
56-2|Wat ook weinig baten zou , wyl die frajigheden al lang geprofaneerd zyn .
57-1|Hoe maken 't toch de [ @alt franse fransche ] schryvers om hun Margots en hun Marions aantekleeden als idealen , en om niet te doen walgen van de Henri's en Ernesten die evenzeer doen denken aan M'sieu Henri en M'sieu Ernest uit [ @alt ~de~den den ] nouveauté-winkel , als onze burgwallen aan vuil water ?
58-1|Göthe was 'n moedig man : Grietje , Klaartje ...
59-1|En ik : in de hartenstraat !
60-1|Maar ik schryf geen roman , dat 's waar .
60-2|En al schreef ik 'n roman , dan nog zie ik niet in , waarom ik die niet geven zou als geschiedenis !
60-3|En wel van iemand die in z'n jeugd verliefd werd op 'n houtzaagmolen , en lang heeft nagesukkeld aan die kwaal .
61-1|Want verliefdheid is 'n kwaal , al is 't maar op 'n molen .
62-1|Men ziet dat m'n verhaal heel eenvoudig wezen zal .
62-2|Te eenvoudig eigenlyk om alleen te staan .
62-3|En daarom , als 't me wat al te mager voorkomt , zal ik er wat tusschenvlechten hier-en-daar , zooals de Chinezen doen met hun staarten wanneer die wat dun zyn , omdat ze geen Eau de Lob hebben en geen olie van Makasser ... waar ik trouwens nooit 'n beer ontmoette die vet leverde aan Rowland .
63-1|In de hartenstraat dan was 'n leesbibliotheek .
63-2|Een kleine jongen met 'n stadskleurig gezichtje stond op de stoep , en scheen besluiteloos .
63-3|Het was hem aantezien dat-i gebukt ging onder 'n plan boven z'n kracht .
64-1|Telkens stak-i de hand uit naar de kruk van de deur , en telkens veranderde hy die halfvolbrachte beweging in 'n onnoodig neertrekken van 't rechthoekig hemdskraagje dat als 'n juk op z'n schouders lag , of in 'n even onnoodig tegenhouden van 'n gemaakte kuch .
65-1|Schynbaar verdiept in de beschouwing der bonte twee-duits-prenten die de glazen voordeur van [ @alt ~de~den den ] aandoeningwinkel maakten tot 'n staalkaart van onbegrypelyke dieren , vierkante [ @alt bomen boomen ] en onmogelyke soldaten , dwaalde z'n blik gedurig scheef-uit , als van iemand die vreest betrapt te worden op misdryf .
65-2|'t Was duidelyk dat-i 'n opzet in [ @alt ~de~den den ] zin had dat ten-eeuwigen-dage moest verborgen blyven voor de blikken van voorbyganger en nageslacht , en wie bovendien lette op de krampachtigheid waarmee hy met de linkerhand onder 't opgeschort kieltje iets scheen te betasten en te knypen in z'n broekzak , zou allicht op 't denkbeeld zyn gekomen , dat Wouter voornemens was huisbraak te plegen , of [ @alt zo zoo ] -iets .
66-1|Want hy heette Wouter .
67-1|'t Is wel gelukkig dat ik op 't idee ben gekomen z'n geschiedenis te verhalen , en ik beschouw 't als 'n eerste plicht u te zeggen dat-i volkomen onschuldig was aan poging tot huisbraak of moord .
68-1|Maar 't zou me veel waard zyn hem even bondig te kunnen vryspreken van andere vergrypen .
68-2|'t Voorwerp dat hy heen-en-weer keerde in z'n linkerbroekzak , was wel geen rossignol , geen passe-partout ,
69-1|( 7)geen casse-tête , geen tomahawk of machine infernale ... maar toch 'n papiertje dat de veertien stuivers inhield , waarvoor-i z'n Nieuw-Testament met gezangen had verkwanseld aan [ @alt ~de~den den ] stalleman op d'ouwenbrug , en 't plan dat hem [ @alt zo zoo ] kleven deed aan die stoep in de hartenstraat , was niet meer of minder dan z'n intrede in de [ @alt toverwereld tooverwereld ] der romanlektuur : hy wilde Glorioso lezen .
70-1|Glorioso !
70-2|Lezer , er zyn vele navolgingen , er is maar één Glorioso !
71-1|Al de Rinaldini's en Fra Diavolo's van later tyden mogen niet op één dag genoemd worden met [ @alt ~de~den den ] onvergelykelyken held die gravinnen schaakte by dozynen , pausen en kardinalen uitplunderde als feilbare menschen , en Wouter Pieterse schuldig maakte aan testamentsverduistering .
72-1|Maar dit laatste was Glorioso's schuld niet , zeker niet .
72-2|Men zou schromen 'n held of 'n genie te wezen - of 'n roover zelfs - als men daarom belast werd met de verantwoordelykheid voor misdaden die na jaren kunnen begaan worden om onze geschiedenis machtig te worden .
73-1|Ik protesteer ernstig tegen medeplichtigheid aan de vergrypen die na m'n dood zullen geschieden ter stilling van [ @alt ~de~den den ] dorst naar kennis myner lotgevallen , en verklaar dat ik me op m'n weg naar roem niet laat terughouden door de bedenking , dat eenmaal 'n Nieuw-Testament met gezangen kon worden verkwanseld voor 't " Leven en de daden van Multatuli " , schoon ik 't niet duur vinden zou .
74-1|- Wat maalje daar toch , jongetje ?
74-2|Motje wat , kom in .
74-3|Anders , ga heen .
75-1|Nu moest Wouter wel binnengaan , of hy had afstand moeten doen van Glorioso .
75-2|Want de man die , bukkende over de toonbank , zich als 'n alikruik omwrong om de deur te openen , en onzen held die woorden toetegrauwen , had geen gezicht dat uitlokte tot terugkeeren , als-i eenmaal toornig was gemaakt door doelloos " malen " aan de deur .
75-3|Althans Wouter , die eerst [ @alt ~de~den den ] moed niet had binnentegaan , durfde nu niet wegloopen .
75-4|Hy voelde zich binnengetrokken ...
75-5|'t was of de boekwinkel hem inslikte .
76-1|- Glorioso ... [ @alt alsjeblieft asjeblieft ] , [ @alt mijnheer m'nheer ] , en hier ...
77-1|Hy haalde z'n machine infernale voor [ @alt ~de~den den ] dag .
78-1|... en hier is geld !
79-1|Want hy wist van [ @alt ~de~den den ] schoolmakker die hem had aangestoken met de romanziekte , dat men in 'n leesbibliotheek " pand " eischte van onbekende klanten .
80-1|De boekenman scheen zich " gedekt " te achten door de neergelegde veertien stuivers .
80-2|Althans hy nam uit de kast 'n deeltje dat , vet en belezen , op omslag en bladzyden [ @alt tekens teekens ] droeg van veel onzindelyk genot .
81-1|Ik ben zeker dat de preeken van dominee Splitvezel , die van hun bovenste plank in ongestoorde rust en met minachting neerzagen op de lektuur van [ @alt ~de~den den ] dag , zich zouden geschaamd hebben hun onbezoedeld gewaad in aanraking te brengen met zooveel vuiligheid .
81-2|Maar 't is niet moeielyk rein te blyven als men op de bovenste
82-1|( 8)plank staat , en nooit wordt uitgevraagd .
82-2|Ik vind dus dat die preeken ongelyk hadden .
82-3|En dat vind ik van veel preeken .
83-1|Na met 'n bevend stemmetje [ @alt ~de~den den ] man te hebben opgegeven hoe-i heette , verstopte Wouter z'n misdadig geluk onder 't helend kieltje , en vloog de deur uit , schichtig als 'n kat die haar prooi beet heeft , nadat ze " uren lang gedoken zat . "
84-1|1 Noot van I. 360 - 361 .
85-1|Een kort hoofdstuk in vyf deelen .
85-2|1e .
85-3|De nederigheid van [ @alt ~de~den den ] schryver , blykende uit de erkentenis zyner onwetendheid omtrent [ @alt ~de~den den ] naam van zekere poort .
85-4|2e .
85-5|De invloed van Fransje Halleman op Wouter's heldenziel .
85-6|3e .
85-7|Verband tusschen [ @alt ~die~dien dien ] invloed en de profetiën van Habakuk .
85-8|4e .
85-9|Nog iets over Habakuk , met 'n wenk over de onbegeerlykheid van gedrukte perzikken .
85-10|5e .
85-11|Groote menschen bezien door de kleine .
86-1|Wouter liep , liep ... en wist niet waarheen .
86-2|Naar huis kon-i niet .
86-3|Daar toch werd hy te streng bewaakt .
86-4|Wat niet moeielyk viel , want de ruimte was bekrompen .
87-1|Hy koos eenzame straten , en kwam eindelyk aan 'n poort die hy zich herinnerde meer gezien te hebben .
87-2|Maar [ @alt ~de~den den ] naam wist-i niet , en ik ook niet .
87-3|'t Was 'n platte lage poort in welks buurt het altyd [ @alt zo zoo ] naar [ @alt as asch ] rook , en waar-i eens [ @alt ~die~dien dien ] sprong had gedaan , toen hy met Fransje Halleman was weggebleven van de katechizatie , die meende dat Wouter niet durfde wegblyven en van de poort springen .
87-4|Maar Wouter durfde wèl , en deed het , juist omdat Fransje Halleman getwyfeld had aan z'n durven .
88-1|Aan dat wegblyven had hy te danken dat-i [ @alt zo zoo ] byzonder goed thuis was in Habakuk , wiens profetiën hy twaalfmaal moest afschryven tot straf .
88-2|Die sprong bezorgde hem bovendien 'n barometer in z'n verstuikten [ @alt ~groten~grote grooten ] teen , die uit edele wraak hem later altyd waarschuwde als 't regenen zou .
89-1|In [ @alt zekere zekeren ] zin was Habakuk te beschouwen als Wouter's overgang van de kinderlektuur tot de boeken waarin van " groote menschen " wordt verteld .
89-2|Sedert [ @alt ~enigen~enige eenigen ] tyd namelyk voelde hy zich geschokt in z'n eerbied voor brave Hendrikken , en hy walgde van de papieren perzikken der naarstigheid .
89-3|Andere perzikken kende hy niet , omdat die [ @alt zo zoo ] niet voorkomen in 'n burgerhuishouden .
90-1|Niets was natuurlyker dan dat-i vurig verlangde met z'n grootere makkers op de school te kunnen meespreken over de wonderen die er gebeuren in de werkelyke wereld , waar men in 'n koets rydt , steden verwoest , prinsessen trouwt , en 's avends opblyft na tienen , al is er niemand jarig .
90-2|Ook bedient men zichzelf aan tafel in die wereld , en heeft maar te kiezen wat men gebruiken wil .
90-3|[ @alt Zo Zoo ] meenen de kinderen.1
91-1|( 9 )
92-1|1 In I. 364 trekt M. een parallel tusschen de ontwikkeling van individu en menschheid : " Ieder knaap heeft z'n heldeneeuw en 't menschdom heeft 'n kieltje met 'n jukdraagje gedragen " .
93-1|Een Italiaansche roover op 'n buitensingel te Amsterdam .
93-2|Proefje van 't bitter lyden der deugdzame Amalia .
93-3|Privat en Jouvin met huwelyken en godsdienstige waskaarsen , de palladia der zedelykheid .
93-4|Bewys van het fatsoen der Hallemannen , waaruit men tevens kan te weten komen hoe eerlykheid ryk maakt .
94-1|Wouter dacht volstrekt niet aan heldeneeuwen , toen-i heel ongevoelig voor de afwezige schoonheid van 't landschap aan 'n moddersloot kwam , waarover 'n onnoodig brugje lag , welks leuning hy uitkoos tot lezenaar , na goed te hebben rondgezien , en zich overtuigd dat-i alleen was , en ongestoord kon overgaan tot het verslinden van z'n roover .
95-1|Ik heb 'n [ @alt ogenblik oogenblik ] [ @alt ~de~den den ] lust in my voelen opkomen , [ @alt ~de~den den ] lezer deelgenoot te maken van Wouter's genot , door 't leveren [ @alt ener eener ] schets van 't onsterfelyk werk dat hem [ @alt zo zoo ] boeide .
95-2|Maar , behalve dat ik Glorioso's geschiedenis niet recht ken - wat me trouwens niet volstrekt beletten zou er over te spreke - heb ik u veel andere zaken te verhalen van dringender aard , en ben dus wel genoodzaakt u te verwyzen naar de hartenstraat , in de hoop dat ge daar zult terechtkomen zonder uwen weg te nemen over d'ouwen-brug .
95-3|Laat het u genoeg zyn te weten dat het " heel mooi " was .
95-4|" De deugdzame Amalia , die , by flikkerend toortslicht , aan het treurig sterfbed van [ @alt ~haar~hare hare ] verëerde moeder , in het somber cypressendal , plechtig had gezworen , dat [ @alt ~haar~hare hare ] vurige liefde , voor [ @alt de den ] [ @alt edele edelen ] roover , door het yzingwekkende valluik , en de verroeste ketenen , met derzelver zilte tranen ... kortom , 't was treffend .
95-5|Ook was er meer zedelykheid in dan in al die flauwe navolgingen .
95-6|Al de leden der bende waren behoorlyk getrouwd , en droegen handschoenen .
95-7|In de grot stond 'n altaar met kaarsen , en de hoofdstukken waarin meisjes geschaakt werden , eindigden met eerbare puntjes of geheimzinnige gedachtenstrepen die Wouter vergeefs tegen 't licht hield om er meer van te weten .
96-1|Hy las tot " sterf verrader " .
96-2|Toen was 't donker , en hy begreep dat het tyd werd 'n eind te maken aan de voorgewende wandeling met de Hallemannetjes " dat zulke fatsoenlyke kinderen waren . "
96-3|Met weerzin sloot hy 't dierbaar boekjen , en liep haastig weg , omdat-i vreesde beknord te worden over z'n lang uitblyven .
97-1|" Hy zou nooit weer permissie krygen " werd er by [ @alt zo'n zoo'n ] gelegenheid gedreigd .
97-2|Maar Wouter begreep wel dat dit geen ernst was .
97-3|Daartoe wist-i te goed dat men graag de kinderen " eens van de vloer heeft , als men [ @alt zo zoo ] klein behuisd is . "
97-4|En : " de Hallemannetjes waren [ @alt zo zoo ] buitengewoon fatsoenlyk .
97-5|Ze woonden naast 'n huis met 'n balkon , en hadden onlangs heel lief hun petjes afgenomen . "
98-1|Ik voor my geloof niet dat de Hallemannetjes fatsoenlyker waren dan de andere mannetjes onder Wouters kennissen .
