1-1|( Inhoud )
41-1|De groote stevige man , die daar stond , wijdbeens , op-ademend [ @alt ~de~den den ] , langzaam met vlagen aanwaaienden , wind - moê van zijn werk , van zijn zitten aan zijn schrijftafel , van [ @alt ~zijn~zijne zijne ] berekeningen der duitenkwestie - die afschaffing
42-1|( 9 ) der duiten , door [ @alt ~de~den den ] Gouverneur-Generaal zijner persoonlijke verantwoordelijkheid opgelegd als een kwestie van belang - die groote stevige man , praktisch , koel van denken , kort beslist van langdurige gezagsuitoefening , voelde misschien niet die donkere geheimzinnigheid drijven over de Indische avondstad - hoofdplaats van zijn gewest - maar hij voelde een begeerte naar [ @alt tederheid teederheid ] .
42-2|Vaag voelde hij de begeerte van een kinderarm om zijn hals , van kleine hooge stemmen om zich heen , de begeerte naar een jonge vrouw , die glimlachend hem wachten zoû .
42-3|Hij dacht die sentimentaliteit in zich niet uit , hij was niet gewoon zich over te geven aan mijmering over [ @alt zichzelf zichzelven ] : hij had het te druk ; zijn dagen waren te veel gevuld met belangen allerlei aard , dan dat hij toe zoû geven aan wat hij wist , dat zijn vlaagjes van zwakte waren : de onderdrukte opwellingen van jongere jaren .
42-4|Maar al mijmerde hij niet , de stemming was onafweerbaar , als een druk op zijn breede borst , als een ziekte van [ @alt tederheid teederheid ] , een malaise van sentimentaliteit in zijn anders heel praktisch gemoed van hoofdambtenaar , die hield van zijn werkkring , van zijn gewest ; die hart had voor de belangen er van , en wien het bijna onafhankelijk ( 10 ) gezag van zijn betrekking geheel in harmonie was met [ @alt ~zijn~zijne zijne ] heerschersnatuur ; die met zijn krachtige longen zijn atmosfeer van wijden werkkring en ruim veld van [ @alt zo zoo ] verscheiden arbeid , met even veel genot gewoon was te ademen , als hij nu ademde , [ @alt de den ] [ @alt wijde wijden ] wind van de zee .
42-5|De begeerte , het verlangen , een heimwee , waren [ @alt ~die~dien dien ] avond vooral , vol in hem .
42-6|Hij voelde zich eenzaam , niet alléen om het izolement , dat een hoofd van gewestelijk bestuur altijd min of meer omringt , wien men òf nadert conventioneel glimlachend-eerbiedig , om conversatie , òf kort , zakelijk-eerbiedig , om zaken .
42-7|Hij voelde zich eenzaam , hoewel hij vader was van een huisgezin .
42-8|Hij dacht aan zijn groote huis , hij dacht aan zijn vrouw en zijn kinderen .
42-9|En hij voelde zich eenzaam , en alleen gedragen door het belang , dat hij stelde in zijn werk .
42-10|Het was hem alles in zijn leven .
42-11|Het vulde al [ @alt ~zijn~zijne zijne ] uren .
42-12|Er over denkende sliep hij in , zijn eerste gedachte was voor het een of ander gewestelijk belang .
43-1|In dit [ @alt ogenblik oogenblik ] , moê van het cijferen , opademende in [ @alt ~de~den den ] wind , ademde hij tegelijk met de frischheid van de zee [ @alt ~de~den den ] weemoed van de zee in , [ @alt de den ] [ @alt geheimzinnige geheimzinnigen ] weemoed der Indische zeeën , [ @alt ~de~den den ] opspokenden weemoed
44-1|( 11 ) der zeeën van Java ; de weemoed , die aanruischt van verre als op suizende wieken van geheimzinnigheid .
44-2|Maar zijn natuur was niet om zich over te geven aan mysterie .
44-3|Hij ontkende het mysterie .
44-4|Het was er niet : er was alleen de zee en de wind , die frisch was .
44-5|Er was alleen de walm van die zee , als iets van visch en van bloemen en zeewier ; walm , die de frissche wind uitwoei .
44-6|Er was alleen het [ @alt ogenblik oogenblik ] van herademing , en wat hij , onafweerbaar , voor geheimzinnigen weemoed voelde toch sluipen in zijn , [ @alt ~die~dien dien ] avond , wat weeke gemoed , dacht hij te zijn om zijn huislijken kring , [ @alt ~die~dien dien ] hij liever wat nauwer gevoeld had , dichter sluitende om wat in hem was vader en echtman .
44-7|Was er van weemoed noch iets , dan was het dàt .
44-8|Uit de zee kwam het niet ; uit de lucht aan , van verre , niet .
44-9|Hij gaf zich niet over aan een allereerste sensatie van wonderlijkheid ... .
44-10|En hij plantte zich steviger , welfde zijn borst , richtte-op zijn flinken , militairen kop en snoof , en snoof [ @alt ~de~den den ] walm in en [ @alt ~de~den den ] wind ... .
45-1|De hoofdoppasser , neêrgehurkt , met zijn gloeivuurtouw in de hand , gluurde aandachtig op naar zijn heer , als dacht hij : wat doet hij hier [ @alt zo zoo ] vreemd te staan bij [ @alt ~de~den den ] vuurtoren ... .
45-2|[ @alt Zo Zoo ]
46-1|( 12 ) vreemd , die Hollanders ... .
46-2|Wat denkt hij nu ... .
46-3|Waarom doet hij [ @alt zo zoo ] ... .
46-4|Juist op dit uur op deze plek ... .
46-5|De zeegeesten waren nu om ... .
46-6|Er zijn kaaimannen onder het water , en iedere kaaiman is een geest ... .
46-7|Zie , daar heeft men aan ze geofferd , pisang en rijst en dèng-dèng en een hard ei op een vlotje van bamboe ; onderaan bij het voetstuk van [ @alt ~de~den den ] vuurtoren ... .
46-8|Wat doet de Kandjeng Toean nu hier ... .
46-9|Het is hier niet goed , het is hier niet goed ... . tjelaka , tjelaka ... .
46-10|En zijn spiedende oogen gleden op en neêr langs [ @alt de den ] [ @alt brede breeden ] rug van zijn heer , die maar stond en uitzag ... .
46-11|Waar zag hij naar toe ... ?
46-12|Wat zag hij aanwaaien in [ @alt ~de~den den ] wind ... ?
46-13|[ @alt Zo Zoo ] vreemd , die Hollanders , vreemd ... .
47-1|De rezident , plotseling , keerde zich om en liep terug , en de oppasser , opschrikkend , volgde hem , blazende aan de punt van zijn vuurtouw .
47-2|De rezident liep [ @alt de den ] [ @alt zelfde zelfden ] weg terug ; nu zat er een heer in de societeit , die groette , en een paar jongelui in het wit wandelden in de Lange Laan .
47-3|De honden blaften .
48-1|Toen de rezident [ @alt ~de~den den ] ingang naderde van het rezidentie-erf , zag hij vóor , aan [ @alt de den ] [ @alt andere anderen ] ingang , twee witte figuren , een man en een meisje , die zich echter uitwischten in [ @alt ~de~den den ] nacht
49-1|( 13 ) onder de waringins .
49-2|Hij ging recht naar zijn kantoor ; een andere oppasser naderde en hij gaf hem pet en stok .
49-3|Dadelijk zette hij zich aan zijn schrijftafel .
49-4|Hij kon nog een uur werken , vóor het diner .
50-1|( Inhoud )
51-1|II .
52-1|Meerdere lichten waren opgestoken .
52-2|Eigenlijk waren overal lichten ontstoken , maar in de lange , breede galerijen was het maar even licht .
52-3|Op erf en in huis brandden zeker niet minder dan twintig , dertig petroleumlampen in kronen en lantarens , maar het was niet meer dan vagen lichtschemer , die geel waasde door het huis .
52-4|Een stroom van maneschijn vloot in [ @alt ~de~den den ] tuin , deed de bloempotten opblanken , tintelde in [ @alt ~de~den den ] vijver , en tegen de blanke lucht waren de waringins als mollig fluweel .
53-1|De eerste gong voor het diner was geslagen .
53-2|In de voorgalerij wipte een jonge man op een wipstoel , op en neêr , de handen achter het hoofd , zich vervelend .
53-3|Een jong meisje , neuriënd , liep door de middengalerij , als in afwachting .
53-4|Het huis was gemeubeleerd volgens het conventioneele type van rezidentie-woningen in het binnenland , plechtig en banaal .
53-5|De
54-1|( 14 ) marmeren vloer van de voorgalerij spiegelde gladwit ; hooge palmen in potten stonden tusschen de pilaren ; om marmeren tafels reiden zich wipstoelen .
54-2|In de eerste binnengalerij , die in de breedte evenwijdig liep aan de voorgalerij , stonden stoelen gereid tegen [ @alt ~de~den den ] wand , als voor een eeuwige receptie .
54-3|De tweede binnengalerij , die zich uitstrekte in de lengte , vertoonde aan het einde , daar waar zij zich weêr verbreedde tot een galerij in de breedte , een reusachtige roode satijnen portière aan gouden kroonlijst .
54-4|In de witte vakken tusschen de deuren der kamers hingen òf spiegels in gouden lijst , staande op marmeren consoles , òf lithogravures , - schilderijen , zooals men in Indië zegt : Van Dijck te paard , Paul Veronese op de trappen van een Venetiaansch paleis , ontvangen door een Doge ; Shakespeare aan het hof van Elizabeth , en Tasso aan het hof van Este - ; maar in het grootste vak hing in een koningsgekroonde lijst eene groote ets : portret van koningin Wilhelmina in kroningsornaat .
54-5|In het midden der middengalerij was een rood satijnen ottomane , bekroond door een palm .
54-6|Verder vele stoelen en tafels , groote lampekronen overal .
54-7|Alles was netjes onderhouden en van een pompeuze banaliteit , een
55-1|( 15 ) onhuislijke afwachting van de eerst volgende receptie , zonder een enkel intiem hoekje .
55-2|In het halflicht der petroleumlampen - in elke kroon was éen lamp ontstoken - strekten de lange , breede , wijde galerijen zich in een leêge verveling uit .
56-1|De tweede gong sloeg .
56-2|In de achtergalerij was de te lange tafel - als steeds wachtende gasten - gedekt voor drie personen .
56-3|De spen1 en een zestal jongens stonden in afwachting bij de dientafels en de twee buffetten .
56-4|De spen begon reeds borden met soep te vullen , en een paar van de jongens plaatsten de drie borden soep al op tafel , op de gevouwen servetten , die op de borden lagen .
56-5|Toen wachtten zij weêr af , terwijl de soep lichtjes dampte .
56-6|Een andere jongen vulde de drie waterglazen met groote brokken ijs .
57-1|Het jonge meisje was nader gekomen , neuriënd .
57-2|Zij was misschien zeventien jaar , en zij leek op haar gescheiden moeder : de eerste vrouw van [ @alt ~de~den den ] rezident , een mooie nonna , die nu te Batavia woonde , en , naar men [ @alt zei zeide ] , een stil speelhuis hield .
57-3|Zij had een olijfbleeke tint , met soms even [ @alt ~de~den den ] blos van een
58-1|( 16 ) vrucht ; zij had mooi zwart haar , dat natuurlijk kroesde aan [ @alt ~haar~hare hare ] slapen , en in een zeer groote wrong was vastgestoken , [ @alt ~haar~hare hare ] zwarte pupillen met vonkel-iris dreven in een vochtig blauwwit , waarom zware wimpers speelden , op en neêr , op en neêr .
58-2|Haar mondje was klein en een beetje dik en haar bovenlip donsde even met een donker zweempje van haar .
58-3|Zij was niet groot , en al te vol van vorm , als een haastige roos , die te snel openbloeit .
58-4|Zij droeg een witte piqué rok en een witte linnen blouse met entredeux , en zij had om haar hals een schelgeel lint , dat heel aardig stond bij haar olijfbleekte , die soms opbloosde , plotseling , als met een stroom van bloed .
59-1|De jonge man uit de voorgalerij was aangeslenterd .
59-2|Hij leek op zijn vader , groot , breed , blond , met een [ @alt ~dikke~dikken dikken ] blonden snor .
59-3|Hij was [ @alt nauwelijks nauwlijks ] drie-en-twintig jaar , maar hij zag er wel vijf jaar ouder uit .
59-4|Hij droeg een wit pak van Russisch linnen , maar met een boordje en een das .
60-1|Eindelijk kwam ook Van Oudijck ; zijn besliste trap naderde aan , als had hij het altijd druk , als kwam hij nu even eten tusschen zijn werk door .
60-2|Alle drie zetten zich zonder een woord en lepelden de soep .
61-1|- Hoe laat komt mama morgen ? vroeg Theo .
62-1|( 17 )
63-1|- Om halftwaalf , antwoordde Van Oudijck , en zich wendende tot zijn lijfjongen , achter zich :
64-1|- Kario , denk er aan , dat de njonja besar morgen om half twaalf afgehaald moet worden van het station .
65-1|- Kandjeng ... . fluisterde Kario .
66-1|Een gerecht van visch werd rondgediend .
67-1|- Doddy , vroeg Van Oudijck ; met wie was je [ @alt zo zoo ] even aan het hek ?
68-1|Doddy keek haar vader langzaam , verwonderd aan , met haar vonkel-irissen .
69-1|- Aan ... . het hek ? informeerde zij langzaam , met een zeer mollig accent .
70-1|- Ja .
71-1|- Aan ... . het hek ... .?
71-2|Met niemand ... .
71-3|Met Theo misschien .
72-1|- Was jij met je zuster aan het hek ? vroeg Van Oudijck .
73-1|De jongen fronsde zijn dikke blonde brauwen .
74-1|- Kan wel ... . weet niet ... . herinner me niet ... .
75-1|Zij zwegen alle drie .
75-2|Zij haastten het diner af , zich vervelende aan tafel .
75-3|De vijf , zes bedienden , in witte baadjes met roode linnen omslagen , liepen zacht op de platte teenen , bedienden vlug en geruischloos .
75-4|Men at nog biefstuk met sla , en podding , en vruchten .
76-1|( 18 )
77-1|- Eeuwig biefstuk ... . mopperde Theo .
78-1|- Ja , die kokkie ! lachte Doddy met haar keellachje .
78-2|Zij geef altijd biefstuk , als mama niet is ; kan haar niet schelen , als mama niet is .
78-3|Zij verzint niet .
78-4|Te erg toch ... .
79-1|Zij hadden in twintig minuten gegeten , toen Van Oudijck weêr ging naar zijn kantoor .
79-2|Doddy en Theo slenterden naar voren .
80-1|- Vervelend ... . gaapte Doddy .
80-2|Kom , wij biljarten ?
81-1|In de eerste binnengalerij , achter de satijnen portière , stond een klein biljart .
82-1|- Kom dan , zei Theo .
83-1|Zij speelden .
84-1|- Waarom moest ik samen met je aan het hek geweest zijn ?
85-1|- Ach ... . té ! zei Doddy .
86-1|- Nu , waarom ?
87-1|- Pa hoef niet te weten .
88-1|- Met wie was je dan ?
88-2|Met Addy ?
89-1|- Natuurlijk ! zei Doddy .
89-2|Zeg , is Stadsmuziek van avond ?
90-1|- Ik geloof wel .
91-1|- Kom , wij gaan , ja ?
92-1|- Neen , ik heb geen lust .
93-1|- Ach , waarom dan niet ?
94-1|- Ik heb geen lust .
95-1|( 19 )
96-1|- Ga meê nou ?
97-1|- Neen .
98-1|- Met mama ... . jij wil wel , ja ? zei Doddy boos .
98-2|Ik weet heel goed .
98-3|Met mama jij gaat altijd naar Stadsmuziek .
99-1|- Wat weet jij ... . klein nest !
100-1|- Wat ik weet ? lachte zij .
100-2|Wat ik weet ?
100-3|Ik weet wat ik weet .
101-1|- Hé ! plaagde hij , een carambole mikkende met een [ @alt ruwe ruwen ] stoot .
101-2|Jij met Addy , hè !
102-1|- Nou , en jij met mama ... .
103-1|Hij haalde de schouders op .
104-1|- Je bent gek , [ @alt zei zeide ] hij .
105-1|- Hoef niet te verbergen voor mij !
105-2|Trouwens , iedereen zegt .
106-1|- Laat ze zeggen .
107-1|- Te erg toch van jou !
108-1|- Ach , stik ... .
109-1|Hij smeet zijn keu driftig neêr en ging naar voren .
109-2|Zij volgde hem .
110-1|- Zeg Theo ... , niet boos zijn dan .
110-2|Ga nou meê naar Stadsmuziek .
111-1|- Neen ... .
112-1|- Ik zal niets meer zeggen , smeekte zij lief .
113-1|Zij was bang , dat hij boos zoû blijven , en dan had ze niets en niemand ; dan verveelde ze zich [ @alt helemaal heelemaal ] .
114-1|( 20 )
115-1|- Ik heb Addy beloofd , en ik kan toch niet alleen gaan ... .
116-1|- Nu , als je dan niet meer zulke idiote dingen zegt ... .
117-1|- Ja , ik beloof .
117-2|Lieve Theo , ja , kom dan ... .
118-1|Zij was al in [ @alt ~de~den den ] tuin .
119-1|Van Oudijck verscheen op [ @alt ~de~den den ] drempel van zijn kantoor , waarvan de deur altijd open stond , maar dat met een groot schutsel afgesloten was van de binnengalerij .
120-1|- Doddy ! riep hij .
121-1|- Ja , pa ?
122-1|- Zoû je morgen kunnen zorgen voor wat bloemen in mama's kamer ?
123-1|Zijn stem was bijna verlegen en zijn oogen knipten .
124-1|Doddy hield haar gegichel in .
125-1|- Goed , pa ... .
125-2|Ik zal zorgen .
126-1|- Waar ga je naar toe ?
127-1|- Met Theo ... . naar Stadsmuziek .
128-1|Van Oudijck werd rood , boos .
129-1|- Naar de Stadsmuziek ?
129-2|Maar dat kan je me toch wel vragen ! riep hij plotseling razend .
130-1|Doddy pruilde .
131-1|- Ik hoû er niet van , dat je uitgaat , [ @postag complementizer zonderdat ] ik weet waarheen .
131-2|Van middag ook
132-1|( 21 ) was je weg , toen ik met je wandelen woû !
133-1|- Nu , soedah dan maar , zei Doddy en huilde .
134-1|- Je kan wel gaan , zei Van Oudijck , maar ik wil hebben , dat je het me eerst vraagt .
135-1|- Neen , ik heb geen trek meer ! huilde Doddy .
135-2|Soedah maar .
135-3|Geen Stadsmuziek .
136-1|In de verte , in [ @alt ~de~den den ] tuin van Concordia hoorden zij de eerste klanken .
137-1|Van Oudijck was teruggegaan in zijn kantoor .
137-2|Doddy en Theo wierpen zich in twee wipstoelen in de voorgalerij , en wipten met razernij , met de stoelen schaatsende over het gladde marmer .
138-1|- Kom , zei Theo .
138-2|Laten we maar gaan .
138-3|Addy wacht je .
139-1|- Neen , mokte zij .
139-2|Kan niet schelen .
139-3|Ik zal Addy morgen zeggen , papa [ @alt zo zoo ] onaardig .
139-4|Hij bederft mijn plezier .
139-5|En ... . ik zet geen bloemen in mama's kamer .
140-1|Theo grinnikte .
141-1|- Zeg , fluisterde Doddy .
141-2|Die papa ... . hé ?
141-3|[ @alt Zo Zoo ] verliefd , altijd .
141-4|Hij had een kleur toen hij mij vroeg van die bloemen .
142-1|Theo grinnikte nog eens , en neuriëde met de verre muziek meê .
143-1|( 22 )
144-1|( Inhoud )
145-1|III .
146-1|[ @alt De Den ] [ @alt volgende volgenden ] morgen ging Theo om half twaalf met [ @alt ~de~den den ] landauer zijn stiefmoeder afhalen van het station .
147-1|Van Oudijck , die , op dat uur , meestal de politie-rol afdeed , had zijn zoon niets gezegd , maar toen hij uit zijn kantoor Theo in het rijtuig zag stappen en wegrijden , vond hij het aardig van [ @alt ~de~den den ] jongen .
147-2|Hij had Theo als kind afgodisch liefgehad , had hem als knaap nog bedorven , was met hem als jonge man dikwijls in botsing gekomen , maar nog dikwijls flakkerde de oude vaderpassie onweêrstaanbaar op .
147-3|Hij had zijn zoon op dit [ @alt ogenblik oogenblik ] meer lief dan Doddy , die [ @alt ~die~dien dien ] morgen nog steeds geboudeerd had , en geen bloemen in de kamer zijner vrouw gezet had , zoodat hij aan Kario had bevolen voor bloemen te zorgen .
147-4|Het speet hem nu in dagen geen vriendelijk woord tegen Theo gezegd te hebben en hij nam zich voor , straks dat toch waarlijk weêr eens te doen .
147-5|De jongen was wispelturig : in drie jaren was hij employé geweest op zeker vijf koffie-ondernemingen ; nu was hij weêr buiten betrekking , en hing thuis , zoekende naar iets anders .
148-1|( 23 )
149-1|Theo , aan het station , wachtte enkele minuten , toen de trein van Soerabaia aankwam .
149-2|Hij zag mevrouw Van Oudijck dadelijk , en de twee kleine jongens , René en Ricus , in tegenstelling van hem twee kleine sinjo's , die zij van Batavia meêbracht voor [ @alt ~hun~hunne hunne ] groote [ @alt vakantie vacantie ] , en haar lijfmeid Oerip .
150-1|Theo hielp zijn stiefmoeder uitstijgen , de stationschef groette eerbiedig de vrouw van zijn rezident .
150-2|Zij knikte met haar glimlach terug , als een welwillende koningin .
150-3|Zij duldde met haar glimlach , éven dubbelzinnig , dat haar stiefzoon haar kuste op de wang .
150-4|Zij was een groote vrouw , blank , blond , over de dertig , met die loome statigheid van in Indië geboren vrouwen , dochters van geheel Europeesche ouders .
150-5|Zij had iets , waarnaar men dadelijk keek .
