1-1|Een [ @alt verlate verlaten ] post
52-1|16 ) Nu en dan daalde langzaam en onhoorbaar een goudgeel boomblad neer , kantelend om en om in de zoele lucht , als nam het onwillig afscheid van zijn zomerleven ; en de stammen zelf schenen overtrokken met bronskleurig fluweel , zacht glanzend in het zonnelicht .
52-2|De paarden stonden roerloos in de weilanden , zich de vliegen afslaande met [ @alt ~hun~hunne hunne ] staarten , juist alsof het nog zomer was , en boven de slooten dansten muggen .
52-3|O , hoe anders dan nu !
52-4|... .
52-5|Was dat alles werkelijk pas veertien dagen geleden ?
53-1|Zij was [ @alt zo zoo ] aan hem gewoon geweest en aan scheiden had zij nog nooit gedacht , nooit kunnen denken .
53-2|Maar nu was hij haar toch van het hart gescheurd en dat hart lag als gestorven in [ @alt ~haar~hare hare ] borst .
54-1|Hoe ledig scheen de wereld haar , nu er niemand meer leefde , die haar beminde of zelfs maar toebehoorde .
54-2|Het leven lag als een last op [ @alt ~haar~hare hare ] schouders .
55-1|Hoe onzinnig dat die dorpsklok daar nu sloeg en dat alle klokken en pendules in (
56-1|17 ) huis haar nasloegen !
56-2|Halfzes ... . etenstijd .
56-3|Waarom moest men eten , waarom wilde men [ @alt ~de~den den ] tijd kennen ... .?
57-1|En somber en afgemat ging zij de trappen weer af naar de huiskamer , waar nu licht was ontstoken en een gedekte tafel haar wachtte .
57-2|Maar zijn vriendelijk gezicht zou haar nooit meer welkom heeten en aan tafel nooden .
57-3|Nooit zou zij hier meer voor hem zingen ( de ouderwetsche , militaire liederen , hem dierbaar bovenal ) en dan zijn vroolijk " bravo ! " hooren .
57-4|Nooit meer in de schemering bij het vuur met hem zitten keuvelen , of in de winteravonden - terwijl buiten de sneeuw onhoorbaar neerzweefde - luisteren naar zijn heerlijk voorlezen ... .
57-5|Ach , het was nu alles , alles voorbij !
58-1|II .
59-1|" Ik begrijp niet waar je die gratie vandaan hebt , kind ! " [ @alt zei zeide ] mevrouw Gerlings met ( 18 ) [ @alt ~haar~hare hare ] kwijnende stem , terwijl zij nog een gaslicht ontstak om Renée beter te kunnen zien .
59-2|" Zeker van je mama : zij was ook net een veertje . "
60-1|" Ja , tante ? " vroeg Renée , [ @alt ~haar~hare hare ] japon dichtknoopend .
61-1|Zij droeg een zilvergrijs kleedje , in [ @alt ~de~den den ] verloopen zomer uit Parijs [ @alt meegebracht medegebracht ] en op haar dorpje nog weinig gedragen .
62-1|" O , je doet mij telkens aan haar denken , " ging mevrouw Gerlings voort op de lieftallige , innemende wijze , welke zij zich had eigen gemaakt .
62-2|" Zij werd een vriendin van mij , omdat wij in dezelfde stad woonden en met twee broers geëngageerd waren , maar na ons trouwen ... . och toen liepen onze wegen meer uiteen .
62-3|Wij waren uit zulk verschillend hout gesneden ... .
62-4|Kijk eens , wat een figuurtje nu !
62-5|Zonder corset negentien jaar geworden ... .
62-6|'t Is ongehoord ! "
63-1|" Papa vond het gezonder , " antwoordde het meisje zacht .
64-1|Mevrouw Gerlings antwoordde niet ; zij (
65-1|19 ) was ijverig bezig nog iets te veranderen aan Renée's weerspannig bruin haar , dat nu in een bevallige wrong op het kleine hoofdje lag .
66-1|" Zie [ @alt zo zoo ] , nu ben je al een heel andere Renée dan toen je uit het rijtuig sprong met je wit wollen baret en hangende vlecht .
66-2|Ik zal eer inleggen met mijn nichtje .
66-3|Het is wel jammer dat wij dat avondje nu geven moeten [ @alt zo zoo ] kort na je komst ; maar het was nu toch het avondje van Huug ... .
66-4|Ik heb je immers gezegd dat ik een broer heb ?
66-5|- Nu , dat is Huug ; een vroolijke , lieve jongen .
66-6|Of eigenlijk een man , want hij is al twee en dertig jaar ; maar ik ben wat ouder dan hij , daardoor schijnt hij mij altijd nog een jongen , - een allerliefste jongen . "
67-1|Onwillekeurig dacht Renée aan een [ @alt dikwijls dikwerf ] herhaalde bewering van haar papa , dat " lieve " jongens doorgaans geen flinke jongens , " lieve " mannen geen flinke mannen zijn , maar zij had te weinig ervaring om te kunnen beslissen of deze bewering waarheid inhield .
68-1|" Natuurlijk zou hij je een visite hebben (
69-1|20 ) gebracht , als hij geweten had dat je hier waart .
69-2|Maar je begrijpt : alles is [ @alt zo zoo ] overhaast gegaan .
69-3|Hij komt altijd om de veertien dagen een avondje , en nu vond oom het geschikt tegelijk die kennissen te vragen , omdat wij voor Huug toch altijd een lekker soupertje klaarmaken ... .
69-4|Die ondeugd , men moet hem wat lokken , weet je ; tenminste , daar verdenk ik hem van .
69-5|'t Is ook altijd een heele reis voor hem , want zijn kamers liggen aan het andere einde der stad ... .
69-6|Kijk eens , [ @alt zo'n zoo'n ] enkel zilveren pijltje in je haar staat goed bij de zilveren broche en armbanden ... .
69-7|Gelukkig dat je papa je altijd verbood te rouwen !
69-8|En heel verstandig ook .
69-9|Een jong meisje in [ @alt ~de~den den ] rouw kan ik niet zien ... .
69-10|Huug ontmoet je nu straks vanzelf .
69-11|Je hebt immers werkelijk wel lust binnen te komen ? "
70-1|" Wel zeker , tante , " antwoordde Renée voorkomend , " ik wil uwe vrienden graag eens leeren kennen , " maar zij sloeg [ @alt ~haar~hare hare ] oogen niet op , vreezende dat deze geheel iets anders verraden zouden . (
71-1|21 )
72-1|" Och , je bent natuurlijk erg bedroefd ; maar dat zijn [ @alt zo zoo ] van die dingen , die men maar op zijn kamer laten moet , niet waar ? "
73-1|Renée gevoelde zich pijnlijk getroffen , als greep iemand met ruwe hand in de fijnste snaren harer ziel .
73-2|Bij dergelijke gezegden - en zij had er in die weinige dagen reeds vele [ @alt zo zoo ] gehoord , - gevoelde zij maar al te goed , evenals [ @alt ~haar~hare hare ] moeder " van ander hout gesneden " te zijn dan deze vrouw , die haar in de eerste dagen toch [ @alt zo zoo ] had aangetrokken door [ @alt ~haar~hare hare ] schoonheid en innemendheid .
74-1|" Maar ik zou je nog van Huug vertellen , " ging mevrouw Gerlings voort , terwijl zij met [ @alt ~haar~hare hare ] blanke vingers een der strikken op Renée's japonnetje wat opdofte .
74-2|En zij babbelde maar voort , het verstrooide meisje verhalend hoe Huug vermaard was om [ @alt ~zijn~zijne zijne ] vlugheid met [ @alt ~de~den den ] degen , bewonderd werd om [ @alt ~zijn~zijne zijne ] behendigheid op de jacht en benijd om zijn geluk bij de vrouwen .
75-1|Die laatste uitdrukking kwam niet tot klaarheid in het brein van Caesar's vriendinnetje , (
76-1|22 ) maar zij vroeg er geen verklaring van .
76-2|[ @alt ~Haar~Hare Hare ] gedachten dwaalden .
76-3|Zij wijlden niet rustig in het oude huis of bij een enkel punt in het verleden of de toekomst , maar zij waren nu hier , dan daar , zooals gedachten doen , wanneer men zich nieuw en vreemd gevoelt in een nieuwe , vreemde omgeving .
76-4|En werktuiglijk antwoordde of glimlachte zij , al naar zij dacht dat van haar verwacht werd .
76-5|Maar daar was een droef heimwee in haar , dat haar geheel vervulde , dat haar blik mat maakte en [ @alt ~haar~hare hare ] bewegingen langzaam en [ @alt ~haar~hare hare ] stem zacht .
77-1|" Nu , loop eens naar [ @alt ~de~den den ] spiegel , " [ @alt zei zeide ] mevrouw Gerlings recht tevreden .
77-2|" Om je de waarheid te zeggen : ik had verwacht een boerinnetje te zien , maar je papa heeft eer van zijn opvoeding , dat moet ik zeggen .
77-3|- Wacht , " vervolgde zij opeens levendig , " bijna zou ik nog vergeten je te poederen .
77-4|Je teint is ook nog [ @alt zo zoo ] gaaf en glad , maar niet blank .
77-5|Sla [ @alt ~die~dien dien ] handdoek even om ... .
77-6|Wat ? "
78-1|Ditmaal week Renée beslist terug . (
79-1|23 )
80-1|" O neen , tante , geen poeder ! " en zij staarde met [ @alt zekere zekeren ] afschuw naar het donzen kwastje , dat [ @alt ~haar~hare hare ] tante reeds opgeheven hield .
81-1|" Waarom niet ?! " riep mevrouw Gerlings uit , verwonderd lachend .
82-1|" O neen , " herhaalde Renée onrustig , " ik weet niet goed waarom niet .
82-2|Ik ben verbrand , dat weet ik , en het zou zeker heel mooi staan , maar ... . er is [ @mwu zoo iets ] in - u moet er niet boos om zijn , tante - [ @mwu zoo iets ] , alsof ik mij anders wil voordoen dan ik ben .
82-3|Heusch , tante , ... . neen , ik kan er niet toe besluiten . "
83-1|Blijkbaar was zij zeer verlegen over [ @alt ~haar~hare hare ] besliste weigering , en nochtans - het was duidelijk merkbaar - zij zou er bij blijven .
84-1|Mevrouw Gerlings maakte zich nooit boos .
84-2|" Dat geeft rimpels , " placht zij te zeggen en dus duwde zij het kwastje weer in de doos .
85-1|" Wel kind , als je er tegen hebt , zullen we het niet doen , " [ @alt zei zeide ] zij lachend , maar (
86-1|24 ) in [ @alt ~haar~hare hare ] neergeslagen oogen flikkerde spot over Renée's " overdreven denkbeelden . "
86-2|" Nu , kijk eens in [ @alt ~de~den den ] spiegel .
86-3|Ik heb je haar wat opgestoken , en een paar kleinigheden ... . zie je , laatste smaak en , " zij begon weer te lachen , - " zooals je daar staat , [ @alt zo zoo ] ben je . "
87-1|" O !! "
88-1|Dat was alles wat Renée in de eerste opwelling van verrassing en bewondering uiten kon .
88-2|Was zij dit slanke , bekoorlijke schepseltje , met de aardige krulletjes langs hals en voorhoofd , welke haar geheele gezicht zooveel mooier maakten , en dat schitterende pijltje in het opgestoken haar , dat vroeger glad naar achteren lag ?
88-3|Had die hals vroeger ooit [ @alt zo zoo ] blank geschenen als in dit wolkachtig plooisel ? - die polsen ooit [ @alt zo zoo ] slank als in die zilveren armbanden ?
89-1|En toch beviel zij zichzelf maar half ; van de oude , wilde , ongeharnaste Renée was [ @alt zo zoo ] weinig overgebleven ; alleen daarbinnen , daar was zij nog . (
90-1|25 )
91-1|" Ik bewonder uwe kunst , tante , " [ @alt zei zeide ] zij vriendelijk .
92-1|" Ja , dat dacht je niet , hé ?
92-2|... .
92-3|Toilet is alles , kind .
92-4|Wat mijn uiterlijk betrof , heb ik al vroeg de kunst geleerd , die door sommige jonge meisjes veel te veel veronachtzaamd wordt : to make the most of it ... .
92-5|Nu , ik ga vast naar beneden .
92-6|Je komt zeker ook dadelijk , niet waar .
93-1|" Zij moet er plezier in krijgen , " dacht mevrouw Gerlings recht voldaan , terwijl zij in haar elegant toiletje de trap afging .
93-2|" Er moet leven in komen ; dan kan ze hier een goed huwelijk doen !
93-3|Wat een vervelende last zou zij worden , als het lang duurde .
93-4|Maar ze is mooi en aantrekkelijk , een echte ingénue ... .
93-5|Ja , zij trouwt bepaald gauw ... .
93-6|Wat een taille ; als een ree ... . "
94-1|En de coquette veertigjarige dame trad peinzend haar salon binnen , voornemens in [ @alt ~de~den den ] spiegel haar eigen middel nog eens te vergelijken met het slanke figuurtje boven ; maar een mannenstem hield haar van dit voornemen terug . (
95-1|26 )
96-1|" Mijn hemel , Lucie , wat maak je lang toilet !
96-2|Ik wacht hier al een kwartier , " en een jonge man in uniform trad naar voren en reikte haar de hand .
96-3|Hij deed dat met een zekere matheid , misschien uit gewoonte , misschien uit gebrek aan hartelijkheid .
97-1|Hij was een dier mannen , welke overal de aandacht - vooral de aandacht der vrouwen - trekken , door [ @alt ~hun~hunne hunne ] hooge gestalte en fraaien kop .
97-2|Er lag iets edels in het niet fijne , maar fijnbesneden , aristocratisch gelaat , trekken , hem bij de geboorte door een vriendelijke fee geschonken en misschien lang bewaard ; maar nu lag er tevens een ontsierend waas over van genotzucht en oververzadiging tegelijk .
98-1|" Ik heb je in het geheel niet hooren komen , Huug .
98-2|Ik was boven .
98-3|Hoe gaat het ?
98-4|... .
98-5|Ik heb groot nieuws , " vervolgde zij dadelijk .
99-1|" En ? "
100-1|" Ons nichtje , Renée Gerlings , is hier . "
101-1|" Wat ?
101-2|- Toch niet om te blijven ? "
102-1|" Ja zeker .
102-2|- Je weet dat Albert's broer (
103-1|27 ) gestorven is ... .
103-2|Appropos , je hadt wel eens kunnen komen condoleeren . "
104-1|" Onzin .
104-2|Albert gaf niets om hem . "
105-1|" Maar voor [ @alt ~de~den den ] vorm ! "
106-1|" Voor [ @alt ~de~den den ] vorm heb ik een kaartje gezonden .
106-2|Och , " vervolgde hij ietwat ongeduldig , " je weet dat Albert om mijn troostredenen niet verlegen is ... .
106-3|En toen ? "
107-1|" Nu , toen hij op zijn sterfbed lag , liet hij [ @alt telegraferen telegrapheeren ] of wij haar wilden nemen ... .
107-2|Wat zal je doen in [ @alt zo'n zoo'n ] geval ! " ging zij voort , even [ @alt ~haar~hare hare ] schouders ophalend en [ @alt ~haar~hare hare ] blanke , mollige handjes uitbreidend .
107-3|" Bij zijn leven bemoeiden de broers zich weinig met elkander , vooral doordat zij en ik [ @alt zo zoo ] weinig sympathiseerden .
107-4|Maar nu dat telegram kwam , seinde Albert dadelijk terug dat ons huis voor haar openstond ... .
107-5|Ja , wat zal men anders doen !
107-6|[ @alt Zo'n Zoo'n ] laatsten wensen van je [ @alt ~enigen~enige eenigen ] broer !
107-7|... . niet waar ?
107-8|... .
107-9|[ @alt Zo Zoo ] kun je soms onverwachts in een leelijk parket komen . "
108-1|Hij draaide peinzend zijn [ @alt ~lange~langen langen ] , donkeren knevel om zijn wijsvinger . (
109-1|28 )
110-1|" Een koopje , hoor !
110-2|- Je stuurt haar naar kostschool zeker ? "
111-1|" Wel neen , ze is volwassen . "
112-1|" Is dat kind nu al volwassen ? " vroeg hij verbaasd .
113-1|" Ja jongen , de tijd vliegt .
113-2|Ze is negentien ; wel een echt kind nog , zooals die buitenmeisjes zijn , maar we zullen haar wel gauw wat fatsoeneeren .
113-3|Straks komt ze binnen ... .
113-4|Ik ben eigenlijk blij dat ik je nog even spreken kan : ik wou je wat vragen . "
114-1|" En dat is ? "
115-1|" Kom wat drukker en breng wat goede vrienden van je mee , " vroeg zij vleiend .
115-2|" Uitgaan doet ze nog niet , maar hier aan huis kan zij natuurlijk ieder ontmoeten .
115-3|Ik zou met een jaar of [ @alt zo zoo ] graag weer van haar af zijn .
115-4|Ze is lief , maar [ @alt zo'n zoo'n ] doorloopende logée is toch vervelend . "
116-1|Hij fronste de wenkbrauwen , maar antwoordde niet rechtstreeks .
117-1|" Zeker leelijk ? "
118-1|" O neen , een snoesje !
118-2|... .
118-3|En dan - origineel , weet je , " ging zij voort , [ @alt ~haar~hare hare ] (
119-1|29 ) indrukken verzamelend .
119-2|" Wel een beetje een soldatenkind en ... . "
120-1|" Dat is een compliment . "
121-1|" In jouw oogen , maar in de [ @alt ~mijn~mijne mijne ] niet , " lachte zij vriendelijk , bevreesd hem uit zijn humeur te maken .
121-2|" Overigens nogal fortuin .
121-3|Ik reken op je hulp , Huug ... .
121-4|Maar scheelt er wat aan ? " vroeg zij , op eens het gesprek op hem zelf brengend .
121-5|" Ik vind dat je bleek ziet . "
122-1|" Ik ! " riep hij uit , als achtte hij zulk een veronderstelling van onwelzijn van een kloek man een [ @alt belediging beleediging ] .
122-2|" Maak je niet bezorgd , hoor !
122-3|... .
122-4|Neen , ik heb tegenwoordig het land , dat is het .
122-5|Ik verveel mij . "
123-1|" Waarom trouw je toch niet ? "
124-1|" Ja ... .
124-2|God !
124-3|... . maar met wie ? " riep hij uit , met een gebaar van wanhoop .
125-1|" Och kom , ieder wil je graag hebben , en er zijn toch meisjes genoeg ! "
126-1|" Geen naar mijn zin .
126-2|En als ik trouw , doe ik het magnifiek ... .
126-3|Voor de vrijwillige ballingschap moet ik ten minste ook vergoeding hebben , " wierp hij lachend tegen (
127-1|30 ) met [ @alt ~zijn~zijne zijne ] welluidende , klankrijke stem .
127-2|" Ik vind het ook werkelijk geen kwaad idée . "
128-1|Hij , van alles verzadigd en toch smachtend naar nieuwe emotie , was tot het besef gekomen dat éen levensgenot hem nog een gesloten paradijs gebleven was : het huiselijk geluk .
