1-1|FERDINAND HUYCK
14-1|Haar huishouding bestond uit twee oude meiden en een kat : maar er was geen papegaai , die de menschen met zijn dom gesnater in de rede viel ; noch kanarievogel , die alle conversatie met zijn schel gezang onmogelijk maakte .
14-2|Ik herinner mij echter , dat zij [ @alt ~lange~langen langen ] tijd een goudvink bezat , die twee of drie van haar lievelingsdeuntjes floot ; maar het was een welopgevoede muziekant , die zich , even als alle verdienstelijke virtuosen , niet hooren liet , tenzij hij eerst eenige malen daartoe was aangespoord .
15-1|Wat de kat betreft , het was geen oude , dikke , logge , vetgemeste pannelikker , zooals men die gewoonlijk bij bejaarde vrijsters plaatst , die [ @alt ~de~den den ] dag doorbracht met op een kussen te slapen en met de lekkerste beetjes gevoed werd ; maar het was een jong vlug , geestig diertje , met een glinsterende zwarte vacht , en een uitzicht , [ @alt zo zoo ] schrander en vernuftig als dat van [ @alt ~de~den den ] wijdberoemden kater Murr kan geweest zijn : en zijn meesteres bedierf hem volstrekt niet , maar behandelde hem gelijk men een dartel spelend kind doet , aan hetwelk men gepaste toegevendheid bewijst , doch dat men tevens in ontzag weet te houden .
15-2|Het was een lust om te zien , hoe aardig ons poesje uren lang met het kluwgaren van zijn meesteres of met [ @alt ~de~den den ] rotting of de handschoenen van [ @alt ~de~den den ] bezoeker wist te spelen en welk een pret het vond in dergelijke vermaken : hoe het over [ @alt ~de~den den ] schoorsteenmantel , tusschen al de flacons , kopjes en vaasjes door , heen en weder liep , zonder iets aan te raken , laat staan te beschadigen ; het zoû de kunstenaren , die op eieren danst , beschaamd hebben gemaakt .
15-3|Men kon dus met een gerust geweten , en zonder beschuldigd te worden van zich aan vleierij over te geven , met de lofspraken instemmen , welke Mejuffrouw Stauffacher aan haar lieveling gaf , en ook gaarne had , dat er door anderen aan gegeven werden .
15-4|Ik zal hier nog bijvoegen , dat poes geen legaat heeft gehad : de goede juffrouw wist wel , dat het , ook na haar dood en [ @alt zo zoo ] lang haar beide oude getrouwe dienstmaagden leefden , aan niets gebrek zoû hebben .
16-1|Maar gij zult mij vragen , wat u dit alles aangaat , en waarom ik u uwen tijd ontroof , door u over de kunstjes van de poes mijner oude vriendin te onderhouden ?
16-2|Ik zal er u openhartig de reden van zeggen : het is mij , uit hetgeen ik [ @alt zo zoo ] dagelijks lees , genoegzaam gebleken , dat het door alle schrijvers van naam en gezag als een vereischte wordt aangemerkt , nimmer terstond plomp weg met de deur in huis te vallen : maar eerst eenige omschrijving en inleiding te bezigen , bestemd om de nieuwsgierigheid te prikkelen en voorts ongeveer dezelfde dienst te doen , welke de pastijtjes en croquettes bewijzen wanneer zij het gebraad voorafgaan .
17-1|Het voorbeeld dier doorluchtige schrijvers wilde ik volgen , en u daarom met Mejuffrouw Stauffacher en haar alentours bekend maken , alvorens ik er toe overging om u het onderhoud te verhalen , hetwelk ik eens met haar had en waaraan dit geschrijf zijn oorsprong verschuldigd is .
18-1|Het was op een voorjaars-achtermiddag : ik had , gelijk ik meermalen deed , wanneer beroepsbezigheden mij in de stad hielden , het middagmaal bij haar genomen en zat , in afwachting der koffie , tegen-over haar voor het open raam een pijp te rooken , waartoe zij mij altijd aanspoorde , er bijvoegende , dat de tabakslucht zulke aangename herinneringen bij haar opwekte , [ @alt terwijl dewijl ] zij dan aan haar vader dacht , die kapitein bij het Regiment Waldeck was geweest , en die zooveel van rooken hield , dat hij de pijp zelfs niet uit [ @alt ~de~den den ] mond nam , wanneer hij een schoon hemd aantrok .
18-2|De oude Juffrouw zat over mij , de een weinig van de jicht gezwollen voeten op een met groen baai overtrokken bankje houdende , en knorde van tijd tot tijd op de nieuwerwetsche filtreerkannen en de koffie , die niet lekken wilde .
18-3|De kat was op de tafel gesprongen en vermaakte zich met [ @alt ~de~den den ] sleutelbos , die aan het tinnen koffietrommeltje hing : een uitspanning , welke zij nu en dan staakte om naar buiten te zien en aan de vogeltjes , die [ @alt ~de~den den ] pereboom voor het raam op en af vlogen , een blik toe te werpen , die [ @alt zo zoo ] veel aanduidde , als dat , indien zij het fatsoenshalve niet liet , zij wel eens jacht op hen zoude willen maken .
19-1|Wij hadden een poos stilzwijgend over elkander gezeten , in die aangename , rustige gemoedsgesteldheid , welke [ @alt zo zoo ] bevorderlijk is aan de goede spijsvertering , en waarin men , zonder de hersens met eenig bepaald onderwerp te vermoeien , de schakel der gedachten volgt , die zich van [ @alt zelf zelve ] ongezocht in het brein ontwikkelen .
19-2|Ik recapituleerde bij mij [ @alt zelf zelven ] hetgeen zij mij aan [ @alt ~de~den den ] disch had verteld , betreffende de misslagen en logens voorkomende in zekere onlangs uitgekomene gedenkschriften , welke ik haar geleend had , en die mij in de gelegenheid hadden gesteld , opnieuw haar zaakkennis en geheugen op te merken .
20-1|" Weet gij , wat mij verwondert ? " [ @alt zei zeide ] ik eindelijk , uit mijn mijmering ontwakende .
21-1|" Wat ?
21-2|- Dat ik niet liever de koffie kook , gelijk ik vroeger placht te doen , dan een filtreerkan te gebruiken ?
21-3|- Gij hebt volkomen gelijk . "
22-1|" Neen , lieve vriendin !
22-2|Ik heb niets betreffende uw koffie aan te merken , die reeds zulke aangename geuren begint te verspreiden , dat , naar mijn overtuiging , het plechtig [ @alt ogenblik oogenblik ] van inschenken niet ver meer verwijderd kan zijn ; maar ik wilde u mijn bevreemding te kennen geven , dat iemand , die zooveel gezien en gehoord heeft , waarvan wij ons niet dan door valsche of gedeeltelijke opgaven een denkbeeld kunnen maken , die zulk een uitmuntend geheugen heeft , en de pen bovendien [ @alt zo zoo ] goed te hanteeren weet als gij , er nimmer aan gedacht heeft , [ @alt zelf zelve ] eens gedenkschriften te schrijven . "
23-1|" In waarheid , mijn beste P ... .! ik heb in mijn vroegere betrekkingen wel wat anders te doen gehad als memoriën te schrijven : en op mijn jaren betaamt het eer , dat men zich met de toekomst , dan met het verledene bezig houde . "
24-1|" Nu ja !
24-2|- Maar nu doet gij zulk een [ @alt grote grooten ] sprong .
24-3|[ @alt Zo Zoo ] gij op uw vijftigste jaar begonnen waart , zoudt gij ruim [ @alt ~de~den den ] tijd hebben gehad , eenige boekdeelen te vullen . "
25-1|" Hoor ! ik heb nooit verlangd , mij een naam te maken : en al wat ik begeer is , na mijn dood vergeten te worden . "
26-1|" Foei !
26-2|Gij weet te goed , dat er menschen genoeg zullen zijn , bij wie gij in gezegend aandenken zult blijven : en het zoû u zelfs leed doen te denken , dat die u vergeten [ @alt kunnen konnen ] . "
27-1|" Kom ! kom ! gekheid !
27-2|Gij weet wel , dat ik het in [ @alt ~die~dien dien ] zin niet meen ; maar wil ik u eens zeggen , waarom het dwaas in mij zoû geweest zijn , als schrijfster op te treden ?
27-3|- [ @alt Zo Zoo ] als gij mij nu kent , houdt gij er van , mij te hooren keuvelen en [ @alt soms somtijds ] misschien wat doorslaan : en later als ik dood ben , zult gij , vertrouw ik , wel eens aan de oude Juffrouw denken , als aan iemand , die nog al wat van [ @alt de den ] [ @alt oude ouden ] tijd wist te vertellen ; en mogelijk gebeurt het , dat gij nu en dan aan [ @alt ~dezen~deze dezen ] of genen , die verkeerd onderricht is ; toevoegt , hoe Juffrouw Stauffacher , die het wel wist , dat verhaalde ; maar [ @alt zo zoo ] ik gedenkschriften had uitgegeven , dan ware ik niet langer de oude Juffrouw meer , die men op haar woord geloofde , maar een schrijfster ; die elk het recht zoude hebben met aanmerkingen en kritieken op 't lijf te vallen .
27-4|- Spreek mij niet tegen , " vervolgde zij , ziende , dat ik het hoofd schudde , als iemand , die niet overtuigd is : " ik weet het beter : - en dit ware niet alles ; maar ik zoû geen genoeglijk uur meer met u of mijn andere goede vrienden hebben .
27-5|Thans mag ik u nog de eene of andere anecdote vertellen , die gij tien of meermalen gehoord hebt ; maar waar gij de beleefdheid hebt naar te luisteren , als of zij u geheel nieuw voorkwam ; - maar stond die eens gedrukt , dan zoû ik immers [ @alt ~de~den den ] mond niet meer durven opendoen om over oude zaken te praten , uit vrees , dat iemand mij op mijn boterham zoû geven : " ja ! dat hebben wij gelezen bladz .
27-6|58 van het Eerste Deel . "
27-7|Neen ! neen ! dat niet .
27-8|En dan is er nog iets : ik heb met heel wat rare potentaten en stoethaspels omgegaan , en hen in hun dagelijks bedrijf gezien : en ofschoon ik er géén kwaad in zie , over hen te praten , en het zelfs gaarne doe , [ @alt zo zoo ] heb ik er nooit van gehouden , om datgene publiek te maken , wat tot het private leven van personen behoort .
27-9|Het komt mij [ @alt altijd altoos ] voor , dat noch Necker , noch Delille , noch Madame Du Deffant , zich in [ @alt ~mijn~mijne mijne ] tegenwoordigheid [ @alt zo zoo ] zouden hebben uitgelaten als zij deden , wanneer zij vermoed hadden , dat ik [ @alt ~hun~hunne hunne ] gezegden later openbaar zoude maken .
27-10|Er is iets heiligs , naar mijn oordeel , in een gemeenzaam onderhoud : en daarvan mag geen misbruik gemaakt worden . "
28-1|" Dat ben ik niet met u eens .
28-2|Beroemde mannen behooren tot de nakomelingschap , en zij zijn er zelfs over 't geheel mede gestreeld , wanneer men aan hetgeen zij gezegd of gesproken hebben waarde genoeg hecht om het bekend te maken : zelfs dan , als het hun niet tot eer verstrekt .
28-3|Zij hebben allen een weinig van de ijdelheid van Herostratus weg , en wanneer men slechts van hen spreekt , kan het hun minder schelen , hoe . "
29-1|" Ieder heeft [ @alt ~zijn~zijne zijne ] inzichten ; maar ik heb mij niet geroepen geacht , om iets te doen , waar mijn gevoel tegen opkwam . "
30-1|" Dan is het jammer , dat gij geen roman geschreven hebt , waar gij uw kennissen met verandering van naam , tijd , enz. in te pas had gebracht . "
31-1|" Mijn lieve P. ! gij vergeet , dat die kleine bijzonderheden , die thans aan u en anderen belangrijk voorkomen , omdat zij belangrijke personen betreffen , of wel omdat ik er [ @alt zelf zelve ] in gemoeid ben , al haar aardigheid zouden missen , indien zij betrekking hadden op onbekenden .
31-2|Er zijn zeer weinige zoogenaamde vernuftige gezegden , zeer weinige merkwaardige voorvallen , die hun waarde niet [ @alt grotendeels grootendeels ] ontleenen aan de namen , die er mede gemoeid zijn .
31-3|Zoû iemand zich b.v. de moeite ooit getroost hebben om de zoutelooze kwinkslagen op te [ @alt tekenen teekenen ] of na te schrijven , die men aan Cicero toekent , indien gij of ik die gezegd hadden ?
31-4|- En echter vinden wij die in al de schoolboeken .
32-1|" Ik beken gaarne , dat gij dagelijks betere dingen voortbrengt , dan al wat wij van [ @alt ~die~dien dien ] aard in de klassieke oudheid aantreffen : en juist daarom verbeeld ik mij , dat gij , gebruik makende van de bouwstoffen die gij hebt , een zeer onderhoudend boek zoudt hebben kunnen schrijven .
33-1|" 't Is mogelijk : ik heb het nooit beproefd : en in [ @alt alle allen ] [ @alt gevallen gevalle ] weet ik niet , of het mij gelukt zoû zijn langs [ @alt ~de~den den ] door u aangewezen weg .
33-2|Want het is niet genoeg steen en kalk te hebben , men moet ook de bekwaamheid bezitten van die aan-een te voegen , indien men er een huis van wil bouwen : en al heb ik nog zulk een voorraad anecdoten en grappen , ik diende een lijst te hebben om die in te plaatsen ; want gij zoudt toch niet begeeren , dat ik een boek schreef alleen om de menschen aan 't lachen te maken : en er diende toch wel een zekere zedeleer bij te komen . "
34-1|" Hm ! " [ @alt zei zeide ] ik , glimlachende : " die zedeleer van de romans ! "
35-1|" Ja ! ik weet wel , dat men daar tegenwoordig niet meer om geeft : en dat althans de [ @alt Franse Fransche ] boeken van [ @alt ~die~dien dien ] aard zijn , dat men zich bijna schaamt , die gelezen te hebben ; nu - voor mijn part , ik lees ze niet : ik hou mij bij 't oude . "
36-1|" Er valt zeker niet veel op te roemen " [ @alt zei zeide ] ik , mij vermakende met de drift , waarmede zij sprak : " maar , " vervolgde ik , haar willende plagen door een van haar lievelingsschrijvers aan te vallen : " daar is Fielding , met wien gij nog al ophebt : die is dan toch ook niet bij uitstek kiesch in zijn [ @alt tonelen tooneelen ] . "
37-1|" Dat weet ik wel , en ik zoû u ook niet zeggen , dat gij Tom Jones aan uw dochter ter lezing moest geven ; maar indien gij beweert , dat het boek geen goede zedeleer heeft , dan zeg ik , dat gij het nooit met aandacht gelezen hebt .
37-2|Indien Fielding zijn held nu en dan laat struikelen , en daardoor in de noodzakelijkheid vervalt van beschrijvingen te geven , waar sommigen zich aan ergeren , dan dient hij zijn lezer later het tegengift voor , door hem de rampzalige gevolgen aan te toonen , die onvermijdelijk uit het inwilligen onzer verkeerde neigingen ontstaan : daarom acht ik het boek [ @alt zo zoo ] hoog , omdat het bestendig strekkende is , om de groote en nooit genoeg herhaalde waarheid te verkondigen , dat het kwade altijd zijn meester loont . "
38-1|" Ziedaar een waarheid , lieve Juffrouw ! die [ @alt zo zoo ] oudbakken is , dat men er aan begint te twijfelen : en , rechtuit gezegd , ik behoor onder die twijfelaars ; want wordt niet door de stelling , dat deugd en misdrijf beide reeds hier op aarde vergolden worden , de leer der vergelding hier namaals merkelijk verzwakt ?
38-2|- En leert ons eene , misschien ook wat oudbakken , ondervinding niet , dat de booze dikwijls , ongestoord , de rijkste zegeningen geniet , terwijl de brave in armoede en ellende zucht en met allerlei tegenspoeden te kampen heeft ? "
39-1|" Tot op zekere hoogte geef ik dit toe ; maar ik verzoek u , wel op te letten , dat ik geenszins beweerd heb , dat het goede zoowel als het kwade hier beneden beloond of gestraft wordt in [ @alt ~de~den den ] zin , [ @alt ~die~dien dien ] gij er aan hecht : - verre van [ @alt ~die~dien dien ] : dat geschiedt eerst in een volgend leven ; maar alleen , dat elke daad , die wij verrichten , haar natuurlijke , onvermijdelijke gevolgen met zich brengt , die [ @alt soms somtijds ] , wel is waar , geheel anders zijn , dan men die zich voorstelt ; maar die niet-te-min leerzaam zijn en blijven voor [ @alt de den ] [ @alt opmerkzame opmerkzamen ] beschouwer .
39-2|Het moge [ @alt ~de~den den ] booze - want ik wil uw redeneering eens volgen ; ofschoon ik anders niet houde van die peremptoire manier om de menschen in twee deelen te scheiden , [ @alt ~goeden~goede goeden ] en slechten ; - ik heb nooit zulk een volslagen schelm gekend , of hij had ook zijn goede zijde : en de beste mensch daar-en-tegen zondigt ook nog dagelijks - het moge , [ @alt zo zoo ] als ik [ @alt zei zeide ] , [ @alt ~de~den den ] booze welgaan : hij moge zelfs de stem van het geweten smoren ( 't geen ik ook al met geloof , want daar is poes ; die kan ik het altijd aanzien als zij gesnoept heeft , aan de schuwe en verlegene houding die zij dan aanneemt : en [ @alt zo zoo ] poes een conscientie heeft , dan heeft een mensch er een à plus forte raison ) ; maar het gedane kwaad zal niet-te-min gevolgen hebben , die hem , soms na jaren en op 't onverwachtst , voor 't aangezicht zullen springen en lastige [ @alt ogenblikken oogenblikken ] bezorgen .
39-3|Met het goede , dat men verricht , is het , of liever , schijnt het niet volkomen [ @alt zo zoo ] gelegen ; maar , behalve dat zich bij het beste dat wij verrichten altijd iets menschelijks paart , en wij eigentlijk niets wezentlijks goeds kunnen uitrichten , maar altijd , als onnutte dienstknechten , zeer achterlijk blijven , [ @alt zo zoo ] leert ons de ondervinding , dat men het goede om zich zelf moet doen en niet om het loon , dat er uit voortkomt , en dat miskenning , ondankbaarheid , terugzetting , enz. er menigmalen de gevolgen van zijn .
39-4|Nog meer : men kan wel dadelijk bepalen , en men doet het ook genoeg , welke daad verkeerd is geweest ; maar evenmin als men de drijfveeren kent , welke iemand tot zondigen aangezet hebben en hem tot verschoning kunnen strekken , evenmin kan men beöordeelen , of de ogenschijnlijk goede daden altijd even zuiver in haar oorsprong zijn : en of die zoogenaamde lijdende deugd haar tegenspoeden niet veelal aan zich [ @alt zelf zelve ] te wijten heeft .
39-5|Ik voor mij geloof niet aan die heel brave lieden , die tevens [ @alt zo zoo ] heel ellendig zijn : wanneer men hun geschiedenis wel kende , zoû men dikwijls vinden dat de rampen , waarmede zij te worstelen hebben , haar oorsprong hebben , in verkeerde , en vooral in domme streken , vroeger gepleegd . "
40-1|" Ik ben het in vele opzichten met u eens ; maar ik bid u , zeg het niet overluid ; want wat werd er van het medelijden en van de liefdadigheid , indien men zich gerechtigd achtte , elken behoeftige toe te voegen , dat hij door eigen schuld ongelukkig ware ? "
41-1|" Wel ! mij dunkt , dat hij daardoor juist een dubbele aanspraak op ons medelijden heeft . "
42-1|" Ja ; maar daar heeft hij weinig aan , [ @alt zo zoo ] er de liefdadigheid niet bij komt ; doch - om tot ons onderwerp terug te keeren .
42-2|Gij zoudt dus denken , dat wanneer men haarklein iemands geschiedenis wist , men de bron der wederwaardigheden , die hem treffen , altijd daarin zoû kunnen terugvinden , even als men op een landkaart [ @alt ~de~den den ] oorsprong [ @alt ener eener ] rivier kan opsporen . "
43-1|" Hou wat , gij keert mijn stelling om : en dat is mis .
43-2|Even als de oorsprong , [ @alt ~die~dien dien ] gij zoekt , soms buiten de kaart gelegen zijn , even-zoo kan de aanleiding van een ramp , die ons treft , van buiten komen ; maar ik heb beweerd , dat elke daad , die wij verrichten , tot de minste onvoorzichtigheid toe , ons of onmiddellijk , of later , opbreekt , en dat elke levensgeschiedenis , mids naar waarheid geschreven , ons daarvan getuigenis geven zoude . "
44-1|" Nu ! ik zoû gaarne een zoodanige geschiedenis zien . "
45-1|" Ik zoû gemakkelijk aan uw verlangen kunnen voldoen : wilt gij de goedheid hebben , even aan de schel te trekken . "
46-1|De meid kwam .
46-2|" Fremmetje ! " [ @alt zei zeide ] Mejuffrouw Stauffacher , haar [ @alt ~de~den den ] Sleutelring gevende : " ga eens op de boven-achterkamer .
46-3|In de tweede kast van het raam af , op de vijfde plank van onderen af , ligt een pakket , met rood band omwonden : haal mij dat eens hier : maar denk er aan , de knippen te sluiten , als gij de kast weer dicht-doet : en neem het koffiegoed maar weg : Mijn Heer drinkt toch niet meer . "
47-1|" Ziehier , " vervolgde zij , toen zij het gevraagde uit de handen der dienstmaagd bekomen had , " de geschiedenis , waar ik u van sprak .
47-2|Hij , die de hoofdpersoon er van uitmaakt , beging een kleine , zeer verschoonbare onvoorzichtigheid , die voor hem een bron was van verdrietelijkheden en ongenoegen : anderen , daarin voorkomende , begingen grootere dwaasheden ; en ook zij moesten er de gevolgen van dragen . "
48-1|" En - de geschiedenis van de geschiedenis ? "
49-1|" Gij weet , dat ik vroegere jaren [ @alt ~enigen~enige eenigen ] tijd bij de familie A. als gouvernante heb doorgebracht .
49-2|Wij zagen dikwijls [ @alt ~de~den den ] Heer X. , die aan het hoofd stond van een bloeiend huis van negotie .
49-3|Hij was daarbij een groot minnaar en voorstander der letterkunde en hield er veel van , met mij over de daartoe betrekkelijke onderwerpen te redeneeren .
49-4|Eens dat wij van romans spraken en ik mij ergerde over het onwaarschijnlijke der meeste voorvallen , die ons in dat slag van werken worden opgedischt : " où trouvera-t-on le romanesque , si ce n'est dans les romans , " vroeg hij lachende .
49-5|" Ja ! " [ @alt zei zeide ] ik : " dat is even als de boef , die vroeg , waar de valsche eeden toe dienden , als men ze niet gebruiken mocht ? " - " Maar , " vervolgde hij : " ik beweer , dat vele dingen , die ons in het dagelijksch leven gebeuren , [ @alt zo zoo ] vreemd , toevallig of zonderbaar zijn , dat zij , in een roman vermeld , met [ @alt ~de~den den ] naam van onwaarschijnlijkheden zouden bestempeld worden . "
50-1|" Le vrai peut quelquefois n' être pas vraisemblable , " [ @alt zei zeide ] ik , maar voegde er bij , dat het niet om een enkele onwaarschijnlijkheid , maar om de opeenstapeling van onwaarschijnlijkheden was , dat ik de meeste romans veroordeelde .
50-2|" Nu ! " [ @alt zei zeide ] hij : " [ @alt zo zoo ] ik op uw discretie staat kon maken , zoû ik u een handschrift kunnen doen zien , eenige voorvallen behelzende , die mijn eigen grootvader zijn overkomen , en waarin zoovele toevalligheden en vreemde ontmoetingen voorkomen , als men die naauwlijks in een roman zoû aantreffen . "
50-3|- Ik betuigde hem mijn verlangen om dat handschrift te lezen : hij voldeed aan mijn wensen , en ik moest hem , na de lezing , toestemmen , dat hij de waarheid gesproken had .
50-4|Ik verzocht hem afschrift er van te mogen nemen .
50-5|" Daar heb ik niet tegen , " [ @alt zei zeide ] hij : " op voorwaarde , dat gij het aan niemand laat lezen , althans in de eerste veertig jaren niet ; want er zijn te veel personen in gemoeid , wier kinderen of kleinkinderen nog leven .
50-6|Wat later gebeurt , kan mij niet schelen : al wil men het uitgeven ; want dan zullen de daarin voorkomende portretten wel niet meer dan antiquiteiten zijn . "
51-1|" Ik beloofde zulks en deed nog meer : ik veranderde al de namen , ten einde niemand , die bij toeval het stuk in handen kreeg , zoû weten of het waar , dan wel verzonnen ware .
