1-1|Jules Verne
30-2|Hoewel hij [ @alt soms somtijds ] door al te ruwe behandeling [ @alt ~zijn~zijne zijne ] monsters brak , voegde hij toch bij het genie van [ @alt ~de~den den ] geoloog [ @alt ~de~den den ] blik van [ @alt ~de~den den ] mineraloog .
30-3|Met zijn hamer , zijn stalen stift , zijn kompasnaald , zijn blaaspijp en zijn fleschje salpeterzuur was hij een zeer sterk man .
30-4|Op de breuk , het voorkomen , de hardheid , de smeltbaarheid , [ @alt ~de~den den ] klank , [ @alt ~de~den den ] geur , [ @alt ~de~den den ] smaak van het een of ander metaal af , rangschikte hij het , zonder aarzelen , onder eene der zes honderd soorten , die de wetenschap tegenwoordig telt .
31-1|De naam van Lidenbrock werd dan ook met eere genoemd op de gymnasiën en in de verschillende maatschappijen des lands .
31-2|Humphry Davy , Humboldt , de kapiteins Franklin en Sabine verzuimden niet hem op [ @alt ~hun~hunne hunne ] doorreis te Hamburg te bezoeken .
31-3|Becquerel , Ebelmen , Brewster , Dumas , Milne Edwards , raadpleegden hem gaarne over de belangrijkste vraagstukken der scheikunde .
31-4|Deze wetenschap had aan hem zeer schoone ontdekkingen te danken , en in 1853 was te Leipzig eene verhandeling over de transcendente kristallographie door professor Otto Lidenbrock verschenen , een groote foliant met platen , die echter de kosten niet goedmaakte .
32-1|Voeg daar nog bij , dat mijn oom conservator was van het mineralogisch museum van [ @alt ~de~den den ] heer Struve , gezant van Rusland , eene kostbare verzameling , die eene europeesche vermaardheid genoot .
33-1|Dat was de persoon , die mij ongeduldig aansprak .
33-2|Stel u een [ @alt ~groten~grote grooten ] , mageren man voor , met een ijzeren gestel en met blonde haren , die hem eer veertig dan vijftig jaar deden schijnen .
33-3|[ @alt ~Zijn~Zijne Zijne ] groote oogen rolden onophoudelijk rond achter een [ @alt ontzaglijke ontzaglijken ] bril ; zijn lange , dunne neus geleek op een scherp lemmet ; de booze wereld beweerde zelfs dat hij magnetisch was en ijzervijlsel aantrok .
33-4|Louter laster ; hij trok slechts snuif aan , maar , ik wil er niet om liegen , in groote hoeveelheid .
34-1|Als ik hier nu nog bijvoeg , dat mijn oom wiskundig berekende schreden deed van drie voet , en als ik zeg , dat hij onder het loopen [ @alt ~zijn~zijne zijne ] vuisten stijf gesloten hield , het teeken van een [ @alt onstuimige onstuimigen ] aard , zal men hem genoeg kennen om juist niet bijzonder op zijn gezelschap gesteld te zijn .
35-1|Hij woonde in zijn huisje in de Koningstraat ; eene woning half van hout , half van steen , met een gevelmuur met trappen ; zij had het uitzicht op eene van die bochtige grachten , die zich door de oudste wijk van Hamburg kronkelen , welke de brand van 1842 gelukkig gespaard heeft .
36-1|Het oude huis hing wel is waar een weinig over en bedreigde de voorbijgangers ; het dak stond scheef , even als de pet van een Bladzijde 4student van het Tugendbund ; de loodrechte richting liet wel wat te wenschen over ; maar over het geheel hield het zich goed , dank zij een ouden olmboom , die stevig aan [ @alt ~de~den den ] voorgevel was vastgegroeid en in de lente met [ @alt ~zijn~zijne zijne ] bloesemknoppen door de vensterruiten drong .
37-1|Mijn oom was rijk voor een duitsch professor .
37-2|Het huis , met al wat er in was , behoorde hem in vollen eigendom toe .
37-3|Wat er in was bestond uit zijn petekind Gräuben , een meisje van 17 jaar , de goede Martha en mij .
37-4|In [ @alt ~mijn~mijne mijne ] dubbele hoedanigheid van neef en pupil werd ik zijn handlanger bij [ @alt ~zijn~zijne zijne ] proefnemingen .
38-1|Ik beken gaarne , dat ik mij met de borst op de geologische wetenschappen toelegde ; het bloed van een mineraloog vloeide door [ @alt ~mijn~mijne mijne ] aderen en ik verveelde mij nooit in gezelschap van [ @alt ~mijn~mijne mijne ] kostbare steenen .
39-1|Kortom , men kon in dat huisje in de Koningstraat gelukkig leven , ondanks het ongeduld van zijn eigenaar ; want , al was hij soms wat ruw , toch hield hij veel van mij .
39-2|Maar die man kon niet wachten en was zelfs voortvarender dan de natuur .
39-3|Wanneer hij in April in de bloempotten van zijn vertrek stammetjes reseda of volubilis geplant had , ging hij regelmatig [ @alt iedere iederen ] morgen aan de blaadjes trekken om hun groei te verhaasten .
40-1|Tegenover zulk een zonderling zat er niets anders op dan te gehoorzamen .
40-2|Ik vloog dus naar [ @alt ~zijn~zijne zijne ] kamer .
41-1|Hoofdstuk II
42-1|Een fraai boek .
42-2|- Een merkwaardige inhoud .
42-3|- Het oude document .
42-4|- Wat het oude papier kostte .
43-1|Die kamer was een waar museum .
43-2|Alle monsters uit het delfstoffenrijk waren , in de uiterste orde , van opschriften voorzien naar de drie groote afdeelingen van brandbare , metaalachtige en steenachtige delfstoffen .
44-1|Of ik ze kende , die bronnen der delfstofkunde !
44-2|Hoe menigmaal had ik in plaats van met jongens van [ @alt ~mijn~mijne mijne ] jaren te spelen , er behagen in gevonden om die potloodertsen , die koolblende , die steenkolen , die bruinkolen , die turven af te stoffen !
44-3|En de jodenlijm , de harsen , de organische zouten , die voor het geringste stofje bedaard moesten blijven !
44-4|En die metalen , van het ijzer af tot het Bladzijde 5goud toe , wier betrekkelijke waarde verdween bij de volstrekte waarde als wetenschappelijke voorbeelden !
44-5|En al die steenen , waarmede men het huis in de Koningstraat had kunnen herbouwen , zelfs met eene mooie kamer er bij , die mij [ @alt zo zoo ] goed zou aangestaan hebben !
45-1|OTTO LIDENBROCK .
46-1|Bladzijde 6Maar bij mijn binnentreden in het vertrek dacht ik in het geheel niet aan die wonderen .
46-2|Al [ @alt ~mijn~mijne mijne ] gedachten bepaalden zich tot mijn oom .
46-3|Hij lag gedoken in zijn [ @alt ~groten~grote grooten ] armstoel met utrechtsch fluweel bekleed en hield een boek in de hand , dat hij met de diepste bewondering beschouwde .
47-1|" Welk een boek ! welk een boek ! " riep hij uit .
48-1|Deze uitroep herinnerde mij dat professor Lidenbrock in [ @alt ~zijn~zijne zijne ] verloren [ @alt ogenblikken oogenblikken ] ook een boekengek was ; maar een oud boek had in [ @alt ~zijn~zijne zijne ] oogen alleen waarde als het onverkrijgbaar of tenminste onleesbaar was .
49-1|" Welnu , " [ @alt zei zeide ] hij mij , " ziet gij het dan niet ?
49-2|Het is een onwaardeerbare schat , [ @alt ~die~dien dien ] ik [ @alt ~dezen~deze dezen ] morgen gevonden heb bij het doorsnuffelen van [ @alt ~de~den den ] winkel van Hevelius , [ @alt ~de~den den ] jood . "
50-1|" Heerlijk ! " antwoordde ik met eene gemaakte geestdrift .
51-1|Maar waartoe diende dan ook de ophef over een ouden kwartijn in grof kalfsleeren band , een geelachtig boek , waaruit een verkleurd leesteeken hing ?
52-1|Intusschen kwam er maar geen einde aan de uitroepen van bewondering van [ @alt ~de~den den ] professor .
53-1|" Zie , " [ @alt zei zeide ] hij , zich [ @alt zelf zelven ] vragende en antwoordende , " is het niet mooi ?
53-2|Ja , zelfs bewonderenswaardig !
53-3|En welk een band !
53-4|Gaat het boek gemakkelijk open ?
53-5|Ja , want het blijft bij iedere bladzijde open liggen .
53-6|Maar sluit het wel goed ?
53-7|Ja , want de band en de bladen vormen een goed geheel , zonder zich ergens te scheiden of te gapen !
53-8|En dan die rug , waarin na een bestaan van 700 jaar nog geen enkele scheur is !
53-9|Bozerian , Closs of Purgold zouden trotsch geweest zijn op zulk een band ! "
54-1|[ @alt Zo Zoo ] sprekende opende en sloot mijn oom gedurig het oude boek .
54-2|Het minste wat ik doen kon was hem naar [ @alt ~de~den den ] inhoud te vragen , hoewel die mij geen het minste belang inboezemde .
55-1|" En wat is dan wel de titel van dat merkwaardige boek ? " vraagde ik met eene drift , die te hevig was om niet geveinsd te zijn .
56-1|" Dit werk , " antwoordde mijn oom vol opgewondenheid , " is de Heims-Kringla van Snorre Turleson , [ @alt ~de~den den ] beroemden ijslandschen schrijver uit de twaalfde eeuw .
56-2|Het is de kroniek der noorweegsche vorsten , die over IJsland regeerden . "
57-1|" Waarlijk ! " deed ik mijn best om uit te roepen , " dan is het zonder twijfel eene duitsche vertaling ? "
58-1|" Nu nog mooier ! " antwoordde de professor driftig , " eene vertaling !
58-2|Wat zou uwe vertaling mij baten ?
58-3|Wie geeft iets om uwe vertaling ?
58-4|Het is het oorspronkelijk werk in de ijslandsche taal , die prachtige , rijke maar tevens eenvoudige taal , die de meest verschillende spraakkunstige verbindingen en talrijke vormveranderingen der woorden toelaat . "
59-1|" Even als het duitsch , " bracht ik vrij gelukkig in het midden .
60-1|Bladzijde 7"Ja , " antwoordde mijn oom , de schouders ophalende ; " maar met dit onderscheid , dat de ijslandsche taal de drie geslachten heeft , even als het grieksch en de eigennamen verbuigt als het latijn . "
61-1|" [ @alt Zo Zoo ] ! " [ @alt zei zeide ] ik een weinig in [ @alt ~mijn~mijne mijne ] onverschilligheid geschokt , " en is de druk van dit boek fraai ? "
62-1|" Druk ! wie spreekt er van druk , ongelukkige Axel ?
62-2|Druk !
62-3|Houdt gij dit dan voor een gedrukt boek ?
62-4|Neen , domoor ! het is een handschrift en wel een runisch handschrift !
62-5|... "
63-1|" Een runisch ? "
64-1|" Ja !
64-2|Zoudt gij misschien willen , dat ik u eene verklaring van dat woord gaf ? "
65-1|" Daar zal ik wel op passen , " antwoordde ik op [ @alt ~de~den den ] toon van iemand , wiens eigenliefde gekwetst is .
66-1|Maar mijn oom draafde door en onderrichte mij tegen mijn zin in zaken , die ik niet verlangde te weten .
67-1|" De runen , " hernam hij , " waren schrijfletters , die vroeger op IJsland in gebruik waren , en volgens de overlevering had Odin zelf ze uitgevonden .
67-2|Goddelooze ! bezie en bewonder dan toch die [ @alt tekens teekens ] , welke uit het brein van een god zijn voortgekomen ! "
68-1|Niet wetende wat te antwoorden , was ik waarlijk op het punt om [ @alt neer neder ] te knielen , eene soort van antwoord , dat [ @alt ~de~den den ] goden even zeer moet bevallen als [ @alt ~de~den den ] koningen , omdat het het voordeel heeft van hen nooit in verlegenheid te brengen , toen een toeval [ @alt ~de~den den ] loop van het gesprek eene andere wending gaf .
69-1|Het was de verschijning van een smerig perkament , dat uit het boek gleed en op [ @alt ~de~den den ] grond viel .
70-1|Mijn oom viel met eene onbegrijpelijke gretigheid op die vod aan .
70-2|Het kon niet missen of een oud document , misschien sedert onheugelijke tijden in een oud boek gesloten , moest hooge waarde in zijn oog hebben .
71-1|" Wat is dat ? " riep hij uit .
72-1|En tegelijk ontvouwde hij zorgvuldig op [ @alt ~zijn~zijne zijne ] tafel een stuk perkament , 10 duim lang en 6 duim breed , waarop in dwarse lijnen onverklaarbare [ @alt tekens teekens ] stonden .
73-1|Wij voegen een nauwkeurig fac-simile er van hiernevens .
74-1|Bladzijde 8Ik stel er prijs op om die zonderlinge [ @alt tekens teekens ] te doen kennen , want door hen werden professor Lidenbrock en zijn neef aangezet om [ @alt ~de~den den ] vreemdsten tocht der negentiende eeuw te ondernemen .
75-1|De professor beschouwde eenige [ @alt ogenblikken oogenblikken ] deze rij letters ; vervolgens [ @alt zei zeide ] hij zijn bril afnemende :
76-1|" Het is runisch schrift ; deze letterteekens zijn geheel overeenkomstig met die van het handschrift van Snorre Turleson !
76-2|Maar ... wat zou het toch [ @alt betekenen beteekenen ] ? "
77-1|Daar het runisch schrift mij voorkwam eene uitvinding van geleerden te zijn om [ @alt de den ] [ @alt grote grooten ] hoop zand in de oogen te strooien , speet het mij geenszins , toen ik zag , dat mijn oom er niets van begreep .
77-2|Dat maakte ik ten minste op uit de beweging zijner vingers , die hij geducht heen en weer draaide .
78-1|" Het is echter oud ijslandsch ! " bromde hij binnensmonds .
79-1|En professor Lidenbrock moest het wel weten , want men hield hem voor een groot taalkenner .
79-2|Wel sprak hij de 2000 talen en 4000 tongvallen , die op de oppervlakte der aarde in gebruik zijn , niet vloeiend , maar hij wist er toch aardig wat van .
80-1|Toen deze [ @alt moeilijkheid moeielijkheid ] zich opdeed , was hij op het punt zich aan al de onstuimigheid van zijn karakter over te geven en ik voorzag een heftig [ @alt toneel tooneel ] , toen het twee uur sloeg op het kleine uurwerk op [ @alt ~de~den den ] schoorsteenmantel .
81-1|Dadelijk opende de goede Martha de deur van het vertrek , zeggende : " De soep staat op tafel . "
82-1|" De drommel hale de soep , " riep mijn oom , " en haar , die ze gekookt heeft , en hen , die ze zullen eten ! "
83-1|Martha vluchtte , ik ijlde haar achterna , en zonder te weten hoe , zat ik op [ @alt ~mijn~mijne mijne ] gewone plaats in de eetzaal .
84-1|Ik wachtte eenige [ @alt ogenblikken oogenblikken ] .
84-2|De professor kwam niet .
84-3|Dit was de eerste keer , voorzoover ik wist , dat hij bij het middagmaal gemist werd .
84-4|En welk een kostelijk middagmaal ! eene groentesoep , een spekpannekoek met zuring bestrooid met notemuskaat , een kalfsnierstuk met ingelegde pruimen , en tot nagerecht garnalen met suiker , alles besproeid met lekkeren Moezelwijn .
85-1|Zooveel kostte dat oude papier aan mijn oom .
85-2|In [ @alt ~mijn~mijne mijne ] hoedanigheid van liefhebbenden neef meende ik inderdaad verplicht te zijn om voor hem en mij te eten , hetgeen ik ook met de grootste nauwgezetheid deed .
86-1|" Ik heb nooit [ @mwu zoo iets ] gezien ! " [ @alt zei zeide ] de goede Martha onder het bedienen .
86-2|" Mijnheer Lidenbrock niet aan tafel ! "
87-1|" Het is haast ongelooflijk . "
88-1|" Dat voorspelt de eene of andere gewichtige gebeurtenis ! " hernam de oude meid het hoofd schuddende .
89-1|Mijns inziens voorspelde het niets anders dan een heftig [ @alt toneel tooneel ] , als mijn oom zijn middagmaal verdwenen zou zien .
90-1|Hij woonde in zijn huisje in de Koningstraat .
91-1|Ik peuzelde juist [ @alt ~mijn~mijne mijne ] laaste garnaal op , toen eene bulderende Bladzijde 9stem mij aan de genoegens van het nagerecht ontrukte .
91-2|In één sprong was ik uit de zaal in het studeervertrek .
91-3|Bladzijde 10
92-1|Hoofdstuk III
93-1|Een runisch handschrift .
93-2|- Uitleg van het [ @alt alfabet alphabet ] - Het geheimschrift .
93-3|- Een geleerd man .
93-4|- Nichtje Gräuben .
93-5|- Ontcijfering van het dokument .
93-6|- Einde der ontcijfering .
94-1|" Het is stellig runisch , " [ @alt zei zeide ] de professor [ @alt ~zijn~zijne zijne ] wenkbrauwen fronsende .
94-2|" Maar er schuilt een geheim achter , dat ik ontdekken zal , of ... . "
95-1|Een driftig gebaar gaf [ @alt ~zijn~zijne zijne ] bedoeling genoegzaam te kennen .
96-1|" Ga daar zitten , " voegde hij er bij , terwijl hij met [ @alt ~zijn~zijne zijne ] vuist de tafel aanwees , " en schrijf . "
97-1|In een [ @alt ogenblik oogenblik ] was ik gereed .
98-1|" Nu zal ik u iedere letter van ons [ @alt alfabet alphabet ] opnoemen , die met eene van deze ijslandsche letters overeenkomt .
98-2|Wij zullen zien wat dat geeft .
98-3|Maar , bij St. Michaël ! pas op , dat ge u niet vergist . "
99-1|De opnoeming begon .
99-2|Ik deed mijn uiterste best ; de eene letter werd na de andere opgenoemd en vormde [ @alt zo zoo ] de onverstaanbare opeenvolging der volgende woorden :
100-1|m.rnlls esreuel seeJde
101-1|sgtssmf unteief niedrke
102-1|kt , samn atrateS Saodrrn
103-1|emtnaI nuaect rrilSa
104-1|Atvaar nscrc ieaabs
105-1|ccdrmi eeutul frantu
106-1|dt , iac oseibo KediiI
107-1|Toen dit werk af was , nam mijn oom driftig het blad , waarop ik geschreven had , en bekeek het lang met aandacht .
108-1|" Wat beteekent dat ? " herhaalde hij [ @alt werktuiglijk werktuigelijk ] .
109-1|Op [ @alt ~mijn~mijne mijne ] eer , ik zou het hem niet hebben kunnen zeggen .
109-2|Daarenboven ondervroeg hij mij ook dienaangaande niet en ging voort met tot zich [ @alt zelf zelven ] te spreken .
110-1|" Dat noemen wij geheimschrift , " [ @alt zei zeide ] hij , " waarvan de zin verborgen is onder letters , die opzettelijk verkeerd geplaatst zijn en die ordelijk geschikt een verstaanbaren zin zouden opleveren !
110-2|En wanneer ik bedenk , dat daarin misschien de verklaring of de aanwijzing [ @alt ener eener ] groote ontdekking is opgesloten ! "
111-1|Ik voor mij dacht wel , dat er niets in opgesloten was , maar hield [ @alt ~mijn~mijne mijne ] meening voorzichtig voor mij .
112-1|Daarop nam de professor het boek en het perkament en vergeleek ze met elkander .
113-1|" Deze twee geschriften zijn niet van dezelfde hand , " [ @alt zei zeide ] hij ; " het geheimschrift is jonger dan het boek , en ik zie daarvan terstond Bladzijde 11een onwraakbaar bewijs .
113-2|Inderdaad , de eerste letter is eene dubbele M , die men te vergeefs in het boek van Turleson zou zoeken , want zij werd eerst in de 14de eeuw bij het ijslandsche [ @alt alfabet alphabet ] gevoegd .
113-3|Derhalve liggen er minstens 200 jaar tusschen het handschrift en het document . "
114-1|Dat scheen mij , ik erken het , vrij logisch te zijn .
115-1|" Dus word ik er toe gebracht , " hernam mijn oom , " om te denken , dat een der bezitters van dit boek deze geheimzinnige [ @alt tekens teekens ] heeft geschreven .
115-2|Maar , voor [ @alt ~de~den den ] drommel ! wie was die bezitter ?
115-3|Zou hij zijn naam niet ergens op dit handschrift gezet hebben ? "
116-1|Mijn oom nam zijn bril af , kreeg een sterke loep en onderzocht nauwkeurig de eerste bladzijden van het boek .
116-2|Op de keerzijde van de tweede , die van [ @alt ~de~den den ] voortitel , ontdekte hij een soort van vlek , die er op het oog als eene inktvlek uitzag .
116-3|Intusschen onderscheidde men , als men het van nabij bezag , eenige half uitgewischte [ @alt tekens teekens ] .
116-4|Mijn oom begreep , dat de hoofdzaak daar zat ; hij bleef dus op de vlek turen en met behulp van [ @alt ~zijn~zijne zijne ] groote loep , bespeurde hij eindelijk de bijgaande [ @alt tekens teekens ] , runische letters , die hij zonder aarzelen las :
117-1|" Arne Saknussemm ! " riep hij op een zegepralenden toon , " maar dat is een naam en wel een ijslandsche naam ! die van een geleerde uit de 16de eeuw , van een beroemden goudmaker ! "
118-1|Ik zag mijn oom met zekere bewondering aan .
119-1|" Die goudmakers , " hernam hij , " Avicenne , Bacon , Lulle , Paracelsius , waren de echte , de eenige geleerden van hun tijd .
119-2|Zij hebben ontdekkingen gedaan , waarover wij met recht verbaasd staan .
119-3|Waarom zou die Saknussemm onder dat onverstaanbare geheimschrift niet de eene of andere verrassende uitvinding verborgen hebben ?
119-4|Dat moet [ @alt zo zoo ] zijn .
119-5|Het is [ @alt zo zoo ] ! "
120-1|De verbeeldingskracht van [ @alt ~de~den den ] professor werd door die veronderstelling aangevuurd .
121-1|" Zonder twijfel , " waagde ik te antwoorden , " maar welk belang kon die geleerde er bij hebben om [ @alt zo zoo ] de eene of andere vreemde ontdekking te verbergen ? "
122-1|" Waarom ?
122-2|Waarom ?
122-3|Weet ik het ?
122-4|Heeft Galileï niet hetzelfde gedaan met Saturnus ?
122-5|Overigens zullen wij wel eens zien ; ik moet achter het geheim van dit document komen en ik zal eten noch slapen , voor ik het geraden heb . "
123-1|" [ @alt Zo Zoo ] , [ @alt zo zoo ] ! " dacht ik .
124-1|" Maar gij ook niet , Axel ! " hernam hij .
125-1|" Drommels ! " [ @alt zei zeide ] ik bij mij [ @alt zelf zelven ] , " het is gelukkig dat ik voor twee gegeten heb ! "
126-1|Bladzijde 12"Vooreerst , " [ @alt zei zeide ] mijn oom , " moeten wij de taal van dit geheimschrift vinden .
126-2|Dat kan niet [ @alt moeilijk moeielijk ] zijn . "
127-1|Op deze woorden hief ik driftig mijn hoofd op .
127-2|Mijn oom hervatte [ @alt ~zijn~zijne zijne ] alleenspraak :
128-1|" Niets is gemakkelijker .
128-2|Er zijn in dit document honderd twee en dertig letters , negen en zeventig medeklinkers tegen drie en vijftig klinkers .
128-3|In deze evenredigheid zijn tennaastenbij de woorden der zuidelijke talen gevormd , terwijl de noordsche veel rijker zijn in medeklinkers .
128-4|Het is dus eene zuidelijke taal . "
129-1|Deze gevolgtrekkingen waren zeer juist .
130-1|" Maar welke taal is het ? "
131-1|Nu moest het blijken , wat de geleerde was , in wien ik echter een grondig analyticus vond .
132-1|" Die Saknussemm , " hernam hij , " was een geleerd man ; zoodra hij dus niet in [ @alt ~zijn~zijne zijne ] moedertaal schreef , moest hij bij voorkeur de gewone taal der geleerden van de zestiende eeuw kiezen , ik bedoel het latijn .
132-2|Als ik mij bedrieg , kan ik het beproeven met het spaansch , het fransch , het italiaansch , het grieksch , het hebreeuwsch .
132-3|Maar de geleerden der zestiende eeuw schreven meestal in het latijn .
132-4|Ik heb dus het recht om a priori te zeggen : " dit is latijn . "
133-1|Ik schoof heen en weder op mijn stoel .
133-2|[ @alt ~Mijn~Mijne Mijne ] herinneringen als latinist kwamen in opstand tegen de meening , dat deze rij van zinledige woorden zou kunnen behooren tot de zoete taal van Virgilius .
134-1|" Ja , latijn , " hernam mijn oom , " maar verbasterd latijn . "
135-1|" Het zij [ @alt zo zoo ] ! " dacht ik .
135-2|" Als gij het ontwart , moet gij slim zijn , oom ! "
136-1|" Laat ik nog eens goed zien , " [ @alt zei zeide ] hij , het blad weder opnemende , waarop ik geschreven had .
136-2|" Ziedaar eene rij van honderd twee en dertig letters , die zich in eene schijnbare wanorde voordoen .
136-3|Er zijn woorden , waarin alleen medeklinkers voorkomen , zooals het eerste " m.rnlls , " andere , in tegendeel , met veel klinkers , b.v. het vijfde " unteief , " of het voorlaatste " oseibo . "
136-4|Die schikking nu is blijkbaar niet willekeurig ; zij is op wiskunstige gronden ingegeven door de onbekende reden , die de opeenvolging dezer letters heeft geregeld .
136-5|Het is dunkt mij zeker , dat de oorspronkelijke volzin regelmatig is opgeschreven en daarna omgekeerd volgens eene wet , die ik moet ondekken .
136-6|Wie [ @alt ~de~den den ] sleutel van dit geheimschrift bezat , zou het vlug lezen .
136-7|Maar welke is die sleutel ?
136-8|Axel ! hebt gij [ @alt ~die~dien dien ] sleutel ? "
137-1|Gräuben was een lieve blonde deern .
138-1|Op die vraag antwoordde ik niets en wel om de volgende reden .
138-2|Mijn oog was gevallen op een lief portret , dat aan [ @alt ~de~den den ] muur hing , het portret van Gräuben .
138-3|De pupil van mijn oom was toen te Altona bij eene harer bloedverwanten , en [ @alt ~haar~hare hare ] afwezigheid maakte mij zeer treurig ; want , ik mag het nu bekennen , het lieve meisje en de neef van [ @alt ~de~den den ] professor beminden elkander met al het geduld en al de bedaardheid van Duitschers ; wij waren verloofd buiten weten van mijn oom , die te zeer geoloog was om dergelijke gevoelens te begrijpen .
138-4|Bladzijde 13Gräuben was eene lieve blonde deern met blauwe oogen een [ @alt enigszins eenigszins ] zwaarmoedig karakter en een nadenkenden geest ; zij beminde mij daarom niet minder ; ik voor mij aanbad haar , als Bladzijde 14dat woord ten minste in de oud-duitsche taal bestaat !
