1-1|NOODLOT
39-5|En de acteur zelf bleef roerloos zitten , starende in het vuur , verlegen in de streeling der weelde , welke hem hier omringde in deze kamer : onwederlegbaar het verblijf van een vermogend jongmensch , die geen neiging tot huislijke gezelligheid had : rijke gordijnen en tapijten , rijke meubels en ornamenten , zonder comfort geschikt , recht tegen de wanden aan en , stijf netjes , zonder leven , glimpend opgepoetst .
39-6|Maar Bertie kreeg [ @alt ~die~dien dien ] indruk niet , want een welbehagen van warmte en veiligheid kwam over hem , een gevoel van rust en onbezorgdheid , kalm als een meer en zoet als een oase : een lachend landschap na de koude en de sneeuw van [ @alt zo zoo ] even .
39-7|En toen hij zag hoe Frank hem aanstaarde , zeker verwonderd over zijn roerloos zitten turen in het groote vuur , waar de vlammen thans dansend oplekten als gele drakentongen , glimlachte hij eindelijk en sprak hij nederig , dankbaar , met die stem als van een bedelaar :
40-1|- Dank u wel , u ... .
40-2|u is [ @alt zo zoo ] goed ... .
41-1|Het was niet veel wat Annie daarna op tafel zette : de restantjes uit de provisiekast van een steeds uithuizig jongmensch , wat kouden beef-steak en slâ , wat beschuit en jam , maar het zweemde toch naar een souper en Bertie deed het groote eer aan , systematisch langzaam en bijna onverschillig etend en drinkend , wasemend warmen grog , zonder [ @alt ~de~den den ] honger , die in zijn lichaam eene nijpende leêgte groef , te laten blijken .
41-2|Frank poogde hem eindelijk uit te hooren , dwong hem te spreken en te verhalen wat hem in zulke ellende gebracht had en hij deed zijn verhaal bij brokken en stukken , steeds nederig , terwijl ieder woord klonk als eene bedelarij .
41-3|Onaangenaamheden met zijn vader over zijn moederlijk erfdeel , een bagatel van een paar duizend gulden , weldra versmolten ; zijn zwalken in Amerika , waar hij beurtelings boerenknecht , kellner in een hotel en figurant aan een theâter was geweest ; [ @alt ~zijn~zijne zijne ] terugreis naar Europa op een steamer , waar hij zijn overtocht met diensten van allerlei aard had betaald en nu : zijn eersten dag in Londen , zonder een cent .
41-4|Hij had zich uit brieven , dagteekenende van een paar jaar geleden , het adres van Westhove in Londen herinnerd en aanstonds White-Rose opgezocht , vreezende , dat Frank in [ @alt ~die~dien dien ] tijd wel vier- , vijfmaal verhuisd kon zijn , zonder een spoor te hebben achtergelaten ...
41-5|O , zijn angst , [ @alt ~die~dien dien ] nacht , wachtende in [ @alt ~de~den den ] wind , terwijl het donkerder en donkerder werd ; de duisternis alleen verlicht door de spookachtige blankheid der doodstille sneeuw !
41-6|En nu , die warmte , een dak , een souper !
41-7|En nogmaals bedankte hij , zich klein makend , ineenschrompelend in zijn versleten [ @alt kleren kleêren ] :
42-1|- Dank u , dank u ... .
43-1|Annie , mopperend over die drukte in [ @alt ~de~den den ] nacht voor [ @alt zo zoo ] een vagebond , [ @alt ~die~dien dien ] meneer van de straat opraapte , had de logeerkamer gereed gemaakt .
43-2|En Frank leidde hem naar boven , getroffen door zijn vermoeid uiterlijk , grijs van bleekte .
43-3|Hij klopte hem op [ @alt ~de~den den ] schouder , beloofde hem te zullen helpen , maar nu moest hij naar bed gaan : morgen zouden zij wel verder zien .
44-1|Toen Bertie alleen was , keek hij aandachtig om zich rond .
44-2|De kamer was zeer comfortabel , het bed breed , zacht en warm .
44-3|Hij voelde zich vies en goor in die omgeving , vol gemakken en onbezorgdheid en in een aangeboren drang tot keurigheid en reinheid begon hij zich , hoewel hij rilde van de koude , eerst , lang en zorgvuldig , te wasschen , te reinigen , te poetsen , te wrijven , tot zijn lichaam rozig gloeide , geheel geparfumeerd met een aroom van zeepschuim .
44-4|Hij zag in [ @alt ~de~den den ] spiegel en betreurde het , dat hij geen scheermes had : anders had hij zich geschoren .
44-5|Eindelijk , gehuld in het nachtgoed , dat daar gereed lag , kroop hij in bed , tusschen de wol .
44-6|Hij sliep niet dadelijk in , genietende van zijn bien-être , van zijn eigen reinheid , de blankheid der lakens , de frissche warmte der dekens , van het nachtlichtje , dat bescheiden schemerde door zijn groen gordijn .
44-7|In [ @alt ~zijn~zijne zijne ] oogen begon een glimlach te tintelen , om zijn mond ook .
44-8|En hij sliep in , zonder te denken aan morgen , rustig in de zorgeloosheid van het heden en de warmte van zijn bed , bijna leêg van hoofd , alleen met dit enkele , kleine gedachtetje : dat Frank toch een goede jongen was !
45-1|II .
46-1|Het vroor [ @alt de den ] [ @alt volgende volgenden ] morgen ; de sneeuw glinsterde kristalachtig hard .
46-2|Zij hadden ontbeten en Bertie vertelde van [ @alt ~zijn~zijne zijne ] ongelukken in Amerika .
46-3|Hij had zich door Franks barbier laten knippen en scheren en hij droeg [ @alt kleren kleêren ] van Frank , die hem wijd als zakken waren ; een paar pantoffels , waarin [ @alt ~zijn~zijne zijne ] voeten dansten .
46-4|Hij begon zich reeds minder vreemd te voelen en koesterde zich als eene kat , die een goed plekje gevonden heeft .
46-5|Hij lag gemakkelijk in zijn stoel , rookte [ @alt behaaglijk behagelijk ] , noemde Frank , op diens verzoek , jij en jou , en [ @alt ~zijn~zijne zijne ] stem klonk zacht smeltend , met een klankje van prettige vroolijkheid , iets als gedempt goud .
46-6|Frank had schik in hem en liet hem vertellen en hij deed het eenvoudig weg , ronder te blageeren op [ @alt ~zijn~zijne zijne ] ellende ; alles was geweest zooals het had moeten zijn , het had niet anders gekund .
46-7|Hij was nu eenmaal geen troetelkindje van het lot , dat was alles .
46-8|En hij was taai ; een ander had het niet uitgehouden , wat hij meegemaakt had ... .
47-1|Frank zag hem met verbazing aan ; Bertie was [ @alt zo zoo ] fijn , [ @alt zo zoo ] bleek , [ @alt zo zoo ] tenger , bijna zonder volle mannelijke ontwikkeling ; hij verzonk in de groteske plooien van Franks jas en broek ; hij was een jongen , vergeleken bij hemzelven , [ @alt zo zoo ] groot en vierkant !
47-2|En hij had dagen van honger , nachten zonder dak gekend ; eene armoede , die Frank , goed doorvoed , glanzend van eene bloedrijke gezondheid , onuithoudbaar voorkwam ; en hij sprak er [ @alt zo zoo ] kalm , bijna schertsend over , zonder te klagen , alleen met leedwezen [ @alt ~zijn~zijne zijne ] mooie handen bekijkend , die mager waren , paars van jeukenden winter , met bloedige kloven op de knokkels .
47-3|Voor het [ @alt ogenblik oogenblik ] schenen die handen zijn eenig verdriet te zijn .
47-4|Eigenlijk toch een gelukkig karakter , dacht Frank , terwijl hij hem voor [ @alt ~de~den den ] gek hield , met [ @alt ~zijn~zijne zijne ] handen .
47-5|Maar Bertie zelf schrikte van [ @alt ~zijn~zijne zijne ] zorgeloosheid , want hij riep eenklaps uit :
48-1|- Maar wat zal ik nu doen ... wat zal ik doen !
49-1|Hij zag voor zich uit , radeloos , wanhopig , [ @alt ~zijn~zijne zijne ] handen wringend .
49-2|Frank schertste die wanhoop weg , schonk hem nog eens een glas sherry in en vertelde hem , dat hij vooreerst maar bij hem moest blijven , om te bekomen .
49-3|Hij zoû het zelfs ontzettend gezellig vinden als Bertie een paar weken bleef ; hij verveelde zich een beetje met zijn rijke jongmensch-leven ; hij was in een kring van jongelui , die veel uitgingen , veel pierewaaiden en het verveelde hem , dat alles ; diners en bals in de wereld en soupers en orgies in de halve wereld .
49-4|Altijd hetzelfde : een leven als een montagne russe , der op , der af , der op , der af , zonder dat je een [ @alt ogenblik oogenblik ] behoefde te denken ; een bestaan , dat voor je gemaakt werd in plaats , dat je het je [ @alt zelf zelven ] maakte .
49-5|Voor het [ @alt ogenblik oogenblik ] had hij nu een doel : Bertie ; hij zoû hem helpen , na een paar weken rust eene betrekking of [ @mwu zoo iets ] voor hem zoeken , maar vooreerst moest hij zich nu maar geen zwaar hoofd maken .
49-6|Hij was blij , dat hij zijn vriend weêr eens bij zich had .
49-7|De herinneringen wolkten bij hem op als ijle tooverbeelden , vaalkleurig en sympathiek : herinneringen uit zijn schooltijd , kwâjongensstreken , zwerftochten , bakkeleipartijen in de duinen bij [ @alt ~De~Den Den ] Haag : herinnerde Bertie zich ?
49-8|Frank zag [ @alt ~de~den den ] [ @alt ~kleine~kleinen kleinen ] mageren jongen nog voor zich , getreiterd door groote lummels , beschermd door hem , Frank , wiens vuisten er op neêr beukten , ter wille van zijn vriendje .
49-9|En later hun studententijd te Delft : Bertie gesjeesd , in eens verdwenen , zonder een spoor na te laten , zelfs niet voor Frank ; daarna wat correspondentie , te hooi en te gras ; eindelijk jaren van niets .
49-10|O , hij was blij zijn vriend nu weêr eens bij zich te hebben ; véel had hij altijd van Bertie gehouden , juist , omdat Bertie [ @alt zo zoo ] geheel anders was dan hij , met iets als een poes ; verzot op gemak en koestering en nu en dan hevig aangedrongen om weg te loopen over daken en goten , zich te bezoedelen met modder , zich te wentelen in vuiligheid , om daarna terug te komen om zich te warmen en te lekken .
49-11|Hij hield van zijn vriend als van een tweelingbroeder , die geheel verschillend zoû zijn , ingepalmd door Bertie's nonchalante , zacht-egoïstische innemendheid : eene echte poesennatuur !
50-1|Bertie vond het [ @alt ~die~dien dien ] dag eene groote weelde thuis te blijven , zittende bij [ @alt ~de~den den ] haard , [ @alt ~die~dien dien ] hij hoog deed opvlammen met blok op blok .
50-2|Frank had heerlijken witten port en ze bleven na het lunch zitten lummelen , borrelend en pratend , terwijl Bertie honderd-uit vertelde van Amerika , over zijn broer , zijn hôtel , zijn theâter en de eene anecdote aan de andere schakelde , boeiend door een tikje van ongewonen romantiek .
50-3|Frank gevoelde daarna behoefte aan lucht en wilde naar [ @alt ~zijn~zijne zijne ] club gaan , maar Bertie bleef zitten : alléén kon hij in lompen loopen , maar met Frank zich zelfs niet in deze [ @alt kleren kleêren ] vertoonen , Frank zoû thuis komen dineeren om acht uur .
50-4|En eensklaps , als in eene bliksemsnel invallende gedachte , smeekte Bertie :
51-1|- Spreek niet over me met je vrienden ...
51-2|Het is niet noodig , dat ze weten , dat je [ @alt zo zoo ] een slecht sujet als ik ben , kent ...
51-3|Beloof je het me ?
52-1|Frank beloofde het lachend , en het slechte sujet sprak , hem [ @alt ~zijn~zijne zijne ] handen reikend :
53-1|- Hoe vergoed ik je wat je voor me doet !
53-2|Wat een geluk , dat ik je ontmoet heb !
53-3|Je bent de edelste kerel , [ @alt ~die~dien dien ] ik ken ...
54-1|Frank onttrok zich aan die dankbetuigingen en Bertie bleef alleen , voor de kachel gezeten , stokend tot zijn lichaam geheel en al gloeide , zich roosterend met de voeten op [ @alt ~de~den den ] nikkelen rand .
54-2|Hij schonk zich nog eens een glas port in en dwong zich aan niets te denken , zich wentelend in het genot zijner luiheid en aandachtig bezag hij [ @alt ~zijn~zijne zijne ] gebersten handen , en hij vroeg zich af of ze spoedig genezen zouden zijn .
55-1|III .
56-1|Eene maand had Bertie op White-Rose doorgebracht en hij was nu nauwelijks te herkennen in [ @alt de den ] [ @alt jonge jongen ] man , die , onberispelijk in zijn fijnen pels , met zijn nieuwmodischen [ @alt ~hoge~hogen hoogen ] hoed naast Frank zat in eene open victoria , beiden bedolven onder een zwaren , bonten plaid .
56-2|Hij bewoog zich thans met groot gemak onder Franks kennissen , gekleed als een dandy , innemend en minzaam , zijn Engelsch lispelend met een gemaakt accent , dat hij voornaam vond .
56-3|Hij dineerde met Frank [ @alt iedere iederen ] dag in Franks club , waarin hij geïntroduceerd was , proefde met het geblazeerdste gezicht ter wereld fazanten en fijnen wijn en rookte havanna's van twee shilling alsof het strootjes waren .
56-4|Frank had inwendig [ @alt de den ] [ @alt grootste grootsten ] schik in hem en zag hem , met een glimlach vol heimelijk vermaak , kalm zijn gang gaan , pratende met jongelui van de wereld zonder zich een [ @alt ogenblik oogenblik ] uit het veld te laten slaan ; en Frank vond die [ @alt komedie comedie ] [ @alt zo zoo ] amusant , dat hij hem , overal waar hij kwam , presenteerde .
57-1|De winter verzachtte zich tot eene mistige lente , de season kwam en Bertie scheen het zeer aangenaam te vinden afternoon-tea's en at-home's bij te wonen ; aan een groot diner tusschen twee paar mooie schouders te flirten , nooit verblind door de tinteling der juweelen en nooit bedwelmd door de tinteling der champagne ; in een fauteuil der dress-circle kwijnend achteruit te leunen , terwijl zijn fijn gelaat zeer gedistingeerd rustte op zijn [ @alt ~hoge~hogen hoogen ] glanzenden boord , zijn wit boeketje geurde in zijn knoopsgat en zijn binocle tusschen [ @alt ~zijn~zijne zijne ] , nu genezen , vingers draaide , als was geene dier dames de moeite waard door hèm betuurd te worden .
57-2|Frank zelf , uit gebrek aan werkzaamheid , had als iemand , die zijn vermaak neemt , waar hij het vindt , Bertie in dit leven vooruit geduwd , niet alleen om hem te helpen , maar ook voor de pret : een dol amusement , om al die menschen voor [ @alt ~de~den den ] gek te houden !
57-3|Bertie had vele scrupules en noteerde , in een zakboekje , trouw elke penny , die Frank voor hem uitgaf - in betere tijden zoû hij dat alles teruggeven - en het lijstje bedroeg in die twee weken een paar honderd pond .
57-4|Ook thuis vond Frank hem een eenig amusement : Bertie , die met een paar lieve woordjes Annie en haar man , Franks oppasser en butler , voor zich had weten te winnen , gooide alle meubels dwars door elkaâr in eene grillige wanorde , kocht beelden , groote palmen en Oostersche stoffen en herschiep de ongezelligheid van vroeger tot een artistiek comfort , dat tot luizijn uitnoodde : een half donker licht , ruime divans ; de , met Egyptische pastilles en fijne cigaretten doorgeurde , atmosfeer van een alkoof , waarin alle gedachte wegdommelde en het oog half geloken bleef hangen aan de naakte vormen der beelden , opbronzend onder het groen der planten .
57-5|Des avonds waren het daar festijnen , orgieën met enkele uitverkoren vrienden en enkele uitverkoren schoonen : twee dames van een skating-rink en eene figurante van een theâter , die met [ @alt ~haar~hare hare ] vermillioenen lipjes genoeglijk rookten en dronken op Bertie's gezondheid .
57-6|Frank amuseerde zich als een koning om Bertie , die , in eene diepe minachting voor het vrouwlijk geslacht , ongevoelig voor haar drieër bevalligheden , ze voor [ @alt ~de~den den ] gek hield , ze plaagde , ze tegen elkaar ophitste , tot zij elkaâr bijna de oogen uitkrabden , ze ten slotte champagne goot in [ @alt haar heur ] gedecolleteerde lijfjes .
58-1|Neen , nog nooit had Frank zich [ @alt zo zoo ] geamuseerd gedurende zijn lang verblijf te Londen , waar hij als ingenieur zich gevestigd had , om zoogenaamd eene kosmopolitische tint aan [ @alt ~zijn~zijne zijne ] kennis te geven .
59-1|Hij was in-en ingoed , te doorvoed om veel te denken ; hij had van alles genoten en gaf niets om het leven , dat maar eene [ @alt komedie comedie ] was , die gemiddeld zes en dertig jaren duurde , volgens de statistiek .
59-2|Hij maakte enkele pretenties op eene filosofische levensbeschouwing , maar eigenlijk bestond deze in een uit-den-weg ruimen van alles wat niet amusant was .
59-3|Nu , Bertie wàs amusant , niet alleen om [ @alt ~zijn~zijne zijne ] grappen met die vrouwen - wreed spel als van een panter - maar vooral om de klucht , die hij in Franks wereld speelde , dat zich voordoen als een high-lifer : een vagebond , die eene maand geleden in lompen op straat had staan bibberen !
59-4|Het was een geheim vermaak van elk [ @alt ogenblik oogenblik ] en hij gaf Bertie geheel en al carte blanche om [ @alt ~zijn~zijne zijne ] rol vol te houden : eene carte blanche weldra ingevuld door groote rekeningen van tailleurs , want Bertie kleedde zich met geraffineerde ijdelheid , kocht dassen bij dozijnen , nam ieder boordje dat in de mode kwam , nu recht , dan met een puntje [ @alt zo zoo ] , dan met een puntje zus , en wiesch zich met al de watertjes van Rimmel .
59-5|Het was of hij zich dompelen wilde in al de verfijndheid van een fat , na goor geweest te zijn als een voddenraper .
59-6|En noteerde hij eerst in zijn zakboekje al deze mirobolante uitgaven , weldra vergat hij een post , daarna nog een en eindelijk , omdat zijn potlood weg was , vergat hij alles !
60-1|[ @alt Zo Zoo ] verliepen er weken en Frank dacht er niet aan moeite te doen bij [ @alt ~zijn~zijne zijne ] invloedrijke kennissen om Bertie aan eene betrekking te helpen .
60-2|Hun leven van rijk niets doen vulde geheel [ @alt ~hun~hunne hunne ] gedachte , ten minste die van Frank , en het had nieuwe bekoring voor Frank gekregen om Bertie .
60-3|Toen gebeurde er eensklaps iets zonderlings .
60-4|Bertie was des morgens alleen uitgegaan en verscheen niet aan het lunch .
60-5|Wie er des middags in de club was , Bertie niet .
60-6|Ook niet aan het diner .
60-7|Des avonds kwam hij niet thuis , hij had ook geen woord achtergelaten .
60-8|Frank , zeer ongerust , bleef [ @alt de den ] [ @alt halve halven ] nacht op : niemand .
60-9|Twee dagen gingen voorbij : niemand .
60-10|Frank vroeg hier , onderzocht daar , gaf eindelijk bij de politie aan .
61-1|Ten laatste , op een morgen , - Frank was nog niet opgestaan - verscheen Bertie voor zijn bed , met een glimlach van verontschuldiging : Frank moest het hem toch niet kwalijk nemen ; hij was toch niet ongerust geweest ?
61-2|Zie je , dat leven van altijd [ @alt zo zoo ] netjes te zijn , had hem op eens verveeld .
61-3|Altijd die mooie dames met slepen en diamanten , en altijd die clubs vol lords en baronets , en dan die skating-rinkjes , die óok al altijd [ @alt zo zoo ] fatsoenlijk waren !
61-4|... En dan altijd een hooge hoed , en 's avonds altijd een rok met eene bloem !
61-5|Het was criant !
61-6|Hij had het niet uitgehouden , hij was er eens van door geweest ...
62-1|- Maar waar heb je dan gezeten ? vroeg Frank , ontzet van verbazing .
63-1|- O , nu eens hier en dan eens daar !
63-2|Bij oude kennissen .
63-3|Ik ben niet uit Londen geweest ...
64-1|- En je kende hier niemand ?
65-1|- O jawel , [ @alt zo zoo ] geen fashionable menschen , weet je , zooals jij ...
65-2|Maar wel [ @alt zo zoo ] ratje-toe ...
65-3|Je bent toch niet boos op me ?
66-1|Frank had zich half opgericht om hem op te nemen .
67-1|Hij zag er bleek , vermoeid en verwaarloosd uit .
67-2|[ @alt ~Zijn~Zijne Zijne ] broek was van onderen met eene dikke laag modder bedekt , zijn hoed gedeukt ; [ @alt ~zijn~zijne zijne ] overjas had een winkelhaak .
67-3|En hij stond daar schijnbaar verlegen als een jongen , met zijn ondeugenden , inpalmenden glimlach .
68-1|- Kom , wees maar niet boos ...
68-2|Neem je me in genade aan ?
69-1|Dat was Frank te sterk : hij proestte het uit , uitgelaten dol !
69-2|Die Bertie , wat een canaille !
70-1|- Maar waar heb je dan toch gezeten ? vroeg hij nogmaals .
71-1|- O nu eens hier , en dan eens daar ...
72-1|Verder kwam hij niet ; Bertie vertelde niet meer dan hij kwijt wilde zijn .
72-2|En hij was wat moê , nij ging naar bed .
72-3|Hij sliep tot drie uur toe .
72-4|Frank had er [ @alt de den ] [ @alt hele heelen ] dag pret van , en ook Bertie had later dolle pret , toen hij van de politie hoorde .
72-5|Des middags , in de club aan tafel , vertelde hij met een treurig gelegenheidsgezicht , dat hij voor een paar dagen uit de stad was geweest , om een sterfgeval .
72-6|Frank had zijn briefje door een nonchalance van [ @alt ~de~den den ] knecht niet gekregen .
73-1|- Maar waar heb je dan toch gezeten ?!! fluisterde Frank hem in , onbedwingbaar vroolijk en nieuwsgierig , ten derden male .
74-1|- Ach , ik zeg je : nu eens hier en dan eens daar ! antwoordde Bertie , met het eenvoudigste gezicht ter wereld en op nieuw netjes , zeer zorgvuldig , de pink in de lucht , slurpte hij zijn zestal oesters naar binnen , zonder een woord meer over de zaak .
75-1|IV .
76-1|De season ging voorbij en Bertie bleef .
76-2|Dikwijls sprak hij er over , naar Holland te gaan : hij had in Amsterdam een oom , die makelaar was : misschien , dat oom ...
76-3|Maar Frank wilde er niets van hooren , en als Bertie gewetenswroegingen had , dat hij [ @alt zo zoo ] klap liep , praatte Frank die weg .
76-4|Wat kwam er dat op aan ; als Bertie fortuin had gehad en hij niet , had Bertie immers ook [ @alt zo zoo ] gehandeld : zij waren immers vrienden !
76-5|De juiste waardeering der feiten begon voor [ @alt ~zijn~zijne zijne ] oogen te schemeren in [ @alt ~de~den den ] , nu vastgestelden loop van hun leven .
76-6|Franks zedelijk gevoel dommelde in sluimering in de weekheid hunner luxueuze gemakkelijkheid .
76-7|Wel had Frank nu en dan iets als een vaag vermoeden , dat hij niet rijk genoeg was voor twee , dat hij de laatste maanden viermaal meer verteerd had dan andere seasons , maar hij was te zorgeloos om lang bij zulke bezwaren stil te staan .
76-8|Daarbij was hij aan Bertie verslaafd geworden als aan opium of morfine .
76-9|Bertie was hem noodig geworden om te leven ; in alles vroeg hij [ @alt ~de~den den ] raad van zijn vriend , in alles liet hij zich door [ @alt ~dezen~deze dezen ] leiden , geheel en al onder de bekoring van het zedelijk overwicht , waarmede dit fijne , tengere mannetje met [ @alt ~zijn~zijne zijne ] fulpen kattenzachtheid hem dwong als onder een juk .
76-10|Nu en dan , weldra bijna geregeld om de veertien dagen , verdween Bertie , bleef vier , vijf dagen weg en kwam op een [ @alt goede goeden ] morgen terug , inpalmend lachend , moê , bleek en verloopen .
76-11|Het waren misschien geheime uitspattingen , wellicht mysterieuze omdolingen in de vunze krotten der gemeenste buurten van Londen , waarvan Frank nooit het rechte hoorde of begreep : eene verdorvenheid , waartoe Frank te netjes en te fatsoenlijk scheen , om over ingelicht te worden ; eene zonde , waarin hij niet mocht deelen en die Bertie , in een verfijnd egoïsme , voor [ @alt zichzelf zichzelven ] hield , als een lekker beetje .
76-12|Frank gevoelde zich die dagen vol van eene walging des levens , als miste hij [ @alt ~de~den den ] ongezonden prikkel zijns bestaans ; [ @alt ~zijn~zijne zijne ] eenzaamheid vulde zich met eene grauwe melancholie en ongelukkig tot wanhoop toe , verkwistte hij [ @alt ~zijn~zijne zijne ] dagen thuis , ongeschikt tot iets , zich ergerend in zijn doodsch interieur , waar alles , - de val der rijke draperieën , het bronze naakt der beelden , de slordig neêrgesmeten kussens der divans - als een [ @alt eigenaardige eigenaardigen ] geur van Bertie had behouden , die hem pijnlijk plaagde .
76-13|In zulke dagen gevoelde hij de lafheid van zijn leven , de walgelijke onbeduidendheid van zijn zenuwloos leêg bestaan , nutteloos , doelloos , niets !
76-14|Droevig zoete mijmeringen overstelpten hem , heugenissen uit zijn ouderlijk huis , door het tooverglas der herinnering schemerend als tafereelen van teedere huislijke harmonie , waarin de gestalten van zijn vader en [ @alt ~zijn~zijne zijne ] moeder , verheerlijkt in kinderliefde , groot en edel opblonken .
76-15|Hij verlangde naar iets onzegbaar ideaals , iets reins en zuivers , een groot doel !
76-16|Hij zoû zich schudden uit zijn zieleslaap , hij zoû Bertie wegzenden ... .
76-17|Maar Bertie kwam terug en Bertie omstrikte hem weêr met [ @alt ~zijn~zijne zijne ] fluweelen banden en hij zag het steeds duidelijker in : hij kon niet meer buiten Bertie .
