1-1|VOGELS VAN DIVERSE PLUIMAGE
32-1|[ @alt Zo Zoo ] ver was ik gekomen , en bij elk gewicht in de schaal geworpen rezen de stukken , en rezen , zij werden [ @alt zo zoo ] licht ... toen de uitgever van de Vogels van diverse pluimage binnentrad en , een pakje op [ @alt ~mijn~mijne mijne ] tafel leggende , [ @alt zei zeide ] :
33-1|- Doe mij 't plezier , dat eens door te kijken en te zeggen of je die stukken voor een herdruk goed vindt .
34-1|- Alweer ! zei ik , jij ook al ; ik heb pas [ @alt die dien ] [ @alt hele heelen ] hoop doorgeworsteld , ... niet goed , niet slecht , maar ... .
35-1|Ik had dit pakje intusschen geopend en zag wat oude werken van [ @alt mijzelf mijzelven ] .
36-1|Mijn waarde uitgever keek mij met een [ @alt fijne fijnen ] glimlach aan en [ @alt zei zeide ] :
37-1|- Dat heb ik op de laatste fondsveiling gekocht , en nu kom ik je vragen of je ze nog eens wilt laten drukken .
38-1|Maar , menige argelooze lezer weet niet wat eene fondsveiling is .
39-1|Een uitgever , die eenige jaren lang heeft uitgegeven , krijgt allengs een berg kopij .
39-2|Kopij , argelooze lezer , beteekent niet , zooals gij waarschijnlijk denkt , een nabeeldsel , eene navolging ; en de benaming is ook geene satire op de twijfelachtige oorspronkelijkheid van [ @alt zo zoo ] vele boeken .
39-3|Neen , in de boekenwereld beteekent kopij juist het omgekeerde , namelijk het oorspronkelijke handschrift , waarnaar de boeken gedrukt worden .
39-4|Verder beteekent kopij in het algemeen het werk van een schrijver , en vertegenwoordigt ook het recht tot uitgaaf van [ @alt ~zijn~zijne zijne ] geschriften .
40-1|Nu heeft dan een uitgever een hoop kopij van verschillende schrijvers en deze vormt zijn fonds .
40-2|Als de eerste uitgaaf heeft uitgewerkt , kan men er later op eene of andere wijze altijd weer wat van maken .
40-3|Andere letter , vernieuwing , opfrissching , verguldsel en een bandje , en - het boek gaat [ @alt ~zijn~zijne zijne ] tweede incarnatie te gemoet .
41-1|Deze is een voorrecht der boeken boven de menschen .
41-2|Wij menschen verschijnen maar eens , en als onze eerste en eenige uitgaaf niet goed opgaat of verkeerd uitvalt , is onze menschelijke kopij verloren , het is een mislukt leven .
41-3|Maar zoowel deze vergeten , miskende of mislukte kopij , als de beste on schitterendste tekst , gaat eindelijk ten grave , naar [ @alt ~de~den den ] papiermolen , om nieuwe grondstof te worden .
41-4|Doch van herdruk , gezuiverd van errata en taalfouten , verbeterd en vermeerderd , met verguld en een bandje , is hierbeneden voor [ @alt ~de~den den ] mensch geene spraak meer .
41-5|Men heeft de bezwaren hiervan gevoeld en de onsterfelijkheidsleer heeft eene poging gedaan om een metaphysischen herdruk van ons te bezorgen .
41-6|Maar van deze bovenaardsche herdrukken is zelfs [ @alt ~de~den den ] fijnsten bouquinist nog geen exemplaar onder de oogen gekomen ; het blijft eene hypothese , eene speculatie ; misschien ook zou zulk eene tweede uitgaaf eene slechte speculatie blijken , die de kosten niet loonde .
42-1|Maar voor een boek is eene tweede of zelfs derde incarnatie een herleven en dikwijls pas een eigenlijk leven .
42-2|Het is bij lange na niet de eigen verdienste , die de fata libelli bepaalt .
42-3|Daar hangt zeer veel van [ @alt ~de~den den ] smaak , van [ @alt ~de~den den ] ijver , van de betrekkingen der uitgevers af , en menig degelijk voortbrengsel gaat , verloren , omdat het verscholen bleef , en het bleef verscholen , omdat de uitgever het slecht uitgaf en verkeerd exploiteerde .
43-1|De oude kopij is dus niet alleen bruikbaar en wat waard , soms is zij even goed als nieuw .
44-1|Maar het kan gebeuren dat een uitgever er het [ @alt ~zijn~zijne zijne ] van gehad heeft en te veel kopij bezit .
44-2|Daarom brengt hij een deel van zijn fonds , van zijn voorraad kopij aan de markt .
44-3|Dan worden er veilingen gehouden van het fonds van een of meer uitgevers .
44-4|Zulke fondsveilingen hebben veel van slavenmarkten .
44-5|Zelfs doode auteurs worden daar verkocht .
44-6|Maar de levende worden er evenals in het Oosten uitgestald , bekeken , betast , becijferd en geveild .
44-7|Voor gebreken wordt niet ingestaan , en wie er bekocht is , heeft het zijn eigen oogen te wijten .
44-8|Men moet weten voor [ @alt welke welken ] arbeid eene kopij nog dienen kan ; of zij huiswerk kan doen , of zij gezond is en hard kan werken , dan wel of zij jong , of zij schoon is en geschikt om te pronken en te verleiden .
45-1|Op die markt kunt gij ook eene prijscourant der letterkunde opmaken .
45-2|Luimig goed blijft genoteerd : zeer willig en veel navraag .
45-3|Gedichten , de puike , zeer wisselvallig , maar doorgaans in het geheel geen animo .
45-4|Naar verzen , mooi ordinair , is evenwel redelijke vraag .
45-5|Novellen , de goede qualiteit , met levendigen omzet .
45-6|Theologie , men noteert lichte , middel en zware ; tegenwoordig flauw ; de koopers zeer geretireerd ; bijna van de markt genomen .
45-7|Alleen stichtelijke lectuur , de fijne soort , gunstige stemming .
46-1|Gij kunt deze beurstermen ook achter de namen der Nederlandsche auteurs zetten .
46-2|Dat wordt ook op die slavenmarkten gedaan , maar hier wil ik liever geen namen noemen .
47-1|De geldswaarden van al die marktproducten wordt meer bepaald door de werkkracht dan door de schoonheid .
47-2|Schoonheid is dikwijls te hoog en te onhandelbaar .
47-3|Bevalligheid geldt meer , en modieuze zwier , die zich vroolijk en lachend voordoet , het meest .
47-4|Maar bovenal er moet mede gepronkt kunnen worden .
48-1|Neen , de eerbied voor de boeken is verdwenen .
48-2|Hoe ver zijn wij verwijderd van de gevoelens , die Thomas a Kempis uitdrukt .
48-3|Met een gebed , [ @alt zei zeide ] hij , moest men zich voorbereiden voor het lezen .
48-4|Die een boek sloot had Gode dank te zeggen voor de geestelijke weldaad hem bewezen .
48-5|Met gereinigde schoenzool moest men eene librerie binnentreden , en met eerbiedig stilzwijgen , want die grond was heilig .
48-6|Geen stofje mocht kleven op de banden , geen vocht of ongedierte de bladen beschadigen .
48-7|En die een boek in de hand nam , moest het doen met de gevoelens , die [ @alt ~de~den den ] ouden Simeon vervulden , toen hij in [ @alt ~de~den den ] tempel het kindeke Jezus in [ @alt ~zijn~zijne zijne ] armen hield .
49-1|[ @alt Zo Zoo ] sprak de gemoedelijke Broeder des gemeenen levens ; in [ @alt ~de~den den ] tijd toen de boeken groot of dik waren , zware [ @alt klederen kleederen ] droegen en de kostbaarste aan kettingen vastlagen in de librerie .
49-2|Sedert die dingen zijn zij aan de kettingen en sloten ontsnapt , altijd lichter , en dunner , en vluchtiger geworden ; zij hebben luchtige , fijne kleedjes gekregen en bonte veeren en als vrije wilde vogels zijn zij pan vliegen , de wereld door .
50-1|Van zulk eene markt nu waren ook [ @alt ~mijn~mijne mijne ] boeken afkomstig , die ik nu opeens weer voor mij zag .
51-1|- Kijk ze eens in , zei mijn bezoeker , en zie of ik ze kan herdrukken .
52-1|- Daarover zal ik eens moeten denken , antwoordde ik ; ... dit niet , ... dat niet ... dat is twijfelachtig , - wij zullen zien .
53-1|- Kan het niet een tweede bundel van je Vogels ( 1 ) worden ?
54-1|- Men heeft [ @alt ~die~dien dien ] titel vreemd , gezocht gevonden - zal ik er nu weer mee aankomen ?
55-1|- De titel is goed , zeer goed ; hij spreekt , hij schildert , en geeft juist wat het is .
55-2|Geloof mij , wij weten wat titels zijn en doen .
56-1|- Daarin heb [ @alt je ie ] gelijk , - welnu , het zou kunnen ; het zijn dan weer andere vogels , sommige zwakker .
56-2|Maar ik moet eerst zien of ze nog vliegen kunnen .
57-1|En daar zat ik dan met [ @alt ~mijn~mijne mijne ] vroegere , nu half vergeten schepselen voor mij .
57-2|Eenige van die bladen zijn al vele jaren oud en hun inhoud vaak veel ouder - lang of kort geleden , zooals gij wilt - maar mij ontsloten zij eene andere , soms geheel afgestorvene wereld .
57-3|Eene mengeling van aangename en droevige herinneringen .
57-4|Johannes heeft het uitstekend voor mij uitgedrukt , toen hij op Patmos schreef :
58-1|" En ik nam het boeksken uit de hand des engels , en ik at dat op ; en het was in mijn mond zoet als honig - en als ik het gegeten had , werd mijn ingewand bitter . "
59-1|Hier zijn liefelijke herinneringen uit de eerste vaag van het leven ; jonge droomen , wier bloesem vrucht belooft ; rooskleurige wolkjes , die de schoonste gestalten voorspiegelen .
59-2|Maar de werkelijkheid is gekomen , en de droomen wekken nu soms een glimlach ; onverwachte vruchten zijn gerijpt ; en uit de wolkjes zijn andere dingen te voorschijngekomen dan wij dachten .
59-3|Soms ook was de werkelijkheid grootscher en schooner dan de droomen .
59-4|Maar in ieder geval , de tijd , die ons heeft voortgejaagd , heeft een afstand gesteld tusschen die bladen en ons , en schoon de denkbeelden en herinneringen ons lief zijn , [ @alt ~hun~hunne hunne ] vormen zijn anders dan die , waarin wij ze nu zouden boetseeren .
59-5|Vandaar dat vreemde gevoel van lust en onvoldaanheid .
60-1|Hier is de Oude haard ( 2 ) met alles wat er omheen behoorde .
60-2|Hij is begroeid met herinneringen , als de muren met de oude gebaarde takken en telkens jonge bladeren van het klimop .
60-3|Het vuur , dat er in gloort , verlicht [ @alt de den ] [ @alt antieke antieken ] schoorsteen met [ @alt ~zijn~zijne zijne ] beschilderde tegels en eikenhouten beeldsnijwerk , en het goudleer aan [ @alt ~de~den den ] wand .
60-4|De oude portretten aan [ @alt ~de~den den ] muur bewegen zich en willen uit de zwarte lijsten komen ; zij knippen met de oogen en knikken met de hoofden en de lippen zeggen fluisterend : zijt gij daar terug ?
61-1|En het vuur knettert en vlamt , terwijl ik er in zit te staren , als , vanouds , en uit de vonken en vlammen springen beeldjes en gedachten te voorschijn .
61-2|O jonge , eens bij het haardvuur gekweekte , teedere gemoeds-orchydaeën , phantastieke figuren , droomverbeeldingen , wat wilt gij , wat hebt gij mij nu te zeggen ?
61-3|Welke zonderlinge schimmen dansen weer in de kamer , trillende schaduwen der voorwerpen , caricaturen van vorm , geworpen op [ @alt ~de~den den ] geheimzinnig schemerigen muur !
61-4|Kleine kabouters zitten op de smeulende turven en klauteren heen en weer , onmogelijke , onleefbare schepsels , half idee en half vorm , maar die niet aan [ @alt zo zoo ] veel vleesch en been konden geraken als noodig is om te bestaan .
61-5|Geboren bij het staren en mijmeren in [ @alt ~de~den den ] kunstmatigen gloed van het vuur , vervliegen zij zoodra het uitgaat .
61-6|Als ik wil toegrijpen , is het enkel [ @alt as asch ] .
62-1|Nevelige , schichtige , tamme piepkuikens , uitgestorven dodo's , met de nieuwe vlucht kunt gij niet meer meedoen .
63-1|Daarna is het een boek , een Levensboek .
63-2|Dat is een stuk waarachtig leven .
63-3|Hier komen weer liefelijke beelden op .
63-4|Geen marmeren beelden en geen forsch gekleurde schilderijen : het zijn zachte frescokleuren met gedommelde vormen .
63-5|Kinderlijk soms en gebrekkig van behandeling , maar daartusschen goed geslaagde figuren , en allengs worden duidelijker , sterker en bestand tegen weer en wind .
64-1|Dit alles hernieuwt zich voor [ @alt ~de~den den ] geest en ik leef een dubbel leven , met de bewustheid van het heden en de bewustheid van het verledene .
64-2|En wat oordeelt het heden over het verledene ?
65-1|Zooals men op zeker tijdstip gevaar loopt zijn werk beter te vinden dan het is , [ @alt zo zoo ] is er ook na een lang tijdsverloop kans dat men het slechter acht dan het is .
65-2|Ontwikkeling en omstandigheden hebben [ @alt ~de~den den ] geest gewijzigd .
65-3|[ @alt De Den ] [ @alt oude ouden ] toestand ontgroeid , is men er vreemd aan geworden .
65-4|Wij hebben andere denkbeelden , andere idolen , of , [ @alt zo zoo ] zij al dezelfde zijn , zij eischen andere vormen .
65-5|Laat de dooden de dooden begraven .
65-6|Eenmaal hebben zij geleefd , kunnen zij weer levend worden ?
66-1|En toch zijn zij ons [ @alt zo zoo ] lief , toch willen wij er veel van behouden , ook in [ @alt ~die~dien dien ] vorm .
66-2|Men hecht aan [ @alt ~zijn~zijne zijne ] jeugd en de kindergestalten zijner [ @alt fantasie phantasie ] .
67-1|Zouden zij thans ook wel beter geschreven zijn geworden ?
67-2|Zijn zij voor anderen , buiten ons eigen heden staande , niet even goed alsof zij pas ontstonden ?
67-3|Hebben zij althans niet iets , dat duurzamer is ?
67-4|Hier en daar zal iets gezuiverd , hier en daar iets tams versterkt , iets transcendentaal gehoofdletters genivelleerd , een ouderwetsche muts gemoderniseerd moeten worden .
67-5|Mogen zij [ @alt zo zoo ] verbeterd niet weer opnieuw de wereld in ?
68-1|Of - want straks was ik [ @alt zo zoo ] streng voor anderen - of , is dit de lokstem , der eigenliefde , en moeten wij vreezen :
69-1|Nochtans 't geschiet op liste ,
70-1|[ @alt Alzo Alzoo ] ik mercken kan ,
71-1|Daer praet een blau sophiste
72-1|Met [ @alt ~de~den den ] armen lettermann .
73-1|Laten zij dan als eene vlucht vogels maar weer uitvliegen , de vorige bende achterna .
73-2|Eerst zullen wij ze monsteren .
73-3|Daar zijn er wier slagpennen nog stevig zijn .
73-4|Andere , niet [ @alt zo zoo ] sterk , zullen zich toch nog goed houden .
73-5|Andere weder kunnen op [ @alt ~hun~hunne hunne ] eigen wieken niet drijven ; ach , zij hadden eigenlijk geene wieken .
73-6|Sommige van de vroeg gekweekte hadden hun vollen wasdom nog niet bereikt en waren dun in de veeren .
73-7|Nu , na hun [ @alt ~lange~langen langen ] tocht , zijn zij geheel krachteloos en tam geworden en hun gevederte [ @alt zo zoo ] kaal , dat zij op geene pluimage meer aanspraak kunnen maken .
73-8|Zij hebben te weinig meer gemeen met de overige om in staat te zijn nog eens met hen uit te vliegen .
73-9|Daarom zal ik ze liever in eene kooi zetten .
73-10|Dat is beter voor zwakke of gebrekkige vogels .
73-11|Het is er al mede als met de menschen - er zitten er vele in kooien , met verlof om in eene beperkte ruimte rond te fladderen , en die niet sterk en maar dun in de veeren zijn bevinden zich daar het best bij .
73-12|Soms kan er een ook eene veer leenen , die een ander afgeschud heeft , en maakt dan zelfs onder [ @alt ~zijn~zijne zijne ] kooikameraden nog heel wat vertooning .
74-1|Maar wat zich vrij en krachtig voelt , verlaat de beperkte ruimte , vliegt uit en zoekt zijn eigen weg en bestemming .
74-2|Waarheen ?
74-3|Vooruit !
74-4|Op eigen sterke wieken gedragen , jaagt hij voort in de onbegrensde ruimten .
75-1|Sommige , door een [ @alt gunstige gunstigen ] wind voortgestuwd , duizelen van hun eigen vaart , worden angstig , willen terugkeeren , en bij het wenden van hun koers storten zij neer en verpletteren zich [ @alt ~de~den den ] kop .
75-2|Andere , die gauw duizelig werden en niet [ @alt zo zoo ] hoog vlogen , breken maar een vlerk of poot en krabbelen stilletjes weer naar de kooi terug .
76-1|De beste en sterkste kampen gewoonlijk met veel tegenwind ; menige schoone veder wordt hun ontrukt , bij het zoeken naar [ @alt ~hun~hunne hunne ] bestemming en het moeitevol vergaderen van voedsel , doch naar de kooi , al konden zij het er nog [ @alt zo zoo ] goed hebben , keeren zij nooit weer .
77-1|Laten zij dan uitvliegen .
77-2|Ik verzamel ze en roep ze op ,
78-1|Kom hier , gij , deze on gene van mijn pluimgeslacht .
79-1|Maar ik geef daartoe liever het woord aan [ @alt ~de~den den ] hop ; die weet beter hoe men dat volkje moet toespreken :
80-1|Ehophophophophophophophophophop
81-1|Io io , ito ito ito ito
82-1|Kom hier , gij deze en gene van mijn pluimgeslacht ,
83-1|Die 't bouwveld der landlien in vruchten rijk
84-1|Beweidt , ontelbare vluchten op koren belust ,
85-1|Zaadkorrellezende bent ,
86-1|Snel van vleugelen , verbroldend zoetklinkende zangen ,
87-1|Die in scharen de voren
88-1|Vullend , om de kluiten fladdrend [ @alt zachtjes zachtkens ] orgelt
89-1|Lieflijk met zoeten zang
90-1|Tio tio tio tio tio tio tio tio
91-1|Wie er van u in de tuinen en klimop
92-1|twijgen het voedsel u leest ,
93-1|Wie op de bergen , gij ook wildevijgenverslinders , aardbeziënpikkers ,
94-1|Vliegt haastig nu hierheen op [ @alt ~de~den den ] roep van mijn stem ,
95-1|Trioto trioto totobrix .
96-1|Die , op de lage moerassen , de bijtende
97-1|Muggen opsnapt , of de waterstreken
98-1|Bewoont en het schoon Marathonische grasland ,
99-1|Vogel , gij bontgevleugelde ,
100-1|Hazelhoen , hazelhoen ,
101-1|Gij ook , die over [ @alt ~de~den den ] golfslag der zeeën
102-1|[ @alt Samen Saam ] met de scharen der ijsvogels vliegt .
103-1|Komt hier , komt hier , om te hooren de nieuwigheid !
104-1|Al de geslachten verzaamlen wij hier nu
105-1|Van 't langhalzig vogelenvolkjen .
106-1|Want , hier komt een wijze grijsaard ,
107-1|Vol van nieuwheid ,
108-1|Nieuwe dingen komt hij stichten .
109-1|Komt hier ter vergaadring allen ,
110-1|Haast u , haast u , haast u , haast u ,
111-1|Torotorotorotorotorotix
112-1|Kikkabau , kikkabau ,
113-1|Torotorotorotorolililix !
114-1|Dit heerlijke vogellied , echte vogelmuziek met woorden van Aristofanes , is in het jaar 414 voor het eerst op het Atheensche [ @alt toneel tooneel ] gezongen en gespeeld ; het is uit [ @alt ~zijn~zijne zijne ] [ @alt komedie comedie ] De Vogels .
115-1|Ik mag van deze " lustige , geflügelte buntgefiederte Dichtung , " zooals Schlegel ze noemt , toch wel spreken zonder dat de kwade tongen mij de domheid toedichten [ @alt ~mijn~mijne mijne ] dieren daarmee te vergelijken ?
115-2|Toch is misschien de waarschuwing niet overbodig .
115-3|O , lustige , geflügelte , buntgefiederte Dichtung , welk een libretto voor Mozart's Papagenen - melodieën !
115-4|Dat zijn eerst Vogels , waarde lezer , en van schitterende pluimage .
115-5|Dat is een van die boeckxkens - wat een letters had men vroeger noodig - om gelijk Simeon als " het kindeke Jezus " in [ @alt ~zijn~zijne zijne ] armen te drukken , en te juichen dat men die heerlijkheid aanschouwt .
116-1|Maar het is toch geen boekje voor iemand als onze gemoedelijke Thomas a Kempis .
116-2|Het is een goddeloos boek , vol Atheensche Witze en Attisch zout , vol dolle idealen en snijdende parodieën , met wat obsceniteiten , afgewisseld door de zangerigste melodieën - fijne poëzie en nachtegaalsslag , - en bovendien met eene foliopersiflage van de goden , eene persiflage , die Aristofanes [ @alt de den ] [ @alt tweede tweeden ] prijs niet deed missen , terwijl het zachtstwijsgeerig rationalisme Sokrates het leven kostte .
116-3|[ @alt Zo Zoo ] waren de Atheners .
116-4|Aristofanes voert er in [ @alt ~zijn~zijne zijne ] Vogels een paar exemplaren van op .
116-5|Peisthetairos , een plannenmaker en speculant , en Euelpides , groot van verwachtingen , klein van moed , lustig van zinnen .
117-1|Zij verlaten Athene om ergens op of boven de aarde eene betere plaats te zoeken , waar niet altijd geprocedeerd wordt , waar men [ @alt ~zijn~zijne zijne ] schulden niet behoeft te betalen en waar men [ @alt ~zijn~zijne~zijnen zijnen ] lust kan vieren .
117-2|Zij komen in de streken , waar de vogels wonen ; zij ontmoeten [ @alt ~de~den den ] hop en stellen hem voor , in de lucht eene groote vogelstad te bouwen .
117-3|Prachtige gedachte , zegt de hop en roept al de vogels , met het lied , dat ik mededeelde .
117-4|Daar stroomen zij toe , eene onheilspellende wolk van gevogelte .
117-5|Zij dreigen de Atheners ; het zijn vogelvangers , zeggen zij en willen hen met bek en klauw te lijf .
117-6|Deze verweren zich met schotel en braadspit , totdat de hop betoogt dat het vrienden zijn .
117-7|Peisthetairos vertelt hun , dat de vogels de oudste heeren en meesters der wereld zijn , dat de goden [ @alt zelf zelve ] zich van vleugels en de hulp der vogels bedienen , dat de menschen zich in alle handelingen naar hen richten .
117-8|De vogels moeten dus hun rang en heerschappij boven goden en menschen weer innemen .
117-9|Zij moeten eene stad bouwen tusschen hemel en aarde , zoodat de reuk der offers niet meer tot de goden kan opstijgen en deze van gebrek moeten omkomen , als zij de heerschappij der vogels niet aannemen .
117-10|Dat plan wordt met vleugelapplaudissement toegejuicht en uitgevoerd .
117-11|Peisthetairos wordt koning van de nieuwe , weldra verrezen Wolkenkoekoekstad .
118-1|Met eene wonderbare tegenstelling hooren wij dan uit zijn mond allerlei verstandige en eerlijke uitspraken tegen de fortuinzoekers , die allengs op de stad afkomen .
118-2|Maar ten slotte stijgt de komische toon weer tot de hoogste luim .
118-3|Daar komt Prometheus , zich achter een zonnescherm verschuilend , opdat Zeus hem niet zou zien , meedeelen , dat het met diens macht gedaan raakt , dat de reuk der vette offerstukken niet meer omhoogstijgt en de goden daarboven hongeren als op een vastendag .
119-1|Weldra zenden zij drie gezanten , Herakles , Poseidoon en eenen Triballos , een caricatuurgod der barbaren , die koeterwaalsch praat .
119-2|Zij komen beleefd tot Peisthetairos , maar deze doet alsof hij ze niet ziet en gaat voort met de toebereidselen veer een smakelijk gebraad , dat [ @alt ~de~den den ] lekkerbek Herakles allengs verteedert en verleidt .
119-3|Peisthetairos is geneigd tot vrede met de goden , maar vooreerst moet Zeus hem [ @alt ~de~den den ] heerschersstaf geven , en dan zal hij de goden ten eten vragen .
120-1|Onmogelijk , zegt Poseidoon ; maar Herakles ruikt het gebraad en stemt al toe .
121-1|Vervolgens moet Zeus hem [ @alt ~zijn~zijne zijne ] dochter Basileia - het koningsgezag - tot vrouw geven .
122-1|Onmogelijk , zegt Poseidoon .
123-1|Ga maar mede in [ @alt ~de~den den ] hemel met hen om Basileia en al wat gij wilt te halen , zegt Herakles ; ik zal intusschen hier het gebraad klaarmaken .
124-1|Het stuk sluit hiermede dat Peisthetairos terugkomt , reeds van verre schitterend als de zon , en naast hem de schoone bruid Basileia .
124-2|Hij zwaait [ @alt ~de~den den ] bliksem , het gevleugelde werptuig van Zeus , en een heerlijke geur stroomt door alles heen .
124-3|Het koor jubelt hem een hymenlied te gemoet en bezingt de macht van [ @alt ~de~den den ] bliksem , gevoerd door [ @alt ~de~den den ] [ @alt ~nieuwe~nieuwen nieuwen ] Zeus , en [ @alt ~zijn~zijne zijne ] prachtige bruid Basileia .
125-1|En [ @alt zo zoo ] eindigt deze halsbrekende vogelutopie .
126-1|Maar wij , hoe komen wij weer heelhuids uit deze wolkenvogelstad op de gewone aarde en bij ons eenvoudig pluimgedierte ?
127-1|Doch [ @alt zo zoo ] gaat het in het leven .
127-2|De lezer dient er zich mee te troosten , dat het plotseling geschiede , zonder overgang .
127-3|[ @alt Evenzo Evenzoo ] worden wij met een schok wakker uit de schoonste droomen , en na de omzwervingen in [ @alt ~de~den den ] ether zien wij opeens onze voeten op de straatsteenen staan .
127-4|Toch blijft van dat zweven in de wolken altijd iets in de herinnering rondzingen .
128-1|NOTEN :
129-1|( 1 )
129-2|Deze bundel , ofschoon de oudste stukken bevattende , verscheen eerst in 1874 na anderen van jongeren oorsprong , die in 1872 het licht had gezien .
130-1|( 2 )
