id	start	end	sentno	parno	sentbounds	mentions	speakermention	addresseemention	speakercluster	addresseecluster	text
59	5562	5695	357	52	0	1244,1245,1246,1247,1248,1249,1250,1251,1252,1253,1254,1255,1256,1257,1258,1259,1260,1261,1262,1263,1264,1265,1266,1267,1268,1269,1270,1271,1272,1273,1274,1275,1276,1277,1278	-	-	-	-	" En zoo blijven ze mekaar roepen . Voor God is 't een spelletje , die is oneindig en overal . Hij roept maar . Maar Bavink heeft maar éen dom hoofd en één domme rechterhand en kan maar aan één schilderijtje te gelijk werken . En als -ie denkt dat -ie God heeft dan heeft -ie linnen en verf . Dan is God overal , behalve waar Bavink 'm hebben wil . En dan komt er een vent en schrijft dat Bavink gebenedijd is . En Hoyer leert dat uit z'n hoofd en loopt er over te zwetsen tegen Bekker . Zeg wel gebenedijd . Weet je wat ik wou ? Dat ik spoorwegboekjes kon maken . Zoo'n vent laat God met vrede , die is 'm de moeite niet waard . "
60	7882	7886	472	78	0		-	-	-	-	" heel lief . "
61	8209	8216	489	79	0	1862,1863	-	-	-	-	" Dit is zeker 't privaat ? "
62	8240	8247	491	79	0	1870	1869	-	33	-	" Nee , dat is een kast "
63	8260	8268	492	79	0	1874	1873	-	33	-	" Pardon , dat is een kast . "
64	8414	8416	502	79	0	1906	-	-	-	-	" mevrouw "
65	8485	8487	505	79	0	1923	-	-	-	-	" Arti "
66	8563	8597	512	81	1	1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950	-	-	-	-	" Hij loopt nu met een uniformpet op met drie kruisjes en G. G. boven z'n voorhoofd en een boekje onder z'n arm . En een vent bij 'm met een zwarte zak . "
67	8817	8833	526	81	0	2004,2005,2006,2007,2008	-	2006	-	298	" Je zult me excuseeren , Koekebakker , om elf uur heb ik een conferentie . "
68	8891	8899	533	84	0	2020,2021,2022	-	2020	-	35	" P. Bekker , Agentuur en Commissiehandel . "
69	8930	8937	537	84	1	2028,2029,2030	2025	-	3	-	" Is m'nheer Bekker op kantoor ? "
70	8974	8978	539	84	0	2039	2038	-	3	-	" Hallo Bekker ! "
71	8979	8985	540	84	1	2040,2041	2038	-	3	-	" Is mijnheer op kantoor ? "
72	9002	9011	543	84	1	2046	-	-	-	-	" Wie kan ik zeggen dat er is ? "
73	9012	9015	544	84	1	2047	-	-	-	-	" Koekebakker . "
74	9016	9023	545	84	1	2048,2049	-	-	-	-	" Wilt u mij maar volgen ? "
75	9066	9068	548	84	0		-	-	-	-	" Monsterkamer "
76	9071	9078	549	84	0	2060,2061,2062	2063	-	3	-	" Moet ik hier zijn vriend ? "
77	9097	9107	551	84	1		2066	-	2061	-	" Dat staat er nog van vroeger , mijnheer . "
78	9116	9118	553	85	0		-	2066	-	2061	" Ja "
79	9322	9331	564	87	1	2126,2127	2125	2140	3	35	" Per me si va nella città dolente . "
80	9396	9415	573	88	1	2142,2143,2144,2145	2140	2125	35	3	" Je begrijpt - kerel wat zie je d'r toch goed uit . Kom je nu van Algiers ? "
81	9428	9446	577	88	1	2149,2150,2151	2147	-	3	-	" Waar logeer je , als 't kan , kom ik vanavond om 9 uur bij je . "
82	9490	9500	580	88	1	2161,2162	2160	-	3	-	" Ik hoop dat je 't dan beter treft . "
83	9546	9553	585	89	0	2174	-	2160	-	3	" P. Bekker , Agentuur en commissiehandel "
84	9599	9611	588	91	1	2188,2189	2185	-	1	-	" Per me si va tra la perduta gente , Koekebakker . "
85	9627	9637	590	91	1	2197,2198	2190	-	2175	-	" Zeg eens , als je geld noodig hebt ? "
86	9800	9803	605	95	0	2229	-	-	-	-	" Het Volk "
87	9876	9884	612	95	0	2247,2248	-	-	-	-	" wat -ie voor die smoessies kocht . "
88	9891	9901	613	95	0	2251	-	-	-	-	" Wij sociaal democraten weten maar al te goed - "
89	9917	9922	614	96	0		-	-	-	-	" nou wordt 't interessant "
90	9934	9936	615	96	0	2257	2258	-	33	-	" Polen "
91	9943	9946	615	96	0	2259	2258	-	33	-	" proletarisch sentiment "
92	9948	9952	615	96	0	2260	2258	-	33	-	" burgerlijke ideologieën . "
93	9967	9980	617	96	0	2265	2263	-	3	-	" 't Is toch mooi dat je alles zoo zeker weten kunt . "
94	10468	10475	649	99	0		-	-	-	-	" een geestelijk leven geleid heeft . "
95	10510	10512	652	100	0	2385	-	2403	-	33	" Odol "
96	10614	10625	657	101	0	2404,2405,2406	2403	-	33	-	" 't Chronische tekort in 't huishouden van den werkman , "
97	10739	10742	667	104	0		-	-	-	-	" Godverdomde dingen "
98	10757	10765	668	104	0		-	-	-	-	" dan moet 't ook maar gebeuren , "
99	11140	11148	693	108	1	2532,2533,2534	2529	2534	1	298	" Zie je die zon , Koekebakker ? "
100	11214	11222	696	108	1	2549,2550	2542	-	298	-	" Je denkt dat ik dronken ben ? "
101	11228	11249	698	108	1	2552,2553,2554	2551	2552	3	298	" Het maakt geen verschil , Koekebakker , als ik nuchter ben , begrijp ik er toch ook niks van . "
102	11250	11286	699	109	1	2555,2556,2557,2558,2559,2560,2561,2562,2563	2552	2551	298	3	" Begrijp jij wat die zon van mij wil ? Vier en dertig ondergaande zonnen heb ik tegen de muur staan , achter elkaar , omgekeerd . En toch staat -ie daar weer iederen avond . "
103	11287	11294	702	110	0		2564	2552	3	298	" Als er geen wolken zijn , "
104	11305	11324	704	110	1	2567,2568,2569,2570,2571,2572	2565	2580	2504	3	" Koekebakker jij bent altijd mijn beste vrind geweest . Ik ken jou al - hoe lang al ? "
105	11325	11331	706	111	1	2573	2580	2565	3	2504	" Omtrent dertien jaar Bavink . "
106	11332	11357	707	111	1	2574,2575,2576,2577,2578,2579	2580	-	3	-	" Dertien jaar . Dat is lang . Weet je wat jij doen moet ? Doe me een lol . Heb je een hoedendoos ? "
107	11361	11397	713	112	1	2581,2582,2583,2584,2585,2586,2587,2588,2589,2590	-	2583	-	298	" Doe 'm in een hoedendoos , Koekebakker . In een hoedendoos . Ik wil met vrede gelaten worden . Doe 'm in een hoedendoos , in een ordinaire hoedendoos . Hij verdient niet beter . "
108	11428	11446	721	114	1	2600,2601,2602,2603,2604	-	-	-	-	" Ik geloof mijnheer , dat u beter doet , als u dezen heer naar huis brengt . "
109	11544	11562	731	117	1	2636,2637,2638,2639,2640	2641	-	491	-	" Hij kijkt me maar aan , wij begrijpen geen van beiden wat we van elkaar moeten . "
110	11729	11776	745	119	0	2686,2687,2688,2689,2690,2691,2692,2693,2694,2695,2696,2697,2698	-	-	-	-	" Goed zoo jongens , zoo mal als je bent , ben je me toch liever dan die mooie wijze heeren . 't Spijt me dat je je nek moet breken en dat ik die heeren moet laten gedijen , maar ik ben ook God maar . "
