1-1|( Inhoud )
27-1|Mevrouw de weduwe van Hoedt , - de dikke dame in sarong en kabaai , die daar [ @alt zo zoo ] uiterst gemakkelijk achterover leunt in haar uiterst gemakkelijken stoel , - is een der wel aangename verschijningen , die onmiddellijk op prettige gedachten brengen , als daar zijn : een goede tafel , een welvoorziene beurs en vooral een [ @alt grote groote ] voorraad hartelijkheid , gereed om zich uit te storten in goedaardige glimlachjes , in vriendelijke woorden , maar ook in hulp en troost voor ieder , die ze mocht behoeven .
28-1|Haar beide dochters , nauw de kinderschoenen ontwassen en slechts opmerkelijk door wipneusjes en verbaasde ronde [ @alt ogen oogen ] , gieren het uit van pret ; het jonge [ @alt mens mensch ] , dat , [ @alt zo zoo ] lang als hij is , op [ @alt ~de~den den ] divan
29-1|( 9 ) ligt uitgestrekt , met het gefatigeerde gezicht en het lorgnet in zijn [ @alt éne ééne ] oog , schijnt zich ook te [ @alt amuseren amuseeren ] , in [ @alt zoverre zooverre ] men dat ten minste verwachten mag van iemand , die er zulk een gefatigeerd gezicht op nahoudt .
30-1|" Kom , Jenny , lach je ook niet eens mee ? " vraagt de oude dame , als ze eindelijk weer in staat is adem te halen , wat haar lang niet gemakkelijk valt na zulk een lachbui .
30-2|" Nu , kijk eens op ! "
31-1|De vijfde van 't gezelschap - de jonge vrouw - tot wie dat vriendelijk woord gericht werd , heft nu haar gelaat op en glimlacht met [ @alt ~die~dien dien ] glimlach , waarvan men gevoelt dat hij wel op de lippen , maar niet in het hart is .
32-1|" O , zeker , 't is heel aardig , tante ! "
33-1|De spreekster gaat haastig voort met [ @alt ~haar~hare hare ] bezigheid : het [ @alt arrangeren arrangeeren ] van bloemen in een pièce de milieu , dat heden avond prijken zal op de tafel van mevrouw van Hoedt .
34-1|" Wat dunkt u er van ? " vraagt ze na een kleine pauze , en ze gaat iets verder staan om het effect te zien dat de prachtige bloemenschat te midden van kristal en zilver maakt .
35-1|( 10 )
36-1|" Beeldig ! beeldig ! " roepen de meisjes , terwijl mevrouw met goedhartigen glimlach haar goedkeuring te kennen geeft en de heer met het lorgnet langzaam uitbrengt : " Je hebt een talent van bloemenschikken en dineetjes [ @alt arrangeren arrangeeren ] , dat kolossaal is , nichtje .
36-2|Je schiet maar in één ding te kort : je moest ze zelf bijwonen . "
37-1|" O , maar dat zal nicht nú doen !
37-2|Niet waar , Jenny , vanavond kom je binnen ? " roept de oudste der wipneusjes .
38-1|" Toe ja , doe het maar ! " vleit de tweede ; " het zou [ @alt zo zoo ] prettig zijn .
38-2|En als je dan [ @alt wilde woudt ] pianospelen , dan konden we na het eten wat dansen , ja ? "
39-1|Eerst heeft Jenny [ @alt enigszins eenigszins ] verwijtend [ @alt de den ] [ @alt onvoorzichtige onvoorzichtigen ] neef aangezien , die blijkbaar spijt heeft dit onderwerp ter tafel te hebben gebracht ; nu zegt ze met [ @alt hoger hooger ] blos , half gejaagd , half knorrig : " Neen meisjes , dat moet je me niet vragen .
39-2|Ik wil graag alles in orde brengen voor het diner , maar bijwonen - neen , dat gaat niet , dat gaat niet ! "
40-1|" Wat is dat , Jen ? " vraagt mevrouw van Hoedt
41-1|( 11 ) nu , en de lach wijkt een [ @alt ogenblik oogenblik ] van het prettig vollemaansgezicht .
41-2|" Heb je me laatst niet beloofd , dat je mijn eerstvolgend partijtje zoudt bijwonen - en ga je nu terug krabbelen ?
41-3|Kom , meidlief , dat is maar gekheid , hoor !
41-4|Dat wordt toch een beetje overdreven !
41-5|Me dunkt waarlijk dat je schreien en treuren nu lang genoeg geduurd heeft ! "
42-1|" Lang genoeg ?
42-2|O tante !
42-3|... .
42-4|'t Is pas drie maanden dat hij dood is ! "
43-1|Er is in [ @alt ~de~den den ] kreet iets [ @alt zo zoo ] treurigs , [ @alt zo zoo ] diep treffends , [ @alt zo zoo ] alsof ze om genade smeekte , dat de zoon des huizes ontsteld opziet en de meisjes besluiten om maar naar de badkamer te gaan : - Ma wou misschien praten met nicht Jenny .
44-1|" Kassian , Ma , " zegt de jonge man als de zusjes zich uit de voeten gemaakt hebben , met een [ @alt verwijtende verwijtenden ] blik naar [ @alt ~de~den den ] kant zijner moeder .
45-1|" Kassian ?
45-2|Neen , dat is nonsens van je , Gerard !
45-3|Niemand heeft meer kassian met Jenny dan ik , dat weet ze ook wel .
45-4|En ik begrijp heel goed dat ze haar man betreurt ; dat heb ik ook gedaan ... . "
46-1|" Ja , Ma ? " vraagt de zoon met zulk een ondeugenden
47-1|( 12 ) trek op zijn bleek lusteloos gezicht , dat hij er tien jaar jonger uitziet .
48-1|" Nu ja , ieder doet dat op zijn manier , " zegt de moeder , volstrekt niet geërgerd door die vraag ; " maar [ @alt zoals zooals ] Jenny doet , dat is overdreven .
48-2|Om je man huilen is goed , maar het moet niet te lang duren , dan wordt het ongezond en ... . "
49-1|" En vervelend voor de [ @alt huisgenoten huisgenooten ] ! " barst de jonge weduwe eensklaps los .
49-2|" Ja , tantelief , zeg het maar , ik weet het wel , het is voor u heel onpleizierig om in uw [ @alt vrolijke vroolijken ] kring nu reeds drie maanden lang zulk een treurig gezicht te hebben .
49-3|O , ik [ @alt wenste wenschte ] ... . "
50-1|" Neen , kind , dat is het niet ! " en de oude dame trekt haar zacht tot zich en drukt een echt moederlijken kus op het bewolkt voorhoofd .
50-2|" Neen , je behoeft je om ons niet te [ @alt generen geneeren ] !
50-3|Maar , beste meid , geloof me , als ik je aanraad om je wat tegen de akeligheid in te zetten , dan doe ik dat voor je eigen bestwil , nergens anders voor .
50-4|Arme Jen ! " zegt tante nu , terwijl ze haar onder de kin streelt en in het betraande gezichtje kijkt ; " je wordt [ @alt zo zoo ] bleek en [ @alt zo zoo ]
51-1|( 13 ) mager ... .
51-2|En als het nu nog wat hielp ; - maar er valt nu eenmaal toch niet meer aan te veranderen ... . "
52-1|Gerard , die reeds een paar maal ongeduldig de galerij heeft op en neêr [ @alt gelopen geloopen ] , vindt nu het [ @alt ogenblik oogenblik ] gekomen om te zeggen : " Kom , Jenny , je bent niet oud en niet [ @alt lelijk leelijk ] , je weet , dan kan een vrouw altijd nog [ @alt plezier pleizier ] hebben in haar leven . "
53-1|" O , Gerard !
53-2|Och , zeg toch zulke dingen niet ! " en het zacht gelaat trekt pijnlijk samen .
54-1|" Nu ja , nichtje , ik bedoel er ook niets bijzonders mede ... . maar - de tijd slijt , zegt vader Cats , of iemand anders , daar wil ik afwezen . "
55-1|" En dit zeg ik maar , " roept mevrouw van Hoedt nu uit , " een [ @alt mens mensch ] kan nooit [ @alt zo zoo ] bedroefd wezen of op [ @alt ~de~den den ] duur wil hij wel vertroost worden . "
56-1|" Maar ik , ik wil niet vertroost worden , tante ! "
57-1|Met fier gebaar heft de weduwe het gebogen hoofd op en herhaalt het nogmaals : " Ik wil niet vertroost worden , - hoe [ @alt dikwijls dikwerf ] heb ik dat reeds gezegd ! "
58-1|De oude vrouw zet een gezicht , waarop goedhartig medelijden en ongeloof om [ @alt ~de~den den ] voorrang strijden .
59-1|" Nu , nu , houd je maar bedaard , kind !
59-2|Dat is waar ,
60-1|( 14 ) arme meid , dat Léo een engel van een [ @alt jonge jongen ] was . "
61-1|" Ja , " zegt Gerard met warmte , " een ferme kerel , dat was hij !
61-2|En u [ @alt mag moogt ] er van denken wat u wilt , Ma ; maar mij doet het goed , als ik zijn weduwe hoor zeggen dat ze niet vertroost wil worden . "
62-1|Daar Gerard vindt dat hij zich [ @alt enigszins eenigszins ] gecompromitteerd heeft door [ @alt zoveel zooveel ] gevoel te [ @alt tonen toonen ] , haast hij zich op forschen toon om zijn jongen te roepen , [ @alt ~dezen~deze dezen ] een onverdiend scheldwoord naar het hoofd te gooien en op [ @alt ~zijn~zijne zijne ] beurt voor [ @alt geruime geruimen ] tijd in de badkamer te verdwijnen .
63-1|" Dat doet je goed , ja ? " zegt de oude dame nu , terwijl ze met een wereld van goedhartigheid in [ @alt ~de~den den ] blik , haar zachte hand over die van Jenny heenstrijkt .
64-1|" Ja , tante !
64-2|Och , u zijt allen [ @alt zo zoo ] vriendelijk voor me , [ @alt zo zoo ] hartelijk en lief ! "
65-1|" Nu , wees jij dan ook eens lief en doe nu wat we allemaal [ @alt zo zoo ] graag hebben , dat je [ @alt deed deedt ] .
65-2|Kom aan dat diner straks .
65-3|Ik heb geen [ @alt plezier pleizier ] , Jenny , als ik denken moet , dat jij daar alleen zit te treuren .
65-4|En de meisjes hebben ook geen rust , dat weet je wel !
65-5|En ... . wat het ergste is , er moet muziek zijn vanavond . "
66-1|( 15 )
67-1|" Misschien wil Gerard wel spelen . "
68-1|" Gerard ?
68-2|Och kom , die is na [ @alt ~de~den den ] eten tot alles ongeschikt , " zegt de moeder met een glimlach , die bewijst dat ze deze eigenaardigheid van haar zoon , evenals zijn andere eigenaardigheden , geenszins te misprijzen vindt .
69-1|" De meisjes dan ? "
70-1|" O , dat weet je wel , die zijn veel te maloe , die raken in de war !
70-2|Kom , Jenny , een [ @alt mens mensch ] moet niet egoïst worden in zijn droefheid ; pak je eens aan , wees eens flink !
70-3|Geloof me , het zal je goed doen .
70-4|Men moet zich [ @alt zo zoo ] niet toegeven ... .
70-5|Nu , beste meid , wil je tante voor één keer dat [ @alt plezier pleizier ] niet eens doen ? "
71-1|Ze beloofde het .
71-2|Ze had [ @alt zoveel zooveel ] verplichting aan de brave ziel , die in dagen van smart een moeder voor haar geweest was , dat ze haar niets weigeren kon .
72-1|Tante , op dit [ @alt grote groote ] punt gerustgesteld , moest nu nog even zich gaan overtuigen , dat er niets in de war liep bij kokkie , dat het goed ging met het dekken der tafel , dat de kwee en de agar-agars gelukt waren .
72-2|- Haar hart was wel twintig pond lichter , toen ze dat alles in de beste orde vond .
73-1|( 16 )
74-1|Neen , daar hebben ze geen flauw begrip van , onze [ @alt Amsterdamse Amsterdamsche ] kooplui met hun kolossale fortuinen , zelfs onze [ @alt Haagse Haagsche ] aristocraten met hun fijnen kunstsmaak niet , hoe het er uit kan zien bij ons , Indischluidjes , als wij partij geven .
75-1|'t Is [ @alt zo zoo ] , misschien waren we , een paar jaar geleden , maar arme drommels , die niet gedroomd hadden ooit partijen te zullen geven ; misschien gaan we over een paar jaar met een mager pensioentje naar Holland , om het daar , in [ @alt ~de~den den ] Achterhoek , diep te betreuren dat we ooit partijen gaven ; maar toch , - als we het doen , dan ziet onze woning er onbeschrijfelijk lief en feestelijk uit , veel feestelijker dan het deftigste granietsteenen gebouw op Keizers- of Heerengracht , bij een dergelijke gelegenheid .
76-1|Dáár verkondigt alleen wat meer licht in de gang , het verdubbeld stel witte kuiten , en de gesloten vigilantes die nu en dan komen aanrollen , [ @alt ~de~den den ] voorbijganger dat er gasten worden verwacht , terwijl de zware voordeur zich [ @alt zo zoo ] voorzichtig ontsluit om die gasten in te laten , alsof men vreesde dat er iemand
77-1|( 17 ) zou kunnen binnendringen , die niet tot de uitverkoren clique , tot de deftige [ @alt genodigden genoodigden ] behoort .
78-1|Hier , bij ons Indischlui , is op [ @alt zo'n zoo'n ] avond het [ @alt gehele geheele ] huis , met al zijn opengeslagen deuren en vensters , al zijn goed verlichte galerijen en kamers , al zijn bedienden , al zijn voorraad van dranken en ververschingen , gesteld ter beschikking van de gasten .
79-1|Het met bloemen beplante erf wijst als van zelf [ @alt ~de~den den ] weg naar de [ @alt vrolijk vroolijk ] verlichte villa , en de heer des huizes ontvangt zelf de gasten , die door de open rijtuigen worden aangebracht , aan het bordes , om ze bij zijn vrouw of dochters te brengen .
80-1|Niet deftig en geregeld maar in prettige wanorde bewegen de dames zich , bijna allen jong , of ten minste jeugdig gekapt en gekleed , door de ruime gaanderijen , en terwijl de [ @alt heren heeren ] gezellig hun sigaar [ @alt roken rooken ] en een kop koffie gebruiken , [ @alt zoals zooals ] die in Holland niet geschonken wordt , schoolt de inlander samen voor het erf om te luisteren naar die [ @alt vrolijke vroolijke ] klanken , de muziek en het gelach , om uren lang stil te staan kijken naar het woelig [ @alt toneel tooneel ] , dat met zijn bloemen en lichten , zijn beweeglijke gestalten
81-1|( 18 ) en schitterende tinten [ @alt zoveel zooveel ] bonte verscheidenheid schenkt .
82-1|Ook de ruime , modern gebouwde woning der van Hoedts ziet er allerliefst , bijna uitlokkend uit op [ @alt ~dezen~deze dezen ] avond .
83-1|Er is maar één kamer in de villa waaruit geen licht naar buiten straalt , één kamer , waarvan de jaloezieën gesloten en de deuren gegrendeld blijven , hoewel de gasten reeds drukker en drukker komen aanrijden .
84-1|Hier mocht niemand binnenkomen ; hier durfden zelfs de [ @alt huisgenoten huisgenooten ] niet aantikken , om nicht Jenny te herinneren aan haar belofte .
85-1|De wipneusjes keken elkaar met [ @alt ~haar~hare hare ] ronde [ @alt ogen oogen ] nog [ @alt enigszins eenigszins ] verschrikter aan dan gewoonlijk , toen ze in haar witte japonnetjes langs die kamer heenliepen ; de gastvrouw hield een [ @alt ogenblik oogenblik ] op in bewondering van haar zwartfluweelen kleed , om zachtjes een " kassian " te fluisteren ; Gerard mompelde iets van het altijd " beroerd " te vinden , als iemand bij hem aan huis zijn eigen zin niet kon doen .
86-1|'t Is goed ook , dat die deur gesloten blijft , al
87-1|( 19 ) was het maar om de stemming der gasten .
87-2|Immers , ze mogen het niet vermoeden , wat daar omging in het hart der jonge vrouw , die straks in hun midden zal verschijnen , om het [ @alt ~haar~hare hare ] bij te brengen tot het welslagen van [ @alt ~de~den den ] avond .
87-3|'t Is goed , dat die deur gesloten blijft ; immers , niemand mag het weten , waarom het gelaat , dat de [ @alt grote groote ] toiletspiegel weerkaatst , [ @alt zo zoo ] telkens bleek en rood wordt ; waarom die boezem [ @alt zo zoo ] jaagt en hijgt , terwijl ze hem in het keurslijf besluit ; waarom die vingeren [ @alt zo zoo ] beven , als ze de blonde lokken om het hoofd slingert .
88-1|Wat haar [ @alt zo zoo ] bitter grieft , het is dat dezelfde vrouw , die eenmaal Léo's liefste tante was , er nu reeds op durft aandringen dat ze afleiding zoeken zal ; wat haar het fiere bloed naar het voorhoofd jaagt , het is dat vernederend denkbeeld dat ze niet meer vrij is , vrij om te treuren en alleen te zijn , wanneer ze dat verkiest .
89-1|" O ja , ze hebben me gehuisvest en gevoed , " roept ze uit in de [ @alt overgrote overgroote ] bitterheid harer ziel ; " maar hebben ze daarom het recht me te dwingen mee feest te vieren , als mijn hart breekt onder zijn wanhoop ;
90-1|( 20 ) hebben ze daarom het recht me te plaatsen in hun voorgalerij als meubel , dat ze zich hebben aangeschaft tot amusement van hun gasten ? "
91-1|Tante heeft haar lijfmeid binnen gezonden , met [ @alt ~de~den den ] last te helpen , en de goede Niam maant Mevrouw aan toch voort te gaan met [ @alt kleden kleeden ] : al de [ @alt mensen menschen ] zijn er reeds ... .
91-2|Jenny gehoorzaamt met koortsachtige haast , maar zonder [ @alt enige eenige ] belangstelling , tot ze eindelijk in [ @alt ~de~den den ] spiegel een slanke gedaante in rouwgewaad , een droevig bleek gezichtje en een paar [ @alt grote groote ] brandende [ @alt ogen oogen ] ziet .
91-3|Zuchtend vraagt ze de meid om een waaier ; - dan kan ze ten minste dat gezicht , dat eenmaal het zonnetje van tante's partijen was , verbergen .
92-1|Maar moet ze dan waarlijk naar vóór gaan , waarlijk zich begeven te midden [ @phantom van ] [ @alt die dier ] feestvierenden , dier dames , nog gelukkig in het bezit van haar [ @alt echtgenoten echtgenooten ] , dier [ @alt heren heeren ] soms [ @alt zo zoo ] [ @alt meedogenloos meedoogenloos ] in hun spotternijen ?
93-1|Ja , ze moet het doen .
93-2|Mevrouw van Hoedt , met al haar goedhartigheid , al haar inschikkelijkheid , zou nu toch boos worden !
93-3|Immers -
93-4|Jenny heeft
94-1|( 21 ) het reeds vóór heden avond bespeurd - 't duurt tante wel wat heel lang met nichtjes droefheid .
94-2|De goede vrouw was in een opwelling van medelijden alles geweest voor haar ; geen moeite , geen opoffering , geen kosten waren gespaard voor Léo's weduwe : maar nu ... . het was al drie maanden geleden !
95-1|En drie maanden is een lange tijd om te treuren en te klagen en mede te [ @alt wenen weenen ] met de weenenden !
96-1|In de eerste smart is dat niet moeilijk ; ge valt de bedroefde om [ @alt ~de~den den ] hals ; ge zegt , dat ze bij u een thuis heeft ; ge roept het uit , dat de arme man [ @alt zo zoo ] goed en lief was en dat ge altijd [ @alt zoveel zooveel ] van hem hebt gehouden ; ge verzekert , dat ze bij u geheel vrij is , dat ze doen kan wat haar het beste voorkomt ...
97-1|Maar - er zijn niet veel sterke gevoelens , die na verloop van drie maanden niet een weinig verflauwen , en het medelijden behoort zeker niet tot de weinige , die tegen [ @alt ~de~den den ] lijd bestand blijken .
98-1|Mevrouw van Hoedt was eigenlijk een weinig teleurgesteld .
98-2|Natuurlijk dat Jenny bedroefd was en maar liefst alleen thuis wou blijven ; natuurlijk dat ze in het begin stil en teruggetrokken bleef en
99-1|( 22 ) niet meêlachte met de anderen : - maar dat alles zou wel overgaan met [ @alt ~de~den den ] tijd .
100-1|Maar de tijd was gekomen en het was niet overgegaan ; integendeel , Jenny , de eenmaal [ @alt zo zoo ] [ @alt vrolijke vroolijke ] , levenslustige Jenny , die altijd [ @alt zo zoo ] goed was geweest om [ @alt ~de~den den ] " boel aan [ @alt ~de~den den ] gang te helpen , " ze zat daar neer , alsof de [ @alt gehele geheele ] wereld haar onverschillig was geworden , alsof ze nooit meer zou kunnen lachen , veel minder ooit weer [ @alt ~de~den den ] boel aan [ @alt ~de~den den ] gang helpen op tantes partijen .
101-1|Ziet ge , dat was ijselijk onplezierig , vooral in een kring als die , waarvan mevrouw van Hoedt het middelpunt uitmaakte , een kring , waarin elken morgen de vraag wordt opgeworpen : " Wat zullen we nu vandaag eens doen om pret te hebben ? "
102-1|Dubbel onplezierig in een familie , waarin enkele weduwen gevonden worden , die niet [ @alt zolang zoolang ] getreurd , neen , zelfs spoedig naar een plaatsvervanger uitgezien hebben .
103-1|Jenny doet verkeerd , vindt haar tante .
103-2|Dat lange treuren is goed in Holland , waarde [ @alt mensen menschen ] nog onder weduwkappen [ @alt lopen loopen ] , maar Indië is er het land niet voor .
104-1|( 23 )
105-1|In het laatste heeft ze gelijk .
106-1|'t Valt moeilijk om lang te blijven treuren in Indië .
106-2|Elken morgen komt het blijde daglicht uw kamer binnen [ @alt stromen stroomen ] met nieuwe beloften van genot en geluk ; elken dag worden deuren en vensters wijd geopend om vriendelijken zonneschijn en frisschen bloemengeur en [ @alt vrolijke vroolijke ] gasten binnen te laten ; elken avond worden tal van lampen ontstoken om gezellige tooneeltjes te verlichten ; ja , zelfs de nachten zijn opwekkend met hun zachte koelte , hun vriendelijke sterren .
107-1|Maar er is een knagende pijn , die niet verdoofd wordt door al het gerucht en geraas der bedrijvige wereld ; er is een leegte in het hart , die niet kan worden aangevuld met al de bloemen en zonnestralen der aarde ; er is een treurigheid , die al de scherts en [ @alt vrolijkheid vroolijkheid ] der [ @alt mensen menschen ] niet kunnen wegnemen ... .
107-2|En die wonen in [ @alt ~de~den den ] boezem der jonge weduwe , welke thans , met een glimlach om de [ @alt bleke bleeke ] lippen , de helder verlichte voorgalerij binnentreedt en vriendelijk en innemend de gasten harer tante begroet .
108-1|( 24 )
109-1|( Inhoud )
110-1|II .
111-1|" Uw nichtje heeft wel gelijk , dat ze in [ @alt ~de~den den ] rouw is gegaan , " zegt de dame met de [ @alt hoge hooge ] jukbeenderen en het loensche oog , die aan Gerard's linkerzijde is geplaatst .
112-1|" Och 't is eigenlijk een dwaasheid in ons warm Oostje !
112-2|Mama heeft er genoeg tegen gepreekt , maar - ze was er op gesteld . "
113-1|" En òf ze gelijk had !
113-2|Het dragen van zwart , te pas of te onpas , is een geheim , waarmede de blondines haar voordeel weten te doen . "
114-1|" Om u de waarheid te zeggen geloof ik , dat mijn nichtje tegenwoordig al heel weinig om die soort van dingen denkt , " antwoordt Gerard koel , " daar is ze veel te bedroefd voor . "
115-1|" [ @alt Zo Zoo ] ?
115-2|Is ze nog bedroefd ?
115-3|Wel , men zou het haar [ @alt zo zoo ] niet aanzeggen ; ze amuseert zich nog al , dunkt me , vanavond .
115-4|Maar komaan , meneer van Hoedt , daar moeten we nu ook niet al te veel van denken ; u weet , er zijn twee dingen , die men in
116-1|( 25 )
116-2|Indië niet verwachten kan : eerlijke dispensjongens en ontroostbare weduwen . "
117-1|" Dat er geen ontroostbare weduwnaars zijn , zou ik eer [ @alt geloven gelooven ] , altijd in aanmerking nemende hoe hartelijk de vrouwen soms wezen kunnen , " - en de heer van Hoedt keert zich [ @alt enigszins eenigszins ] bruusk van de spreekster af naar zijn andere buurvrouw , een lichtgetint nonnaatje , met gazellenoogen , die hem heel lief zouden aanzien , als ze maar durfden .
118-1|Iets verder op is de jonge weduwe ook het onderwerp van discours .
119-1|" Ja , mijnheer Verweijt , " zegt de vrouw des huizes , erg in haar schik dat alles [ @alt zo zoo ] uitmuntend marcheert - " dat [ @alt mag moogt ] u wèl zeggen ; mijn nichtje is erg afgevallen ! "
120-1|" Maar ze is er niet minder mooi om ; in mijn oog ten minste .
120-2|Dat vrouwtje heeft van kind af [ @mwu zoo iets ] liefs , [ @mwu zoo iets ] interessants gehad ... . "
121-1|" Ja , 't is een fijn gezichtje .
121-2|- En , verbeeld u , die wil zich nu gaan opsluiten als een non !
121-3|Neen , ik ben het eens met Gerard - u weet , die kan soms [ @alt zo zoo ] aardig uit [ @alt ~de~den den ] hoek komen - die zeî van middag
122-1|( 26 ) tegen haar : " Kom , nichtjelief , je bent niet oud en niet [ @alt lelijk leelijk ] , en dan kan een vrouw altijd nog plezier hebben in haar leven ! "
123-1|" Zeker ! zeker !
123-2|Nu , maar dat zal ze zelf ook wel begrijpen , denk ik ? "
124-1|" Neen , ziet u , dat is het juist !
124-2|Zij wil maar stil zitten treuren en zich nergens [ @alt vertonen vertoonen ] .
124-3|Ik verzeker u , dat ik haar half heb moeten dwingen om binnen te komen vanavond . "
125-1|" [ @alt Zo Zoo ] , [ @alt zo zoo ] ?
125-2|Wel , u doet verstandig met haar niet toe te geven in die overdreven idées .
125-3|'t Zou zonde en jammer zijn , als [ @alt zo'n zoo'n ] mooi , jong ding nu de wereld reeds vaarwel zei .
125-4|Kassian , ze begint haar leven pas ! "
126-1|Mijnheer Verweijt laat telkens weer zijn blik heendwalen naar het mooie weeuwtje , en vraagt dan schijnbaar onverschillig : " Hoe lang is haar man dood ? "
127-1|" Ja ... . pas drie maanden !
127-2|'t Is nog niet lang , maar och , een jaar is gauw om , en ... . als de tijd maar eenmaal daar is , dan , dáár durf ik voor instaan , minnaars bij de vleet ! "
128-1|( 27 )
129-1|" Het moet een bijzonder gelukkig huwelijk geweest zijn ? " vraagt de heer Verweijt op [ @alt dezelfde denzelfden ] onverschilligen toon .
130-1|" Ja , Léo was een beste man !
130-2|Maar wat zal ik zeggen ?
130-3|Er zijn nog meer goede mannen in de wereld .
130-4|En - als men geen blanc-manger krijgen kan , moet men zich maar met maizena-podding behelpen ! "
131-1|Op [ @alt ~de~den den ] inval van deze [ @alt enigszins eenigszins ] grove aardigheid kwam mevrouw van Hoedt , [ @alt doordat doordien ] op dit [ @alt ogenblik oogenblik ] juist de podding werd gepresenteerd , die de plaats van de mislukte blanc-manger moest vervullen .
131-2|Glimlachend verklaarde nu de gast , dat hij dol van maizena hield en er werd niet meer over Jenny gesproken .
131-3|Alleen knikte tante haar nu en dan eens bemoedigend toe ; ook gaf ze van tijd tot tijd signalen , dat ze toch vooral het discours moest trachten levendig te houden , daar het aan dat gedeelte der tafel , waar zij geplaatst was , wel [ @alt enigszins eenigszins ] begon te verflauwen .
132-1|Mevrouw van Hoedt heeft zich anders niet over haar nichtje te beklagen ; Jenny lacht ; ze ledigt
133-1|( 28 ) zelfs herhaaldelijk haar glas om toch maar te kunnen wezen , wat men van haar vraagt : geanimeerd !
134-1|Geanimeerd ?
134-2|Terwijl dat gevoel haar aangrijpt met alles overmeesterende kracht , dat gevoel , alsof ze op moest vliegen en vluchten , vluchten ver van al die vreugde , ver van al dat geraas , om in haar eigen stille kamer neer te knielen voor zijn portret en hem te zeggen , dat het niet háár schuld is !
134-3|Niet háár schuld , als die opgewonden [ @alt heren heeren ] hun bewonderende blikken op haar durven richten ; als ze lachen en schertsen moet en antwoorden op de vleiende woorden , die haar [ @alt zovele zoovele ] beleedigingen schijnen ; niet háár schuld , als de wangen gloeien en de [ @alt ogen oogen ] schitteren van overspanning , en ze er daardoor [ @alt zo zoo ] goed uitziet dat ze de [ @alt algemene algemeene ] aandacht trekt ; niet háár schuld ook , [ @alt zo zoo ] ze daar straks het gesprek heeft aangehoord , dat haar met vurige letters in het hart brandt , van die jongelui die een pari aangingen , dat haar weduwstaat niet lang duren zou ... .
135-1|Eindelijk is het diner [ @alt afgelopen afgeloopen ] ; de meeste [ @alt heren heeren ] blijven nog even nazitten ; de dames verspreiden
136-1|( 29 ) zich in vóór- en binnengalerij ; de jonge meisjes hebben op zich genomen voor het [ @alt presenteren presenteeren ] van koffie en thee te zorgen , en Jenny trekt zich in een [ @alt enigszins eenigszins ] vergeten hoek terug .
136-2|Ze hoopt een [ @alt ogenblik oogenblik ] aan zich [ @alt zelf zelve ] te worden overgelaten .
137-1|Maar neen , dat mag niet wezen .
137-2|Nauwelijks heeft ze een boek of plaatwerk - ze weet niet eens wat het is - opgenomen , om zich daarachter te verschansen , als een grijs heer haar in het oog krijgt en dadelijk op haar toetreedt .
138-1|Het is een goede kennis , ze heeft hem nog niet gesproken na Léo's dood ; zijn hartelijke handdruk en lieve manier van troosten verzoenen haar een weinig met de stoornis .
139-1|" Wel , wel , mevrouwtje , wat hebben we dáár van opgehoord !
139-2|Wie had kunnen denken , dat [ @alt zo'n zoo'n ] flinke , krachtige man mij , oudje , nog vóór zou gaan !
139-3|Mijn vrouw was er ook [ @alt helemaal heelemaal ] ontdaan van ; ze heeft u geschreven , niet waar ? "
140-1|" Ja , een heel lieven brief !
140-2|Mevrouw moet niet denken dat ik er haar niet dankbaar voor ben , maar ik kon niet antwoorden ! "
141-1|( 30 )
