1-1|( Inhoud )
24-3|Niemand zou het kunnen zeggen ; al wat men wist was , dat hij als priester in Frankrijk terugkwam .
25-1|In 1804 was Myriel pastoor van Brignolles .
25-2|Hij was toen reeds oud en leefde in de strengste afzondering .
26-1|Omstreeks het tijdstip der kroning gaf een kleine zaak in zijn gemeente , men weet niet recht meer wat , hem aanleiding om naar Parijs te gaan .
26-2|Onder de invloedrijke personen , die hij in het belang zijner gemeenteleden moest spreken , behoorde ook de kardinaal Fesch .
26-3|Eens toen de Keizer zijn oom was komen bezoeken , bevond zich de eerwaarde pastoor , die in de spreekkamer wachtte , toevallig tegenover [ @alt ~Zijn~Zijne Zijne ] Majesteit .
26-4|Napoleon , die zag dat de grijsaard hem met zekere nieuwsgierigheid aankeek , keerde zich plotseling om en [ @alt zei zeide ] : " Wie is die eenvoudige man , die mij [ @alt zo zoo ] aankijkt ? "
27-1|" Sire " , sprak Myriel , " gij ziet een eenvoudig man en ik zie een groot man .
27-2|Ieder van ons kan hier zijn voordeel mee doen . "
28-1|Nog [ @alt dezelfde denzelfden ] avond vroeg de Keizer [ @alt ~de~den den ] kardinaal naar [ @alt ~de~den den ] naam van [ @alt ~dezen~deze dezen ] pastoor , en niet lang daarna was Myriel zeer verrast te vernemen , dat hij tot bisschop van Digne benoemd was .
29-1|En wat was er waar van de verhalen , die er over het eerste gedeelte van Myriels leven in omloop waren ?
29-2|Dit wist niemand .
29-3|Er waren slechts weinig familiën , die de familie Myriel vóór de omwenteling gekend hadden .
30-1|Charles Myriel moest hetzelfde lot ondergaan als iedereen , die in een kleine stad komt wonen , waar veel monden zijn die babbelen en zeer weinig hoofden , welke denken .
30-2|Hij moest het ondergaan , ofschoon en omdat hij bisschop was .
30-3|Maar per slot van rekening waren de praatjes , waarin zijn naam werd genoemd slechts praatjes ; geruchten , klanken , woorden , minder dan woorden , leuterpraatjes .
31-1|Hoe het zij , na tien jaren bisschop van Digne te zijn geweest , waren al deze verhalen , die in [ @alt ~de~den den ] beginne de kleine steden en de [ @alt kleinsteedse kleinsteedsche ] lieden bezighouden , geheel en al in het vergeetboek geraakt .
31-2|Niemand zou er van hebben durven spreken , niemand zou er aan durven herinneren . (
32-1|9 )
33-1|Myriel was te Digne gekomen vergezeld van een oude vrijster , juffrouw Baptistine , zijn zuster , die tien jaar jonger was dan hij .
34-1|Hun [ @alt enige eenige ] dienstbode was een vrouw , even oud als juffrouw Baptistine en juffrouw Magloire [ @alt geheten geheeten ] , die , na eerst de meid van [ @alt de den ] [ @alt eerwaarde eerwaarden ] pastoor geweest te zijn , nu [ @alt de den ] [ @alt dubbele dubbelen ] titel droeg van kamenier van juffrouw Baptistine en huishoudster van mijnheer pastoor .
35-1|Juffrouw Baptistine was een lang , mager , bleek , zacht wezen ; zij verwezenlijkte het ideaal , dat het woord " eerbiedwaardig " in zich sluit , want mij dunkt , dat men moeder moet zijn om " eerwaardig " te kunnen [ @alt heten heeten ] .
35-2|Zij was nooit mooi geweest ; haar [ @alt gehele geheele ] leven , dat slechts een reeks van heilige werken geweest was , had een waas van reinheid en helderheid over haar verspreid , en toen zij ouder werd had zij verkregen wat men de schoonheid van de goedheid zou kunnen noemen .
35-3|Wat in haar jeugd magerheid was geweest , was op haar rijperen leeftijd doorschijnendheid geworden , en deze laatste eigenschap deed haar op een engel gelijken .
35-4|Ze was meer een ziel dan een maagd .
35-5|Ze scheen van schaduw gemaakt ; ze had nauwelijks lichaam genoeg om een vrouw te zijn ; ze was niets dan een weinig bezielde stof , had [ @alt grote groote ] [ @alt ogen oogen ] , die altijd neergeslagen waren ; een voorwendsel voor een ziel om op aarde te blijven .
35-6|Juffrouw Magloire was een klein oud vrouwtje , blank , dik , zwaarlijvig , druk , altijd hijgende , vooreerst wegens haar bedrijvigheid , en dan tengevolge van haar asthma .
36-1|Bij zijn aankomst werd Myriel in zijn bisschoppelijk paleis ontvangen met de eerbewijzingen , voorgeschreven door de Keizerlijke wetten , die [ @alt ~de~den den ] bisschop onmiddellijk na [ @alt ~de~den den ] veldmaarschalk plaatsen .
36-2|De burgemeester en de president maakten hem de eerste visite , en hij van zijn kant bracht het eerste bezoek aan [ @alt ~de~den den ] generaal en [ @alt ~de~den den ] prefekt .
37-1|Toen de installatie had plaats gehad , verwachtte de stad , dat haar bisschop de handen aan het werk zou slaan . (
38-1|10 )
39-1|( Inhoud )
40-1|Tweede hoofdstuk .
41-1|De heer Myriel wordt Monseigneur Bienvenu .
42-1|Het Bisschoppelijk paleis te D. grensde aan het gasthuis .
43-1|Het Bisschoppelijk paleis was een groot , fraai hôtel , in 't begin der vorige eeuw gebouwd door Monseigneur Henri Puget , docter in de theologie bij de faculteit van Parijs en abt van Simore , die in 1712 bisschop van D. was .
43-2|Dit paleis was inderdaad een wezenlijk vorstelijke woning .
43-3|Alles had er een [ @alt groots grootsch ] aanzien : de bisschoppelijke vertrekken , de salons , de kamers , het eerplein , dat zeer ruim en met booggangen in [ @alt ~de~den den ] ouden Florentijnschen stijl omgeven was , tuinen met heerlijke [ @alt bomen boomen ] beplant .
43-4|In de eetzaal , een lange prachtige galerij , gelijkvloers , in [ @alt ~de~den den ] tuin uitkomende , had Monseigneur Henri Puget [ @alt ~de~den den ] 29 Juli 1714 een [ @alt plechtige plechtigen ] maaltijd gegeven aan de prelaten Charles Brûlart de Genlis , prins-aartsbisschop van Embrun ; Antoine de Mesgrigny , kapucijn en bisschop van Grasse ; Philippe de Vendôme , groot-prior van Frankrijk , abt van St. Honoré de Lerins ; François de Berton de Grillon , bisschop en baron van Vence ; César de Sabran de Forcalquier , bisschop en heer van Glandève , en Jean Soanen , priester van het oratorium , gewoon hofprediker , bisschop , en heer van Senez .
43-5|De portretten van deze zeven hoogeerwaarde personages versierden deze zaal en de gedenkwaardige datum , 29 Juli 1714 , was er met gouden letters op een wit marmeren blad gegrift .
44-1|Het hospitaal was een eng , laag gebouw , van slechts één verdieping en met een [ @alt kleine kleinen ] tuin .
45-1|Drie dagen na zijn komst bezocht de bisschop het hospitaal .
45-2|Na dit bezoek , liet hij [ @alt ~de~den den ] directeur verzoeken bij hem te komen .
46-1|" Mijnheer de directeur , " [ @alt zei zeide ] hij tot hem , " hoeveel zieken hebt ge op dit [ @alt ogenblik oogenblik ] ? "
47-1|" Zes en twintig , Monseigneur . "
48-1|" [ @alt Zoveel Zooveel ] had ik er ook geteld , " zei de bisschop .
49-1|" De bedden , " hernam de directeur , " staan zeer dicht op elkander . "
50-1|" Dit heb ik gezien . "
51-1|" De zalen zijn slechts kamers en ze zijn moeilijk van [ @alt verse versche ] lucht te voorzien . "
52-1|" Dat scheen mij ook toe . "
53-1|" En , als de zon schijnt , is de tuin te klein voor de herstellenden . " (
54-1|11 )
55-1|" Dat kwam mij ook [ @alt zo zoo ] voor . "
56-1|" Bij epidemie - dit jaar hadden wij [ @alt ~de~den den ] [ @alt tyfus typhus ] en voor twee jaren de zweetkoorts - hebben wij soms honderd zieken , waarmede wij niet weten wat wij zullen aanvangen . "
57-1|" [ @alt Zo Zoo ] verbeeldde ik mij ook . "
58-1|" Wat zal men zeggen , Monseigneur ? " zei de directeur , " men moet zich schikken . "
59-1|Dit gesprek werd gevoerd in de [ @alt grote groote ] beneden-eetzaal .
60-1|De bisschop bewaarde een [ @alt ogenblik oogenblik ] het stilzwijgen , toen wendde hij zich schielijk tot [ @alt ~de~den den ] hospitaal-directeur , en sprak :
61-1|" Hoeveel bedden , denkt ge , mijnheer , dat alleen in deze zaal kunnen staan ? "
62-1|" In de eetzaal van Monseigneur ? " riep de directeur verbaasd .
63-1|De bisschop liet zijn blik door de zaal gaan en scheen ze met de [ @alt ogen oogen ] te meten en de ruimte te berekenen .
64-1|" Er zouden wel twintig bedden kunnen staan ! " [ @alt zei zeide ] hij zacht , als tot zich [ @alt zelf zelven ] , en vervolgens met verheffing van stem : " Hoor , mijnheer de directeur , ik zal u iets zeggen .
64-2|Er bestaat blijkbaar een vergissing .
64-3|Gij hebt voor zes-en-twintig personen vijf of zes kleine kamers .
64-4|Wij hebben hier met ons drieën plaats voor zestig [ @alt mensen menschen ] ; ik zeg u : 't is een vergissing , gij hebt mijn woning en ik heb de uwe .
64-5|Geef mij mijn huis terug ; dit behoort u . "
65-1|[ @alt De Den ] [ @alt volgende volgenden ] dag werden de zes-en-twintig arme zieken in het bisschoppelijk paleis overgebracht , en de bisschop betrok het hospitaal .
66-1|De heer Myriel bezat geen vermogen ; zijn familie had door de revolutie haar bezittingen verloren .
67-1|Zijn zuster had een lijfrente van vijfhonderd francs , die in de pastorie voor haar persoonlijke behoeften voldoende was .
67-2|Myriel ontving als bisschop van [ @alt ~de~den den ] staat een inkomen van vijftien duizend francs .
67-3|[ @alt Dezelfde Denzelfden ] dag waarop hij het hospitaal betrok , regelde hij het gebruik dier som , eens voor al , op de volgende wijze .
67-4|Wij schrijven hier een nota over van zijn eigen hand . (
68-1|12 )
69-1|Nota ter regeling der uitgaven van mijn huis :
70-1|Voor het kleine Seminarie 1500 fr.
71-1|" de zendingmaatschappij 100 "
72-1|" " Lazaristen van Montdidier 100 "
73-1|" het Seminarie der vreemde missiën te Parijs 200 "
74-1|" de Congregatie van [ @alt ~de~den den ] H. Geest 150 "
75-1|" " geestelijke gestichten in het H. Land 100 "
76-1|" " genootschappen voor de verpleging van kraamvrouwen 300 "
77-1|Bovendien voor dat te Arles 50 "
78-1|Voor het genootschap ter verbetering der gevangenissen 400 "
79-1|Tot hulp en bevrijding van gevangenen 500 "
80-1|" bevrijding van voor schulden gegijzelde huisvaders 1000 "
81-1|" [ @alt verhoging verhooging ] van het traktement van arme schoolmeesters
82-1|in het bisdom 2000 "
83-1|Voor het graanmagazijn der Hautes-Alpes 100 "
84-1|" de Congegratie der dames van Digne , van Manosque en
85-1|van Sisteron , voor het gratis onderwijs aan behoeftige
86-1|meisjes 1500 "
87-1|" de armen 6000 "
88-1|" uitgaven voor mijn persoon 1000 "
89-1|Totaal 15000 fr.
90-1|[ @alt Zolang Zoolang ] de bisschop Myriel [ @alt ~de~den den ] zetel te D. bekleedde , veranderde hij niets in deze regeling .
90-2|Hij noemde het , gelijk men ziet , de regeling der uitgaven van zijn huis .
91-1|Deze schikking werd met volkomen goedvinden door mejuffrouw Baptistine aangenomen .
91-2|Voor deze vrome maagd was Myriel te gelijker tijd haar broeder en haar bisschop , haar natuurlijke vriend en haar geestelijk hoofd .
91-3|Zij beminde en vereerde hem .
91-4|Wanneer hij sprak , boog zij zich ; en al wat hij deed , vond zij goed .
91-5|Alleen de dienstbode , Magloire , morde wel eens .
92-1|[ @alt Zoals Zooals ] wij hebben gezien , had de bisschop slechts 1000 francs voor zich gehouden , 't welk , gevoegd bij het jaargeld van juffer Baptistine , te zamen jaarlijks 1500 francs bedroeg .
92-2|Van deze vijftienhonderd francs leefden de beide oude vrouwen en de grijsaard .
93-1|En wanneer een dorpspastoor te D. kwam , had de bisschop , door de strenge zuinigheid van Magloire en het schrander huisbestuur van mejuffrouw Baptistine nog altijd gelegenheid hem behoorlijk te ontvangen .
94-1|De bisschop was ongeveer drie maanden te D. , toen hij op [ @alt zekere zekeren ] dag [ @alt zei zeide ] : (
95-1|13 )
96-1|" 't Is zeker , dat mijn financiën zeer bekrompen zijn . "
97-1|" Dit geloof ik wel , " hernam Magloire , " Monseigneur heeft zelfs niet eens de gelden gevorderd , welke het departement hem schuldig is voor zijn equipage en voor de reizen in het bisdom .
97-2|De vorige bisschoppen ontvingen die altijd . "
98-1|" 't Is waar , gij hebt gelijk , Magloire , " zei de bisschop , en hij zond zijn rekening in .
99-1|[ @alt ~Enigen~Enige Eenigen ] tijd later stond de [ @alt algemene algemeene ] raad van het departement , na overweging zijner vordering , [ @alt ~de~den den ] bisschop een [ @alt jaarlijkse jaarlijksche ] som van drie duizend francs toe voor de kosten van rijtuig en ter vergoeding der herderlijke reizen .
100-1|De burgerij der plaats maakte hierover een [ @alt grote groote ] drukte , en bij deze gelegenheid richtte een senator van het Keizerrijk , oud lid van [ @alt ~de~den den ] raad der vijfhonderd , die een begunstiger van [ @alt ~de~den den ] 18en Brumaire was geweest en daarvoor in de nabuurschap van Digne met een heerlijk landgoed beloond was geworden , aan [ @alt ~de~den den ] minister van Eeredienst , Bigot de Préameneu , een kwaadaardig vertrouwelijk schrijven , waaraan wij de volgende authentieke regelen [ @alt ontlenen ontleenen ] .
101-1|" Equipagekosten ? waartoe die , in een stad van minder dan vier duizend inwoners ?
101-2|Reiskosten ? waartoe dienen vooreerst deze tochten ? en hoe kan men met extra-rijtuig in deze bergachtige streken reizen ? er zijn geen wegen .
101-3|Men kan alleen te paard reizen .
101-4|Zelfs de brug over de Durance bij Château-Arnoux kan nauwelijks ossenkarren dragen .
101-5|Maar deze priesters zijn allen gelijk : - hebzuchtig en gierig .
101-6|Toen deze hier kwam , speelde hij [ @alt de den ] [ @alt goede goeden ] apostel .
101-7|Nu doet hij gelijk de anderen , en begeert equipage en extra-rijtuig .
101-8|Hij wil weelde ten toon spreiden , gelijk de vorige bisschoppen .
101-9|O , dat priesterras !
101-10|Mijnheer de graaf , de zaken zullen niet eerder goed gaan , dan wanneer de Keizer ons van de papen verlost heeft .
101-11|Weg met [ @alt ~de~den den ] Paus !
101-12|( op dit [ @alt ogenblik oogenblik ] raakten de zaken met Rome in de war ) , wat mij aangaat , ik ben vóór Cesar alleen , enz. , enz. , enz. "
102-1|Magloire was daarentegen zeer verheugd over de zaak en [ @alt zei zeide ] tot [ @alt mejuffrouw mejuffer ] Baptistine : " Nu , Monseigneur is met de zorg voor anderen begonnen ; maar hij heeft eindelijk toch ook aan zich [ @alt zelf zelven ] moeten denken .
102-2|Hij heeft al zijn liefdegiften , geregeld : nu hebben wij eindelijk dus drie duizend francs voor ons ! "
103-1|[ @alt Dezelfde Denzelfden ] avond schreef de bisschop de volgende nota , welke hij aan zijn zuster ter hand stelde : (
104-1|14 )
105-1|Equipage en reiskosten .
106-1|Voor bouillon ten dienste der zieken in het hospitaal 1500 fr.
107-1|" het genootschap ter verpleging van kraamvrouwen te Aix 250 "
108-1|" het genootschap ter verpleging van kraamvrouwen te Draguignan 250 "
109-1|" de vondelingen 500 "
110-1|" de [ @alt wezen weezen ] 500 "
111-1|Totaal 3000 fr.
112-1|Dat was het budget van [ @alt ~de~den den ] heer Myriel .
113-1|Wat de bisschoppelijke inkomsten betrof als afkooping van geboden , dispensatiën , doopplechtigheden , predikatiën , kerkwijdingen , huwelijken enz. , de bisschop hief ze te ijveriger van de rijken , daar hij ze [ @alt de den ] [ @alt arme armen ] ruimer gaf .
114-1|In [ @alt ~korte~korten korten ] tijd stroomden de geldoffers toe .
114-2|Rijken en armen klopten gelijkelijk aan de deur van [ @alt ~de~den den ] heer Myriel , de laatsten kwamen de aalmoezen halen , welke de eersten er hadden gebracht .
115-1|In minder dan een jaar tijds werd de bisschop de schatmeester van alle weldaden , en de kassier van alle noodlijdenden .
115-2|Aanzienlijke sommen gingen door zijn handen ; maar niets was in staat zijn levenswijze te veranderen of bij het [ @alt nodige noodige ] de geringste overtolligheid te voegen .
115-3|Integendeel .
115-4|Aangezien er steeds veel meer [ @alt noden nooden ] en ellenden beneden , dan menschlievendheid boven is , was , om [ @alt zo zoo ] te zeggen , alles reeds weggegeven vóór 't ontvangen was ; 't was als water op een uitgedroogd land : hoeveel geld hij ook ontving , altijd kwam hij te kort .
115-5|Hij bekromp zich derhalve nog meer .
116-1|Volgens gebruik plaatsten de bisschoppen hun doopnamen aan 't hoofd hunner mandementen en herderlijke brieven .
116-2|Nu hadden de arme lieden dier streek , door een gevoel van dankbaarheid gedreven , uit de namen en voornamen van [ @alt ~de~den den ] bisschop [ @alt ~die~dien dien ] gezocht , waarin zij een [ @alt betekenis beteekenis ] vonden , en noemden hem in de wandeling Monseigneur Bienvenu ( Welkom ) .
116-3|Wij zullen doen als zij , en hem bij gelegenheid ook [ @alt zo zoo ] noemen .
116-4|De naam behaagde hem trouwens .
116-5|" Ik houd van [ @alt ~die~dien dien ] naam , " [ @alt zei zeide ] hij .
116-6|" Bienvenu maakt Monseigneur weder goed . "
117-1|Wij beweren niet , dat het portret , 't welk wij hier geven , waarschijnlijk is ; wij zeggen alleen dat het gelijkt . (
118-1|15 )
119-1|( Inhoud )
120-1|Derde hoofdstuk .
121-1|Een goede bisschop heeft een [ @alt moeilijk moeielijk ] ambt .
122-1|Hoewel de bisschop zijn equipage in aalmoezen had omgezet , deed hij toch zijn rondreizen .
122-2|Het bisdom Digne is zeer [ @alt moeilijk moeielijk ] te bereizen .
122-3|Er zijn weinig vlakten en veel bergen , schier geen gebaande wegen , gelijk reeds gezegd is ; twee-en-dertig pastorieën , één-en-veertig vicariaten en tweehonderd vijf-en-tachtig kapellen .
122-4|'t Was een zware taak die alle te bezoeken .
122-5|De bisschop deed het echter .
122-6|Hij ging te voet , wanneer hij in de buurt moest wezen , reed met een karretje door de vlakte , en gebruikte een bergrijtuigje , als hij [ @alt hogere hoogere ] streken moest bezoeken .
122-7|De beide oude vrouwen vergezelden hem ; slechts wanneer de reis voor haar te [ @alt moeilijk moeielijk ] was , ging hij alleen .
123-1|Op [ @alt zekere zekeren ] dag kwam hij te Senez - een oude bisschoppelijke stad - op een ezel .
123-2|Zijn beurs , die op [ @alt ~die~dien dien ] tijd zeer schraal voorzien was , had hem geen ander middel van vervoer veroorloofd .
123-3|De maire der stad ontving hem aan de deur der bisschoppelijke woning en zag hem met [ @alt ogen oogen ] vol ergernis van [ @alt ~de~den den ] ezel stijgen .
123-4|[ @alt Enige Eenige ] burgers , die er bij stonden , lachten .
123-5|" Mijnheer de maire , " zei de bisschop , " en [ @alt heren heeren ] burgers , ik zie wat u ergert ; ge vindt het zeer hoogmoedig van een [ @alt arme armen ] priester , dat hij rijdt op de wijze van onzen Heiland .
123-6|Ik verzeker u , dat ik het uit nood en niet uit ijdelheid doe . "
124-1|Op deze rondreizen was hij [ @alt verschonend verschoonend ] en zachtmoedig ; hij preekte minder dan dat hij zich met de [ @alt mensen menschen ] onderhield .
124-2|Hij ging zijn [ @alt betogen betoogen ] en vergelijkingen niet ver zoeken .
124-3|De inwoners der [ @alt ene eene ] buurt stelde hij tot voorbeeld van die der andere .
124-4|In streken , waar men onmeedoogend voor de behoeftigen was , [ @alt zei zeide ] hij : " Ziet de lieden van Briançon .
124-5|Zij hebben aan de noodlijdenden , aan de weduwen en [ @alt wezen weezen ] het recht gegeven , om drie dagen vroeger dan alle anderen , hun weilanden te maaien .
124-6|Zij herstellen kosteloos hun woningen , wanneer deze in verval zijn .
124-7|Daarom is dit ook een door God gezegend land .
124-8|Gedurende een [ @alt gehele geheele ] eeuw is er geen moord gepleegd .
125-1|In dorpen , die naar winst en een [ @alt rijke rijken ] oogst hunkerden , [ @alt zei zeide ] hij : " Ziet de lieden van Embrun .
125-2|[ @alt Zo Zoo ] een huisvader in [ @alt ~de~den den ] oogsttijd zijn zonen bij het leger en zijn dochters in de stad heeft dienen , indien hij ziek of op [ @alt ene eene ] andere wijze verhinderd is , beveelt de pastoor hem van [ @alt ~de~den den ] kansel bij de gemeente aan , en des Zondags , na de mis , gaan al de dorpelingen , (
126-1|16 ) mannen , vrouwen , kinderen , naar [ @alt ~de~den den ] akker van [ @alt de den ] [ @alt arme armen ] man om voor hem te maaien , en brengen [ @alt stro stroo ] en graan in zijn schuur .
126-2|- Tot families die wegens geldzaken of erfenissen in tweedracht leefden , [ @alt zei zeide ] hij : " Neemt de bergbewoners van Devolny tot voorbeeld , een land [ @alt zo zoo ] woest , dat men er een nachtegaal nauwelijks in vijftig jaren hoort .
126-3|Welnu , wanneer de vader in een gezin sterft , gaan de jongens fortuin zoeken en laten het goed aan hun zusters , opdat [ @alt ~dezen~deze dezen ] [ @alt echtgenoten echtgenooten ] vinden . "
126-4|- In districten , waar men gaarne procedeerde en de pachters zich door gerechtszaken arm maakten , [ @alt zei zeide ] hij : " Aanschouwt de goede landlieden der vallei Queyras .
126-5|Zij tellen drie duizend zielen , en leven als in een kleine republiek .
126-6|Men kent er noch rechters , noch deurwaarders .
126-7|De maire doet alles .
126-8|Hij regelt de belastingen , belast ieder naar zijn beste weten , beslecht kosteloos alle geschillen , verdeelt de erfenissen zonder [ @alt beloning belooning ] , strijkt kosteloos vonnissen , en men gehoorzaamt hem , [ @alt ~terwijl~wijle wijl ] hij een rechtvaardig man onder eenvoudige [ @alt mensen menschen ] is . "
126-9|- In de dorpen , waar hij geen schoolmeester vond , wees hij weder op de inwoners van Queyras .
126-10|" Weet ge hoe zij doen ? " [ @alt zei zeide ] hij .
126-11|" [ @alt ~Terwijl~Wijle Wijl ] een klein oord van twaalf of vijftien gezinnen niet altijd een onderwijzer kan onderhouden , [ @alt zo zoo ] heeft men schoolmeesters , welke door de [ @alt gehele geheele ] vallei worden betaald , en die de dorpen rondtrekken , in dit acht dagen , in een ander tien dagen doorbrengende en onderwijzende .
126-12|Deze onderwijzers gaan naar de jaarmarkten , waar ik hen gezien heb .
126-13|Men herkent ze aan de schrijfpennen , welke zij in het lint van hun hoed dragen .
126-14|Zij die alleen het lezen onderwijzen hebben één pen ; zij die in het lezen en rekenen les geven , hebben twee pennen ; zij die lezen , rekenen en latijn onderwijzen , hebben drie pennen .
126-15|Deze laatsten zijn [ @alt grote groote ] geleerden .
126-16|Maar 't is [ @alt grote groote ] schande onwetend te zijn .
126-17|Doet [ @alt zoals zooals ] de lieden van Queyras . "
126-18|Aldus sprak hij , ernstig en vaderlijk ; bij gemis aan voorbeelden bedacht hij gelijkenissen , die recht op het doel afgingen , met weinig woorden , maar veel beelden .
126-19|'t Was de welsprekendheid van Jezus Christus uit het hart komende en overredende . (
127-1|17 )
128-1|( Inhoud )
129-1|Vierde hoofdstuk .
130-1|De werken en de woorden één !
131-1|In [ @alt ~de~den den ] omgang was hij vriendelijk en [ @alt vrolijk vroolijk ] .
131-2|Hij schikte zich naar de bevatting der beide oude vrouwen , die haar leven bij hem doorbrachten ; wanneer hij lachte , was 't de hartelijke lach van [ @alt ~de~den den ] knaap .
132-1|Magloire noemde hem gaarne Uwe Hoogheid .
132-2|Op [ @alt zekere zekeren ] dag stond hij op van zijn stoel en ging naar zijn bibliotheek een boek halen .
132-3|Dat boek stond op [ @alt ene eene ] der hoogste planken .
132-4|Daar de bisschop klein van gestalte was , kon hij er niet bij . -
133-1|" Magloire , " [ @alt zei zeide ] hij , " breng mij een stoel , mijn grootheid reikt niet tot aan deze plank . "
134-1|Een zijner verre verwanten , mevrouw de gravin de Lô , liet zelden een gelegenheid voorbijgaan zonder in zijn tegenwoordigheid op te sommen , wat zij " de vooruitzichten " van haar drie zonen noemde .
134-2|Zij had verscheiden zeer oude bloedverwanten , van welke haar zoons natuurlijk de erfgenamen werden .
134-3|De jongste van de drie moest van een oudtante honderd duizend francs rente erven ; de tweede zou van een oom [ @alt ~de~den den ] hertogstitel bekomen ; de oudste moest zijn grootvader in het pairschap opvolgen .
134-4|De bisschop hoorde meestal zwijgend , deze onschuldige en verschoonbare moederlijke uitweidingen aan .
134-5|Eens echter scheen hij ernstiger dan gewoonlijk , toen mevrouw de Lô wederom in 't [ @alt brede breede ] van al die erfenissen en van al die " vooruitzichten " sprak .
134-6|Met [ @alt enig eenig ] ongeduld vroeg zij hem : " Maar , neef , waaraan denkt ge toch ? " - " Ik denk aan iets zonderlings , " zei de bisschop , " 't geen , geloof ik , in St. Augustinus staat , n.l. : " Stel uw hoop op hem , van wien ge niet erft . "
135-1|Een [ @alt andere anderen ] keer ontving hij een brief , het overlijden meldende van een edelman uit het gewest , waarin met [ @alt weidse weidsche ] praal , behalve de waardigheden van [ @alt ~de~den den ] overledene , al de leenheerlijke en adellijke titels van zijn [ @alt gehele geheele ] familie waren opgenoemd .
135-2|" Welk een [ @alt brede breeden ] rug heeft toch de dood , " riep hij .
135-3|" Welk een verbazenden last van titels geeft men hem te dragen en hoeveel geest moeten de [ @alt mensen menschen ] hebben om aldus het graf aan de ijdelheid dienstbaar te maken ! "
136-1|Bij gelegenheid maakte hij van vriendelijke scherts gebruik , die meestal een [ @alt ernstige ernstigen ] zin bevatte .
136-2|In de vasten kwam een jonge kapelaan te Digne en predikte in de hoofdkerk .
136-3|Hij was vrij welsprekend .
136-4|Zijn preek had de liefdadigheid tot onderwerp . (
