1-1|( Inhoud )
41-3|Busken Huet in 18645 verhaald , dat [ @alt ene eene ] Zandvoortsche vischvrouw
42-1|(VI)al de veertien [ @alt delen deelen ] van zijn exemplaar der romantische werken van Van Lennep had geleend en gelezen .
43-1|Doch niet alleen in visschersstulpen ook in de huizen onzer gegoede burgerij , in de woningen onzer patriciërs op de Keizers- en Heerengrachten , was Van Lennep steeds een welkome gast .
43-2|[ @alt ~Zijn~Zijne Zijne ] " Idyllen " maakten hem populair bij de studenten , [ @alt ~zijn~zijne zijne ] " Legenden " wonnen hem het hart van al wat jong was , vooral de harten der [ @alt Hollandse Hollandsche ] jonge meisjes , [ @alt ene eene ] verovering Van Lennep tot op [ @alt de den ] [ @alt laatste laatsten ] dag zijner vriendelijke grijsheid dierbaar .
43-3|Oud en jong , stedeling en dorper , edelman en burger , schonken hem [ @alt ~hun~hunne hunne ] genegenheid , toen " de Pleegzoon " verscheen , toen " Ferdinand Huyck , " zijn beste roman , " de Roos van Dekama " opvolgde , toen de breed ontworpen " Voorouders " het licht zagen , en eindelijk , toen de niet het minst besproken , aangevallen , geprezen en gelezen " Lotgevallen van Klaasjen Zevenster " geheel de letterkundige wereld in [ @alt ~de~den den ] winter van 1865 op 1866 in rep en roer brachten .
44-1|Van Lennep's romans blijven leven , [ @alt zo zoo ] goed als die van Walter Scott , en worden herhaaldelijk herdrukt , gelijk ook deze steeds opnieuw worden uitgegeven .
44-2|" De Pleegzoon " verscheen in 1829 en zag sedert dat jaar tot heden met al [ @alt ~zijn~zijne zijne ] opvolgers , telkens in [ @alt ~nieuwe~nieuwen nieuwen ] vorm het licht .
44-3|Omtrent " de(n) Pleegzoon " schreef de auteur mij ( 4 Augustus 1867 ) :
45-1|" Ik heb mijn Pleegzoon ongeveer 40 jaren geleden geschreven ( 1827 ) ; hij heeft [ @alt enige eenige ] jaren in de lade gelegen ; geen boekverkoper wou er aan .
45-2|Eerst toen ik met [ @alt ~mijn~mijne mijne ] Legenden wat naam gemaakt had , wou P. Meijer Warnars er zich wel over ontfermen .
45-3|Van honorarium kon nog geen sprake zijn , en ik geloof niet , dat Drost voor zijn " Pestilentie te Katwijk " heel veel meer gehad heeft .
45-4|Oltmans kwam iets later , wanneer weet ik niet .
45-5|Eerst na 1840 heb ik honorarium bedongen ... . "
46-1|De eerste historische roman van Mr. Jacob van Lennep moest twee jaren wachten , voordat hij bij wijze van genade door [ @alt ~de~den den ] druk werd algemeen gemaakt !
47-1|Dit leerzaam feit voor de geschiedenis onzer letteren zal balsem gieten in de wonden van hen , die met onuitgegeven handschriften naar een uitgever blijven zoeken , en tevens in die der lofredenaars van 't verledene , welke er zich aan ergeren , dat onze boekenmarkt op het huidige [ @alt ogenblik oogenblik ] te veel overvoerd is .
48-1|De drukken van Van Lennep's historische romans volgden elkander spoedig , een bewijs , dat P. Meijer Warnars weinig oog had op letterkundige kunst .
48-2|'t Meest bekend werden : de [ @alt Rotterdamse Rotterdamsche ] uitgaaf van 1855 in dertien blauwe [ @alt delen deelen ] en de vier
49-1|(VII)deelen , klein folio , door Nijhoff , Sijthoff en Thieme van 1867 tot 1869 in het licht gezonden .
49-2|Zonder profeet te zijn , durf ik ook der tegenwoordige volkseditie in elf [ @alt delen deelen ] de vruchtbaarste toekomst voorspellen .
50-1|De historische romans van Van Lennep hebben [ @alt ene eene ] blijvende waarde , die [ @alt zowel zoowel ] uit [ @alt ~hun~hunne hunne ] kracht , als uit [ @alt ~hun~hunne hunne ] zwakheid spruit .
50-2|Voordat ik dit met een enkel woord staaf , doet zich de vraag op , of Van Lennep chronologisch inderdaad onze eerste historische romanschrijver is .
50-3|Meestal stelt men het [ @alt zo zoo ] vóór , alsof in 1829 door " De(n) Pleegzoon " in de geschiedenis der [ @alt Nederlandse Nederlandsche ] letteren een datum gevormd wordt ; alsof Van Lennep's eerste roman , tevens de eerste historische roman in Nederland geweest is .
50-4|Dit is alleen in [ @alt zekere zekeren ] zin juist .
50-5|Van Lennep schreef in 1827 - hij zelf verzekerde het ons reeds - zijn eersten historischen roman .
50-6|Als [ @alt zodanig zoodanig ] is de chronologie in orde .
50-7|Doch om nauwkeurig te spreken , had men moeten vermelden , dat in 1827 [ @alt ene eene ] [ @alt Amsterdamse Amsterdamsche ] patricische schrijfster , Mejuffrouw Maria Jacoba de Neufville , het beproefd had een [ @alt historische historischen ] roman samen te stellen , die evenals " De Pleegzoon , " ( komma achter " ? ) maar [ @alt ~enigen~enige eenigen ] tijd vóór " De(n) Pleegzoon " , in 1829 het licht zag onder [ @alt ~de~den den ] titel : " De Schildknaap .
50-8|Iets uit [ @alt de den ] [ @alt oude ouden ] tijd .
50-9|Een oorspronkelijk historisch romantisch verhaal . "
50-10|( Staalgravure van D. Veelwaard ) .
50-11|Te Amsterdam bij P. [ @alt ~de~den den ] Hengst en Zoon .
50-12|1829 , gr. 8o .
51-1|De poging van Mejuffrouw De Neufville is volkomen dezelfde als die van Mr. J. van Lennep .
51-2|Zij vloeit uit dezelfde bron .
51-3|Zij getuigt het in haar " Voorberigt , " als zij verklaart :
52-1|" Aan de Verhandeling van [ @alt ~de~den den ] Hooggeleerden Heer D. J. van Lennep , Over het belangrijke van Holland's grond en oudheden voor gevoel en verbeelding , welke Verhandeling ik op [ @alt ~de~den den ] 30e Januarij 1827 het genoegen had , door [ @alt ~de~den den ] opsteller te [ @alt horen hooren ] voordragen , is het werk , hetwelk ik thans mijnen [ @alt landgenoten landgenooten ] aanbied , deszelfs wording verschuldigd .
52-2|Altijd met warme liefde voor mijn [ @alt zo zoo ] dikwijls ten onregte verguisd en beschimpt vaderland vervuld , groeide die liefde in mij tot geestdrift aan , door de [ @alt zo zoo ] welsprekende taal des Hoogleeraars en kwam al aanstonds de lust in mij op , om te beproeven of het mogelijk wezen zou , een romantisch tafereel te schetsen , in [ @alt ~de~den den ] smaak van dezulke , als wij aangaande de zeden en gewoonten van andere volken bezitten , iets waarmede ( en hierover betuigt de Heer Van Lennep , in meergemelde Verhandeling [ @alt ~zijn~zijne zijne ] verwondering ) zich aangaande onze voorvaderen nog niemand beziggehouden had . "
53-1|Uit deze woorden blijkt duidelijk , dat " de Pleegzoon " en " de
54-1|(VIII)Schildknaap " bijna terzelfder tijd en onder dezelfde invloeden ontstaan zijn .
54-2|De hoogleeraar D. J. van Lennep gaf aan beiden dezelfde opwekking ; hij leende zelfs wetenschappelijke boeken aan Mejuffrouw De Neufville , [ @alt zoals zooals ] zij in datzelfde " Voorberigt " vermeldt , als zij getuigt : " Voor het overige hebben andere schrijvers , wier werken ik , of [ @alt zelf zelve ] bezit , of die mij door [ @alt ~de~den den ] heer Van Lennep ... . goedgunstiglijk geleend werden , mij tot leidslieden verstrekt . "
55-1|Het is duidelijk , dat vóór 1827 in Nederland geen historische romans zijn geschreven , daar de nauwkeurige D. J. van Lennep in dat geval zeker niet zou gezegd hebben , dat zich " nog niemand " met dit kunstvak in Nederland had " beziggehouden " .
55-2|Tevens blijkt uit het " Voorberigt " , dat men [ @alt ~de~den den ] buitenlandschen historischen roman kent , [ @alt zodat zoodat ] " Pleegzoon " en " Schildknaap " beiden uit de school van Sir Walter Scott stammen - Scott , die in 1814 met " Waverley " begon , en tot aan zijn dood ( 1832 ) met zijn " Count Robert of Paris " volhardde .
55-3|Het behoeft niet nader gestaafd , dat de historische roman juist een kolfje was naar de hand dezer twee , tot [ @alt ene eene ] zeer behoudende wereldbeschouwing overhellende naturen - Maria Jacoba de Neufville en Jacob van Lennep .
55-4|Scott had [ @alt de den ] [ @alt historische historischen ] roman het eerst in zijn modernen vorm te voorschijn geroepen , Scott was de apostel zijner nationale glorie , gekant tegen het [ @alt Frans Fransch ] classicisme , gekant tegen de omwentelingen van 1789 en 1793 .
56-1|Dat het opwekkend woord van [ @alt ~de~den den ] hoogleeraar D. J. van Lennep in 1827 terstond goede diensten deed aan de [ @alt vaderlandse vaderlandsche ] letteren , blijkt niet alleen aan " Schildknaap " en " Pleegzoon , " maar daarenboven nog aan [ @alt ene eene ] enkele zwakke poging in 1828 door J. C. Appenzeller beproefd , die in dat jaar een , nu geheel vergeten , historischen roman schreef onder [ @alt ~de~den den ] titel : " Geertruida Van Wart , of trouw tot in [ @alt ~de~den den ] dood .
56-2|[ @alt Ene Eene ] ware geschiedenis uit de 14e eeuw . "
56-3|Amsterdam , 1828 .
56-4|8o .
57-1|Onze [ @alt Nederlandse Nederlandsche ] historische roman begint - daar Adriaan Loosjes , wegens gebrek aan historischen zin , niet mag medetellen - met Mejuffrouw De Neufville en Jacob van Lennep in 1829 , om dan onder invloed van [ @alt ~dezen~deze dezen ] laatste - en natuurlijk van diens meester Walter Scott - rijkelijk te bloeien .
57-2|Van Limburg Brouwer gaf in 1831 : " Charicles en Euphorion , " in 1838 : " Diofanes . "
57-3|Bakhuizen Van [ @alt ~de~den den ] Brink volgde in 1834 en 1835 met historische novellen in de " Muzen , " het tijdschrift van Potgieter , Heije en Drost ; deze laatste schreef in 1831 zijn " Hermingard van de Eikenterpen ; " Oltmans volgde in 1834
58-1|(IX)met " Het slot Loevestein , " in 1838 met " De(n) Schaapherder ; " eindelijk verscheen Mejuffrouw A. L. G. Toussaint , met haar " Almagro " ( 1837 ) , haar " Graaf van Devonshire " ( 1838 ) en haar " Lauernesse " ( 1840 ) .
59-1|Stellen wij dus de te veel vergeten De Neufville naast onzen Van Lennep , dan mogen wij aan beiden de eer geven [ @alt de den ] [ @alt historische historischen ] roman in Nederland te hebben begonnen .
60-1|III .
61-1|De historische romans van Van Lennep hebben [ @alt ene eene ] blijvende waarde , die [ @alt zowel zoowel ] uit [ @alt ~hun~hunne hunne ] kracht , als uit [ @alt ~hun~hunne hunne ] zwakheid spruit - [ @alt zei zeide ] ik .
61-2|[ @alt ~Hun~Hunne Hunne ] kracht ligt in de uitnemende helderheid van stijl en voorstelling .
61-3|Van Lennep heeft behoefte aan juistheid , nauwkeurigheid , duidelijkheid .
61-4|[ @alt ~Zijn~Zijne Zijne ] vertelling zweeft nooit in een [ @alt duistere duisteren ] nevel van onoplosbare geheimzinnigheid .
61-5|Aan Walter Scott , misschien ook aan [ @alt ~de~den den ] ouden Dumas , heeft hij de kunst afgezien een [ @alt belangwekkende belangwekkenden ] knoop te leggen , [ @alt welke welken ] hij zonder kunst- of vliegwerk zeer behendig oplost .
61-6|Het is niet te ontkennen , dat hij een geliefkoosd schema van roman - de held of de heldin van onbekende afstamming , zoekend naar vader of moeder - [ @alt soms somtijds ] herhaalt .
61-7|Dit denkbeeld ligt ten grondslag aan " De(n) Pleegzoon , " komt terug in de " Roos van Dekama , " en is op [ @alt brede breede ] schaal bewerkt in " Klaasjen Zevenster " .
62-1|[ @alt Ene Eene ] zwakheid van Van Lennep's kunst ligt in zekere ongegeneerdheid ten opzichte van historische gegevens , [ @alt zodat zoodat ] zijn roman " Elisabeth [ @alt Mus Musch ] " , als verhaal op zich zelf aangenaam te lezen , als historische roman volkomen mislukt is .
62-2|In degelijkheid van historische wetenschap , in psychologische fijnheid van karakteropvatting staat Mevrouw Bosboom-Toussaint boven hem .
62-3|Deze laat zich niet afschrikken door een vermoeiend historisch onderzoek , dringt bij [ @alt ~haar~hare hare ] helden en heldinnen door in de diepten van de binnenborst , en schept karakters , die , psychologisch geheel afgewerkt , een [ @alt onvergetelijke onvergetelijken ] indruk achterlaten .
62-4|Van Lennep wil het [ @alt ~de~den den ] lezer naar [ @alt ~de~den den ] zin maken , wil behagen ; hij bekreunt zich meer om hetgeen met [ @alt ~zijn~zijne zijne ] personen geschiedt , dan wat in hun hart en hoofd omgaat .
62-5|Hij wil een boeiend verteller zijn , die , zonder de geschiedenis opzettelijk in het aangezicht te slaan , zijn lezer steeds in spanning houdt .
63-1|( X )
64-1|Bij Mevrouw Bosboom-Toussaint ontstaat uit de degelijkheid der historische wetenschap en de fijnheid der zielkundige analyse [ @alt soms somtijds ] [ @alt ene eene ] overlading en [ @alt ene eene ] uitvoerigheid , die naar langdradigheid zou kunnen [ @alt zwemen zweemen ] ; bij Van Lennep neemt het verhaal een [ @alt vlugge vluggen ] , levendigen gang , die het hart van [ @alt de den ] [ @alt gewone gewonen ] lezer steelt , maar dikwijls dreigt in oppervlakkigheid te [ @alt verlopen verloopen ] .
64-2|Mevrouw Bosboom-Toussaint heeft les défauts de ses qualités , Van Lennep les qualités de ses défauts .
65-1|Het best gelukt is zijn " Ferdinand Huyck , " een voortreffelijk boek in vele opzichten .
65-2|Evenals in zijn " Klaasjen Zevenster " is hier [ @alt zowel zoowel ] historisch als psychologisch het schoonste geleverd van alles wat Van Lennep zou voltooien .
65-3|Hij had de achttiende eeuw lief .
65-4|Hij kende haar en [ @alt ~haar~hare hare ] beschaving , vooral het achttiende [ @alt eeuwse eeuwsche ] patriciaat te Amsterdam .
65-5|Opgevoed naar de overleveringen van zijn oud geslacht , naar de classieke wijsbegeerte van zijn vader David Jacobus , moest hij zich het naast verwant gevoelen aan een juist vervlogen tijdvak , dat door goede manieren , vlug vernuft en letterkundigen smaak uitmuntte .
65-6|Van Lennep , [ @alt ~die~dien dien ] men te recht voor een der aanvoerders der Romantische beweging in Nederland hield , was in zijn hart het classicisme der achttiende eeuw nog meer genegen .
66-1|Een bewijs van deze laatste stelling put ik uit een zijner vriendelijke brieven .
67-1|Naar aanleiding [ @alt ener eener ] opmerking tegen [ @alt Engelse Engelsche ] romanschrijvers , die misbruik maken van [ @alt Latijnse Latijnsche ] citaten , schreef hij mij ( 5 April 1860 ) :
68-1|" Ik moet er bijvoegen , dat hetgeen u [ @alt thans thands ] ... . tegenstaat , u misschien niet zou hebben tegengestaan , indien gij een 30 jaren ouder waart en u [ @alt ~de~den den ] tijd herinnerdet , toen het klassicisme ook hier te lande meer algemeen was en men zich niet geneerde aan tafel in tegenwoordigheid van dames Ovidius of Horatius aan te halen .
68-2|De konversatie , [ @alt zo zoo ] als ik mij die in mijn jeugd herinner , had altijd een klassieke tint en wie die bij uitnemendheid wist aan te brengen - en daarom ook in Engeland [ @alt zo zoo ] geacht en gezien was - was A. R. Falck ! - en toch belette dit niet , dat de dames toen [ @alt dodelijk doodelijk ] van hem waren ... . ja , dat , toen zijn Brieven 3 jaar geleden ( 1857 ) in 't licht kwamen , al de exemplaren bij [ @alt Amsterdamse Amsterdamsche ] boekverkoopers aanwezig , tot [ @alt grote groote ] verbazing van Nijhoff , [ @alt de den ] [ @alt eerste eersten ] avond reeds waren opgehaald - meest alle door dames [ @alt tussen tusschen ] de 60 en 80 jaren ( die zeker wilden weten of zij er ook in voorkwamen ) .
68-3|'t Is waar , Falck citeerde ook [ @alt Frans Fransch ] , [ @alt Engels Engelsch ] , Hoogduitsch , enz. - maar had niets , dat op pedanterie geleek , en nimmer heb ik aangenamer [ @alt mens mensch ] ontmoet . "
69-1|( XI )
70-1|Zij , die Van Lennep gekend hebben , zien met mij [ @alt ~de~den den ] schalkschen glimlach om [ @alt ~de~den den ] mond en in het oog beide , waarmeê hij deze regelen schreef !
71-1|[ @alt ~Zijn~Zijne Zijne ] genegenheid voor het [ @alt Franse Fransche ] classicisme der achttiende eeuw paarde zich hoogst eigenaardig aan [ @alt ene eene ] vrij [ @alt grote groote ] geringschatting der middeleeuwen en al wat met [ @alt middeleeuwse middeleeuwsche ] studiën in verband stond .
