1-1|EEN TWAALFTAL SAMENSPRAKEN
16-3|De rotterdamsche familie van vaderskant , ouders van tien kinderen , deden om het openhouden van al die monden ( vóór de kleine woning bevond zich [ @alt ene eene ] loofhut ) niet onmogelijk een bier- of wijnhuis . ( 4 ) Een voogd , te Gouda , was schoolmeester , was plakmajoor , en wist de twee jonge [ @alt wezen weezen ] , nadat te vergeefs beproefd was [ @alt ~de~den den ] jongste smaak te doen vinden in een Fraterhuis te 's Hertogenbosch , geen beteren raad te geven dan in een eigenlijk gezegd klooster [ @alt ~de~den den ] kost voor het eten te gaan zoeken .
17-1|Gewone geesten zwichten voor zulke omstandigheden , en onderwerpen zich .
17-2|Buitengewone , maar van [ @alt de den ] [ @alt tweede tweeden ] rang , gaan de voorregten van rijkdom en geboorte benijden , en beschouwen carrière-maken weldra als het hoogste .
17-3|Het bewonderenswaardige in Erasmus is dat , toen in vervolg van tijd zijn bestaan eenmaal verzekerd was , de aanbiedingen van koningen , keizers , en pausen , stelselmatig door hem afgeslagen zijn .
17-4|Door de ondervinding geleerd haatte hij [ @alt ene eene ] armoede die tot bedelen doemt , [ @alt ene eene ] afkomst welke aan het platburgerlijke vermaagschapt .
17-5|Maar zijn edel hart en zijn groot verstand behoedden hem voor de dwaling , in de [ @alt ene eene ] of andere rigting aan het uitwendige meer te hechten dan het waard is .
17-6|Zij heeft hem diensten bewezen , de nederlandsche schooijerswereld uit welke hij voortkwam .
17-7|Het [ @alt gemene gemeene ] klooster-zelf is hem [ @alt ene eene ] weldadige leerschool geweest .
18-1|Te Gouda letterwijs gemaakt , is het kind naar Utrecht gezonden om het kerkgezang te [ @alt leren leeren ] , en te zien of hij als koorknaap zijn brood verdienen kon .
18-2|Mogelijk oefende hij reeds toen zich in het [ @alt tekenen teekenen ] of schilderen ; wat hij , evenals de muziek , naderhand voor goed liet varen . ( 5 ) De letteren , niet de kunsten , waren [ @alt ~zijn~zijne zijne ] sterkste natuurlijke neiging ; lezen zijn [ @alt hartstocht hartstogt ] .
19-1|[ @alt Ene Eene ] midden-nederlandsche litteratuur bestond er voor hem niet , evenmin als [ @alt ene eene ] middeneeuwsch-europesche in verschillende landstalen .
19-2|Er zijn geen blijken dat hij Villehardouin , Joinville , Dante , gekend of bemind heeft .
19-3|Naar [ @alt vaderlandse vaderlandsche ] auteurs der oudheid , Maerlant , Stoke ( litterae inamoenae ) , zag hij niet om , maar kende op zijn twaalfde jaar [ @alt ~de~den den ] [ @alt gehelen geheelen ] Horatius en [ @alt ~de~den den ] [ @alt gehelen geheelen ] Terentius van buiten .
20-1|Van [ @alt ~zijn~zijne zijne ] vorderingen te Deventer , naderhand in [ @alt ~De~Den Den ] [ @alt Bos Bosch ] , weten wij alleen dat hijzelf op later leeftijd er een [ @alt geringe geringen ] dunk van koesterde .
20-2|Ondanks merkbare [ @alt tekenen teekenen ] van beterschap waren de onderwijsmethoden in Nederland toen nog niet veel zaaks , vond hij . ( 6 ) Het is waar dat eerst zijn eigen vermaardheid als man , en de zucht der nederlandsche filologen hem opzijde te streven , [ @alt ene eene ] betere toekomst heeft doen aanbreken .
21-1|Zijn eerste wezenlijk merkwaardige arbeid in [ @alt latijns latijnsch ] proza , te zamen met vrij wat [ @alt latijnse latijnsche ] verzen ( ook de poëzie werd in vervolg van tijd door hem losgelaten ) , dagteekent van zijn achttiende jaar of daaromtrent : zijn proeftijd als augustijner-monnik in het klooster Emmaüs , te Stein bij Gouda . ( 7 ) In tien of elf korte hoofdstukken , vele jaren daarna vermeerderd met een korrigerend en herroepend twaalfde , is het een pleidooi ten gunste van het monachale leven , en handelt Over het vlieden der wereld . ( 8 )
22-1|De stijl van dit werkje verschilt zeer van [ @alt ~die~dien dien ] der Imitatio Christi .
22-2|In plaats van uit de hoogte , in naam der nietigheid van het ondermaansche , een heilig leven te gebieden , [ @alt zoals zooals ] Thomas a Kempis doet , betoogt de jonge Erasmus met tal van redeneringen ( de vorm is die van een brief , door een denkbeeldig oom aan een denkbeeldigen neef gerigt ) dat de belangen van een goed geweten , een onbesproken wandel , een vredig uiteinde , de belangen ook der vrije , ongestoorde , veelzijdige studie , het kloosterleven krachtig aanbevelen .
22-3|Het is reeds [ @alt ene eene ] geheel andere soort van latijn dan zestig of zeventig jaren te voren Thomas plag te schrijven en tot het laatst aanhield ; meer het klassieke naderend ; beschikkend over een veel [ @alt groter grooter ] aantal woorden en zegswijzen ; getuigend van een veel gemeenzamer omgang met de schriften der oudheid .
22-4|Aanhalingen uit [ @alt ~de~den den ] bijbel worden niet gemist , doch zijn betrekkelijk zeldzaam , en vormen in geen geval [ @alt ~de~den den ] hoofdinhoud , gelijk bij Thomas het geval is .
23-1|[ @alt Nochtans Nogtans ] wortelt ook Erasmus ' geschrift regtstreeks in de mystiek van [ @alt ~de~den den ] tijd en van het land ; en de [ @alt ene eene ] augustijner-monnik geeft , waar het op verheerlijken der kloostergeloften aankomt , [ @alt ~de~den den ] ander niets toe .
23-2|Een geheel hoofdstuk bij Erasmus , langer dan één der vorige , is gewijd aan het schilderen der godsdienstige geestdrift van een vriendinnetje zijner kinderjaren , toen een volwassen meisje , dat ondanks de gebeden van vader en moeder , ondanks de tranen en omhelzingen van broeder en zuster , in het aannemen van [ @alt ~de~den den ] sluijer volhardde .
23-3|Hij spreekt over deze Margaretha als over [ @alt ene eene ] voorbeeldige geloofsheldin , en wijst er met bewondering op dat in [ @alt ~de~den den ] kring der schreijende ouders , bloedverwanten , en huisvrienden ( hijzelf was bij het [ @alt toneel tooneel ] tegenwoordig en noemt het hartverscheurend ) , zij de [ @alt enige eenige ] was om wier lippen een rustige glimlach speelde . ( 9 )
24-1|Zelfzuchtiger , [ @alt zo zoo ] men wil , doch niet minder warm of welgemeend , is [ @alt ~zijn~zijne zijne ] hulde aan de kloostercel als studeerkamer , waar slechts boeken en nogmaals boeken gevonden worden ja , maar die onder het lezen [ @alt de den ] [ @alt jonge jongen ] wijze in een paradijs verkeert , een hof van Eden .
24-2|Anderen mogen aan de herberg , anderen aan de danszaal de voorkeur geven , hij houdt het met dit park der letterwereld ; met die [ @alt stromen stroomen ] , [ @alt bossen bosschen ] , weiden , waar , [ @alt tussen tusschen ] het gras , de rozen en de leliën bloeijen of de violen zich verschuilen .
24-3|Verlangt de ziel naar goddelijk onderrigt uit de eerste hand , de jonge kloosterling grijpt naar het Oude of het Nieuwe Testament .
24-4|[ @alt Wenst Wenscht ] hij een kerkvader of een godgeleerde te raadplegen , hij haalt het boek voor [ @alt ~de~den den ] dag en slaat op [ @alt ~zijn~zijne zijne ] knieën het open .
24-5|Heeft hij uit de wereld [ @alt ene eene ] oude liefde voor de ongewijde Muze medegebragt , hij mag in [ @alt ~zijn~zijne zijne ] vrije uren , mits het [ @alt ene eene ] platonische genegenheid blijve , ook aan déze neiging toegeven .
24-6|Wie gevormd werd in de school van profeten , apostelen , kommentatoren , en theologen , weet bij de [ @alt heidense heidensche ] [ @alt wijsgeren wijsgeeren ] en dichters de medicinale van de giftplanten te onderscheiden .
24-7|In zijn litterarischen bloemtuin is hij koningen te rijk , en trotseert Sardanapalussen . ( 10 )
25-1|Een ander klein prozawerk van Erasmus uit deze periode is [ @alt ~zijn~zijne zijne ] lijkrede op [ @alt ene eene ] goudsche weduwe , moeder van drie huwbare dochters en in de kracht harer jaren gestorven .
25-2|Haar echtgenoot of haar vader , schijnt het , had haar een aanzienlijk vermogen nagelaten , en zij maakte daarvan een edelmoedig gebruik , [ @alt zodat zoodat ] zij als [ @alt ene eene ] weldoenster bekend stond .
25-3|Daarbij was zij buitengemeen vroom en [ @alt ene eene ] gulle gastvrouw , die de kloosterbroeders van Emmaüs geregeld ten eten vroeg .
25-4|Erasmus , wien zij meer dan één der andere jongelieden genegen was , bewondert [ @alt ~haar~hare hare ] onbegrensde godsdienstigheid , en brengt daarvan voorbeelden bij .
25-5|Niet alleen wijdde zij onafgebroken [ @alt ~haar~hare hare ] zorgen aan een groot hospitaal te Gouda ; maar ieder jaar , op [ @alt ~Goeden~Goede Goeden ] Vrijdag , [ @alt nodigde noodigde ] zij te harent dertien armen , wien zij vóór het aan tafel gaan [ @alt zelf zelve ] de voeten [ @alt waste waschte ] .
25-6|[ @alt Ene Eene ] harer dochters , pas zes weken gehuwd , werd door [ @alt ene eene ] noodlottige ziekte aangetast .
25-7|De moeder deed Erasmus hiervan kennis geven ; en in de [ @alt mening meening ] haar [ @alt dodelijk doodelijk ] bedroefd te zullen vinden , snelde hij naar [ @alt ~haar~hare hare ] woning .
25-8|Doch Bertha van Heyen , [ @alt zo zoo ] heette de matrone , [ @alt zei zeide ] tot hem toen [ @alt ~haar~hare hare ] dochter [ @alt ~de~den den ] adem had uitgeblazen : " Gij komt mij troosten , als ware ik gekrenkt in [ @alt ~mijn~mijne mijne ] [ @alt rechten regten ] of moedwillig geplaagd ; maar is niet hij , die [ @alt ~mijn~mijne mijne ] dochter mij ontneemt , dezelfde die haar mij gegeven heeft ?
25-9|Ben ik tot weeklagen bevoegd ?
25-10|Zij is heengegaan tot straf voor [ @alt ~mijn~mijne mijne ] ongeregtigheden . " ( 11 )
26-1|Het verdient opmerking dat Erasmus , die later de monniken [ @alt zo zoo ] ijverig nagezeten , [ @alt zo zoo ] geestig en openhartig de jonge meisjes van de wereld vermaand heeft geen nonnen te worden , ( 12 ) met [ @alt zoveel zooveel ] ingenomenheid over het offer der Margareta zijner jonge jaren spreekt en over het " hokje " van Thomas a Kempis .
26-2|Maar het is óók merkwaardig dat reeds in de hulde aan Bertha van Heyen uitdrukkingen voorkomen die op een begin van ontgoocheling wijzen .
27-1|Schier onmiddellijk heeft Erasmus gevoeld dat de meeste [ @alt hollandse hollandsche ] monniken zijner dagen onopgevoede lieden waren , en zij in het gezelschap [ @alt ener eener ] beschaafde vrouw zich niet wisten te gedragen .
27-2|" Wanneer wij bij Bertha aan tafel zaten , " herinnert hij , " en een onzer zich van uitdrukkingen bediende die [ @alt de den ] [ @alt goede goeden ] naam van [ @alt ~de~den den ] medemensen [ @alt benadelen benadeelen ] konden , dan maakte zij aan het verderfelijk gepraat terstond een einde , zeggende : Ik bid u , broeders , laat mij aan mijn [ @alt dis disch ] geen woorden uit uw mond vernemen waardoor een afwezige [ @alt beledigd beleedigd ] wordt !
27-3|Spaart mij ook het overbrengen van zaken die derden niet tot eer strekken : dit vleit [ @alt ~mijn~mijne mijne ] [ @alt oren ooren ] niet . " ( 13 )
28-1|Zulk [ @alt ene eene ] vrouw , gevoelde hij , behoefde [ @alt ~de~den den ] sluijer niet aan te nemen om [ @alt ene eene ] voortreffelijke christin te mogen [ @alt heten heeten ] .
28-2|Sprekend van [ @alt ~haar~hare hare ] jeugd : " Zij was schoon , " zegt hij , " zij was rijk , zij was een toonbeeld van deugd en godsvrucht ; waarom trok zij zich niet uit de wereld terug , en ging zij niet in een klooster ? zult gij vragen .
28-3|Zeker , dit ware voorzigtiger geweest .
28-4|Maar volgens mij is het een verreweg [ @alt schoner schooner ] eeretitel , te midden van de verleidingen der ondeugd een rein en onschuldig leven te leiden , en met zelfbewustheid zijn eigen weg te gaan , terwijl de wereld om ons heen jaagt en drijft .
28-5|Alleen de deugd stelt daartoe in staat . " ( 14 )
29-1|Vroegtijdig heeft Erasmus het klooster bemind ; met welgevallen de tonsuur aanvaard , en door [ @alt ~de~den den ] bisschop van Utrecht zich tot priester laten wijden .
29-2|De drang van buiten , welke daarbij gebezigd mag zijn , heeft minstens voor de helft uit overreding bestaan .
29-3|Voor méér dan de helft was het toetreden vrijwillig . ( 15 )
30-1|Doch even vroegtijdig heeft hij gevoeld dat voor het verwezenlijken van een ideaal als het [ @alt ~zijn~zijne zijne ] , - een leven voor de studie , van de studie , om de studie , - het klooster gemist kon worden , en veeleer [ @alt ~de~den den ] naam van struikelblok of ergernis dan van hulpmiddel verdiende .
30-2|Niemand had hem " in de kap gestoken , " gelijk naderhand de minachtende zegswijs luidde .
30-3|Uit eigen overtuiging , [ @alt zo zoo ] niet uit eigen beweging , had hij zich [ @alt ~de~den den ] strop om [ @alt ~de~den den ] hals gehaald .
30-4|Maar pas was het koord bevestigd of hij gevoelde dat het een koord was , en zijn bestaan dat van een vogel op een kruk geleek .
31-1|In die stemming schreef hij te zelfder tijd de Ode aan een vriend , welke zulk een diepe neerslagtigheid ademt , en die bewijst dat het hem gemakkelijker viel anderen met woorden de kloosterkevie smakelijk te maken , dan voor de vleugelen van zijn eigen geest zich met [ @alt zo zoo ] weinig ruimte te vergenoegen : " Wee mij !
31-2|Door droefheid , wanhoop , en arbeid , word ik verteerd .
31-3|Een wreed lot gunt mij geen [ @alt ogenblik oogenblik ] verademing , brengt niet de geringste verzachting voor mijn leed .
31-4|Treurige dagen voor , treurige na !
31-5|Door welke misdaad heb ik [ @alt ~de~den den ] Hemel [ @alt beledigd beleedigd ] , dat ik [ @alt ene eene ] straf moet lijden de martelingen waardig van [ @alt ~de~den den ] Styx ?
31-6|De aarde ten minste wordt na de zomerhitte door lange dagen vol schaduw en nevelen verkwikt ; de sneeuw komt en verdwijnt , naarmate de velden haar behoeven of kunnen ontberen .
31-7|Mij brengen de saizoenen geen stilling van pijn ; onafgebroken vervullen de droefgeestige zorgen [ @alt ~mijn~mijne mijne ] ziel ; tranen doen gedurig [ @alt ~mijn~mijne mijne ] oogleden zwellen . " ( 16 )
32-1|Is het mogelijk een glimlach te onderdrukken wanneer men bedenkt hoe weinig de jonge man , die onder zijn leed [ @alt zo zoo ] diep gebukt ging , [ @alt nodig noodig ] had om gelukkig te zijn ?
32-2|Welk gering verschil , voor het uitwendige , er bestond [ @alt tussen tusschen ] de kloostercel zijner jeugd , die hij [ @alt verwenste verwenschte ] , en de studeercel van zijn manlijken leeftijd , naderhand zijn hemel op aarde ?
33-1|Nooit heeft Erasmus naar een [ @alt huwelijk huwlijk ] getaald ; nooit het als [ @alt ~zijn~zijne zijne ] roeping beschouwd huisvader te worden ; nooit [ @alt ene eene ] openbare betrekking willen vervullen .
33-2|Wanneer hij in [ @alt de den ] [ @alt volle vollen ] bloei der jaren de zamenspraak van [ @alt ~de~den den ] Officier en [ @alt ~de~den den ] Karthuizer schrijft , dan ontwerpt hij van [ @alt ~de~den den ] laatste een [ @alt zo zoo ] innemend beeld , dat hijzelf er [ @alt jaloers jaloersch ] van schijnt . ( 17 ) Maar die geïdealiseerde karthuizer is een monnik op het geduldig papier ; en [ @alt zo zoo ] Erasmus te Stein en in het klooster Emmaüs gebleven was , dan ware voor het leven zijn lot dat van een monnik der werkelijkheid geweest .
33-3|Niet om nieuwe banden of om bandeloosheid was het hem te doen , maar om vrijheid .
33-4|Zijn land , gevoelde hij , was [ @alt groter grooter ] dan zijn klooster , de wereld [ @alt groter grooter ] dan zijn land , en er viel daar buiten [ @alt ene eene ] even nuttige als roemrijke levenstaak te vervullen .
33-5|In [ @alt ~zijn~zijne zijne ] cel [ @alt zelf zelve ] had de beweging der eeuw hem aangegrepen ; uit [ @alt ~zijn~zijne zijne ] boeken was de tegenstelling [ @alt ener eener ] [ @alt barbaarse barbaarsche ] omgeving en van een [ @alt hogere hoogeren ] standaard van beschaving hem openbaar geworden ; naar die lucht en dat licht strekte zijn verlangen zich uit .
33-6|[ @alt Zó Zóó ] ten minste verklaren wij ons zijn ongeduldig bijten in de staven van zijn tralievenster , tien jaren lang .
34-1|Er is in Erasmus ' leven , nadat als geleide van een [ @alt jonge jongen ] [ @alt schotsen schotschen ] koningszoon gunstiger omstandigheden hem eindelijk naar Rome gevoerd hadden , en hij in de drukkerij van Aldo Manuzio de proefbladen zijner herziene Spreekwoorden had mogen korrigeren ; er is een tijd gekomen dat één ding bij hem nog boven Italië ging : Bazel en de vrijheid .
34-2|Met de jaren is het hem duidelijk geworden dat [ @alt ene eene ] werkzaamheid als die zijner [ @alt dromen droomen ] , niet gebonden was aan het land of de stad waar het toeval de beschaving der oudheid , uit het Oosten verdreven , [ @alt ene eene ] vlugthaven had doen vinden .
34-3|Onverschillig dat de Italianen hem niet [ @alt nodig noodig ] hadden ; zij voor het openbaar onderwijs hem niet gebruiken konden ; zijn nederlandsch accent , bij het latijnspreken , een hinderpaal was . ( 18 ) Niet in het spreken lag [ @alt ~zijn~zijne zijne ] grootste kracht , maar in het schrijven .
34-4|Hij was in de wieg gelegd voor leermeester van Noord-Europa met de pen .
35-1|Maar in [ @alt ~zijn~zijne zijne ] jeugd hunkerde hij slechts naar Italië ; en voor de tweede maal is hij de wanhoop ten prooi wanneer , na een snel vervlogen uitzigt op welstand en onafhankelijkheid , de vloek der armoede hem op nieuw aan de plaats bindt .
36-1|Het heeft niet gebaat dat een bisschop van Kamerijk , verlegen om een bekwaam jong sekretaris , daarover naar Utrecht schreef en op aanbeveling van [ @alt ~de~den den ] prior van Emmaüs onzen veelbelovenden augustijner in dienst nam .
36-2|Het doel waarvoor die prelaat hem wilde gebruiken werd gemist , en het [ @alt enige eenige ] wat de ex-sekretaris bij zijn wisselen van loopbaan gewonnen had was , dat hij zich naar Parijs had kunnen verplaatsen .
37-1|[ @alt ~Zijn~Zijne Zijne ] studiën kon hij daar voortzetten ja , en door het geven van privaatlessen aan een rijken engelschen knaap of jongeling , lord Mountjoy , er in zijn onderhoud voorzien .
37-2|Verdiende hij [ @alt ene eene ] kleinigheid extra , door voor boekverkoopers te werken , dan kon hij zich een uitstapje naar Zeeland , naar Engeland veroorloven , en oude kennismakingen gaan vernieuwen of nieuwe [ @alt aanknopen aanknoopen ] .
37-3|Doch wat gaf dit voor de bevordering der [ @alt grote groote ] zaak , wanneer hij naging dat hij de volle dertig reeds achter [ @alt ~de~den den ] rug had , en hij van [ @alt de den ] [ @alt ene eenen ] dag op [ @alt ~de~den den ] ander nog altijd voor zijn brood moest vechten ?
38-1|Bovendien was Parijs het einddoel zijner [ @alt wensen wenschen ] niet .
38-2|Parijs had opgehouden het brandpunt der beschaving van [ @alt ~de~den den ] dag te zijn .
38-3|Het vrijzinnig Collège de France bestond nog niet .
38-4|Officieel had aan de Sorbonne de middeneeuwsche scolastiek nog het hoogste woord .
38-5|Parijs werd tijdelijk overschaduwd door Rome .
38-6|Wie op dat [ @alt ogenblik oogenblik ] naar kennis uit de eerste hand haakte , had zich naar Italië te begeven .
38-7|Alleen een in Italië gehaalde doktorale hoed stempelde toen [ @alt ~de~den den ] man van studie tot iets meer dan de meesten .
39-1|Wij raken hier aan een [ @alt maatschappelijke maatschappelijken ] misstand der 16de eeuw , welke eerst driehonderd jaren later , in sommige [ @alt grote groote ] landen of [ @alt grote groote ] steden van Europa , weggenomen is .
39-2|Walter Scott kon , ofschoon hij aanvankelijk slechts door [ @alt Engelsen Engelschen ] gelezen werd , een fortuin bijeenverzamelen .
39-3|Erasmus heeft , in weerwil dat zijn latijn hem [ @alt ~de~den den ] toegang tot de beschaafde en welvarende kringen van een geheel werelddeel ontsloot , het nooit verder kunnen brengen dan het vinden van een uitgever .
40-1|Het [ @alt enige eenige ] wat wij zeggen kunnen is dat het in de 15de eeuw nog erger was .
40-2|De voortreffelijke Froissart , die als dolend ridder van de pen [ @alt enigszins eenigszins ] als een [ @alt voorloper voorlooper ] van Erasmus beschouwd kan worden ; Froissart , óók van afkomst een burgerjongen , óók opgeleid voor priester , óók als partikulier sekretaris [ @alt ~zijn~zijne zijne ] loopbaan aangevangen , heeft geen andere keus gehad dan òf zijn talent te begraven , òf een tafelschuimer te worden . ( 19 ) Er was voor zulke geboren auteurs , in onmin met de kloostercel , niet geschikt voor de routine van het openbaar onderwijs , in de middeneeuwsche zamenleving geen plaats .
40-3|Al de dichters van [ @alt ~die~dien dien ] tijd , wanneer zij alleen dichters zijn , zijn schooijers .
40-4|Al de prozaschrijvers , wier [ @alt enig eenig ] kapitaal in portefeuille hun proza is , lijden gebrek .
41-1|Door het vinden der boekdrukkunst is die wanverhouding allengs uitgesleten .
41-2|Doch Erasmus was jong in een tijdperk van overgang , toen er reeds zeer vele boeken gedrukt werden , maar nog in lang niet genoeg om , behalve het dekken van de kosten der uitgaaf , ook in het levensonderhoud van [ @alt ~de~den den ] schrijver te voorzien .
41-3|Onbemiddelde auteurs verbonden zich als korrektoren aan de drukkerijen en ontvingen daggelden .
41-4|Van honorarium voor werken van eigen geest was geen spraak .
41-5|Het gold zelfs niet voor eervol , geld aan te nemen van een uitgever . ( 20 ) De onbemiddelde zocht het vermogend patronaat van een man of [ @alt ene eene ] vrouw van de wereld .
42-1|Froissart , die niet studeerde ; die met geen ander doel dan het verzamelen van historische anekdoten uit [ @alt ~de~den den ] mond van [ @alt tijdgenoten tijdgenooten ] nu het [ @alt ene eene ] dan het andere land bezocht ; die met voorbeeldige vlijt er zich toe bepaalde [ @alt ~zijn~zijne zijne ] reeds voltooide verhalen om- en nogmaals om te werken , - had genoeg , heden aan de gunst [ @alt ener eener ] henegouwsche prinses , koningin van Engeland geworden , morgen aan de edelmoedigheid van een half henegouwschen graaf van Blois .
42-2|Hij kon zijn werk verrigten [ @alt zo zoo ] maar zijn bed en zijn [ @alt dis disch ] gespreid waren , en de beschermers niet onbescheiden veel offers van [ @alt ~zijn~zijne zijne ] vrijheid vergden .
43-1|Erasmus in [ @alt genen geenen ] [ @alt dele deele ] .
43-2|Deze had voor [ @alt ~zijn~zijne zijne ] studiën onophoudelijk nieuwe hulpmiddelen [ @alt nodig noodig ] ; moest op verschillende plaatsen bibliotheken gaan raadplegen , of gaan spreken met geleerde mannen ; kon er niet komen zonder het minimum [ @alt ener eener ] eigen boekerij of het diminutief [ @alt ener eener ] eigen studeerkamer .
44-1|Niet dat hij van het leven of van zijn vak [ @alt zoveel zooveel ] [ @alt eiste eischte ] als vijftig jaren te voren [ @alt ~de~den den ] italiaanschen filoloog Filelfo in [ @alt ~de~den den ] schoot gevallen was .
44-2|Op zijn achttiende jaar was Filelfo hoogleeraar in het grieksch te Padua geweest .
44-3|Venetië had hem het eereburgerschap aangeboden , en daarbij [ @alt ene eene ] zending naar Konstantinopel , waar hij [ @alt ~zijn~zijne zijne ] grieksche studiën naar hartelust kon uitbreiden .
44-4|Een hertog van Milaan had hem overvloedig begiftigd ; een paus door schitterende aanbiedingen hem naar Rome gelokt . ( 21 )
45-1|Maar al vlamde Erasmus ' eerzucht niet op zulke wijdluftige onderscheidingen ; al zou de herinnering van Filelfo's beklagelijk uiteinde , het gerucht van Filelfo's ondragelijk humeur , hem eer waarschuwend afgeschrikt dan aangemoedigd hebben , hij kende [ @alt ~zijn~zijne zijne ] behoeften .
