1-1|( Inhoud )
41-3|In tegenstelling met hem waren zij drie zoons zwart , net als hun moeder .
42-1|" [ @alt Zo Zoo ] , [ @alt zo zoo ] , " sprak mijnheer , terwijl hij een stapel schoolschriften op een tafeltje legde , " en wat zijn dat voor staatsgeheimen , die jullie best aan moeder kunt vertellen ?
42-2|En dan mag ik ze zeker ook wel [ @alt horen hooren ] ? "
43-1|De gebroeders keken elkander eens aan en toen zei Hans :
44-1|" We gaan oorlog voeren ! " (
45-1|9 )
46-1|Flip en Rob knikten .
46-2|Vader en moeder keken elkaar aan .
47-1|" Oorlogvoeren ? " vroeg Vader verwonderd .
47-2|" Wat moet dat [ @alt betekenen beteekenen ] ? "
48-1|" Wel , " verklaarde Hans , " het is maar een spel .
48-2|Onze vrinden van de [ @alt Baarnse Baarnsche ] school komen vanmiddag door het Overbosch naar " Sparrenheide " om onze school te bestormen en in te nemen .
48-3|En nu moeten we er vlug bij zijn om ze op een afstand te houden . "
49-1|De heer en mevrouw Bergwoude lachten .
50-1|" Komaan , " sprak de eerste , " dus vanmiddag wordt mijn school formeel bestormd ?
50-2|Wel wel , ik denk , dat ik maar naar Amersfoort zal [ @alt telegraferen telegrafeeren ] om een detachement soldaten en huzaren .
50-3|En hoe laat zal dat gebeuren ? "
51-1|" Ja , dat weten we juist niet , vader , " zei Hans .
52-1|" Dat zeggen ze natuurlijk niet , " sprak Flip .
53-1|" Neen , dat zeggen ze niet , " herhaalde Rob [ @alt wijsgerig wijsgeerig ] .
54-1|" Ik hoop niet , dat de andere jongens van onze school zich teveel bij dat spel zullen opwinden , " zei mijnheer Bergwoude , " want dan is er vanavond geen huis met hen te houden .
54-2|Zij zitten nu rustig hun twaalf-uurtje te gebruiken in de eetzaal . "
55-1|" Ja , wat 'n wonder , " zei Flip leuk .
55-2|" Die weten er nog niets van . "
56-1|" Doen ze dan niet mee ? " vroeg vader .
57-1|" O jawel , maar we zeggen het straks pas , als we naar 't [ @alt bos bosch ] gaan .
57-2|Want [ @alt zo zoo ] gaat het bij het [ @alt grote groote ] leger ook , " zei Hans .
57-3|" De soldaten weten nooit van te voren wat er gebeuren zal . " (
58-1|10 )
59-1|" Maar hoe zit het plan dan in elkaar ? "
60-1|" Niet zeggen , " zei Flip .
61-1|" Dat is een geheim , Vader , een geheim , " sprak Hans .
62-1|" Een geheim , ja , een geheim , " herhaalde Rob weer .
63-1|En hoe Vader en Moeder ook probeerden , meer van dat geheim te weten te komen , de drie gebroeders lieten niets los , [ @alt zodat zoodat ] de ouders zich tevreden moesten stellen met de [ @alt mededeling mededeeling ] , dat het schoolgebouw [ @alt ~die~dien dien ] middag door [ @alt ~de~den den ] vijand bestormd zou worden .
64-1|En toch , zij gaven maar toe en maakten geen bezwaren tegen het [ @alt vrolijke vroolijke ] spel der jongens .
64-2|Die wisten ook telkens wat nieuws te verzinnen en speelden in de [ @alt bossen bosschen ] , alsof die hun eigendom waren inplaats van Kroondomein .
64-3|Met welwillende medewerking van Vader en Moeder was de koffietafel dan ook gauwer [ @alt afgelopen afgeloopen ] dan anders en holden de jongens naar hun kamer .
65-1|Hans haalde een wandelkaart van de [ @alt bossen bosschen ] te voorschijn en spreidde die op tafel uit .
66-1|" Dit is onze stafkaart , " zei hij lachend .
66-2|" Ik ben de generaal , Flip en Albert de [ @alt Hoge Hooge ] zijn mijn officieren . "
67-1|" En ik dan ? "
68-1|" Jij bent niet oud genoeg voor officier , maar ik heb toch een mooi baantje voor je .
68-2|Omdat jij [ @alt zo zoo ] goed met alle hoekjes en gaatjes van de [ @alt bossen bosschen ] bekend bent , wordt jij mijn verkenner . "
69-1|" Dat is best , " vond Rob .
70-1|" Kijk eens hier , " zei Hans , die als een veldheer zijn plan ging uitleggen .
70-2|" Ik heb met Bram Verhallen uit Baarn afgesproken , dat hij om twee uur met zijn troep (
71-1|11 ) het dorp uittrekt bij de Pekinglaan , die je hier op de kaart ziet .
71-2|Zij gaan dan door het [ @alt sparrenbos sparrenbosch ] onder de tunneltjes van de spoorbanen door het [ @alt Baarnse Baarnsche ] [ @alt bos bosch ] in .
71-3|Zie je wel , " vervolgde hij en wees met zijn vinger de wegen aan op de groene kaart , " dan gaan ze hier door de Borlaan langs de [ @alt Grote Groote ] Kom naar [ @alt ~de~den den ] Eemnesser Straatweg .
71-4|Daar steken ze schuin over naar [ @alt ~de~den den ] weg langs het Boterbergje .
71-5|En vandaar komen ze door het Overbosch op onze school aan .
71-6|Nou weet ik natuurlijk niet , [ @alt welke welken ] weg ze nemen , want dat heeft Bram mij niet verteld . "
72-1|" Moeten wij alleen de school verdedigen ? " vroeg Flip .
72-2|" Ik schiet ze met mijn houten sabel een partij bruine [ @alt bonen boonen ] in hun neusgaten en slinger ze terug , dat ze van hier naar Baarn rollen . "
73-1|" Hou nou op met je onzin ! " zei Hans ongeduldig , " we kunnen onzen tijd wel beter gebruiken .
73-2|Ja , we moeten alleen de school verdedigen , maar we laten ze niet dadelijk [ @alt zo zoo ] dichtbij komen .
73-3|Hier op de kaart ligt onze school .
73-4|Wij hebben twintig jongens .
73-5|Vijf moeten bij de school blijven om die te bewaken .
73-6|Daar nemen we natuurlijk niet de grootsten voor .
73-7|Vijftien gaan er met mij mee .
73-8|Ik weet een mooie plek om Bram en zijn troep tegen te houden . "
74-1|" Het is nu half één , " zei Rob .
74-2|" Ik denk , dat ik mijn botaniseertrommel meeneem . "
75-1|" Ben je vierkant gebakken ? " vroeg Flip , " er is van middag niets te botaniseeren , botaniseer jij Bram Verhallen maar op zijn gezicht ! "
76-1|" Neen , niets meenemen dan een paar goeie [ @alt ogen oogen ] en een hoop slimheid , " zei Hans . (
77-1|12 )
78-1|Flip ging opeens ijverig in de lade van de tafel zoeken .
79-1|" Wat doe je , " vroeg Rob .
80-1|" Ik zoek een hoop slimmigheid , " zei Flip , " want ik ben bang dat ik er te weinig van in mijn kersepit heb . "
81-1|" Als jij vanmiddag in 't [ @alt bos bosch ] [ @alt zo zoo ] loopt te kletsen als je nou doet , " zei Hans , " dan stuur je alles in de war .
81-2|En hoor eens : De school is een fort , dat door Europeanen wordt bewoond .
81-3|Bram en zijn jongens zijn een wilde Indianenstam , de Mohikanen en Bram is Arendsoog , hun opperhoofd . "
82-1|" Dan wil ik Soepoog zijn , " zei Flip .
83-1|" Een blauw oog kan je dadelijk wel van me krijgen , " bromde Hans , die één en al ernst en vuur was .
83-2|" Met jouw flauwiteiten schieten we [ @alt helemaal heelemaal ] niet op .
83-3|[ @alt Ziezo Ziezoo ] , en nou gaan we de anderen waarschuwen . "
84-1|De drie broers begaven zich naar de kamers der kostjongens om hen van de zaak op de hoogte te stellen .
85-1|Natuurlijk wilden ze allemaal graag meedoen , maar Hans koos de flinkste jongens uit om mee te gaan , de overigen konden de school bewaken .
86-1|" Ik zou ook wel Indiaan willen zijn , " mompelde Flip bij [ @alt zichzelf zichzelven ] .
86-2|" Akibakki kikkerbokki , de taal ken ik al !
86-3|Ha , gij driedubbele gepofte honden van bleekgezichten , ik , de dappere Soepoog , zal u met mijn tomohawk tot gruttenpap met rozijnen en groene zeep hakken .
86-4|Wee u , gij grutteneuzen ! " (
87-1|13 )
88-1|( Inhoud )
89-1|Tweede Hoofdstuk .
90-1|Indianen en Bleekgezichten .
91-1|Op het Brinkplein bij de [ @alt Baarnse Baarnsche ] kerk verzamelde Bram Verhallen zijn mannetjes .
91-2|Bram Verhallen was van [ @alt dezelfde denzelfden ] leeftijd als Hans Bergwoude , even sterk , even slim , even stevig gebouwd .
91-3|Alleen was hij lichtblond en had zachte , bijna droomerige [ @alt ogen oogen ] .
91-4|Hij was een lobbes van een jongen , maar liet zich toch niet de kaas van het brood eten .
91-5|Hans Bergwoude was een zijner beste vrienden en als zij niet [ @alt zo zoo ] ver van elkaar gewoond hadden , zouden zij veel meer bij elkaar geweest zijn .
91-6|Bram was de [ @alt enige eenige ] zoon van notaris Verhallen ; hoewel uit een deftig gezin afkomstig was hij toch vrij van alle gemaaktheid of aanstellerij .
91-7|Hij was op school een ijverig leerling , maar moest nogal blokken om bij te blijven .
91-8|Hij leefde op als hij met zijn kameraden kon ravotten .
92-1|[ @alt Intussen Intusschen ] kwamen meer en meer jongens opdagen en allen waren zenuwachtig van ongeduld om het heerlijke spel te beginnen .
92-2|Toen zijn strijders , ongeveer (
93-1|14 ) twintig in getal , compleet waren , stelde Bram zich aan het hoofd ervan en marcheerde naar de Torenlaan , waar hij rechtsaf sloeg , het [ @alt Sparrenbos Sparrenbosch ] in .
93-2|Daar hield hij even halt , liet de jongens in een kring om hem heen staan en ging het spel uitleggen .
94-1|" Jullie weet al [ @alt zo'n zoo'n ] beetje , " vertelde hij , " wat we gaan doen , maar het fijne van de zaak zal je nu pas [ @alt horen hooren ] .
94-2|Wij zijn Indianen van [ @alt ~de~den den ] stam der Mohikanen . "
95-1|" Hoera , hoera , Indianen ! " schreeuwde er al een paar .
96-1|" Stil toch ! " vermaande Toon Sprits , een [ @alt grote groote ] jongen en een der klassegenooten Van Bram .
96-2|" Mooie Indianenmanieren om in het [ @alt bos bosch ] [ @alt zo zoo ] te schreeuwen ! "
97-1|" Ja , " zei Bram , " als je [ @alt zoveel zooveel ] spektakel maakt , dan [ @alt horen hooren ] de " Sparheiders " al direct , waar we zitten .
97-2|Dus jongens , houdt je doodstil .
97-3|Jullie hebben allemaal genoeg Indianenboeken gelezen en daarom weet je ook best , hoe Indianen in hun [ @alt bossen bosschen ] doen .
97-4|Ik ben Arendsoog , en jullie kiezen maar een naam voor jezelf uit . "
98-1|" Tijgerklauw heet ik ! " zei de een .
99-1|" Witte Buffel ! " riep een tweede .
100-1|" Vuurstraal ! "
101-1|" Edelhart ! "
102-1|" Apestaart !
102-2|Oliebol !
102-3|Kokosvet ! "
102-4|'t Werd weer een geschreeuw door elkaar van je welste .
102-5|Op die manier kwam er van de [ @alt hele heele ] onderneming niets terecht .
103-1|" Stilte ! " commandeerde Bram .
103-2|" Wie niet gehoorzaamt en weer schreeuwt of leven maakt , kan naar huis gaan . " (
104-1|15 )
105-1|Dat hielp .
105-2|Bram was wel een goeie jongen , maar als hij boos werd , begonnen zijn gespierde armen een woordje mee te spreken en daar hadden de jongens respect voor !
105-3|Het werd dus stil en Bram vervolgde :
106-1|" Ik ben Arendsoog en jullie opperhoofd .
106-2|Toon Sprits en Jan v.d. Zee zijn mijn verspieders .
106-3|De school van Bergwoude in het Overbosch is een fort , waar blanken wonen .
106-4|Dat fort wordt door ons bestormd .
106-5|Maar het wordt verdedigd door de Sparheiders , dat zijn Hans Bergwoude met zijn broers en de kostjongens .
106-6|Zij weten , dat wij uit de richting van het Boterbergje komen .
107-1|" Alle Sparheiders hebben een [ @alt witte witten ] band om [ @alt ~de~den den ] arm , en voor ons heb ik [ @alt rode roode ] banden meegebracht .
107-2|Hier zijn ze .
107-3|Bind ze om [ @alt ~de~den den ] rechterarm ! "
108-1|Dat was gauw gebeurd en daarop deelde Bram zijn troep in .
109-1|Voorop ging de spits , Jan v.d. Zee met twee jongens .
109-2|Jan midden op [ @alt ~de~den den ] weg , de twee jongens achter de [ @alt bomen boomen ] , daarachter een voortroepje van drie man op [ @alt ~de~den den ] weg , vervolgens een troep van tien man en vijftig meters daarachter een achterhoede als dekking van vier jongens .
110-1|Elk gedeelte moest zorgen met de anderen in verbinding te blijven .
110-2|En verder deelde Bram zijn strijders alles mede , wat ze voor [ @alt ~dezen~deze dezen ] middag te weten hadden .
111-1|Had de blijdschap bij het vernemen van dit prettige spel de jongens [ @alt enige eenige ] [ @alt ogenblikken oogenblikken ] luidruchtig gemaakt , nu begrepen ze , dat ze doodstil moesten zijn .
111-2|Zij speelden elke week in de [ @alt bossen bosschen ] en kenden er evengoed [ @alt ~de~den den ] weg als in hun eigen huis .
112-1|Nadat Bram zijn troep had opgesteld , ging het in de (
113-1|16 ) genoemde volgorde voorwaarts , de [ @alt bossen bosschen ] in .
114-1|Hans Bergwoude , de generaal der Sparheiders , die het fort der blanken te verdedigen had , zat [ @alt intussen intusschen ] ook niet stil .
114-2|Vijf verdedigers had hij in een [ @alt wijde wijden ] kring om het schoolgebouw doen postvatten en met vijftien man trok hij de aanvallers tegemoet .
114-3|Dat wil zeggen , hij verdeelde ze eerst in drie partijen .
114-4|Vijf jongens onder aanvoering van zijn broer Flip trokken door de Sophialaan [ @alt ~de~den den ] vijand tegen , vijf onder commando van Albert de [ @alt Hoge Hooge ] door de Hooilaan en vijf onder hemzelven door de Koninginnelaan , dus in het midden van de beide andere troepen .
114-5|Elke troep moest één der jongens [ @alt tussen tusschen ] de [ @alt bomen boomen ] laten [ @alt lopen loopen ] , om berichten of [ @alt tekens teekens ] van links of rechts over te brengen .
114-6|Aan het eind van elke laan zouden de troepen halt houden en daar [ @alt ~de~den den ] toegang voor [ @alt ~de~den den ] vijand afsluiten .
114-7|Er waren nog wel meer wegen , die naar Sparrenheide leidden , maar die vormden zulke [ @alt grote groote ] omwegen , dat er voor de tegenpartij te veel tijd zou verloren gaan om die te volgen . (
115-1|17 )
116-1|Hans wist dit ook wel , daarom had hij de voornaamste wegen naar Sparrenheide bezet .
117-1|Het was stil in 't [ @alt bos bosch ] .
118-1|Wandelaars waren er bijna niet te zien , die kwamen zelden [ @alt zo zoo ] vér en bleven meestal in de nabijheid van het dorp .
118-2|De zon scheen [ @alt vrolijk vroolijk ] op [ @alt ~dezen~deze dezen ] [ @alt ~mooie~mooien mooien ] Julidag en in het [ @alt bos bosch ] was het heerlijk zoel onder de [ @alt bomen boomen ] .
118-3|In de toppen van de beuken en linden zongen merels en lijsters , ginds sprongen een paar eekhoorntjes [ @alt tussen tusschen ] de sparretakken , maar overigens was het doodstil .
118-4|[ @alt Schoner Schooner ] plekjes dan waar de jongens zich door het [ @alt bos bosch ] bewogen kan men zich moeilijk voorstellen .
118-5|Naar alle kanten slingerden zich de grijs bruine paden en verdwenen dan in het duizendtintige boschgroen .
118-6|Het lichte bladgroen der linden prijkte naast de bruine beuken , donkere sparren en dennen [ @alt daartussen daartusschen ] en opeens weer een groep zachtgroene eiken , 't was voortdurend weer 'n andere tint van boomenloof .
118-7|Soms weken de [ @alt bomen boomen ] vaneen en omringden een open plek , waar dan 'n vijver gevormd was .
118-8|Een vijver van helder water , waarin je salamandertjes en slangen zag en mooie waterinsecten .
118-9|De bodem was er bedekt met [ @alt miljoenen millioenen ] bladeren , die voor de vijverbewoners prachtige nesten vormden .
119-1|Ook de jongens genoten thans wel van die heerlijke boschpracht , maar voor 't [ @alt ogenblik oogenblik ] waren ze toch meer vervuld van het spel van [ @alt ~dezen~deze dezen ] middag .
120-1|Zonder [ @alt onnodig onnoodig ] [ @alt geruis geruisch ] te maken gingen de drie troepen voorwaarts door de lanen .
120-2|Generaal Hans begreep , dat hij niet tegenover gewone soldaten stond , maar met Indianen te doen had , die op èchte Indianenmanier (
121-1|18 ) plotseling van achter [ @alt bomen boomen ] en struiken te voorschijn konden komen .
121-2|Daarom had hij ook [ @alt ~de~den den ] voorzorgsmaatregel genomen , [ @alt ~enigen~enige eenigen ] van zijn mannetjes niet op de paden , maar [ @alt tussen tusschen ] de [ @alt bomen boomen ] door te laten [ @alt lopen loopen ] .
122-1|Eindelijk hadden de drie troepen het eindpunt van de genoemde lanen bereikt en stelden zich daar verdekt op , dat wil zeggen , zij verscholen zich [ @alt tussen tusschen ] het kreupelhout en zetten een schildwacht achter een boom op [ @alt ~de~den den ] uitkijk .
122-2|Elke troep moest op zijn plaats blijven en daar [ @alt voorlopig voorloopig ] bivak houden .
123-1|Generaal Hans wou nu wel eens weten , hoe het met [ @alt ~de~den den ] vijand gesteld was en daarom riep hij zijn verkenner Rob bij zich .
124-1|" Hoor eens , Rob , " sprak hij , " jij moet eens het [ @alt bos bosch ] verder ingaan naar [ @alt ~de~den den ] kant van het Boterbergje en zien , of er iets van de Indianen te merken is .
124-2|Maar kijk goed uit je doppen , hoor , en bemoei je nou eens niet met allerlei slakken en kevers en aardvlooien en weet ik veel wat voor ongedierte meer !
124-3|Denk er aan , dat [ @alt zo'n zoo'n ] Indiaan op je loert en voor je 't weet ben je gebrajen .
124-4|En zorg dat je [ @alt zowat zoowat ] over een half uur terug bent .
124-5|Kan je roepen als een kraai ? "
125-1|" Beter dan jij . "
126-1|" Dat zit nog .
126-2|Als er wat aan de hand is , laat je een kraaienschreeuw [ @alt horen hooren ] .
126-3|Dan komen we .
126-4|[ @alt Zo Zoo ] , ga nou maar . "
127-1|Rob ging het [ @alt bos bosch ] in en was weldra [ @alt tussen tusschen ] het geboomte verdwenen .
128-1|Hans ging van [ @alt de den ] [ @alt ene eenen ] troep naar [ @alt ~de~den den ] anderen langs de verbindingslaan .
128-2|Hij lette er op , dat de schildwachten (
129-1|19 ) op hun post waren .
129-2|Maar hij had al gauw gezien , dat die ijverig hun plicht deden , omdat ze veel te bang waren , onverhoeds door de Indianen overvallen te worden .
129-3|Hij besloot daarom kalm de lanen bezet te houden en alvorens verder te gaan , de terugkomst van Rob af te wachten en te [ @alt horen hooren ] , wat die van de tegenpartij gezien had .
130-1|De Indianentroep was voorzichtig voortgegaan door het [ @alt bos bosch ] .
130-2|Jan v.d. Zee , die aan de spits ging , met een makker aan [ @alt iedere iederen ] kant [ @alt tussen tusschen ] de [ @alt bomen boomen ] , meende op [ @alt ~de~den den ] viersprong van de Boslaan voorbij de [ @alt Grote Groote ] Kom onraad te bespeuren .
130-3|Hij wenkte zijn nevenmannen en stak [ @alt ~de~den den ] arm omhoog wat door de achter hem aankomenden gezien werd .
130-4|Die gaven het [ @alt teken teeken ] door en opeens hielden alle Indianen halt en wierpen zich plat op [ @alt ~de~den den ] grond , [ @alt zoveel zooveel ] mogelijk gedekt [ @alt tussen tusschen ] de struiken .
131-1|Jan , die zich met [ @alt de den ] [ @alt geweldige geweldigen ] naam Tijgerklauw als een echt Indiaan deed kennen , zag [ @alt tussen tusschen ] het kreupelhout recht voor zich uit [ @alt enige eenige ] jongens bewegen .
131-2|Zouden de verdedigers van Sparrenheide reeds zoovèr doorgedrongen zijn ?
131-3|Was het een voorpost ?
131-4|Maar tevergeefs zocht Tijgerklauw naar [ @alt de den ] [ @alt witte witten ] band , [ @alt ~die~dien dien ] de tegenpartij om [ @alt ~de~den den ] arm moest dragen .
131-5|Ook schenen de jongens met een heel ander spel bezig te zijn .
131-6|En terwijl Tijgerklauw de vreemde gedaanten [ @alt tussen tusschen ] het geboomte bespiedde , wachtte Arendsoog , het dappere opperhoofd der Mohikanen , op een tweede [ @alt teken teeken ] .
132-1|" Zou Tijgerklauw de bleekgezichten al zien ? " fluisterde (
133-1|20 ) Arendsoog Toon Sprits in 't oor , die nu " Vuurstraal " heette .
134-1|" Vuurstraal weet het evenmin als het dappere opperhoofd , maar Arendsoog kan mijlen ver zien , hij kan naar voren gaan en zien , waarom Tijgerklauw niet verder gaat . "
135-1|" Mijn broeder spreekt verstandig .
135-2|Ik zal gaan .
135-3|Hugh ! daar geeft Tijgerklauw weer het [ @alt teken teeken ] : voorwaarts . "
136-1|Inderdaad zwaaide Tijgerklauw zijn arm naar voren , de vreemden waren geen vijanden geweest , en de Indianen slopen weer [ @alt geruisloos geruischloos ] langs de paden .
137-1|[ @alt Zo Zoo ] bereikten zij het Boterbergje .
138-1|Het Boterbergje is een heuveltje , gelegen aan een zijpad van [ @alt ~de~den den ] Eemnesser straatweg .
138-2|Het is omringd door twee rijen [ @alt bomen boomen ] , aan drie zijden daarachter strekt zich over een [ @alt grote grooten ] afstand dicht kreupelhout uit , alleen de kant van [ @alt ~de~den den ] weg was open .
138-3|Boven op het bergje stond een bultige , knoestige lindenboom .
139-1|Arendsoog legerde zijn [ @alt Indiaanse Indiaansche ] krijgers in het dichtbegroeide terrein om het Boterbergje , [ @alt zodat zoodat ] er geen tip van hun neus te zien was .
139-2|Hij zelf kroop naar boven en klom in een boom .
139-3|Maar veel kon hij niet zien , 't was alles [ @alt bos bosch ] en nog eens [ @alt bos bosch ] .
139-4|Alleen kon hij naar het Noord-oosten een klein stukje van [ @alt ~de~den den ] straatweg zien .
139-5|Hij wilde dan ook juist weer uit [ @alt ~de~den den ] boom klimmen , toen hij de struiken zag bewegen op een plaats , waar zijn Indianen niet gelegerd waren .
139-6|Arendsoog hield [ @alt ~de~den den ] adem in en hield zijn scherpen arendsblik gericht op de struiken .
140-1|In 't volgende [ @alt ogenblik oogenblik ] zag hij een arm tevoorschijn (
141-1|21 ) komen , en om [ @alt ~die~dien dien ] arm ... een witte band !
142-1|Een vijand dus !
143-1|Maar was hij wel alleen ?
143-2|Was het niet een sterke [ @alt afdeling afdeeling ] die vooruitgezonden was om Arendsoog tegen te houden ?
143-3|Neen , dat was niet waarschijnlijk , Sparrenheide lag nog op te verren afstand .
144-1|Het zou dus wel een verkenner zijn !
145-1|Maar dan zou Arendsoog ook wel zorgen , dat het bleekgezicht niet bij zijn generaal terugkeerde !
