1-1|(
11-6|Er zullen slechts een bepaald getal exemplaren voor inteekenaren verschijnen en de prijs is 500 francs .
12-1|Honderd-veertig heliogravures zullen het werk luister bijzetten , waaronder een groot aantal buiten [ @alt ~de~den den ] tekst , (
13-1|311 ) De heer Daniel Baud-Bovy , de directeur van het Museum te Genève , die [ @alt ~de~den den ] heer Boissonas op zijn reis heeft vergezeld , heeft het verhalende en beschrijvende gedeelte voor zijn rekening genomen .
13-2|Het werk wordt aangevuld met archaeologische [ @alt aantekeningen aanteekeningen ] van [ @alt ~de~den den ] heer G. Nicolle , oud-lid van de [ @alt Franse Fransche ] School voor kunst en oudheidkunde te Athene , en met een voorrede van [ @alt ~de~den den ] heer Th. Homolle , [ @alt ~de~den den ] eminenten oudheidkundige , directeur der nationale musea , oud-directeur van de school van Athene .
14-1|Het boekdeel , dat een waar kunstwerk is , richt zich [ @alt zowel zoowel ] tot de liefhebbers van zeldzame uitgaven en typografische meesterstukken als tot de eigenlijke hellenisten , de archaeologen en de vurige vereerders van Griekenland .
14-2|De heer Boissonas heeft ons een gulden boek over Hellas willen geven , alleen met de gedachte , een moment van bewondering te wijden aan de natuurlijke schoonheden , de kunstwerken en de historische herinneringen van dat gezegende land .
14-3|Ook wil hij het land beter doen kennen en begrijpen , want al ligt het vlak vóór de poorten van Europa , toch blijft het een weinig geheimzinnig voor het [ @alt grote groote ] [ @alt westerse westersche ] publiek .
15-1|Daar het nog niet druk bezocht wordt , telt Hellas zijn bewonderaars nog niet in genoegzaam [ @alt ~groten~grote grooten ] getale ; ze vormen enkel nog maar een élite van geletterden , kunstenaars en archaeologen .
15-2|En merkwaardig genoeg , al zijn er geschiedschrijvers en dichters , die zich aan Griekenland wijden , schilders heeft het weinige , ten minste onder de Westerlingen .
15-3|Als men René Ménard uitzondert , is er geen moderne landschapschilder , die zijn inspiratie in Griekenland is gaan zoeken .
15-4|Onlangs heeft Gustave Fougères , een professor aan de Sorbonne , in [ @alt ene eene ] redevoering op die bijzonderheden gewezen en ze aldus verklaard : " De schilders uit de [ @alt westerse westersche ] landen zijn te zeer gewend aan de flauwe omtrekken en het wazige licht der [ @alt westerse westersche ] landen , en ze vinden , dat er in het grieksche landschap te veel [ @alt tekening teekening ] is en niet genoeg overgang van tinten " .
16-1|Maar juist in [ @alt ~die~dien dien ] eenvoud der lijnen ligt een der grootste bekoorlijkheden van die onvergelijkelijke natuur ; en verder schuilt die in de duidelijkheid en vastheid der lijnen van het reliëf .
16-2|In de doorschijnende atmosfeer komen alle omtrekken scherp uit , en het grieksche licht doet elke bijzonderheid tot haar recht komen .
17-1|Een grieksch dorpje : Andritzéna .
18-1|" Wat bewerkt niet het grieksche licht ! " roept Maurice Barrès uit ; " het maakt iets moois van een stofzuil , die in de verte door [ @alt ~de~den den ] wind wordt opgejaagd ... . "
18-2|In het diffuse licht kleuren zich de nevels , die boven de kloven hangen , en de schaduw in de spleten [ @alt tussen tusschen ] de rotsen heeft haar eigen tint .
18-3|Het grieksche licht hangt overdag opaalkleurige dampen om de bergtoppen ; en op de hellingen van bergen en heuvels , in de diepten der dalen , verhoogt het de verscheidenheid van kleur van grond en water en gebladerte .
18-4|In het licht der ondergaande zon worden de [ @alt hoge hooge ] toppen gebaad in een parelmoeren schijn , en de [ @alt hele heele ] natuur neemt een purperen gloed aan , met goud afgewisseld en zachtbruin , als was er een regen van amethysten neergedaald .
19-1|Er komen heldere nachten voor met een sterrenhemel , die vooral in Attica , het overal licht maakt als op [ @alt ~de~den den ] dag .
19-2|En als de maan haar fantastisch schijnsel uitgiet over de hellingen der heuvels , tot in het donkerste der [ @alt bossen bosschen ] en op de zachte oppervlakte der wateren hier en daar schitterende vlekken legt , is het landschap bijna bovennatuurlijk schoon .
20-1|Op de bewonderenswaardige [ @alt fotografieën photografieën ] , die het prachtwerk [ @alt illustreren illustreeren ] , is het [ @alt ~de~den den ] heer Boissonas gelukt , iets terug te geven van die doorschijnendheid der lucht , dat kristalheldere der atmosfeer , dat typisch is voor Griekenland .
20-2|[ @alt Bovendien Buitendien ] heeft de verzameling de verdienste een bijna volledig denkbeeld te geven van de verscheidenheid en de originaliteit der grieksche landschappen .
20-3|In Griekenland heeft elke streek , elke provincie bijna haar eigen aard en haar apart aanzien .
20-4|Er is daar telkens een geheel , dat op zichzelf staat , want de natuur is in Griekenland net als de menschenstammen naar bepaalde gebieden ingedeeld .
20-5|Als de Messeniër van de hoogte zijner bergen neerziet op zijn vlakte , die in een krans van bergen is ingesloten , krijgt hij van zijn land een totaalindruk en hij overziet het in zijn geheel ; vanaf [ @alt ~de~den den ] Mistra omvat de blik van [ @alt ~de~den den ] Spartaan het [ @alt ganse gansche ] dal der Eurotas ; van de vesting Argos kan de bewoner van het landschap Argos zijn vaderstreek aanschouwen , en overal is het iets dergelijks .
21-1|Het [ @alt toneel tooneel ] , dat zich aan de blikken van [ @alt ~de~den den ] beschouwer voordoet , is nergens hetzelfde .
21-2|Maar wat wel alom te vinden is , zijn de edele lijnen en de vaste omtrekken , hoe uiteenloopend ook de [ @alt onderdelen onderdeelen ] (
22-1|312 ) zijn , hoe de aard der vormen moge verschillen en het karakter der landschappen zijn eigen stempel dragen .
23-1|Attica , dat [ @alt trots trotsch ] en majestueus is , ontrolt in eenvoud de naaktheid zijner bergen en de grijze [ @alt bekleding bekleeding ] , die de olijvenbosschen in de dalen neerleggen ; Attica heeft [ @alt ~de~den den ] adel van het Parthenon en de gratie van het Erechtheion .
23-2|Delphi , dat woest en dreigend is , vol geheimzinnigheid en vrome verschrikking te midden [ @phantom van ] [ @alt de der ] reusachtige rotsen en diepe kloven , is juist een geschikte lijst , om als kader te dienen voor de godin , die de beslissingen van het noodlot uitsprak .
24-1|Olympia en het [ @alt hele heele ] dal van de Alpheus , een oase van groen , [ @alt vrolijk vroolijk ] lachend en gracieus , is de natuurlijke omlijsting van het heilige gebied , van waar de luchthartige opgewektheid en de blijde levensmoed uitgingen .
25-1|Een grieksche dans : De Syrtos .
26-1|Arcadië , Boeotië , Thessalië , alle hebben [ @alt zo zoo ] hun eigen type .
26-2|Soms heeft hier of daar de natuur er schijnbaar behagen in geschept , al spelend de elementen ondereen te mengen , die in het geheel niet bijeen schenen te [ @alt behoren behooren ] .
26-3|In Sparta is de tegenstelling treffend en tevens verheven [ @alt tussen tusschen ] de weelderige zoetheid van het dal en [ @alt de den ] [ @alt stroeve stroeven ] ernst van [ @alt ~de~den den ] Taygetos met zijn [ @alt brede breede ] contreforten , zijn geweldige steilten , zijn toppen met eeuwige sneeuw en zijn als door [ @alt ~de~den den ] bliksem uitgebeten rotsen .
27-1|Dezelfde [ @alt grootse grootsche ] verschillen aan de kusten der zee , die de grilligste hoeken en bochten heeft uitgeslepen en in dwaze uitgelatenheid er haar baaien en golven en inhammen [ @alt tovert toovert ] .
28-1|En [ @alt tussen tusschen ] de eilanden [ @alt heerst heerscht ] dezelfde verbijsterende verscheidenheid .
28-2|Hydra en Spetzae zijn dor en kaal , als uitgedroogd door de zon ; Euboea heeft alpine schoonheid aan te wijzen ; het vulkanische Thyra heeft danteske gedeelten ; Corfoe is een paradijs van groen ; Naxos , de koningin der Cycladen , ligt op het water als een bloem , die zich voor [ @alt de den ] [ @alt wijde wijden ] hemel opent , en weer andere eilanden , alle uiteenloopend van karakter en aanzien , zijn alle zusters door de zuiverheid van [ @alt tekening teekening ] en [ @alt ~die~dien dien ] rijkdom en die veelzijdigheid van vormen , die Flaubert [ @alt zo zoo ] artistiek deed zeggen , dat tot de vorm der bergen er als gebeeldhouwd is en meer dan ergens elders architecturale lijnen vertoont .
29-1|Colofon
30-1|Beschikbaarheid
31-1|Dit eBoek is voor kosteloos gebruik door iedereen overal , met vrijwel geen beperkingen van welke soort dan ook .
31-2|U mag het kopiëren , weggeven of hergebruiken onder de voorwaarden van de Project Gutenberg Licentie bij dit eBoek of on-line op www.gutenberg.org .
32-1|Dit eBoek is geproduceerd door het on-line gedistribueerd correctie team op www.pgdp.net .
33-1|This eBook is for the use of anyone anywhere at no cost and with almost no restrictions whatsoever .
33-2|You may copy it , give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org .
34-1|This eBook is produced [ @alt bij by ] the Online Distributed Proofreading Team at www.pgdp.net .
35-1|Codering
36-1|Dit bestand is in een verouderde spelling .
36-2|Er is geen poging gedaan de tekst te moderniseren .
36-3|Afgebroken woorden aan het einde van de regel zijn stilzwijgend hersteld .
36-4|Kennelijke zetfouten in het origineel zijn gecorrigeerd .
36-5|Dergelijke correcties zijn gemarkeerd met het corr-element .
37-1|Hoewel in het origineel laag liggende aanhalingstekens openen gebruikt , zijn deze in dit bestand gecodeerd met " .
37-2|Geneste dubbele aanhalingstekens zijn stilzwijgend veranderd in enkele aanhalingstekens .
38-1|Documentgeschiedenis
39-1|2009-02-14 Begonnen .
40-1|Externe Referenties
41-1|Dit Project Gutenberg eBoek bevat externe referenties .
41-2|Het kan zijn dat deze links voor u niet werken .
42-1|Verbeteringen
43-1|De volgende verbeteringen zijn aangebracht in de tekst :
44-1|Bladzijde Bron Verbetering
45-1|312 veelzijdigdeid veelzijdigheid
