1-1|INDISCHE MENSCHEN IN HOLLAND .
13-4|Twee jaren hadden ze geleefd van hun verlofstraktement en ingeteerd van hun Indischen spaarpot ; toen was de tijd gekomen , dat hij gepensionneerd werd , en nu was van de laatste dubbeltjes , die zij in Indië [ @alt zo zoo ] zuinig hadden bijeengebracht , nog maar een kleine som over ; zij zagen [ @alt ~de~den den ] dag naderen , dat zij [ @alt ~de~den den ] bodem zouden zien van hun trommeltje ; mevrouw Roos had het kunnen uitrekenen op haar vingers , maar dat wilde ze niet , en de kapitein deed het evenmin .
13-5|Zij vonden het [ @alt zó zóó ] onaangenaam , dat ze er zelfs niet samen over spraken .
13-6|'t Meubilair hunner woning was even troosteloos als de straat ; het zag er kaal en slordig uit ; bij de kachel , die reeds brandde , waardoor het benauwd warm was in de huishoudkamer , zat mevrouw Roos gewikkeld in een rood en zwart geruite wollen sjaal , met de armen kouwelijk over elkaar en toch half stikkend uit gebrek aan [ @alt verse versche ] lucht .
14-1|( 3 )
15-1|" Nu , bonjour , " zei de kapitein .
15-2|" Tot straks .
15-3|Dag jongens ! "
16-1|Zij bromde iets , dat een groet moest beduiden ; de kinderen , die voor het venster zaten , keerden even met een : " Dag pa ! " de donkere hoofdjes om , en drukten toen weer dadelijk hun reeds platte Indische neusjes totaal plat tegen de ruiten , waarover zij ademden , om daarna , als de wasem op het glas neersloeg , er met hun kleine koude vingers groteske soldaatjes op te [ @alt tekenen teekenen ] .
16-2|Zij waren nog niet [ @alt gewassen gewasschen ] ; ze kregen genoeg te eten , maar ze werden toch slecht verzorgd , geheel overgelaten als ze waren aan een dienstmeisje , dat , steeds in een vieze jurk gekleed en met meer gekapte dan gekamde haren , [ @alt zowat zoowat ] [ @alt ~de~den den ] baas speelde in huis , en niet meer of minder deed , dan ze [ @alt zelf zelve ] verkoos .
17-1|Van een knappe Indische huismoeder , was mevrouw Roos een [ @alt Hollandse Hollandsche ] huismoeder geworden van treurig allooi .
17-2|Zij had als 't ware een heimwee naar Indië .
17-3|Terwijl ze [ @alt zo zoo ] huiverend bij de kachel zat en met een onaangenaam koortsig gevoel de grauwe zandwolken zag opstuiven in 't grauwe najaarslicht , dacht ze aan niets dan aan Indië ; aan [ @alt ~de~den den ] warmen , gouden zonneschijn , aan [ @alt ~de~den den ] rijken , diepgroenen plantengroei , aan haar gezellige achtergalerij .
17-4|God , God ! als ze naging , dat ze dat nimmer zou terugzien , dan wilde ze maar liever spoedig sterven !
18-1|Op straat zette hij er , [ @alt zoals zooals ] hij 't noemde , [ @alt ~de~den den ] pas in .
18-2|'t Hoofd meer dan rechtop , een gewoonte gebleven uit [ @alt ~de~den den ] tijd der stropdassen , en met [ @alt ~de~den den ] stok zwaaiend stapte hij naar [ @alt ~de~den den ] " Dierentuin " ; daar kwamen 's morgens [ @alt enige eenige ] oud-gasten van zijn " kaliber " bijeen en dan maakten ze een partijtje .
18-3|Er kwam niemand anders .
18-4|Geen Hagenaar , lid van
19-1|( 4 ) [ @alt ~de~den den ] Tuin , zou het ooit in 't hoofd krijgen in dit vergevorderd seizoen en op zulk een uur van [ @alt ~de~den den ] dag in 't lokaal van [ @alt ~die~dien dien ] Tuin te gaan zitten .
19-2|Maar dat maakte het nu juist voor hen [ @alt zo zoo ] aantrekkelijk .
19-3|'t Was fatsoenlijk , en ze konden er hun bittertjes drinken als in Indië " voor de rijsttafel " , zonder dat iemand hen aanzag voor dronkaards , omdat ze reeds in [ @alt ~de~den den ] ochtend sterken drank gebruikten .
19-4|Hij wist wel , dat hij met zijn groot gezin en zijn pensioen die leefwijze op [ @alt ~de~den den ] duur niet zou kunnen volhouden , maar daaraan wilde hij voorshands niet denken .
19-5|Kwamen die tijden , dan kwamen die plagen ; als het [ @alt zó zóó ] ver was , dacht hij , dan zou hij wel eens omzien naar een baantje , dat hij er gemakkelijk bij - wáárbij wist hij eigenlijk niet , maar hij bedoelde zijn pensioen - kon waarnemen .
19-6|En [ @alt zo zoo ] ging hij ook nu welgemoed naar [ @alt ~de~den den ] Tuin ; de wind was koud , en hij droeg nog maar een dichtgeknoopte zwarte jas , maar dat hinderde hem niet , want , placht hij te zeggen , stoffend op zijn krachtige persoonlijkheid , " [ @alt zo'n zoo'n ] ouwe soldatenransel " moest overal tegen kunnen .
19-7|Hij vond het [ @alt zo zoo ] kwaad niet , dat leven in Holland , en hij had het [ @alt pleziering pleizierig ] gevonden als 't zijn vrouw ook was bevallen .
19-8|Zij was erg veranderd , en dat hinderde hem ; zij was niet meer voor hem , wat ze [ @alt zoveel zooveel ] jaren geweest was , en al werd hij nu een dagje ouder , - het verdroot hem toch .
19-9|Welzeker , hij had ingezien dat het heel iets anders is kapitein te zijn bij het Indisch leger in actieven dienst in Indië dan in Holland gepensionneerd kapitein van hetzelfde leger te [ @alt heten heeten ] .
19-10|Dan , [ @alt zo zoo ] is de wereld , dacht hij , en men moest dat nemen [ @alt zoals zooals ] het was ; zijn vrouw moest zich schikken naar de omstandigheden .
20-1|( 5 )
21-1|Keetje en Pietje , - neen , [ @alt zo zoo ] heetten ze sedert lang niet meer , de twee oudste dochters , die ondanks ze nu reeds vijftien en zestien jaren oud waren , nog in de hoogste klasse zaten van de meisjesschool voor gewoon lager onderwijs ; ze [ @alt heten heeten ] nu Corrie en Nelly , [ @alt zoals zooals ] [ @alt Haagse Haagsche ] meisjes , 't zij par droit de naissance of par droit de conquête , betaamt .
22-1|O , die konden het best stellen , als de jongens van de burger- en andere scholen het haar niet [ @alt zo zoo ] lastig maakten op [ @alt ~de~den den ] duur .
22-2|Toen ze pas op school kwamen , moesten ze in een lage klasse met veel jonger meisjes , in wier blonde , [ @alt bleke bleeke ] hoofdjes reeds meer schoolwijsheid stak dan in haar arme bruine kopjes , en die met een zeker air naar de ontwikkelde bustes keken van de " [ @alt Oosterse Oostersche ] nieuwelingen " alsof er persoonlijke schande stak in zulk een vroegtijdige [ @alt fysieke physieke ] ontwikkeling , en diezelfde [ @alt Haagse Haagsche ] meisjes vonden onder elkaar , dat Corrie en Nelly er met haar [ @alt brede breede ] neuzen en krachtig gebouwde figuren net uitzagen als bruin gebraden , [ @alt aangeklede aangekleede ] dienstmeisjes ; maar het mannelijk deel der schooljeugd dacht daar heel anders over en ontwikkelde een profusie van kalverliefde , erg hinderlijk voor de donkere zusjes , en alleen gecompenseerd door een regen van geschenken aan [ @alt potloden potlooden ] , papeteries , ulevellen en chocolaadjes .
22-3|Zij leidden met haar beiden een [ @alt vrolijk vroolijk ] leventje , zich weinig bekommerend om de rest of om de toekomst , en als ze met haar lederen schooltasschen aan de hand , en in haar strak gespannen met astrakan afgezette manteltjes van school huiswaarts keerden , met moeite ontsnapt aan de overal wachtende en loerende kus- en knijplievende jongens , en gierend
23-1|( 6 ) van pret , dan stond menig eigenaar van een perkamenten tronie stil , en zag met innig welbehagen dat tweetal donkere meisjes na , in de volheid harer vormen , met de rozen op het gezicht , een glinsterend licht in de guitige zwarte [ @alt ogen oogen ] , en twee rijen prachtige tandjes [ @alt tussen tusschen ] de lachende , kersroode lippen .
24-1|Voor haar huis drukten zij met kracht en aanhoudend op [ @alt ~de~den den ] schelknop , tot de meid boven aan het touw trok en de deur openging .
24-2|Stampend op de houten met geen loopers bedekte treden der trap , stoven zij met groot geraas , lachend en zingend naar boven ; de kleintjes juichten haar te gemoet ; bij de halve ellende van het huishouden en de [ @alt hele heele ] van haar moeder , vormden zij het rumoerig element van het [ @alt fris frisch ] ontluikende jonge leven ; het [ @alt enige eenige ] opwekkende , dat de doorgaans gedrukte stemming in de woning van kapitein Roos verlevendigde .
25-1|[ @alt ~Die~Dien Dien ] middag hadden zij vrij van school , en zij plaagden haar moeder [ @alt zolang zoolang ] tot ze er in toestemde zich te [ @alt kleden kleeden ] en te gaan wandelen .
25-2|Mevrouw Roos had er eigenlijk eerst geen lust in , maar ze deed het om de kinderen , en toen ze eenmaal in de drukke straten wandelde , stilstaand om de tien schreden en luisterend naar het gesnap der meisjes , och , toen vermaakte het haar toch [ @alt zelf zelve ] wel , al het moois te bewonderen , achter de vensters der winkels en magazijnen uitgestald .
25-3|En naar haar Indische opvatting [ @alt zo zoo ] goedkoop !
25-4|[ @alt Zó Zóó ] goedkoop , dat ze , ondanks haar geringe middelen , altijd hier of daar binnenging , en nooit thuis terugkwam zonder [ @alt enige eenige ] guldens minder in haar portemonnaie en [ @alt enige eenige ] noodelooze kleinigheden meer in haar bezit .
25-5|Maar er was ook veel , dat
26-1|( 7 ) haar hinderde op straat en haar bloed deed koken van verontwaardiging .
26-2|Hoeveel Indische dames kruiste ze niet in die volle straten , evenals zij , wandelend om te zien , maar ook , niet gelijk zij , om gezien te worden !
26-3|Zij zag er daaronder , die ze gekend had toen ze nog kinderen waren ; anderen , die haar buren waren geweest ; zij zag er , die , gezegend door de fortuin , 't zij door een huwelijk , 't zij door snelle bevordering van een vader of echtgenoot , in de gelegenheid waren zich prachtig te [ @alt kleden kleeden ] en te rijden in equipages .
26-4|En daarbij waren er , die deden of zij de eenvoudig [ @alt geklede gekleede ] vrouw van [ @alt ~de~den den ] gepensionneerden kapitein en haar dochtertjes nooit te voren hadden gezien ; anderen , die haar groetten uit de hoogte op een haast beleedigende manier met een genadig knikje .
26-5|Dan was mevrouw Roos voor een [ @alt ogenblik oogenblik ] weer de kloeke vrouw van vroeger ; ze richtte het hoofd op , glimlachte even en keek met haar [ @alt grote groote ] zwarte [ @alt ogen oogen ] [ @alt zo zoo ] [ @alt inlands inlandsch ] minachtend , dat zij , wien het gold , zich haastten voorbij te komen .
27-1|" Dag Jeanne , hoe maak jij het ? "
28-1|Verrast , haast verschrikt , wendde mevrouw Roos 't hoofd om .
29-1|" Hé , dag Julie , hoe gaat het ? "
30-1|Ze gaven elkaar de hand en ze kusten elkaar .
30-2|Nette [ @alt Haagse Haagsche ] [ @alt mensen menschen ] vonden die demonstratie op het trottoir van een der hoofdstraten hoogst onfatsoenlijk ; die Indische lui geneerden zich ook nergens voor !
30-3|En een [ @alt Haagse Haagsche ] straatjongen , blijkbaar ook in zijn fatsoen getast , riep luidkeels " pakt-em ! "
30-4|- De dames Roos en Van Stralen letten daar niet op .
30-5|Ze waren zulke goede oude vriendinnen , en ze hadden elkaar in [ @alt zo zoo ] lang niet gezien !
30-6|Toen Roos nog luitenant
31-1|( 8 ) was , diende Van Stralen reeds als oud kapitein , en van toen dagteekende de vriendschap der dames , die echter , hoe hartelijk zij zich ook liet vernieuwen , nu men elkaar weer persoonlijk zag , zich nooit in briefwisseling had voortgezet .
32-1|" En dat zijn je oudste meisjes ? " vroeg mevrouw Van Stralen , met een klein beetje afgunst in het oog de kloeke kinderen beschouwend ; zij [ @alt zelf zelve ] had er geen .
33-1|" Groot geworden , hè ? "
34-1|" Verbazend !
34-2|'t Zijn haast [ @alt hele heele ] [ @alt mensen menschen ] .
34-3|Dat is , als ik me niet bedrieg , Keetje en dat Pietje . "
35-1|Mevrouw Roos lachte om de verontwaardigde gezichten harer dochters .
36-1|" Nu ja , wij noemen haar Corrie en Nelly . "
37-1|Mevrouw Van Stralen lachte ook .
38-1|" Je hebt wel gelijk , Jeanne .
38-2|'t Klinkt veel aardiger .
38-3|En hoe bevalt het jou hier ? "
39-1|" Och [ @alt zo zoo ] !
39-2|Wat zal ik je er van zeggen ?
39-3|'t Bevalt me eigenlijk volstrekt niet . "
40-1|" Kom , " zei mevrouw Van Stralen , die ook een Indische was .
40-2|" Wij kunnen 't hier wel vinden ; maar , " ging ze voort met een blik op het eenvoudig toilet harer vriendin , " wat de duurte betreft , valt het leven hier niet mee . "
41-1|Ze praatten nog een [ @alt ogenblik oogenblik ] , [ @alt intussen intusschen ] het publiek , dat langs het trottoir wandelde , zeer in [ @alt ~de~den den ] weg staande , en het werd mevrouw Van Stralen onder het discours heel duidelijk , dat Jeanne verdriet had .
42-1|" Je moet me komen opzoeken , ja ?
42-2|Beloof je het ? "
43-1|Mevrouw Roos aarzelde .
44-1|" Je moet zeker komen , Jeanne .
44-2|Wij hebben een aardig
45-1|( 9 ) clubje als dames onder elkaar .
45-2|De [ @alt heren heeren ] [ @alt lopen loopen ] toch altijd maar naar de sociëteit !
45-3|[ @alt Heus Heusch ] , je moet komen ... . " en lachend bracht zij [ @alt ~de~den den ] mond bij het oor harer vriendin en ging fluisterend voort .
46-1|Met een uitdrukking van komieke verbazing op het gezicht , keek mevrouw Roos haar aan .
47-1|" Loh !
47-2|Wat zegje ?
47-3|Kepl ... . "
48-1|" Sst ! " viel mevrouw Van Stralen haar in de rede .
48-2|" Niet zeggen !
48-3|Het gaat maar om 'n kleinigheid , want we zijn haast allemaal gepensionneerd .
48-4|Ik wed ... . "
49-1|Snel trok zij haar kleed ter zijde voor de wielen van een prachtige coupé , die juist stilhield bij het modemagazijn , waarvoor zij stonden te praten .
50-1|Er traden twee nog jeugdige dames uit 't geopend portier , beiden prachtig gekleed : een klein , donker vrouwtje , met een gezond en levendig uiterlijk , en een lange , statige blondine , met een bleek en lijdend gezicht .
50-2|De eerste zag snel rond , trad op mevrouw Van Stralen toe en gaf haar de hand .
51-1|" Dag mevrouw , " zei ze met een fraaie , muzikale stem .
51-2|" Gaat het goed ?
51-3|En hoe vaart de kolonel ? "
52-1|" Uitstekend !
52-2|En dokter Van der Linden , en de kleine ? "
53-1|Ook dàt was in orde .
53-2|Men sprak een minuut , en toen wipte 't mooie , gracieuze vrouwtje [ @alt ~de~den den ] winkel in .
54-1|" Ken je haar niet ? " vroeg mevrouw Van Stralen , en toen Jeanne 't hoofd schudde , ging zij zachtjes voort :
55-1|" Zij is de dochter van dokter Van der Linden van Batavia , die met [ @alt ~die~dien dien ] rijken Van Velton getrouwd is geweest , 'n [ @alt hele heele ] tjerita , weet-je !
55-2|Wij hebben nu geen tijd , maar je moet me vast beloven eens aan te komen , dan zal ik je [ @alt zo zoo ]
56-1|( 10 ) een en ander vertellen .
56-2|Ik heb de reis met haar gemaakt , weet-je ? "
57-1|Toen mevrouw Roos tegen etenstijd weer thuis kwam , keerde haar heimwee met volle kracht terug ; zuchtend en langzaam klom zij de trap op : de meisjes waren haar reeds vooruitgevlogen naar haar kamer .
57-2|Terwijl ze voorbij de keuken kwam , hoorde zij de meid mopperen .
57-3|Ze liep even binnen , en zag Kaatje met een [ @alt rode roode ] kleur voor het fornuis staan , bezig [ @alt ~de~den den ] onvermijdelijken Hollandschen biefstuk te braden , waarvan de familie Roos nog altijd niet verzadigd was .
58-1|" Wat is er ? " vroeg ze .
59-1|" Er is niets , mevrouw .
59-2|Als meneer [ @alt alsjeblieft asjeblieft ] maar niet [ @alt zo zoo ] familiaar is !
59-3|Ik ben daar in 't geheel niet op gesteld , en hij moet uit de keuken blijven .
59-4|Hij moet niet denken dat hij [ @alt zo'n zoo'n ] zwarte negerin voorheeft ! "
60-1|Mevrouw Roos ging gauw heen .
60-2|Zij wist genoeg van 't [ @alt Hollandse Hollandsche ] keuken-idioom om te begrijpen , waarop die laatste uitdrukking der in land- en volkenkunde niet ervaren Kaatje doelde ; ze wist ook , dat wat de " familiariteit " van [ @alt ~de~den den ] kapitein betrof , 't meisje volkomen gelijk had , en ze voelde , dat haar eigen [ @alt zo zoo ] veranderd gedrag tegenover hem daar mede schuld aan had .
61-1|'t Kon haar echter weinig schelen ; het vooruitzicht nimmer weer naar Indië terug te kunnen en haar leven lang in het koude , onaangename land te moeten blijven , ontnam haar allen levenslust .
61-2|Ze zou weinig jaren te voren in de grootste woede zijn ontstoken , als Roos haar ook maar [ @alt enige eenige ] reden had gegeven tot jaloezie ; thans was het haar volkomen onverschillig , al deed hij 't ergste .
61-3|Maar och ! dat deed hij niet .
62-1|( 11 )
62-2|Het is waar , dat hij , die jong naar Indië gegaan en nooit met verlof in Europa geweest was , thans vaak een [ @alt zware zwaren ] strijd had te strijden , waarin hij althans zijn uiterste best deed telkens overwinnaar te blijven .
62-3|Zelf van nederige afkomst , l'eau remontait à sa source : Roos toonde namelijk een hoogst gevaarvolle neiging voor dienstmeisjes .
62-4|Hij kon de handen niet thuis houden ; hij streek haar onder de kin of kneep haar in wangen of armen , - allemaal kleine , onschuldige misgrepen , gepleegd in volle eer en deugd , maar die Kaatje in woede deden ontsteken , alleen omdat zij het van [ @alt zo'n zoo'n ] bejaard [ @alt mens mensch ] , zei ze , in 't geheel niet velen kon .
63-1|Met het onschuldigste gezicht ter wereld , zat de kapitein , een beetje verhit van 't langdurig partijtje in [ @alt ~de~den den ] Dierentuin , aan de reeds gedekte tafel , de courant lezend van [ @alt de den ] [ @alt vorige vorigen ] dag .
64-1|" [ @alt Mars Marsch ] ! " riep hij , toen zijn vrouw binnenkwam .
64-2|" Dat heb ik wel zien aankomen : Van Schermbeek is er uit . "
65-1|" Kasian , " zei ze , " hij is [ @alt zo'n zoo'n ] goed en fatsoenlijk man ! "
66-1|" Van top tot teen 'n gentleman .
66-2|Maar ik heb 't hem voorspeld .
66-3|Dat beroerde [ @alt reclameren reclameeren ] ook !
66-4|'t Is of dat jonge volk [ @alt ~de~den den ] duivel in 't lijf heeft ! "
67-1|" Dat heeft oud volk soms ook . "
68-1|Hij keek haar [ @alt enigszins eenigszins ] verbluft aan en las toen verder , zonder te vragen wat ze bedoelde .
68-2|Zij vervolgde heel bedaard :
69-1|" Daarom wou ik je verzoeken , de meid aan haar werk en met rust te laten , en niet meer in de keuken te komen . "
70-1|Hg schoof onrustig heen en weer , draaide met nog [ @alt hoger hooger ] kleur aan zijn knevels en zette zijn bril recht .
71-1|" Je moest je schamen ! " zei ze nog .
72-1|( 12 )
73-1|Toen frommelde hij aan de courant , dat het papier rammelde , en eerst langzaam en [ @alt stotend stootend ] , daarna met een toenemend flux de bouche kwam hij los in klachten en verwijten van hoogst intiemen aard , waaruit hij de conclusie trok , dat het alles haar schuld was .
73-2|Hij was [ @alt zo zoo ] niet , maar als men ... . enfin nog gezond en krachtig was , en men had een vrouw als een dubbel bevroren ijsklomp ... .
74-1|Zij hoorde het aan zonder iets tegen te zeggen ; zij wist het wel , en ze gaf hem in veel gelijk .
74-2|'t Was haar echter onmogelijk anders te zijn dan zij was ; hij begreep niet hoe [ @alt dodelijk doodelijk ] ongelukkig ze zich voelde , en hoe dit leven haar walgde en tegenstond .
74-3|Er kwam een pijnlijke trek op haar gelaat , en toen de kapitein dat zag , sprak hij ingetogener en kalmer ; zijn liefde voor haar kwam weer boven , maar 't hielp niet .
74-4|En [ @alt intussen intusschen ] luisterden Corrie en Nelly met Kaatje aan de deur , half stikkend van ingehouden lach .
74-5|Toen het " standje " uit was , liepen ze alle drie naar de keuken , waar ze het uitschaterden .
75-1|Bij het diner was het alles vrede .
76-1|" Kom , ga eens mee naar de opera , " zei kapitein Roos tegen zijn vrouw .
77-1|Zij schudde het hoofd .
78-1|" Ik blijf liever thuis . "
79-1|" Thuis sterven de meeste [ @alt mensen menschen ] , " merkte hij [ @alt wijsgerig wijsgeerig ] aan .
79-2|" Het is wezenlijk verkeerd van je , Jeanne !
79-3|Ze geven van avond de Cloches . "
80-1|" Ga jij maar , " antwoordde ze schouderophalend .
80-2|" [ @alt Heus Heusch ] , ik geef er niet om ; ik blijf veel liever hier . "
81-1|Hij drong niet verder aan , maar stond op en ging zich
82-1|( 13 ) [ @alt kleden kleeden ] .
82-2|De meisjes vroegen of ze met Kaatje mee mochten boodschappen doen in de buurt , en dat werd haar vergund ; de kleintjes werden naar bed gebracht ; ze sliepen in een ommezien onder de warme dekens , en toen de huisdeur dichtviel , hoorde mevrouw Roos [ @alt de den ] [ @alt harde harden ] militairen stap van haar man door de [ @alt lege leege ] straat en in de holle onbewoonde huizen weerklinken in de [ @alt ene eene ] richting , en het droge tikken der hakjes van de meisjes en van de meid , die gearmd en gichelend [ @alt de den ] [ @alt andere anderen ] kant uit gingen .
82-3|Daarna werd het stil in de eenzame buurt , en slechts de onverbiddelijke koude wind hoorde men door de [ @alt schoorstenen schoorsteenen ] gieren met klagend geluid .
83-1|Zij had haar sjaal weer omgedaan , en na de kachel te hebben opgestookt , haar stoel er bij geschoven .
83-2|De tafel was nog niet " afgenomen " ; dat zou Kaatje wel doen , als zij terugkwam , en 't kon mevrouw ook weinig schelen .
83-3|Zij verzonk weer in de [ @alt dromen droomen ] en phantasmagorieën , die haar heimwee vergezelden .
83-4|'t Ging haar als de schipbreukeling , die , op diëet van zoet water , gekweld wordt door [ @alt ~groten~grote grooten ] dorst , en in een staat van geestelijke [ @alt verdoving verdooving ] geen andere beelden ziet dan heerlijke glazen ijswater , die hem aan de lippen worden gebracht , maar [ @alt meedogenloos meedoogenloos ] verdwijnen bij elke gretige poging er iets van te drinken ; allerlei visioenen had ze van Indië ; het was haar leven in al zijn [ @alt fasen phasen ] , dat achtereenvolgens opdoemde , van haar eerste jeugd als dochter van een opziener op een onderneming in het gebergte tot haar later huwelijk met [ @alt ~de~den den ] toen 2den luitenant Roos ; zij zat met gesloten [ @alt ogen oogen ] en glimlachte tegen haar hallucinaties gelijk haar man wel zou [ @alt gewenst gewenscht ] hebben , dat zij het tegen hem deed .
84-1|( 14 )
85-1|In [ @alt ~de~den den ] foyer van de opera stond deze gedurende de pauze met een groepje zijner oude vrienden een glas grog te drinken .
85-2|Een enkel woord was gesproken over 't stuk , dat werd opgevoerd , doch heel spoedig verviel men vanzelf in gesprekken over Indië , over expedities , promotie , traktementen , schandaaltjes , regeeringsfouten en intriges .
85-3|Ook hen vervolgde en bezat het land , waar ze [ @alt zoveel zooveel ] van hun beste levensjaren hadden doorgebracht ; het had hen vast en 't wilde hen niet loslaten ; ze droegen er 't [ @alt onuitwisbaar onuitwischbaar ] stempel van in woord en gebaar , in houding en uiterlijk .
85-4|En het bleek ten slotte , dàt wat hun 't meeste belangstelling inboezemde , al waren de [ @alt meningen meeningen ] der meesten in het koude klimaat aanmerkelijk afgekoeld , en deden velen hun best anders te denken en te spreken , dan hun aandrift meebracht , om de andersdenkenden en sprekenden in wier midden hun gewoon [ @alt dagelijks dagelijksch ] leven verliep .
86-1|Maar toch hadden ze voor alle van vreemde smetten vrije Nederlanders nog eigenaardigs te over : de weinigen , die aanvankelijk hadden gestaan bij het groepje in [ @alt ~de~den den ] foyer , uit gepensionneerden , verlofgangers en een enkel particulier saamgesteld , trokken spoedig af ; zij verstonden het discours maar half en konden er niet aan deelnemen .
86-2|En menige onvriendelijke blik gleed over dat groepje , en menige kwaadaardige grijns ging aan het adres der kern-gezonde , grog- en bierlievende verlofgangers , die " wegens ziekte " pierewaaiden in [ @alt ~De~Den Den ] Haag , met behoorlijke verlofstraktementen , waarvoor ze niets behoefden te doen , - twee omstandigheden , die de [ @alt Haagse Haagsche ] ambtenaarswereld haast deden stikken van woede en spijt .
86-3|- Men moest hun niet vertellen , dat
87-1|( 15 ) die [ @alt mensen menschen ] doodziek Indië hadden verlaten , en door de zeereis reeds voor het grootste deel herstelden , [ @alt zodat zoodat ] ze na een kort verblijf in Europa geheel beter waren ; men moest hen er niet op wijzen , dat velen van die [ @alt mensen menschen ] in afgelegen oorden jaren achtereen een droefgeestig , eenzelvig bestaan hadden moeten leiden , haast afgesloten van allen Europeeschen omgang , - want zij geloofden het toch niet ; ze hoorden het aan , schouderophalend en met een : " nu , ja " , maar voor de rest bleven zij er bij , dat het meer dan ergerlijk was , om , als zij in 't Lange Voorhout uit hun bureau-vensters zaten te kijken , zulke verlofgangers in datzelfde Voorhout te zien wandelen .
88-1|" Heb je mevrouw Van Velton gezien ? " vroeg een oud-hoofdambtenaar , en op die vraag staken allen de hoofden bijeen met [ @alt olijke oolijke ] gezichten .
88-2|Er werd gefluisterd en gelachen , tot luid en brutaal de schel weerklonk , die hen terugriep naar de zaal , omdat de pauze uit was .
88-3|'t Scheen wel , dat de naar de deur stroomende menigte door [ @alt de den ] [ @alt dikke dikken ] rook heenbrak , [ @alt ~die~dien dien ] [ @alt zóveel zóóveel ] brandende sigaren binnen een kwartier in [ @alt ~de~den den ] foyer hadden doen opgaan en die , met de massa , vergezeld van een echte kroeglucht , zich in de kromme gangen en gangetjes verbreidde .
89-1|" Doe de deur dicht , " had Louise Van Velton tegen haar stiefdochter gezegd , die in haar loge er het dichtst bij zat .
89-2|" Er komt [ @alt zo'n zoo'n ] nare lucht binnen . "
90-1|Hortense strekte zwijgend een [ @alt lange langen ] arm uit en sloot de deur .
90-2|Ze geeuwde achter haar waaier en ook Louise had geweldig 't land .
90-3|Zij zag er keurig uit in 't ponceau fluweel met parelgrijze kant gegarneerd en een gezichtje om te
91-1|( 16 ) stelen ; haar diamanten schitterden oogverblindend .
91-2|Ook Hortense was altijd keurig en smaakvol gekleed ; het was bekend , dat zij prachtig woonden , schitterende equipage hielden , - kortom , dat ze rijk waren , rijk , schoon en elegant , en toch hielp 't niet !
92-1|O , er kwamen hoogst fashionabele lieden in haar villa op 't Plein 1813 , doch zij behoorden niet tot [ @alt ~de~den den ] stand , [ @alt welke welken ] Louise er had [ @alt wensen wenschen ] te zien .
92-2|Zelfs vroeger , toen zij met haar vader te Brussel woonde , verkeerde zij in [ @alt hoger hooger ] kringen .
92-3|Van Indische clubs wilde zij niets weten , en met oud-gasten liet zij zich [ @alt zo zoo ] weinig mogelijk in .
92-4|Natuurlijk kon ze niet beletten , dat kennissen visites maakten , maar zij moedigde dat [ @alt zo zoo ] weinig mogelijk aan , en bracht slechts tegenbezoeken als 't niet anders kon .
