id	gender	human	number	size	firstmention	mentions	label
129	n	0	sg	1	129	129	het verlies
130	n	0	pl	2	130	130,348	de groote gaven
133	fm	1	sg	1	133	133	ik
135	fm	1	sg	1	135	135	kameraad
136	m	1	sg	20	136	136,141,143,145,148,151,152,153,154,156,158,160,162,163,165,168,171,173,174,175	geneeskundige
137	m	1	sg	2	137	137,140	die
138	n	0	sg	1	138	138	uw gestel
139	fm	1	both	1	139	139	uw
142	n	0	pl	1	142	142	zijn vingertoppen
144	-	-	pl	1	144	144	zijne ellebogen op de leuningen
146	n	0	pl	1	146	146	de leuningen
147	n	0	sg	6	147	983,147,916,915,966,678	zijn stoel
149	-	-	sg	1	149	149	die
150	m	1	sg	1	150	150	Mijn geest
155	-	-	pl	1	155	155	problema's
159	n	0	sg	1	159	159	de meest raadselachtige analyse
161	n	0	sg	1	161	161	de mij eigene atmosfeer
164	n	0	pl	1	164	164	wonderbaarlijke middelen
166	n	0	sg	2	166	170,166	de onbeduidende " sleur
167	n	0	sg	1	167	167	het menschelijk bestaan
169	fm	1	sg	1	169	169	geestelijke verheffing
172	n	0	sg	1	172	172	mijn eigen bizonder beroep
176	n	0	sg	1	176	176	dat gebied in de wereld
177	n	0	sg	2	177	177,839	de wereld
178	m	1	sg	11	178	192,193,197,200,205,207,178,210,182,183,184	De eenige particuliere detective
180	n	0	pl	1	180	180	groote oogen
181	fm	1	sg	2	181	208,181	De eenige particuliere , consulteerende detective
185	n	0	sg	1	185	185	appèl voor onthullingen
186	-	-	pl	1	186	186	onthullingen
187	m	1	sg	1	187	187	Gregson
188	m	1	sg	1	188	188	Lestrade
189	fm	1	both	1	189	189	Athelney Jones
190	n	0	pl	1	190	190	de meeste gevallen
191	n	0	sg	12	191	2178,2370,709,2437,2374,1290,1649,435,2167,539,1660,191	de zaak
194	fm	1	sg	1	194	194	een gezworene
195	n	0	sg	1	195	195	een oordeel
196	n	0	sg	1	196	196	een specialiteit
198	n	0	pl	1	198	198	dusdanige gevallen
199	n	0	sg	6	199	640,870,199,2008,649,1130	Mijn naam
203	n	0	sg	1	203	203	een veld
204	n	0	pl	1	204	204	mijne eigen zeldzame gaven
209	n	0	sg	1	209	209	mijne methode van werken
211	n	0	sg	9	211	2208,877,2318,211,243,308,1110,1364,537	't geval van Jefferson Hope
212	m	1	sg	1	212	212	Jefferson Hope
218	n	0	sg	1	218	218	den titel van
219	n	0	sg	1	219	219	Een Godsgericht
220	n	0	both	1	220	220	_A Study in Scarlet_
221	n	0	sg	1	221	221	Amsterdam bij N. J. Boon
222	m	1	sg	5	222	225,226,227,222,223	N. J. Boon
224	n	0	sg	2	224	224,1382	het hoofd
228	fm	1	sg	1	228	228	u
229	n	0	sg	2	229	229,693	een bepaalde wetenschap
230	n	0	sg	1	230	230	dezelfde ongevoelige wijze
232	n	0	sg	1	232	232	een romantische tint
233	n	0	sg	1	233	233	dezelfde uitwerking
235	n	0	sg	1	235	235	een liefdeshistorie
236	n	0	sg	1	236	236	een schaking
237	fm	1	sg	1	237	237	Euclides
238	m	1	sg	6	238	257,262,266,269,238,255	de roman
241	n	0	pl	6	241	241,2273,726,1000,302,1487	de feiten
244	n	0	sg	1	244	244	eene vermelding
245	n	0	sg	1	245	245	de zeldzame analytische redeneering van oorzaken
246	n	0	pl	1	246	246	oorzaken
247	fm	1	pl	1	247	247	gevolgen
248	fm	1	sg	1	248	248	mij
249	n	0	sg	1	249	249	het kluwen
254	n	0	sg	2	254	1704,254	het doel
260	n	0	sg	1	260	260	zijn egoïsme
263	n	0	sg	1	263	263	mijn vlugschrift
265	n	0	pl	1	265	265	zijne bizondere werkzaamheden
270	n	0	both	1	270	270	Baker-Street
271	n	0	sg	1	271	271	het kalm en meesterachtig uiterlijk van mijn metgezel
275	n	0	sg	1	275	275	mijn gewond been
278	n	0	sg	1	278	278	een kogel
280	n	0	sg	1	280	280	pijnlijke wijze
281	n	0	sg	2	281	281,283	mijn practijk
284	n	0	sg	1	284	284	het Vasteland
287	n	0	sg	3	287	464,1319,287	zijn oude pijp van rozeboomenhout
289	n	0	sg	1	289	289	rozeboomenhout
291	m	1	sg	1	291	291	François le Villard
292	m	1	sg	6	292	307,292,311,297,300,317	die
293	fm	1	sg	1	293	293	je
294	n	0	sg	1	294	294	den voorgrond
295	f	1	sg	20	295	1105,1234,1236,1237,1238,1239,1240,1241,1249,1251,996,1252,1253,295,2279,1257,1005,1006,2286,946	dienst van de Fransche detectiven
296	fm	1	pl	1	296	296	de Fransche detectiven
298	n	0	sg	1	298	298	de Celtische kracht van snelle waarneming
299	-	-	sg	1	299	299	snelle waarneming
301	n	0	sg	2	301	304,301	de juiste beoordeeling der feiten en de algemeene kennis
305	n	0	sg	1	305	305	de hoogere ontwikkeling van zijn kunst
306	n	0	sg	2	306	306,2199	zijn kunst
309	n	0	sg	1	309	309	een testament
312	n	0	pl	1	312	312	twee gelijksoortige gevallen
313	n	0	sg	10	313	1410,2341,2342,2344,2346,1099,2347,1263,2168,313	het een te Riga in 1857
314	n	0	sg	1	314	314	Riga in 1857
315	n	0	sg	2	315	315,2462	het ander te St. Louis
316	m	1	sg	1	316	316	St. Louis
318	-	-	sg	1	318	318	de juiste oplossing
319	m	1	sg	13	319	323,325,1543,1544,327,2383,1267,1526,1527,1176,2393,1175,319	de brief van dankbetuiging voor mijne hulp
320	n	0	sg	1	320	320	dankbetuiging voor mijne hulp
321	n	0	sg	2	321	321,326	mijne hulp
329	n	0	sg	1	329	329	een verfrommeld vel buitenlandsch papier
330	n	0	sg	4	330	1609,330,1621,1615	buitenlandsch papier
332	n	0	sg	1	332	332	een haastigen blik
334	n	0	pl	1	334	334	betuigingen van bewondering van den Franschman voor
335	n	0	sg	1	335	335	bewondering van den Franschman voor
336	m	1	sg	1	336	336	den Franschman voor
339	fm	1	sg	1	339	339	een leerling
340	m	1	sg	11	340	354,356,359,360,367,368,369,340,343,347,349	zijn meester
344	n	0	sg	1	344	344	mijn hulp
350	n	0	-	1	350	350	twee van de drie eigenschappen die voor den werkelijken detective vereischt worden
353	fm	1	sg	1	353	353	den werkelijken detective
355	n	0	pl	1	355	355	opmerkingsen
361	n	0	pl	1	361	361	mijne kleine werken
363	m	1	sg	1	363	363	het Fransch
364	n	0	pl	1	364	364	Uwe werken
365	fm	1	both	1	365	365	Uwe
366	fm	1	sg	1	366	366	gij
370	n	0	pl	1	370	370	verscheiden handschriften
371	fm	1	pl	1	371	371	Zij
372	n	0	pl	1	372	372	technische onderwerpen
373	n	0	sg	1	373	373	het onderscheid tusschen de asch van verschillende soorten tabak
374	n	0	sg	1	374	374	de asch van verschillende soorten tabak
375	n	0	pl	1	375	375	verschillende soorten tabak
376	fm	1	sg	1	376	376	ik
377	n	0	pl	1	377	377	een honderd veertig soorten van sigaren
378	n	0	pl	1	378	378	sigaren
379	-	-	-	1	379	379	cigaretten-
380	n	0	sg	1	380	380	pijp-tabak
381	n	0	pl	2	381	381,382	gekleurde platen
383	n	0	sg	2	383	385,383	het verschil van asch ervan
384	n	0	sg	1	384	384	asch ervan
387	n	0	sg	1	387	387	dat
388	n	0	pl	1	388	388	straf-processen
389	n	0	sg	1	389	389	dat
390	n	0	sg	2	390	808,390	sleutel
391	n	0	sg	3	391	448,1334,391	het grootste belang
392	fm	1	sg	1	392	392	gij
393	n	0	sg	1	393	393	de een of andere moord
396	n	0	sg	1	396	396	een Indiaansche lunkah
397	n	0	sg	1	397	397	het terrein van uw onderzoek
398	n	0	sg	5	398	688,1473,424,398,623	uw onderzoek
399	fm	1	both	1	399	399	uw
400	n	0	sg	1	400	400	het geoefend oog
401	n	0	sg	1	401	401	evenveel verschil tusschen de zwarte asch van een Trichinopoly en de witte van een Havana
402	n	0	sg	1	402	402	de zwarte asch van een Trichinopoly
403	n	0	sg	1	403	403	een Trichinopoly
404	n	0	sg	1	404	404	de witte van een Havana
405	n	0	sg	2	405	405,406	een Havana
408	n	0	sg	1	408	408	een aardappel
409	fm	1	sg	1	409	409	Gij
410	n	0	sg	2	410	410,414	eene zeldzame gave van opmerken
412	fm	1	sg	4	412	416,442,412,445	Ik
413	n	0	sg	1	413	413	hare belangrijkheid
415	n	0	sg	4	415	1371,1244,1245,415	mijn handschrift
417	n	0	pl	1	417	417	voetstappen
418	n	0	pl	1	418	418	de Parijsche pleisters
419	-	-	sg	1	419	419	bewaarster der indrukken
420	n	0	pl	1	420	420	der indrukken
421	fm	1	both	3	421	443,421,430	gij
422	n	0	sg	2	422	1409,422	een klein curieus boek
425	n	0	sg	1	425	425	een vorm van de hand
426	n	0	sg	11	426	426,589,818,723,1074,1266,1944,921,988,2397,1279	de hand
427	n	0	pl	1	427	427	afbeeldingen van handen
428	n	0	pl	5	428	656,2145,961,1932,428	handen
429	-	-	sg	1	429	429	leidekkers
431	-	-	sg	1	431	431	kurksnijders
432	-	-	pl	1	432	432	loodwerkers
433	fm	1	pl	1	433	433	wevers
434	-	-	sg	1	434	434	diamantslijpers
436	n	0	sg	1	436	436	groot practisch belang voor den wetenschappelijken detective
437	m	1	sg	15	437	482,483,514,453,518,521,460,493,462,524,465,467,437,472,478	den wetenschappelijken detective
438	n	0	pl	1	438	438	gevallen
439	n	0	pl	1	439	439	onopgevraagde lijken
440	n	0	pl	1	440	440	der vroegere antecedenten van misdadigers
441	fm	1	pl	1	441	441	misdadigers
444	n	0	sg	1	444	444	mijn gebabbel
450	n	0	sg	2	450	450,1370	de gelegenheid
451	n	0	sg	1	451	451	uwe toepassing ervan
452	fm	1	both	1	452	452	uwe
454	-	-	sg	3	454	1497,1506,454	zooeven van opmerking en gevolgtrekking
455	n	0	sg	4	455	466,490,492,455	opmerking
457	n	0	sg	1	457	457	de eene
458	-	-	sg	2	458	1264,458	de andere
459	n	0	sg	1	459	459	geringe mate
461	n	0	sg	1	461	461	zijn armstoel
463	n	0	pl	1	463	463	dikke , blauwe rookwolken uit zijn pijp
469	n	0	sg	3	469	499,532,469	het Postkantoor in de Wigmore Street
470	n	0	both	3	470	1857,500,470	de Wigmore Street
474	n	0	sg	2	474	474,517	een telegram
479	n	0	sg	1	479	479	een plotseling opkomende gedachte van mij
484	-	-	sg	1	484	484	verkneuterende over mijne verbazing
485	n	0	sg	1	485	485	mijne verbazing
487	n	0	sg	3	487	1488,1126,487	eene verklaring
488	fm	1	sg	2	488	488,494	u
489	n	0	sg	1	489	489	de grens tusschen opmerking en gevolgtrekking
495	n	0	sg	1	495	495	de zool van uw schoen
496	-	-	sg	1	496	496	uw schoen
497	fm	1	both	1	497	497	uw
498	n	0	sg	1	498	498	een weinig roode modder
501	fm	1	sg	7	501	506,501,504,841,1306,1308,505	de straat
502	n	0	sg	5	502	848,502,503,508,510	aarde
507	n	0	sg	1	507	507	het kantoor
509	n	0	sg	1	509	509	bizonder roode kleur
511	n	0	sg	1	511	511	den omtrek
512	-	-	sg	1	512	512	het overige
513	-	-	sg	4	513	513,724,753,751	kwaamt
520	-	-	sg	1	520	520	dien
522	n	0	sg	1	522	522	uw gezelschap
523	fm	1	both	1	523	523	uw
525	-	-	sg	1	525	525	uwen geopenden lessenaar
526	fm	1	both	1	526	526	uwen
528	fm	1	pl	2	528	528,534	postzegels
529	n	0	sg	1	529	529	een pakket briefkaarten
530	-	-	sg	1	530	530	kondet
533	n	0	sg	1	533	533	een dépêche
535	n	0	sg	1	535	535	de eenige gevolgtrekking
536	m	1	sg	7	536	546,547,549,536,553,568,555	de juiste
540	fm	1	sg	2	540	540,541	gij
543	n	0	pl	1	543	543	uwe theorieën
544	fm	1	both	1	544	544	uwe
545	n	0	sg	2	545	545,580	een meer ernstige proef
548	n	0	sg	1	548	548	eene tweede dosis cocaïne
550	n	0	sg	1	550	550	dat
551	fm	1	sg	1	551	551	gij
552	n	0	sg	1	552	552	mijn oordeel
554	fm	1	sg	4	554	569,554,563,567	Ik
557	n	0	sg	1	557	557	zonder den indruk van zijn persoonlijkheid er in die mate
558	n	0	sg	2	558	560,558	den indruk van zijn persoonlijkheid er in
559	n	0	sg	1	559	559	zijn persoonlijkheid er in
561	n	0	sg	1	561	561	een geoefend opmerker
562	-	-	both	1	562	562	die
566	n	0	sg	2	566	2458,566	mijn bezit
570	n	0	sg	5	570	2033,2037,1336,570,1373	uw oordeel omtrent het karakter of de gewoonten van den laatsten eigenaar
571	fm	1	both	1	571	571	uw
572	n	0	sg	4	572	1380,1393,572,911	het karakter
573	n	0	pl	1	573	573	de gewoonten
574	m	1	sg	10	574	576,609,585,586,590,594,601,604,574,607	den laatsten eigenaar
582	n	0	sg	2	582	587,582	een les
583	n	0	sg	2	583	584,583	den stelligen toon
588	n	0	sg	1	588	588	uurwerk
591	n	0	sg	1	591	591	de wijzerplaat
593	n	0	sg	1	593	593	zijn bloote oog
595	n	0	sg	1	595	595	een sterke lens
597	n	0	sg	2	597	600,597	mijn lach
602	n	0	sg	4	602	784,792,602,638	de kast
608	-	-	pl	1	608	608	de meeste denkbare daadzaken
612	n	0	sg	2	612	2074,612	mijn hart
618	n	0	sg	1	618	618	zijn onvermogen achter een niet beduidende uitvlucht
620	n	0	sg	1	620	620	een niet beduidende uitvlucht
626	n	0	pl	1	626	626	droomerige half gesloten oogen naar de zoldering starende
627	n	0	sg	1	627	627	de zoldering
628	n	0	sg	1	628	628	verbetering
631	m	1	sg	11	631	746,719,657,690,633,756,631,793,763,797,798	uw oudsten broeder
632	fm	1	both	1	632	632	uw
634	m	1	sg	3	634	1281,634,650	uwen vader
635	fm	1	both	1	635	635	uwen
637	f	1	sg	2	637	637,639	de H. W. op de kast
641	fm	1	both	1	641	641	uw
643	-	-	pl	1	643	643	de initialen
645	-	-	pl	1	645	645	Kostbaarheden
646	m	1	sg	2	646	646,647	den oudsten zoon
648	n	0	sg	2	648	648,1368	den regel
651	m	1	sg	4	651	2058,651,2060,2055	Uw vader
652	fm	1	both	1	652	652	Uw
658	fm	1	both	1	658	658	uw
661	fm	1	sg	1	661	661	gij
664	n	0	sg	1	664	664	ongestadige en zorgelooze levenswijze
666	n	0	pl	1	666	666	goede vooruitzichten
668	n	0	sg	1	668	668	zijn geluk
670	n	0	sg	1	670	670	armoede
671	n	0	pl	1	671	671	korte tusschenpoozen van voorspoed
672	n	0	sg	1	672	672	voorspoed
674	n	0	sg	1	674	674	den drank
676	fm	1	sg	1	676	676	ik
680	n	0	sg	3	680	680,2001,1903	de kamer
689	n	0	sg	3	689	689,2268,1910	de geschiedenis van mijn ongelukkigen broeder
692	n	0	pl	1	692	692	gevolgtrekkingen
700	m	1	sg	13	700	704,705,732,708,711,1802,714,717,721,725,728,729,700	de volle waarheid
701	n	0	sg	1	701	701	het iets van charlatanisme
702	-	-	sg	1	702	702	charlatanisme
703	fm	1	sg	13	703	2017,706,2020,2022,2023,712,715,844,2027,718,720,703,2015	Waarde dokter
707	n	0	sg	1	707	707	mijne verontschuldiging
710	n	0	sg	2	710	710,1343	een gewoon vraagstuk
713	-	-	sg	1	713	713	de oplossing ervan
716	n	0	sg	2	716	716,1349	de heilige verzekering
727	fm	1	pl	2	727	730,727	Zij
731	n	0	pl	1	731	731	waarschijnlijkheden
733	n	0	pl	1	733	733	gissingen
735	n	0	sg	1	735	735	een dwaze gewoonte
736	n	0	sg	2	736	736,738	het logisch verband
737	fm	1	sg	4	737	737,739,748,750	u
740	n	0	sg	1	740	740	mijn gedachtengang
742	n	0	pl	3	742	2294,742,743	geringe omstandigheden
744	n	0	pl	1	744	744	de grootste ophelderingen
747	fm	1	both	1	747	747	uw
749	n	0	sg	1	749	749	deze horlogekast
752	n	0	pl	1	752	752	twee plaatsen
757	n	0	sg	1	757	757	denzelfden vestzak
758	n	0	pl	1	758	758	andere harde voorwerpen
759	n	0	pl	1	759	759	geldstukken
760	n	0	pl	1	760	760	sleutels
761	n	0	sg	1	761	761	vernuft
764	-	-	sg	1	764	764	die
766	-	-	pl	1	766	766	vijftig guinjes
770	n	0	sg	1	770	770	een voorwerp van zulke groote waarde
771	n	0	sg	1	771	771	zulke groote waarde
772	n	0	pl	1	772	772	middelen
774	mn	-	sg	2	774	777,774	bewijze
776	n	0	sg	1	776	776	zijne redeneering
778	-	-	sg	1	778	778	pand-beleeners
779	n	0	sg	6	779	2352,1027,1014,1114,779,2348	Engeland
780	n	0	sg	3	780	785,786,780	het nommer van het bewijs met een graveernaald op de binnenzijde der kast
781	n	0	sg	2	781	787,781	het bewijs met een graveernaald op de binnenzijde der kast
782	n	0	sg	1	782	782	een graveernaald op de binnenzijde der kast
783	n	0	sg	2	783	791,783	de binnenzijde der kast
788	n	0	pl	1	788	788	zulke nommers door mijn lens op de binnenzijde der kast
789	n	0	sg	1	789	789	mijn lens op de binnenzijde der kast
790	fm	1	sg	3	790	800,810,790	mijn
794	fm	1	both	1	794	794	uw
795	n	0	sg	1	795	795	zwart zaad
796	n	0	sg	1	796	796	Tweede gevolgtrekking
799	n	0	sg	1	799	799	het pand
802	n	0	sg	3	802	802,803,804	de binnenplaat
805	-	-	pl	1	805	805	de duizenden krassen rondom de opening
806	-	-	sg	1	806	806	de opening
807	n	0	pl	1	807	807	teekenen van het uitglijden van den sleutel
809	n	0	sg	1	809	809	die plaat
814	m	1	sg	3	814	816,819,814	een dronkaard
815	n	0	pl	1	815	815	krassen
817	n	0	pl	1	817	817	deze sporen van zijn onvaste hand
820	n	0	sg	1	820	820	de mysterie van dit alles
827	fm	1	sg	2	827	832,827	u
829	n	0	sg	1	829	829	uw wonderbaarlijk vermogen
830	fm	1	both	1	830	830	uw
833	n	0	sg	1	833	833	een of ander onderzoek
834	f	1	sg	10	834	993,834,859,836,995,871,1001,987,860,989	ik
837	-	-	sg	1	837	837	hersen-inspanning
838	n	0	sg	1	838	838	het raam
840	n	0	sg	4	840	840,1689,1686,1815	de gele mist
842	n	0	pl	1	842	842	de zwart-geblakerde huizen
843	n	0	pl	1	843	843	vermogens
845	n	0	sg	2	845	845,846	Misdaad
847	n	0	pl	1	847	847	algemeene eigenschappen
850	n	0	sg	1	850	850	mijn mond
852	n	0	sg	1	852	852	deze ontboezeming
853	n	0	sg	5	853	2417,853,1916,1918,1887	de deur
854	f	1	sg	4	854	856,862,861,854	onze hospita
855	fm	1	pl	51	855	1792,1794,1922,1292,1677,1678,1295,1681,1811,1684,1429,1814,1820,1787,2424,1574,1705,1706,1584,1585,1841,1970,1974,1847,2103,1729,1731,1733,1863,1746,1878,855,1882,2394,2140,2141,1886,2144,2404,2408,2409,1773,1775,1776,2416,2418,1781,2423,1912,1785,1915	onze
857	n	0	sg	1	857	857	een visitekaart
858	n	0	sg	1	858	858	het koperen blad
865	fm	1	sg	120	865	1536,2049,2050,2051,1538,2309,1797,2052,2054,2059,2066,2067,2070,1559,1048,1049,2072,2331,1051,2343,1576,1579,2046,1593,1594,1599,1601,1602,2120,1100,2254,1102,1104,1107,1109,1111,1113,865,1125,874,878,2159,2163,1656,2170,2179,1675,2444,2194,1953,1697,2211,2212,2213,2214,2215,2218,2219,2220,2223,1712,1713,2225,2485,2486,2231,1209,2233,2235,2236,2277,2246,1736,2024,1738,1739,2250,2252,1742,1743,1744,2253,2026,2256,1748,2259,1750,2006,1752,2265,2010,2011,1754,1501,2270,2271,2016,2274,2021,1510,1766,2278,1511,1513,1514,1515,1516,2285,1517,1519,1521,2032,1523,2029,2038,2039,2041,2043,2045,1278	Miss Mary Morstan
867	n	0	sg	1	867	867	Hm
872	n	0	sg	1	872	872	Mrs. Hudson
875	n	0	sg	1	875	875	TWEEDE HOOFDSTUK
876	f	1	sg	4	876	882,883,876,886	De beschrijving van het geval
879	n	0	sg	1	879	879	fermen stap
880	n	0	sg	1	880	880	vrijmoedig voorkomen
881	n	0	sg	3	881	881,1972,1301	het vertrek
884	n	0	sg	1	884	884	gestalte
885	n	0	sg	1	885	885	haar gewaad
887	n	0	sg	1	887	887	weelde
888	n	0	pl	1	888	888	beperkte middelen
889	n	0	sg	1	889	889	een kleed van donker-grijze
890	-	-	sg	1	890	890	donker-grijze
891	n	0	sg	1	891	891	beige
892	n	0	sg	1	892	892	de minste versiering
893	n	0	sg	1	893	893	een klein hoedje van dezelfde kleur
894	n	0	sg	2	894	894,895	dezelfde kleur
896	n	0	sg	3	896	896,898,1309	een witte veder
899	-	-	pl	1	899	899	hare trekken
901	n	0	pl	1	901	901	hare groote blauwe oogen
904	f	1	pl	1	904	904	de vrouwen
905	f	1	sg	8	905	928,913,931,918,905,922,923,925	die
907	n	0	pl	1	907	907	drie verschillende werelddeelen
919	n	0	pl	2	919	2071,919	hare lippen
924	-	-	sg	1	924	924	innerlijke opgewondenheid
930	f	1	sg	4	930	937,930,945,950	mijne meesteres
932	n	0	both	3	932	932,941,1135	Mrs. Cecil Forrester
933	n	0	sg	2	933	1481,933	eene kleine aangelegenheid
934	n	0	sg	1	934	934	een harer
935	f	1	pl	1	935	935	dienstboden in het reine
936	n	0	sg	1	936	936	het reine
938	m	1	sg	7	938	944,947,948,952,938,942,943	uwe dienstvaardigheid
939	fm	1	both	1	939	939	uwe
940	n	0	sg	1	940	940	bekwaamheid
949	n	0	sg	3	949	953,949,957	een hoogst eenvoudig geval
951	fm	1	sg	5	951	951,954,955,958,959	mijne
956	n	0	sg	1	956	956	een meer vreemdsoortigen en onverklaarbaren toestand
968	n	0	sg	1	968	968	eene uitdrukking van buitengewone aandacht
969	n	0	sg	1	969	969	buitengewone aandacht
970	-	-	pl	1	970	970	zijne scherpe , havik-achtige trekken
973	n	0	sg	1	973	973	uw geval
974	fm	1	both	1	974	974	uw
976	-	-	sg	1	976	976	korten toon
978	n	0	sg	1	978	978	mijn toestand
980	fm	1	sg	1	980	980	Gij
985	n	0	sg	1	985	985	mijne verwondering
991	m	1	sg	2	991	994,991	uw vriend
992	fm	1	both	1	992	992	uw
999	-	-	-	1	999	999	het kort
1002	m	1	sg	34	1002	1025,2430,1028,2438,1031,2376,1033,2381,1037,1041,2385,2386,2388,2390,2392,2395,2399,2401,2402,2275,2405,2406,2280,1002,2282,1004,2283,2411,2412,2414,2415,2421,1020,1022	Mijn vader
1003	fm	1	sg	21	1003	1029,1032,1034,1038,1039,1044,1046,1050,1052,1062,1065,1003,1007,1008,1009,1012,1013,1015,1018,1019,1021	Mijn
1010	n	0	sg	2	1010	1010,1067	het vaderland
1011	f	1	sg	1	1011	1011	Mijne moeder
